context: I haven't smelled tatami mats in a long time. response:	I haven't smelled tatami mats in a long time.
context: I haven't smelled tatami mats in a long time.\I haven't smelled tatami mats in a long time. response:	Huh?
context: I haven't smelled tatami mats in a long time.\I haven't smelled tatami mats in a long time.\Huh? response:	Where am I?
context: I haven't smelled tatami mats in a long time.\I haven't smelled tatami mats in a long time.\Huh?\Where am I? response:	What happened last night?
context: I haven't smelled tatami mats in a long time.\I haven't smelled tatami mats in a long time.\Huh?\Where am I?\What happened last night? response:	Do you remember nothing at all from when you were transformed?
context: I haven't smelled tatami mats in a long time.\I haven't smelled tatami mats in a long time.\Huh?\Where am I?\What happened last night?\Do you remember nothing at all from when you were transformed? response:	What are you talking about?
context: I haven't smelled tatami mats in a long time.\I haven't smelled tatami mats in a long time.\Huh?\Where am I?\What happened last night?\Do you remember nothing at all from when you were transformed?\What are you talking about? response:	But your right hand's still there.
context: I haven't smelled tatami mats in a long time.\I haven't smelled tatami mats in a long time.\Huh?\Where am I?\What happened last night?\Do you remember nothing at all from when you were transformed?\What are you talking about?\But your right hand's still there. response:	Right hand?
context: I haven't smelled tatami mats in a long time.\Huh?\Where am I?\What happened last night?\Do you remember nothing at all from when you were transformed?\What are you talking about?\But your right hand's still there.\Right hand? response:	It's been so long...
context: Huh?\Where am I?\What happened last night?\Do you remember nothing at all from when you were transformed?\What are you talking about?\But your right hand's still there.\Right hand?\It's been so long... response:	What?
context: Where am I?\What happened last night?\Do you remember nothing at all from when you were transformed?\What are you talking about?\But your right hand's still there.\Right hand?\It's been so long...\What? response:	What?!
context: What happened last night?\Do you remember nothing at all from when you were transformed?\What are you talking about?\But your right hand's still there.\Right hand?\It's been so long...\What?\What?! response:	What?!
context: Do you remember nothing at all from when you were transformed?\What are you talking about?\But your right hand's still there.\Right hand?\It's been so long...\What?\What?!\What?! response:	Huh?
context: What are you talking about?\But your right hand's still there.\Right hand?\It's been so long...\What?\What?!\What?!\Huh? response:	Um, uhh...
context: But your right hand's still there.\Right hand?\It's been so long...\What?\What?!\What?!\Huh?\Um, uhh... response:	Okay, I'm taking the call.
context: Right hand?\It's been so long...\What?\What?!\What?!\Huh?\Um, uhh...\Okay, I'm taking the call. response:	I'll do it right now!
context: It's been so long...\What?\What?!\What?!\Huh?\Um, uhh...\Okay, I'm taking the call.\I'll do it right now! response:	Right this second!
context: What?\What?!\What?!\Huh?\Um, uhh...\Okay, I'm taking the call.\I'll do it right now!\Right this second! response:	Which button am I supposed to push?
context: What?!\What?!\Huh?\Um, uhh...\Okay, I'm taking the call.\I'll do it right now!\Right this second!\Which button am I supposed to push? response:	Um...
context: What?!\Huh?\Um, uhh...\Okay, I'm taking the call.\I'll do it right now!\Right this second!\Which button am I supposed to push?\Um... response:	This one? C'mon, hurry up. Gosh, which one is it?
context: Huh?\Um, uhh...\Okay, I'm taking the call.\I'll do it right now!\Right this second!\Which button am I supposed to push?\Um...\This one? C'mon, hurry up. Gosh, which one is it? response:	H-Hello?!
context: Um, uhh...\Okay, I'm taking the call.\I'll do it right now!\Right this second!\Which button am I supposed to push?\Um...\This one? C'mon, hurry up. Gosh, which one is it?\H-Hello?! response:	Good morning!
context: Okay, I'm taking the call.\I'll do it right now!\Right this second!\Which button am I supposed to push?\Um...\This one? C'mon, hurry up. Gosh, which one is it?\H-Hello?!\Good morning! response:	Oh, Dazai-san.
context: I'll do it right now!\Right this second!\Which button am I supposed to push?\Um...\This one? C'mon, hurry up. Gosh, which one is it?\H-Hello?!\Good morning!\Oh, Dazai-san. response:	Today's another fine day.
context: Right this second!\Which button am I supposed to push?\Um...\This one? C'mon, hurry up. Gosh, which one is it?\H-Hello?!\Good morning!\Oh, Dazai-san.\Today's another fine day. response:	How's the new dorm?
context: Which button am I supposed to push?\Um...\This one? C'mon, hurry up. Gosh, which one is it?\H-Hello?!\Good morning!\Oh, Dazai-san.\Today's another fine day.\How's the new dorm? response:	Great, thank you.
context: Um...\This one? C'mon, hurry up. Gosh, which one is it?\H-Hello?!\Good morning!\Oh, Dazai-san.\Today's another fine day.\How's the new dorm?\Great, thank you. response:	Compared to sleeping outdoors, it's heavenly.
context: This one? C'mon, hurry up. Gosh, which one is it?\H-Hello?!\Good morning!\Oh, Dazai-san.\Today's another fine day.\How's the new dorm?\Great, thank you.\Compared to sleeping outdoors, it's heavenly. response:	That's good to hear.
context: H-Hello?!\Good morning!\Oh, Dazai-san.\Today's another fine day.\How's the new dorm?\Great, thank you.\Compared to sleeping outdoors, it's heavenly.\That's good to hear. response:	The change of clothes at your pillow is a gift from everyone at the agency.
context: Good morning!\Oh, Dazai-san.\Today's another fine day.\How's the new dorm?\Great, thank you.\Compared to sleeping outdoors, it's heavenly.\That's good to hear.\The change of clothes at your pillow is a gift from everyone at the agency. response:	Thank you so much for everything.
context: Oh, Dazai-san.\Today's another fine day.\How's the new dorm?\Great, thank you.\Compared to sleeping outdoors, it's heavenly.\That's good to hear.\The change of clothes at your pillow is a gift from everyone at the agency.\Thank you so much for everything. response:	By the way, Atsushi-kun,
context: Today's another fine day.\How's the new dorm?\Great, thank you.\Compared to sleeping outdoors, it's heavenly.\That's good to hear.\The change of clothes at your pillow is a gift from everyone at the agency.\Thank you so much for everything.\By the way, Atsushi-kun, response:	I apologize for asking this out of the blue...
context: How's the new dorm?\Great, thank you.\Compared to sleeping outdoors, it's heavenly.\That's good to hear.\The change of clothes at your pillow is a gift from everyone at the agency.\Thank you so much for everything.\By the way, Atsushi-kun,\I apologize for asking this out of the blue... response:	but there's been an emergency.
context: Great, thank you.\Compared to sleeping outdoors, it's heavenly.\That's good to hear.\The change of clothes at your pillow is a gift from everyone at the agency.\Thank you so much for everything.\By the way, Atsushi-kun,\I apologize for asking this out of the blue...\but there's been an emergency. response:	An emergency?
context: Compared to sleeping outdoors, it's heavenly.\That's good to hear.\The change of clothes at your pillow is a gift from everyone at the agency.\Thank you so much for everything.\By the way, Atsushi-kun,\I apologize for asking this out of the blue...\but there's been an emergency.\An emergency? response:	Yes, there can be no delay.
context: That's good to hear.\The change of clothes at your pillow is a gift from everyone at the agency.\Thank you so much for everything.\By the way, Atsushi-kun,\I apologize for asking this out of the blue...\but there's been an emergency.\An emergency?\Yes, there can be no delay. response:	Please come to the specified location immediately.
context: The change of clothes at your pillow is a gift from everyone at the agency.\Thank you so much for everything.\By the way, Atsushi-kun,\I apologize for asking this out of the blue...\but there's been an emergency.\An emergency?\Yes, there can be no delay.\Please come to the specified location immediately. response:	It's a crisis!
context: Thank you so much for everything.\By the way, Atsushi-kun,\I apologize for asking this out of the blue...\but there's been an emergency.\An emergency?\Yes, there can be no delay.\Please come to the specified location immediately.\It's a crisis! response:	Only you can help.
context: By the way, Atsushi-kun,\I apologize for asking this out of the blue...\but there's been an emergency.\An emergency?\Yes, there can be no delay.\Please come to the specified location immediately.\It's a crisis!\Only you can help. response:	O-Okay, I understand.
context: I apologize for asking this out of the blue...\but there's been an emergency.\An emergency?\Yes, there can be no delay.\Please come to the specified location immediately.\It's a crisis!\Only you can help.\O-Okay, I understand. response:	Are you ready, Atsushi-kun?
context: but there's been an emergency.\An emergency?\Yes, there can be no delay.\Please come to the specified location immediately.\It's a crisis!\Only you can help.\O-Okay, I understand.\Are you ready, Atsushi-kun? response:	Yes.
context: An emergency?\Yes, there can be no delay.\Please come to the specified location immediately.\It's a crisis!\Only you can help.\O-Okay, I understand.\Are you ready, Atsushi-kun?\Yes. response:	First, when you leave the room, make sure you close the door.
context: Yes, there can be no delay.\Please come to the specified location immediately.\It's a crisis!\Only you can help.\O-Okay, I understand.\Are you ready, Atsushi-kun?\Yes.\First, when you leave the room, make sure you close the door. response:	Look behind you!
context: Please come to the specified location immediately.\It's a crisis!\Only you can help.\O-Okay, I understand.\Are you ready, Atsushi-kun?\Yes.\First, when you leave the room, make sure you close the door.\Look behind you! response:	Behind me?
context: It's a crisis!\Only you can help.\O-Okay, I understand.\Are you ready, Atsushi-kun?\Yes.\First, when you leave the room, make sure you close the door.\Look behind you!\Behind me? response:	Um...
context: Only you can help.\O-Okay, I understand.\Are you ready, Atsushi-kun?\Yes.\First, when you leave the room, make sure you close the door.\Look behind you!\Behind me?\Um... response:	What's this about?
context: O-Okay, I understand.\Are you ready, Atsushi-kun?\Yes.\First, when you leave the room, make sure you close the door.\Look behind you!\Behind me?\Um...\What's this about? response:	What do you think?
context: Are you ready, Atsushi-kun?\Yes.\First, when you leave the room, make sure you close the door.\Look behind you!\Behind me?\Um...\What's this about?\What do you think? response:	Maybe I'm hallucinating this morning?
context: Yes.\First, when you leave the room, make sure you close the door.\Look behind you!\Behind me?\Um...\What's this about?\What do you think?\Maybe I'm hallucinating this morning? response:	Wrong!
context: First, when you leave the room, make sure you close the door.\Look behind you!\Behind me?\Um...\What's this about?\What do you think?\Maybe I'm hallucinating this morning?\Wrong! response:	Is it an enemy attack?
context: Look behind you!\Behind me?\Um...\What's this about?\What do you think?\Maybe I'm hallucinating this morning?\Wrong!\Is it an enemy attack? response:	Did you get caught in a trap?
context: Behind me?\Um...\What's this about?\What do you think?\Maybe I'm hallucinating this morning?\Wrong!\Is it an enemy attack?\Did you get caught in a trap? response:	I got in myself.
context: Um...\What's this about?\What do you think?\Maybe I'm hallucinating this morning?\Wrong!\Is it an enemy attack?\Did you get caught in a trap?\I got in myself. response:	Well, you see...
context: What's this about?\What do you think?\Maybe I'm hallucinating this morning?\Wrong!\Is it an enemy attack?\Did you get caught in a trap?\I got in myself.\Well, you see... response:	I heard that there's a way to commit suicide by getting stuck in an oil drum,
context: What do you think?\Maybe I'm hallucinating this morning?\Wrong!\Is it an enemy attack?\Did you get caught in a trap?\I got in myself.\Well, you see...\I heard that there's a way to commit suicide by getting stuck in an oil drum, response:	Diagram
context: Maybe I'm hallucinating this morning?\Wrong!\Is it an enemy attack?\Did you get caught in a trap?\I got in myself.\Well, you see...\I heard that there's a way to commit suicide by getting stuck in an oil drum,\Diagram response:	Securing the feet is the key.
context: Wrong!\Is it an enemy attack?\Did you get caught in a trap?\I got in myself.\Well, you see...\I heard that there's a way to commit suicide by getting stuck in an oil drum,\Diagram\Securing the feet is the key. response:	so I decided to give it a shot.
context: Is it an enemy attack?\Did you get caught in a trap?\I got in myself.\Well, you see...\I heard that there's a way to commit suicide by getting stuck in an oil drum,\Diagram\Securing the feet is the key.\so I decided to give it a shot. response:	But now that I have,
context: Did you get caught in a trap?\I got in myself.\Well, you see...\I heard that there's a way to commit suicide by getting stuck in an oil drum,\Diagram\Securing the feet is the key.\so I decided to give it a shot.\But now that I have, response:	I'm just suffering without being able to actually die.
context: I got in myself.\Well, you see...\I heard that there's a way to commit suicide by getting stuck in an oil drum,\Diagram\Securing the feet is the key.\so I decided to give it a shot.\But now that I have,\I'm just suffering without being able to actually die. response:	Not to mention, now that I've wedged myself this deep,
context: Well, you see...\I heard that there's a way to commit suicide by getting stuck in an oil drum,\Diagram\Securing the feet is the key.\so I decided to give it a shot.\But now that I have,\I'm just suffering without being able to actually die.\Not to mention, now that I've wedged myself this deep, response:	I can't get out on my own.
context: I heard that there's a way to commit suicide by getting stuck in an oil drum,\Diagram\Securing the feet is the key.\so I decided to give it a shot.\But now that I have,\I'm just suffering without being able to actually die.\Not to mention, now that I've wedged myself this deep,\I can't get out on my own. response:	I think I might die.
context: Diagram\Securing the feet is the key.\so I decided to give it a shot.\But now that I have,\I'm just suffering without being able to actually die.\Not to mention, now that I've wedged myself this deep,\I can't get out on my own.\I think I might die. response:	I see...
context: Securing the feet is the key.\so I decided to give it a shot.\But now that I have,\I'm just suffering without being able to actually die.\Not to mention, now that I've wedged myself this deep,\I can't get out on my own.\I think I might die.\I see... response:	But it's a way to commit suicide,
context: so I decided to give it a shot.\But now that I have,\I'm just suffering without being able to actually die.\Not to mention, now that I've wedged myself this deep,\I can't get out on my own.\I think I might die.\I see...\But it's a way to commit suicide, response:	so you should be able to kill yourself if you stay that way, I think?
context: But now that I have,\I'm just suffering without being able to actually die.\Not to mention, now that I've wedged myself this deep,\I can't get out on my own.\I think I might die.\I see...\But it's a way to commit suicide,\so you should be able to kill yourself if you stay that way, I think? response:	I like suicide,
