context: The salinity in the Narunami area around noon is expected to be 57 per mill. response:	Around 6PM, it will rise to 60 per mill.
context: The salinity in the Narunami area around noon is expected to be 57 per mill.\Around 6PM, it will rise to 60 per mill. response:	Because of the saltflake snow,
context: The salinity in the Narunami area around noon is expected to be 57 per mill.\Around 6PM, it will rise to 60 per mill.\Because of the saltflake snow, response:	the water temperature is expected to drop,
context: The salinity in the Narunami area around noon is expected to be 57 per mill.\Around 6PM, it will rise to 60 per mill.\Because of the saltflake snow,\the water temperature is expected to drop, response:	and the temperature of Shioshishio is expected to drop to 15 degrees.
context: The salinity in the Narunami area around noon is expected to be 57 per mill.\Around 6PM, it will rise to 60 per mill.\Because of the saltflake snow,\the water temperature is expected to drop,\and the temperature of Shioshishio is expected to drop to 15 degrees. response:	Next is the weather on the surface.
context: The salinity in the Narunami area around noon is expected to be 57 per mill.\Around 6PM, it will rise to 60 per mill.\Because of the saltflake snow,\the water temperature is expected to drop,\and the temperature of Shioshishio is expected to drop to 15 degrees.\Next is the weather on the surface. response:	It actually falls on the surface.
context: The salinity in the Narunami area around noon is expected to be 57 per mill.\Around 6PM, it will rise to 60 per mill.\Because of the saltflake snow,\the water temperature is expected to drop,\and the temperature of Shioshishio is expected to drop to 15 degrees.\Next is the weather on the surface.\It actually falls on the surface. response:	The Shioshishio Peninsula will continue to be sunny.
context: The salinity in the Narunami area around noon is expected to be 57 per mill.\Around 6PM, it will rise to 60 per mill.\Because of the saltflake snow,\the water temperature is expected to drop,\and the temperature of Shioshishio is expected to drop to 15 degrees.\Next is the weather on the surface.\It actually falls on the surface.\The Shioshishio Peninsula will continue to be sunny. response:	The saltflake snow?
context: Around 6PM, it will rise to 60 per mill.\Because of the saltflake snow,\the water temperature is expected to drop,\and the temperature of Shioshishio is expected to drop to 15 degrees.\Next is the weather on the surface.\It actually falls on the surface.\The Shioshishio Peninsula will continue to be sunny.\The saltflake snow? response:	I wonder what that was...
context: Because of the saltflake snow,\the water temperature is expected to drop,\and the temperature of Shioshishio is expected to drop to 15 degrees.\Next is the weather on the surface.\It actually falls on the surface.\The Shioshishio Peninsula will continue to be sunny.\The saltflake snow?\I wonder what that was... response:	It was different, even a bit creepy.
context: the water temperature is expected to drop,\and the temperature of Shioshishio is expected to drop to 15 degrees.\Next is the weather on the surface.\It actually falls on the surface.\The Shioshishio Peninsula will continue to be sunny.\The saltflake snow?\I wonder what that was...\It was different, even a bit creepy. response:	I wonder if everyone in Shishio knows it fell on the surface.
context: and the temperature of Shioshishio is expected to drop to 15 degrees.\Next is the weather on the surface.\It actually falls on the surface.\The Shioshishio Peninsula will continue to be sunny.\The saltflake snow?\I wonder what that was...\It was different, even a bit creepy.\I wonder if everyone in Shishio knows it fell on the surface. response:	As soon as they find out,
context: Next is the weather on the surface.\It actually falls on the surface.\The Shioshishio Peninsula will continue to be sunny.\The saltflake snow?\I wonder what that was...\It was different, even a bit creepy.\I wonder if everyone in Shishio knows it fell on the surface.\As soon as they find out, response:	they'll say it's Ooshi's fault because they refused to do the Ofunehiki
context: It actually falls on the surface.\The Shioshishio Peninsula will continue to be sunny.\The saltflake snow?\I wonder what that was...\It was different, even a bit creepy.\I wonder if everyone in Shishio knows it fell on the surface.\As soon as they find out,\they'll say it's Ooshi's fault because they refused to do the Ofunehiki response:	and the Sea God is meting out divine punishment.
context: The Shioshishio Peninsula will continue to be sunny.\The saltflake snow?\I wonder what that was...\It was different, even a bit creepy.\I wonder if everyone in Shishio knows it fell on the surface.\As soon as they find out,\they'll say it's Ooshi's fault because they refused to do the Ofunehiki\and the Sea God is meting out divine punishment. response:	You think so?
context: The saltflake snow?\I wonder what that was...\It was different, even a bit creepy.\I wonder if everyone in Shishio knows it fell on the surface.\As soon as they find out,\they'll say it's Ooshi's fault because they refused to do the Ofunehiki\and the Sea God is meting out divine punishment.\You think so? response:	Knowing how Dad and the others are, I'm sure of it.
context: I wonder what that was...\It was different, even a bit creepy.\I wonder if everyone in Shishio knows it fell on the surface.\As soon as they find out,\they'll say it's Ooshi's fault because they refused to do the Ofunehiki\and the Sea God is meting out divine punishment.\You think so?\Knowing how Dad and the others are, I'm sure of it. response:	Dad...
context: It was different, even a bit creepy.\I wonder if everyone in Shishio knows it fell on the surface.\As soon as they find out,\they'll say it's Ooshi's fault because they refused to do the Ofunehiki\and the Sea God is meting out divine punishment.\You think so?\Knowing how Dad and the others are, I'm sure of it.\Dad... response:	I'm sure that Dad is worried about you.
context: I wonder if everyone in Shishio knows it fell on the surface.\As soon as they find out,\they'll say it's Ooshi's fault because they refused to do the Ofunehiki\and the Sea God is meting out divine punishment.\You think so?\Knowing how Dad and the others are, I'm sure of it.\Dad...\I'm sure that Dad is worried about you. response:	That's not
context: As soon as they find out,\they'll say it's Ooshi's fault because they refused to do the Ofunehiki\and the Sea God is meting out divine punishment.\You think so?\Knowing how Dad and the others are, I'm sure of it.\Dad...\I'm sure that Dad is worried about you.\That's not response:	Hikari, I think you should go home after all.
context: they'll say it's Ooshi's fault because they refused to do the Ofunehiki\and the Sea God is meting out divine punishment.\You think so?\Knowing how Dad and the others are, I'm sure of it.\Dad...\I'm sure that Dad is worried about you.\That's not\Hikari, I think you should go home after all. response:	W-What are you talking about?!
context: and the Sea God is meting out divine punishment.\You think so?\Knowing how Dad and the others are, I'm sure of it.\Dad...\I'm sure that Dad is worried about you.\That's not\Hikari, I think you should go home after all.\W-What are you talking about?! response:	Look!
context: You think so?\Knowing how Dad and the others are, I'm sure of it.\Dad...\I'm sure that Dad is worried about you.\That's not\Hikari, I think you should go home after all.\W-What are you talking about?!\Look! response:	I got a whole bunch of snow and made this.
context: Knowing how Dad and the others are, I'm sure of it.\Dad...\I'm sure that Dad is worried about you.\That's not\Hikari, I think you should go home after all.\W-What are you talking about?!\Look!\I got a whole bunch of snow and made this. response:	What is that?
context: Dad...\I'm sure that Dad is worried about you.\That's not\Hikari, I think you should go home after all.\W-What are you talking about?!\Look!\I got a whole bunch of snow and made this.\What is that? response:	A fish cake?
context: I'm sure that Dad is worried about you.\That's not\Hikari, I think you should go home after all.\W-What are you talking about?!\Look!\I got a whole bunch of snow and made this.\What is that?\A fish cake? response:	It's a snow sea slug!
context: That's not\Hikari, I think you should go home after all.\W-What are you talking about?!\Look!\I got a whole bunch of snow and made this.\What is that?\A fish cake?\It's a snow sea slug! response:	Did you know what it was, Aka-chan?
context: Hikari, I think you should go home after all.\W-What are you talking about?!\Look!\I got a whole bunch of snow and made this.\What is that?\A fish cake?\It's a snow sea slug!\Did you know what it was, Aka-chan? response:	Of course!
context: W-What are you talking about?!\Look!\I got a whole bunch of snow and made this.\What is that?\A fish cake?\It's a snow sea slug!\Did you know what it was, Aka-chan?\Of course! response:	Here.
context: Look!\I got a whole bunch of snow and made this.\What is that?\A fish cake?\It's a snow sea slug!\Did you know what it was, Aka-chan?\Of course!\Here. response:	It's even better if you add these.
context: I got a whole bunch of snow and made this.\What is that?\A fish cake?\It's a snow sea slug!\Did you know what it was, Aka-chan?\Of course!\Here.\It's even better if you add these. response:	I wonder if it'll last till Daddy gets home.
context: What is that?\A fish cake?\It's a snow sea slug!\Did you know what it was, Aka-chan?\Of course!\Here.\It's even better if you add these.\I wonder if it'll last till Daddy gets home. response:	It won't melt that fast.
context: A fish cake?\It's a snow sea slug!\Did you know what it was, Aka-chan?\Of course!\Here.\It's even better if you add these.\I wonder if it'll last till Daddy gets home.\It won't melt that fast. response:	Really? Thank goodness!
context: It's a snow sea slug!\Did you know what it was, Aka-chan?\Of course!\Here.\It's even better if you add these.\I wonder if it'll last till Daddy gets home.\It won't melt that fast.\Really? Thank goodness! response:	I wonder if Daddy will know what it is...
context: Did you know what it was, Aka-chan?\Of course!\Here.\It's even better if you add these.\I wonder if it'll last till Daddy gets home.\It won't melt that fast.\Really? Thank goodness!\I wonder if Daddy will know what it is... response:	Of course he will.
context: Of course!\Here.\It's even better if you add these.\I wonder if it'll last till Daddy gets home.\It won't melt that fast.\Really? Thank goodness!\I wonder if Daddy will know what it is...\Of course he will. response:	Look how cute it is.
context: Here.\It's even better if you add these.\I wonder if it'll last till Daddy gets home.\It won't melt that fast.\Really? Thank goodness!\I wonder if Daddy will know what it is...\Of course he will.\Look how cute it is. response:	I heard that saltflake snow fell on the surface...
context: It's even better if you add these.\I wonder if it'll last till Daddy gets home.\It won't melt that fast.\Really? Thank goodness!\I wonder if Daddy will know what it is...\Of course he will.\Look how cute it is.\I heard that saltflake snow fell on the surface... response:	So it's going to keep getting colder the way the prophecy said?
context: I wonder if it'll last till Daddy gets home.\It won't melt that fast.\Really? Thank goodness!\I wonder if Daddy will know what it is...\Of course he will.\Look how cute it is.\I heard that saltflake snow fell on the surface...\So it's going to keep getting colder the way the prophecy said? response:	We haven't forgotten about the Sea God.
context: It won't melt that fast.\Really? Thank goodness!\I wonder if Daddy will know what it is...\Of course he will.\Look how cute it is.\I heard that saltflake snow fell on the surface...\So it's going to keep getting colder the way the prophecy said?\We haven't forgotten about the Sea God. response:	But haven't you noticed that the sacred fire's going out faster lately?
context: Really? Thank goodness!\I wonder if Daddy will know what it is...\Of course he will.\Look how cute it is.\I heard that saltflake snow fell on the surface...\So it's going to keep getting colder the way the prophecy said?\We haven't forgotten about the Sea God.\But haven't you noticed that the sacred fire's going out faster lately? response:	Well...
context: I wonder if Daddy will know what it is...\Of course he will.\Look how cute it is.\I heard that saltflake snow fell on the surface...\So it's going to keep getting colder the way the prophecy said?\We haven't forgotten about the Sea God.\But haven't you noticed that the sacred fire's going out faster lately?\Well... response:	Chief Priest!
context: Of course he will.\Look how cute it is.\I heard that saltflake snow fell on the surface...\So it's going to keep getting colder the way the prophecy said?\We haven't forgotten about the Sea God.\But haven't you noticed that the sacred fire's going out faster lately?\Well...\Chief Priest! response:	Did you find out the reason?
context: Look how cute it is.\I heard that saltflake snow fell on the surface...\So it's going to keep getting colder the way the prophecy said?\We haven't forgotten about the Sea God.\But haven't you noticed that the sacred fire's going out faster lately?\Well...\Chief Priest!\Did you find out the reason? response:	What should we do?
context: I heard that saltflake snow fell on the surface...\So it's going to keep getting colder the way the prophecy said?\We haven't forgotten about the Sea God.\But haven't you noticed that the sacred fire's going out faster lately?\Well...\Chief Priest!\Did you find out the reason?\What should we do? response:	Chief Priest!
context: So it's going to keep getting colder the way the prophecy said?\We haven't forgotten about the Sea God.\But haven't you noticed that the sacred fire's going out faster lately?\Well...\Chief Priest!\Did you find out the reason?\What should we do?\Chief Priest! response:	You're so noisy.
context: We haven't forgotten about the Sea God.\But haven't you noticed that the sacred fire's going out faster lately?\Well...\Chief Priest!\Did you find out the reason?\What should we do?\Chief Priest!\You're so noisy. response:	U-Uroko-sama.
context: But haven't you noticed that the sacred fire's going out faster lately?\Well...\Chief Priest!\Did you find out the reason?\What should we do?\Chief Priest!\You're so noisy.\U-Uroko-sama. response:	Come now. Hurry and take your seats.
context: Well...\Chief Priest!\Did you find out the reason?\What should we do?\Chief Priest!\You're so noisy.\U-Uroko-sama.\Come now. Hurry and take your seats. response:	Uroko-sama, if you would.
context: Chief Priest!\Did you find out the reason?\What should we do?\Chief Priest!\You're so noisy.\U-Uroko-sama.\Come now. Hurry and take your seats.\Uroko-sama, if you would. response:	There is only one reason I have asked you all to gather here today...
context: Did you find out the reason?\What should we do?\Chief Priest!\You're so noisy.\U-Uroko-sama.\Come now. Hurry and take your seats.\Uroko-sama, if you would.\There is only one reason I have asked you all to gather here today... response:	I would like to talk to you about the calamity that approaches us.
context: What should we do?\Chief Priest!\You're so noisy.\U-Uroko-sama.\Come now. Hurry and take your seats.\Uroko-sama, if you would.\There is only one reason I have asked you all to gather here today...\I would like to talk to you about the calamity that approaches us. response:	Episode Nine: Unknown Warmth
context: Chief Priest!\You're so noisy.\U-Uroko-sama.\Come now. Hurry and take your seats.\Uroko-sama, if you would.\There is only one reason I have asked you all to gather here today...\I would like to talk to you about the calamity that approaches us.\Episode Nine: Unknown Warmth response:	Looks like the snow didn't fall for very long.
context: You're so noisy.\U-Uroko-sama.\Come now. Hurry and take your seats.\Uroko-sama, if you would.\There is only one reason I have asked you all to gather here today...\I would like to talk to you about the calamity that approaches us.\Episode Nine: Unknown Warmth\Looks like the snow didn't fall for very long. response:	Yeah.
context: U-Uroko-sama.\Come now. Hurry and take your seats.\Uroko-sama, if you would.\There is only one reason I have asked you all to gather here today...\I would like to talk to you about the calamity that approaches us.\Episode Nine: Unknown Warmth\Looks like the snow didn't fall for very long.\Yeah. response:	I wonder if the Sea God is mad...
context: Come now. Hurry and take your seats.\Uroko-sama, if you would.\There is only one reason I have asked you all to gather here today...\I would like to talk to you about the calamity that approaches us.\Episode Nine: Unknown Warmth\Looks like the snow didn't fall for very long.\Yeah.\I wonder if the Sea God is mad... response:	Huh?
context: Uroko-sama, if you would.\There is only one reason I have asked you all to gather here today...\I would like to talk to you about the calamity that approaches us.\Episode Nine: Unknown Warmth\Looks like the snow didn't fall for very long.\Yeah.\I wonder if the Sea God is mad...\Huh? response:	Hii-kun?
context: There is only one reason I have asked you all to gather here today...\I would like to talk to you about the calamity that approaches us.\Episode Nine: Unknown Warmth\Looks like the snow didn't fall for very long.\Yeah.\I wonder if the Sea God is mad...\Huh?\Hii-kun? response:	Dad better not be drinking a lot and skipping meals just because I'm not there.
context: I would like to talk to you about the calamity that approaches us.\Episode Nine: Unknown Warmth\Looks like the snow didn't fall for very long.\Yeah.\I wonder if the Sea God is mad...\Huh?\Hii-kun?\Dad better not be drinking a lot and skipping meals just because I'm not there. response:	Actually, what's he doing about food?
context: Episode Nine: Unknown Warmth\Looks like the snow didn't fall for very long.\Yeah.\I wonder if the Sea God is mad...\Huh?\Hii-kun?\Dad better not be drinking a lot and skipping meals just because I'm not there.\Actually, what's he doing about food? response:	Good morning, Hikari.
context: Looks like the snow didn't fall for very long.\Yeah.\I wonder if the Sea God is mad...\Huh?\Hii-kun?\Dad better not be drinking a lot and skipping meals just because I'm not there.\Actually, what's he doing about food?\Good morning, Hikari. response:	Hey.
context: Yeah.\I wonder if the Sea God is mad...\Huh?\Hii-kun?\Dad better not be drinking a lot and skipping meals just because I'm not there.\Actually, what's he doing about food?\Good morning, Hikari.\Hey. response:	Mornin'. Whatcha doin'?
