context: There were many sheep in the grassland. response:	They had white hair,
context: There were many sheep in the grassland.\They had white hair, response:	soft and warm.
context: There were many sheep in the grassland.\They had white hair,\soft and warm. response:	This girl walked quietly near the sheep,
context: There were many sheep in the grassland.\They had white hair,\soft and warm.\This girl walked quietly near the sheep, response:	because she didn't want to terrify the sheep.
context: There were many sheep in the grassland.\They had white hair,\soft and warm.\This girl walked quietly near the sheep,\because she didn't want to terrify the sheep. response:	But, when the sheep
context: There were many sheep in the grassland.\They had white hair,\soft and warm.\This girl walked quietly near the sheep,\because she didn't want to terrify the sheep.\But, when the sheep response:	found the little girl,
context: There were many sheep in the grassland.\They had white hair,\soft and warm.\This girl walked quietly near the sheep,\because she didn't want to terrify the sheep.\But, when the sheep\found the little girl, response:	they ran away quickly.
context: There were many sheep in the grassland.\They had white hair,\soft and warm.\This girl walked quietly near the sheep,\because she didn't want to terrify the sheep.\But, when the sheep\found the little girl,\they ran away quickly. response:	Are you alright, Sakura?
context: They had white hair,\soft and warm.\This girl walked quietly near the sheep,\because she didn't want to terrify the sheep.\But, when the sheep\found the little girl,\they ran away quickly.\Are you alright, Sakura? response:	I'm fine, I'm fine.
context: soft and warm.\This girl walked quietly near the sheep,\because she didn't want to terrify the sheep.\But, when the sheep\found the little girl,\they ran away quickly.\Are you alright, Sakura?\I'm fine, I'm fine. response:	The girl's voice made the sheep more afraid.
context: This girl walked quietly near the sheep,\because she didn't want to terrify the sheep.\But, when the sheep\found the little girl,\they ran away quickly.\Are you alright, Sakura?\I'm fine, I'm fine.\The girl's voice made the sheep more afraid. response:	And run faster.
context: because she didn't want to terrify the sheep.\But, when the sheep\found the little girl,\they ran away quickly.\Are you alright, Sakura?\I'm fine, I'm fine.\The girl's voice made the sheep more afraid.\And run faster. response:	They jumped over the fence.
context: But, when the sheep\found the little girl,\they ran away quickly.\Are you alright, Sakura?\I'm fine, I'm fine.\The girl's voice made the sheep more afraid.\And run faster.\They jumped over the fence. response:	Faster and faster.
context: found the little girl,\they ran away quickly.\Are you alright, Sakura?\I'm fine, I'm fine.\The girl's voice made the sheep more afraid.\And run faster.\They jumped over the fence.\Faster and faster. response:	The girl followed the little sheep
context: they ran away quickly.\Are you alright, Sakura?\I'm fine, I'm fine.\The girl's voice made the sheep more afraid.\And run faster.\They jumped over the fence.\Faster and faster.\The girl followed the little sheep response:	like she was dreaming.
context: Are you alright, Sakura?\I'm fine, I'm fine.\The girl's voice made the sheep more afraid.\And run faster.\They jumped over the fence.\Faster and faster.\The girl followed the little sheep\like she was dreaming. response:	She ran faster and faster.
context: I'm fine, I'm fine.\The girl's voice made the sheep more afraid.\And run faster.\They jumped over the fence.\Faster and faster.\The girl followed the little sheep\like she was dreaming.\She ran faster and faster. response:	One sheep, two sheep'
context: The girl's voice made the sheep more afraid.\And run faster.\They jumped over the fence.\Faster and faster.\The girl followed the little sheep\like she was dreaming.\She ran faster and faster.\One sheep, two sheep' response:	three sheep'
