context: My left arm! response:	I still have it?
context: My left arm!\I still have it? response:	I went back again...
context: My left arm!\I still have it?\I went back again... response:	No, maybe I should say I made it back...
context: My left arm!\I still have it?\I went back again...\No, maybe I should say I made it back... response:	Oh, sorry. Good morning.
context: My left arm!\I still have it?\I went back again...\No, maybe I should say I made it back...\Oh, sorry. Good morning. response:	Right, I guess you don't remember me...
context: My left arm!\I still have it?\I went back again...\No, maybe I should say I made it back...\Oh, sorry. Good morning.\Right, I guess you don't remember me... response:	Sorry for the trouble I've caused!
context: My left arm!\I still have it?\I went back again...\No, maybe I should say I made it back...\Oh, sorry. Good morning.\Right, I guess you don't remember me...\Sorry for the trouble I've caused! response:	Natsuki Subaru will now start over!
context: My left arm!\I still have it?\I went back again...\No, maybe I should say I made it back...\Oh, sorry. Good morning.\Right, I guess you don't remember me...\Sorry for the trouble I've caused!\Natsuki Subaru will now start over! response:	By the way, what day and time is it?
context: I still have it?\I went back again...\No, maybe I should say I made it back...\Oh, sorry. Good morning.\Right, I guess you don't remember me...\Sorry for the trouble I've caused!\Natsuki Subaru will now start over!\By the way, what day and time is it? response:	It's my third first day in the Roswaal mansion.
context: I went back again...\No, maybe I should say I made it back...\Oh, sorry. Good morning.\Right, I guess you don't remember me...\Sorry for the trouble I've caused!\Natsuki Subaru will now start over!\By the way, what day and time is it?\It's my third first day in the Roswaal mansion. response:	That chill I felt...
context: No, maybe I should say I made it back...\Oh, sorry. Good morning.\Right, I guess you don't remember me...\Sorry for the trouble I've caused!\Natsuki Subaru will now start over!\By the way, what day and time is it?\It's my third first day in the Roswaal mansion.\That chill I felt... response:	Does that mean I died in my sleep the first time, due to physical weakness?
context: Oh, sorry. Good morning.\Right, I guess you don't remember me...\Sorry for the trouble I've caused!\Natsuki Subaru will now start over!\By the way, what day and time is it?\It's my third first day in the Roswaal mansion.\That chill I felt...\Does that mean I died in my sleep the first time, due to physical weakness? response:	But the second time,
context: Right, I guess you don't remember me...\Sorry for the trouble I've caused!\Natsuki Subaru will now start over!\By the way, what day and time is it?\It's my third first day in the Roswaal mansion.\That chill I felt...\Does that mean I died in my sleep the first time, due to physical weakness?\But the second time, response:	there was an attacker.
context: Sorry for the trouble I've caused!\Natsuki Subaru will now start over!\By the way, what day and time is it?\It's my third first day in the Roswaal mansion.\That chill I felt...\Does that mean I died in my sleep the first time, due to physical weakness?\But the second time,\there was an attacker. response:	So if I was killed,
context: Natsuki Subaru will now start over!\By the way, what day and time is it?\It's my third first day in the Roswaal mansion.\That chill I felt...\Does that mean I died in my sleep the first time, due to physical weakness?\But the second time,\there was an attacker.\So if I was killed, response:	does that mean the others in the mansion are targets, too?
context: By the way, what day and time is it?\It's my third first day in the Roswaal mansion.\That chill I felt...\Does that mean I died in my sleep the first time, due to physical weakness?\But the second time,\there was an attacker.\So if I was killed,\does that mean the others in the mansion are targets, too? response:	Because we're involved in Emilia's royal selection, like at the loot house?
context: It's my third first day in the Roswaal mansion.\That chill I felt...\Does that mean I died in my sleep the first time, due to physical weakness?\But the second time,\there was an attacker.\So if I was killed,\does that mean the others in the mansion are targets, too?\Because we're involved in Emilia's royal selection, like at the loot house? response:	But even if I know that,
context: That chill I felt...\Does that mean I died in my sleep the first time, due to physical weakness?\But the second time,\there was an attacker.\So if I was killed,\does that mean the others in the mansion are targets, too?\Because we're involved in Emilia's royal selection, like at the loot house?\But even if I know that, response:	I have no proof to explain it or any way to avoid it.
context: Does that mean I died in my sleep the first time, due to physical weakness?\But the second time,\there was an attacker.\So if I was killed,\does that mean the others in the mansion are targets, too?\Because we're involved in Emilia's royal selection, like at the loot house?\But even if I know that,\I have no proof to explain it or any way to avoid it. response:	Worse yet, I didn't see the attacker's face, or their prey.
context: But the second time,\there was an attacker.\So if I was killed,\does that mean the others in the mansion are targets, too?\Because we're involved in Emilia's royal selection, like at the loot house?\But even if I know that,\I have no proof to explain it or any way to avoid it.\Worse yet, I didn't see the attacker's face, or their prey. response:	My death was totally in vain.
context: there was an attacker.\So if I was killed,\does that mean the others in the mansion are targets, too?\Because we're involved in Emilia's royal selection, like at the loot house?\But even if I know that,\I have no proof to explain it or any way to avoid it.\Worse yet, I didn't see the attacker's face, or their prey.\My death was totally in vain. response:	You're irritating me to death.
context: So if I was killed,\does that mean the others in the mansion are targets, too?\Because we're involved in Emilia's royal selection, like at the loot house?\But even if I know that,\I have no proof to explain it or any way to avoid it.\Worse yet, I didn't see the attacker's face, or their prey.\My death was totally in vain.\You're irritating me to death. response:	Either stop it or be blown away.
context: does that mean the others in the mansion are targets, too?\Because we're involved in Emilia's royal selection, like at the loot house?\But even if I know that,\I have no proof to explain it or any way to avoid it.\Worse yet, I didn't see the attacker's face, or their prey.\My death was totally in vain.\You're irritating me to death.\Either stop it or be blown away. response:	Oh, sorry...
