context: Well then, I'm going back home. response:	Did you hear, Inuyasha?
context: Well then, I'm going back home.\Did you hear, Inuyasha? response:	Be quiet, will ya? Just go already!
context: Well then, I'm going back home.\Did you hear, Inuyasha?\Be quiet, will ya? Just go already! response:	Every time you return, you two get into some argument.
context: Well then, I'm going back home.\Did you hear, Inuyasha?\Be quiet, will ya? Just go already!\Every time you return, you two get into some argument. response:	Granny Kaede, please take care of the rest.
context: Well then, I'm going back home.\Did you hear, Inuyasha?\Be quiet, will ya? Just go already!\Every time you return, you two get into some argument.\Granny Kaede, please take care of the rest. response:	Inuyasha, are you just going to let her go?!
context: Well then, I'm going back home.\Did you hear, Inuyasha?\Be quiet, will ya? Just go already!\Every time you return, you two get into some argument.\Granny Kaede, please take care of the rest.\Inuyasha, are you just going to let her go?! response:	Who cares!
context: Well then, I'm going back home.\Did you hear, Inuyasha?\Be quiet, will ya? Just go already!\Every time you return, you two get into some argument.\Granny Kaede, please take care of the rest.\Inuyasha, are you just going to let her go?!\Who cares! response:	Inuyasha you fool!
context: Well then, I'm going back home.\Did you hear, Inuyasha?\Be quiet, will ya? Just go already!\Every time you return, you two get into some argument.\Granny Kaede, please take care of the rest.\Inuyasha, are you just going to let her go?!\Who cares!\Inuyasha you fool! response:	I only stopped the fight because I was worried about your injury.
context: Did you hear, Inuyasha?\Be quiet, will ya? Just go already!\Every time you return, you two get into some argument.\Granny Kaede, please take care of the rest.\Inuyasha, are you just going to let her go?!\Who cares!\Inuyasha you fool!\I only stopped the fight because I was worried about your injury. response:	Kagome!
context: Be quiet, will ya? Just go already!\Every time you return, you two get into some argument.\Granny Kaede, please take care of the rest.\Inuyasha, are you just going to let her go?!\Who cares!\Inuyasha you fool!\I only stopped the fight because I was worried about your injury.\Kagome! response:	Shippo!
context: Every time you return, you two get into some argument.\Granny Kaede, please take care of the rest.\Inuyasha, are you just going to let her go?!\Who cares!\Inuyasha you fool!\I only stopped the fight because I was worried about your injury.\Kagome!\Shippo! response:	Please be patient, Kagome.
context: Granny Kaede, please take care of the rest.\Inuyasha, are you just going to let her go?!\Who cares!\Inuyasha you fool!\I only stopped the fight because I was worried about your injury.\Kagome!\Shippo!\Please be patient, Kagome. response:	Inuyasha always gets jealous over you.
context: Inuyasha, are you just going to let her go?!\Who cares!\Inuyasha you fool!\I only stopped the fight because I was worried about your injury.\Kagome!\Shippo!\Please be patient, Kagome.\Inuyasha always gets jealous over you. response:	Kagome, you're my woman.
