context: Ball! response:	Close, though!
context: Ball!\Close, though! response:	Nice pitch!
context: Ball!\Close, though!\Nice pitch! response:	Pitch!
context: Ball!\Close, though!\Nice pitch!\Pitch! response:	She's not getting any strikes in.
context: Ball!\Close, though!\Nice pitch!\Pitch!\She's not getting any strikes in. response:	Her pitch speed is about 80 kilometers per hour on average.
context: Ball!\Close, though!\Nice pitch!\Pitch!\She's not getting any strikes in.\Her pitch speed is about 80 kilometers per hour on average. response:	Hey, stop it you guys!
context: Ball!\Close, though!\Nice pitch!\Pitch!\She's not getting any strikes in.\Her pitch speed is about 80 kilometers per hour on average.\Hey, stop it you guys! response:	Cats!
context: Ball!\Close, though!\Nice pitch!\Pitch!\She's not getting any strikes in.\Her pitch speed is about 80 kilometers per hour on average.\Hey, stop it you guys!\Cats! response:	Wafu!
context: Close, though!\Nice pitch!\Pitch!\She's not getting any strikes in.\Her pitch speed is about 80 kilometers per hour on average.\Hey, stop it you guys!\Cats!\Wafu! response:	Looks like a break to me.
context: Nice pitch!\Pitch!\She's not getting any strikes in.\Her pitch speed is about 80 kilometers per hour on average.\Hey, stop it you guys!\Cats!\Wafu!\Looks like a break to me. response:	Stop!
context: Pitch!\She's not getting any strikes in.\Her pitch speed is about 80 kilometers per hour on average.\Hey, stop it you guys!\Cats!\Wafu!\Looks like a break to me.\Stop! response:	I'll step on you if you stay there.
context: She's not getting any strikes in.\Her pitch speed is about 80 kilometers per hour on average.\Hey, stop it you guys!\Cats!\Wafu!\Looks like a break to me.\Stop!\I'll step on you if you stay there. response:	You'll be squashed flat.
context: Her pitch speed is about 80 kilometers per hour on average.\Hey, stop it you guys!\Cats!\Wafu!\Looks like a break to me.\Stop!\I'll step on you if you stay there.\You'll be squashed flat. response:	Could you please not corrupt these holy grounds with your cats?
context: Hey, stop it you guys!\Cats!\Wafu!\Looks like a break to me.\Stop!\I'll step on you if you stay there.\You'll be squashed flat.\Could you please not corrupt these holy grounds with your cats? response:	Sasasasasa Sasami!
context: Cats!\Wafu!\Looks like a break to me.\Stop!\I'll step on you if you stay there.\You'll be squashed flat.\Could you please not corrupt these holy grounds with your cats?\Sasasasasa Sasami! response:	It's Sasasegawa Sasami!
context: Wafu!\Looks like a break to me.\Stop!\I'll step on you if you stay there.\You'll be squashed flat.\Could you please not corrupt these holy grounds with your cats?\Sasasasasa Sasami!\It's Sasasegawa Sasami! response:	The sparkling ace of the girls' softball team, and...
context: Looks like a break to me.\Stop!\I'll step on you if you stay there.\You'll be squashed flat.\Could you please not corrupt these holy grounds with your cats?\Sasasasasa Sasami!\It's Sasasegawa Sasami!\The sparkling ace of the girls' softball team, and... response:	Who's that?
context: Stop!\I'll step on you if you stay there.\You'll be squashed flat.\Could you please not corrupt these holy grounds with your cats?\Sasasasasa Sasami!\It's Sasasegawa Sasami!\The sparkling ace of the girls' softball team, and...\Who's that? response:	Rin's rival.
context: I'll step on you if you stay there.\You'll be squashed flat.\Could you please not corrupt these holy grounds with your cats?\Sasasasasa Sasami!\It's Sasasegawa Sasami!\The sparkling ace of the girls' softball team, and...\Who's that?\Rin's rival. response:	These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!
context: You'll be squashed flat.\Could you please not corrupt these holy grounds with your cats?\Sasasasasa Sasami!\It's Sasasegawa Sasami!\The sparkling ace of the girls' softball team, and...\Who's that?\Rin's rival.\These grounds are a place for sportsmen to release their sweat as they aspire to greater heights! response:	It's not a place for people like you, who play with cats with no goals in mind!
context: Could you please not corrupt these holy grounds with your cats?\Sasasasasa Sasami!\It's Sasasegawa Sasami!\The sparkling ace of the girls' softball team, and...\Who's that?\Rin's rival.\These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!\It's not a place for people like you, who play with cats with no goals in mind! response:	I think we're trying to win some match.
context: Sasasasasa Sasami!\It's Sasasegawa Sasami!\The sparkling ace of the girls' softball team, and...\Who's that?\Rin's rival.\These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!\It's not a place for people like you, who play with cats with no goals in mind!\I think we're trying to win some match. response:	You think?
context: It's Sasasegawa Sasami!\The sparkling ace of the girls' softball team, and...\Who's that?\Rin's rival.\These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!\It's not a place for people like you, who play with cats with no goals in mind!\I think we're trying to win some match.\You think? response:	Doesn't seem like you care very much.
context: The sparkling ace of the girls' softball team, and...\Who's that?\Rin's rival.\These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!\It's not a place for people like you, who play with cats with no goals in mind!\I think we're trying to win some match.\You think?\Doesn't seem like you care very much. response:	I really don't care.
context: Who's that?\Rin's rival.\These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!\It's not a place for people like you, who play with cats with no goals in mind!\I think we're trying to win some match.\You think?\Doesn't seem like you care very much.\I really don't care. response:	I've let you off this long, like kids playing catch on the sidelines,
context: Rin's rival.\These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!\It's not a place for people like you, who play with cats with no goals in mind!\I think we're trying to win some match.\You think?\Doesn't seem like you care very much.\I really don't care.\I've let you off this long, like kids playing catch on the sidelines, response:	but this is it.
context: These grounds are a place for sportsmen to release their sweat as they aspire to greater heights!\It's not a place for people like you, who play with cats with no goals in mind!\I think we're trying to win some match.\You think?\Doesn't seem like you care very much.\I really don't care.\I've let you off this long, like kids playing catch on the sidelines,\but this is it. response:	You will clear off these grounds so my softball team can practice!
context: It's not a place for people like you, who play with cats with no goals in mind!\I think we're trying to win some match.\You think?\Doesn't seem like you care very much.\I really don't care.\I've let you off this long, like kids playing catch on the sidelines,\but this is it.\You will clear off these grounds so my softball team can practice! response:	No thanks.
context: I think we're trying to win some match.\You think?\Doesn't seem like you care very much.\I really don't care.\I've let you off this long, like kids playing catch on the sidelines,\but this is it.\You will clear off these grounds so my softball team can practice!\No thanks. response:	Natsume Rin, you dare to mock my softball team?!
context: You think?\Doesn't seem like you care very much.\I really don't care.\I've let you off this long, like kids playing catch on the sidelines,\but this is it.\You will clear off these grounds so my softball team can practice!\No thanks.\Natsume Rin, you dare to mock my softball team?! response:	Get off Sasami-sama's foot!
context: Doesn't seem like you care very much.\I really don't care.\I've let you off this long, like kids playing catch on the sidelines,\but this is it.\You will clear off these grounds so my softball team can practice!\No thanks.\Natsume Rin, you dare to mock my softball team?!\Get off Sasami-sama's foot! response:	Insolent rogue!
context: I really don't care.\I've let you off this long, like kids playing catch on the sidelines,\but this is it.\You will clear off these grounds so my softball team can practice!\No thanks.\Natsume Rin, you dare to mock my softball team?!\Get off Sasami-sama's foot!\Insolent rogue! response:	Tezuka!
context: I've let you off this long, like kids playing catch on the sidelines,\but this is it.\You will clear off these grounds so my softball team can practice!\No thanks.\Natsume Rin, you dare to mock my softball team?!\Get off Sasami-sama's foot!\Insolent rogue!\Tezuka! response:	Are you okay?
context: but this is it.\You will clear off these grounds so my softball team can practice!\No thanks.\Natsume Rin, you dare to mock my softball team?!\Get off Sasami-sama's foot!\Insolent rogue!\Tezuka!\Are you okay? response:	What?
context: You will clear off these grounds so my softball team can practice!\No thanks.\Natsume Rin, you dare to mock my softball team?!\Get off Sasami-sama's foot!\Insolent rogue!\Tezuka!\Are you okay?\What? response:	I'm not letting a bully go.
context: No thanks.\Natsume Rin, you dare to mock my softball team?!\Get off Sasami-sama's foot!\Insolent rogue!\Tezuka!\Are you okay?\What?\I'm not letting a bully go. response:	Apologize!
context: Natsume Rin, you dare to mock my softball team?!\Get off Sasami-sama's foot!\Insolent rogue!\Tezuka!\Are you okay?\What?\I'm not letting a bully go.\Apologize! response:	It's your fault for bringing cats
context: Get off Sasami-sama's foot!\Insolent rogue!\Tezuka!\Are you okay?\What?\I'm not letting a bully go.\Apologize!\It's your fault for bringing cats response:	We'll make it a contest.
context: Insolent rogue!\Tezuka!\Are you okay?\What?\I'm not letting a bully go.\Apologize!\It's your fault for bringing cats\We'll make it a contest. response:	Your hitting against Rin's pitching.
context: Tezuka!\Are you okay?\What?\I'm not letting a bully go.\Apologize!\It's your fault for bringing cats\We'll make it a contest.\Your hitting against Rin's pitching. response:	If you win, we'll leave.
context: Are you okay?\What?\I'm not letting a bully go.\Apologize!\It's your fault for bringing cats\We'll make it a contest.\Your hitting against Rin's pitching.\If you win, we'll leave. response:	But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.
context: What?\I'm not letting a bully go.\Apologize!\It's your fault for bringing cats\We'll make it a contest.\Your hitting against Rin's pitching.\If you win, we'll leave.\But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice. response:	I accept your challenge.
context: I'm not letting a bully go.\Apologize!\It's your fault for bringing cats\We'll make it a contest.\Your hitting against Rin's pitching.\If you win, we'll leave.\But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.\I accept your challenge. response:	There's no way that I can lose!
context: Apologize!\It's your fault for bringing cats\We'll make it a contest.\Your hitting against Rin's pitching.\If you win, we'll leave.\But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.\I accept your challenge.\There's no way that I can lose! response:	Strike! Batter out.
context: It's your fault for bringing cats\We'll make it a contest.\Your hitting against Rin's pitching.\If you win, we'll leave.\But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.\I accept your challenge.\There's no way that I can lose!\Strike! Batter out. response:	I was just helping you with your pitching practice!
context: We'll make it a contest.\Your hitting against Rin's pitching.\If you win, we'll leave.\But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.\I accept your challenge.\There's no way that I can lose!\Strike! Batter out.\I was just helping you with your pitching practice! response:	Oh my, look at the time!
context: Your hitting against Rin's pitching.\If you win, we'll leave.\But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.\I accept your challenge.\There's no way that I can lose!\Strike! Batter out.\I was just helping you with your pitching practice!\Oh my, look at the time! response:	We'll finish this contest next time!
context: If you win, we'll leave.\But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.\I accept your challenge.\There's no way that I can lose!\Strike! Batter out.\I was just helping you with your pitching practice!\Oh my, look at the time!\We'll finish this contest next time! response:	Sasami-sama!
context: But if Rin wins, you'll apologize for your underlings' behavior and go back to your own practice.\I accept your challenge.\There's no way that I can lose!\Strike! Batter out.\I was just helping you with your pitching practice!\Oh my, look at the time!\We'll finish this contest next time!\Sasami-sama! response:	Get back here and apologize!
context: I accept your challenge.\There's no way that I can lose!\Strike! Batter out.\I was just helping you with your pitching practice!\Oh my, look at the time!\We'll finish this contest next time!\Sasami-sama!\Get back here and apologize! response:	130 kilometers per hour...
context: There's no way that I can lose!\Strike! Batter out.\I was just helping you with your pitching practice!\Oh my, look at the time!\We'll finish this contest next time!\Sasami-sama!\Get back here and apologize!\130 kilometers per hour... response:	What?! How?!
context: Strike! Batter out.\I was just helping you with your pitching practice!\Oh my, look at the time!\We'll finish this contest next time!\Sasami-sama!\Get back here and apologize!\130 kilometers per hour...\What?! How?! response:	There, there.
