context: In my opinion response:	Bai Qian does not take this marriage arrangement seriously either.
context: In my opinion\Bai Qian does not take this marriage arrangement seriously either. response:	Why not have it canceled? What do you say?
context: In my opinion\Bai Qian does not take this marriage arrangement seriously either.\Why not have it canceled? What do you say? response:	No.
context: In my opinion\Bai Qian does not take this marriage arrangement seriously either.\Why not have it canceled? What do you say?\No. response:	This marriage must not be canceled.
context: In my opinion\Bai Qian does not take this marriage arrangement seriously either.\Why not have it canceled? What do you say?\No.\This marriage must not be canceled. response:	This is a promise the Celestial Tribe made to the Fox Clan.
context: In my opinion\Bai Qian does not take this marriage arrangement seriously either.\Why not have it canceled? What do you say?\No.\This marriage must not be canceled.\This is a promise the Celestial Tribe made to the Fox Clan. response:	How can such a fine marriage arrangement be spoiled because of a mere snake?
context: In my opinion\Bai Qian does not take this marriage arrangement seriously either.\Why not have it canceled? What do you say?\No.\This marriage must not be canceled.\This is a promise the Celestial Tribe made to the Fox Clan.\How can such a fine marriage arrangement be spoiled because of a mere snake? response:	That is true.
context: In my opinion\Bai Qian does not take this marriage arrangement seriously either.\Why not have it canceled? What do you say?\No.\This marriage must not be canceled.\This is a promise the Celestial Tribe made to the Fox Clan.\How can such a fine marriage arrangement be spoiled because of a mere snake?\That is true. response:	I think the Heavenly Lord's point is reasonable as well.
context: Bai Qian does not take this marriage arrangement seriously either.\Why not have it canceled? What do you say?\No.\This marriage must not be canceled.\This is a promise the Celestial Tribe made to the Fox Clan.\How can such a fine marriage arrangement be spoiled because of a mere snake?\That is true.\I think the Heavenly Lord's point is reasonable as well. response:	From what I see
context: Why not have it canceled? What do you say?\No.\This marriage must not be canceled.\This is a promise the Celestial Tribe made to the Fox Clan.\How can such a fine marriage arrangement be spoiled because of a mere snake?\That is true.\I think the Heavenly Lord's point is reasonable as well.\From what I see response:	Second Prince does not have much interest in Bai Qian either.
context: No.\This marriage must not be canceled.\This is a promise the Celestial Tribe made to the Fox Clan.\How can such a fine marriage arrangement be spoiled because of a mere snake?\That is true.\I think the Heavenly Lord's point is reasonable as well.\From what I see\Second Prince does not have much interest in Bai Qian either. response:	Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?
context: This marriage must not be canceled.\This is a promise the Celestial Tribe made to the Fox Clan.\How can such a fine marriage arrangement be spoiled because of a mere snake?\That is true.\I think the Heavenly Lord's point is reasonable as well.\From what I see\Second Prince does not have much interest in Bai Qian either.\Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it? response:	Yes.
context: This is a promise the Celestial Tribe made to the Fox Clan.\How can such a fine marriage arrangement be spoiled because of a mere snake?\That is true.\I think the Heavenly Lord's point is reasonable as well.\From what I see\Second Prince does not have much interest in Bai Qian either.\Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?\Yes. response:	Fox King, what do you actually think?
context: How can such a fine marriage arrangement be spoiled because of a mere snake?\That is true.\I think the Heavenly Lord's point is reasonable as well.\From what I see\Second Prince does not have much interest in Bai Qian either.\Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?\Yes.\Fox King, what do you actually think? response:	Why do you approve of canceling the marriage
context: That is true.\I think the Heavenly Lord's point is reasonable as well.\From what I see\Second Prince does not have much interest in Bai Qian either.\Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?\Yes.\Fox King, what do you actually think?\Why do you approve of canceling the marriage response:	and not canceling it?
context: I think the Heavenly Lord's point is reasonable as well.\From what I see\Second Prince does not have much interest in Bai Qian either.\Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?\Yes.\Fox King, what do you actually think?\Why do you approve of canceling the marriage\and not canceling it? response:	I think the two of you are both stating very reasonable points.
context: From what I see\Second Prince does not have much interest in Bai Qian either.\Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?\Yes.\Fox King, what do you actually think?\Why do you approve of canceling the marriage\and not canceling it?\I think the two of you are both stating very reasonable points. response:	- Your Highness. - Your Highness.
context: Second Prince does not have much interest in Bai Qian either.\Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?\Yes.\Fox King, what do you actually think?\Why do you approve of canceling the marriage\and not canceling it?\I think the two of you are both stating very reasonable points.\- Your Highness. - Your Highness. response:	Greetings, Heavenly Lord.
context: Bai Zhi, it would not be nice for us to tear apart a pair of lovers, would it?\Yes.\Fox King, what do you actually think?\Why do you approve of canceling the marriage\and not canceling it?\I think the two of you are both stating very reasonable points.\- Your Highness. - Your Highness.\Greetings, Heavenly Lord. response:	Rise.
context: Yes.\Fox King, what do you actually think?\Why do you approve of canceling the marriage\and not canceling it?\I think the two of you are both stating very reasonable points.\- Your Highness. - Your Highness.\Greetings, Heavenly Lord.\Rise. response:	Yes.
context: Fox King, what do you actually think?\Why do you approve of canceling the marriage\and not canceling it?\I think the two of you are both stating very reasonable points.\- Your Highness. - Your Highness.\Greetings, Heavenly Lord.\Rise.\Yes. response:	Zhe Yan, Fox King, this is my grandson, Ye Hua.
context: Why do you approve of canceling the marriage\and not canceling it?\I think the two of you are both stating very reasonable points.\- Your Highness. - Your Highness.\Greetings, Heavenly Lord.\Rise.\Yes.\Zhe Yan, Fox King, this is my grandson, Ye Hua. response:	Greetings to the two of you.
context: and not canceling it?\I think the two of you are both stating very reasonable points.\- Your Highness. - Your Highness.\Greetings, Heavenly Lord.\Rise.\Yes.\Zhe Yan, Fox King, this is my grandson, Ye Hua.\Greetings to the two of you. response:	Are you related to Mo Yuan?
