context: What's happened so far! response:	I've been thinking, and well, I thought maybe I could do the play after all...
context: What's happened so far!\I've been thinking, and well, I thought maybe I could do the play after all... response:	I'm not doing it.
context: What's happened so far!\I've been thinking, and well, I thought maybe I could do the play after all...\I'm not doing it. response:	What?!
context: What's happened so far!\I've been thinking, and well, I thought maybe I could do the play after all...\I'm not doing it.\What?! response:	Come on baby!
context: What's happened so far!\I've been thinking, and well, I thought maybe I could do the play after all...\I'm not doing it.\What?!\Come on baby! response:	Arima-kun!
context: What's happened so far!\I've been thinking, and well, I thought maybe I could do the play after all...\I'm not doing it.\What?!\Come on baby!\Arima-kun! response:	It's not worth seeing.
context: What's happened so far!\I've been thinking, and well, I thought maybe I could do the play after all...\I'm not doing it.\What?!\Come on baby!\Arima-kun!\It's not worth seeing. response:	The Dean of the class! Power. He has power!
context: What's happened so far!\I've been thinking, and well, I thought maybe I could do the play after all...\I'm not doing it.\What?!\Come on baby!\Arima-kun!\It's not worth seeing.\The Dean of the class! Power. He has power! response:	We're going to put on a play.
context: I've been thinking, and well, I thought maybe I could do the play after all...\I'm not doing it.\What?!\Come on baby!\Arima-kun!\It's not worth seeing.\The Dean of the class! Power. He has power!\We're going to put on a play. response:	What?! Sis is going to be in a play?!
context: I'm not doing it.\What?!\Come on baby!\Arima-kun!\It's not worth seeing.\The Dean of the class! Power. He has power!\We're going to put on a play.\What?! Sis is going to be in a play?! response:	One of my friends is a writer.
context: What?!\Come on baby!\Arima-kun!\It's not worth seeing.\The Dean of the class! Power. He has power!\We're going to put on a play.\What?! Sis is going to be in a play?!\One of my friends is a writer. response:	Ah?
context: Come on baby!\Arima-kun!\It's not worth seeing.\The Dean of the class! Power. He has power!\We're going to put on a play.\What?! Sis is going to be in a play?!\One of my friends is a writer.\Ah? response:	The Week of September is almost over.
context: Arima-kun!\It's not worth seeing.\The Dean of the class! Power. He has power!\We're going to put on a play.\What?! Sis is going to be in a play?!\One of my friends is a writer.\Ah?\The Week of September is almost over. response:	Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*
context: It's not worth seeing.\The Dean of the class! Power. He has power!\We're going to put on a play.\What?! Sis is going to be in a play?!\One of my friends is a writer.\Ah?\The Week of September is almost over.\Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.* response:	Next week...next week is going to be hell.
context: The Dean of the class! Power. He has power!\We're going to put on a play.\What?! Sis is going to be in a play?!\One of my friends is a writer.\Ah?\The Week of September is almost over.\Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*\Next week...next week is going to be hell. response:	Everyone's going to begin preparations,
context: We're going to put on a play.\What?! Sis is going to be in a play?!\One of my friends is a writer.\Ah?\The Week of September is almost over.\Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*\Next week...next week is going to be hell.\Everyone's going to begin preparations, response:	so things are going to get nightmarishly busy again.
context: What?! Sis is going to be in a play?!\One of my friends is a writer.\Ah?\The Week of September is almost over.\Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*\Next week...next week is going to be hell.\Everyone's going to begin preparations,\so things are going to get nightmarishly busy again. response:	Now, onto the next topic.
context: One of my friends is a writer.\Ah?\The Week of September is almost over.\Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*\Next week...next week is going to be hell.\Everyone's going to begin preparations,\so things are going to get nightmarishly busy again.\Now, onto the next topic. response:	That meeting dragged on.
context: Ah?\The Week of September is almost over.\Each group has decided on what they're doing. *Next, about printing the programs, there will be more meetings and discussions.*\Next week...next week is going to be hell.\Everyone's going to begin preparations,\so things are going to get nightmarishly busy again.\Now, onto the next topic.\That meeting dragged on. response:	Huh? They're not here.
