context: Hey. response:	How's it going?
context: Hey.\How's it going? response:	It's coming up, huh? The competition?
context: Hey.\How's it going?\It's coming up, huh? The competition? response:	Don't get spooked!
context: Hey.\How's it going?\It's coming up, huh? The competition?\Don't get spooked! response:	Don't worry about it... don't worry about it.
context: Hey.\How's it going?\It's coming up, huh? The competition?\Don't get spooked!\Don't worry about it... don't worry about it. response:	So what if you get humiliated, or if they all laugh at you?
context: Hey.\How's it going?\It's coming up, huh? The competition?\Don't get spooked!\Don't worry about it... don't worry about it.\So what if you get humiliated, or if they all laugh at you? response:	It's not like they're going to abandon you.
context: Hey.\How's it going?\It's coming up, huh? The competition?\Don't get spooked!\Don't worry about it... don't worry about it.\So what if you get humiliated, or if they all laugh at you?\It's not like they're going to abandon you. response:	After all, you're not Beethoven.
context: Hey.\How's it going?\It's coming up, huh? The competition?\Don't get spooked!\Don't worry about it... don't worry about it.\So what if you get humiliated, or if they all laugh at you?\It's not like they're going to abandon you.\After all, you're not Beethoven. response:	And of course, you're not Chopin, either.
context: How's it going?\It's coming up, huh? The competition?\Don't get spooked!\Don't worry about it... don't worry about it.\So what if you get humiliated, or if they all laugh at you?\It's not like they're going to abandon you.\After all, you're not Beethoven.\And of course, you're not Chopin, either. response:	I know that.
context: It's coming up, huh? The competition?\Don't get spooked!\Don't worry about it... don't worry about it.\So what if you get humiliated, or if they all laugh at you?\It's not like they're going to abandon you.\After all, you're not Beethoven.\And of course, you're not Chopin, either.\I know that. response:	Oh? Well, then...
context: Don't get spooked!\Don't worry about it... don't worry about it.\So what if you get humiliated, or if they all laugh at you?\It's not like they're going to abandon you.\After all, you're not Beethoven.\And of course, you're not Chopin, either.\I know that.\Oh? Well, then... response:	Who are you?
context: Don't worry about it... don't worry about it.\So what if you get humiliated, or if they all laugh at you?\It's not like they're going to abandon you.\After all, you're not Beethoven.\And of course, you're not Chopin, either.\I know that.\Oh? Well, then...\Who are you? response:	And where are you?
