context: Sakura. response:	Sakura.
context: Sakura.\Sakura. response:	I can't eat any more.
context: Sakura.\Sakura.\I can't eat any more. response:	Who was it that set the alarm to seven o'clock?
context: Sakura.\Sakura.\I can't eat any more.\Who was it that set the alarm to seven o'clock? response:	Weren't you going to wake up early?
context: Sakura.\Sakura.\I can't eat any more.\Who was it that set the alarm to seven o'clock?\Weren't you going to wake up early? response:	Huh? Osaka accent?
context: Sakura.\Sakura.\I can't eat any more.\Who was it that set the alarm to seven o'clock?\Weren't you going to wake up early?\Huh? Osaka accent? response:	There is nobody with an Osaka accent in my family.
context: Sakura.\Sakura.\I can't eat any more.\Who was it that set the alarm to seven o'clock?\Weren't you going to wake up early?\Huh? Osaka accent?\There is nobody with an Osaka accent in my family. response:	The TV'
context: Sakura.\Sakura.\I can't eat any more.\Who was it that set the alarm to seven o'clock?\Weren't you going to wake up early?\Huh? Osaka accent?\There is nobody with an Osaka accent in my family.\The TV' response:	isn't on.
context: Sakura.\I can't eat any more.\Who was it that set the alarm to seven o'clock?\Weren't you going to wake up early?\Huh? Osaka accent?\There is nobody with an Osaka accent in my family.\The TV'\isn't on. response:	Which means'
context: I can't eat any more.\Who was it that set the alarm to seven o'clock?\Weren't you going to wake up early?\Huh? Osaka accent?\There is nobody with an Osaka accent in my family.\The TV'\isn't on.\Which means' response:	What is it?
context: Who was it that set the alarm to seven o'clock?\Weren't you going to wake up early?\Huh? Osaka accent?\There is nobody with an Osaka accent in my family.\The TV'\isn't on.\Which means'\What is it? response:	A stuffed animal?
context: Weren't you going to wake up early?\Huh? Osaka accent?\There is nobody with an Osaka accent in my family.\The TV'\isn't on.\Which means'\What is it?\A stuffed animal? response:	You're still half asleep.
context: Huh? Osaka accent?\There is nobody with an Osaka accent in my family.\The TV'\isn't on.\Which means'\What is it?\A stuffed animal?\You're still half asleep. response:	Hey, wake up.
context: There is nobody with an Osaka accent in my family.\The TV'\isn't on.\Which means'\What is it?\A stuffed animal?\You're still half asleep.\Hey, wake up. response:	Oh yeah, the guard of the Clow Cards.
context: The TV'\isn't on.\Which means'\What is it?\A stuffed animal?\You're still half asleep.\Hey, wake up.\Oh yeah, the guard of the Clow Cards. response:	Finally awake?
context: isn't on.\Which means'\What is it?\A stuffed animal?\You're still half asleep.\Hey, wake up.\Oh yeah, the guard of the Clow Cards.\Finally awake? response:	I'm the beast of the seal Cerberus.
context: Which means'\What is it?\A stuffed animal?\You're still half asleep.\Hey, wake up.\Oh yeah, the guard of the Clow Cards.\Finally awake?\I'm the beast of the seal Cerberus. response:	Oh yeah,
context: What is it?\A stuffed animal?\You're still half asleep.\Hey, wake up.\Oh yeah, the guard of the Clow Cards.\Finally awake?\I'm the beast of the seal Cerberus.\Oh yeah, response:	A book Clow Card
context: A stuffed animal?\You're still half asleep.\Hey, wake up.\Oh yeah, the guard of the Clow Cards.\Finally awake?\I'm the beast of the seal Cerberus.\Oh yeah,\A book Clow Card response:	I found in our basement,
context: You're still half asleep.\Hey, wake up.\Oh yeah, the guard of the Clow Cards.\Finally awake?\I'm the beast of the seal Cerberus.\Oh yeah,\A book Clow Card\I found in our basement, response:	I don't really understand it,
context: Hey, wake up.\Oh yeah, the guard of the Clow Cards.\Finally awake?\I'm the beast of the seal Cerberus.\Oh yeah,\A book Clow Card\I found in our basement,\I don't really understand it, response:	but there were magical cards inside.
context: Oh yeah, the guard of the Clow Cards.\Finally awake?\I'm the beast of the seal Cerberus.\Oh yeah,\A book Clow Card\I found in our basement,\I don't really understand it,\but there were magical cards inside. response:	I scattered them
context: Finally awake?\I'm the beast of the seal Cerberus.\Oh yeah,\A book Clow Card\I found in our basement,\I don't really understand it,\but there were magical cards inside.\I scattered them response:	and I was asked by this Cerberus to gather the cards.
context: I'm the beast of the seal Cerberus.\Oh yeah,\A book Clow Card\I found in our basement,\I don't really understand it,\but there were magical cards inside.\I scattered them\and I was asked by this Cerberus to gather the cards. response:	What a nice morning,
context: Oh yeah,\A book Clow Card\I found in our basement,\I don't really understand it,\but there were magical cards inside.\I scattered them\and I was asked by this Cerberus to gather the cards.\What a nice morning, response:	Card Captor Sakura.
context: A book Clow Card\I found in our basement,\I don't really understand it,\but there were magical cards inside.\I scattered them\and I was asked by this Cerberus to gather the cards.\What a nice morning,\Card Captor Sakura. response:	I keep saying,
context: I found in our basement,\I don't really understand it,\but there were magical cards inside.\I scattered them\and I was asked by this Cerberus to gather the cards.\What a nice morning,\Card Captor Sakura.\I keep saying, response:	it's impossible for me.
context: I don't really understand it,\but there were magical cards inside.\I scattered them\and I was asked by this Cerberus to gather the cards.\What a nice morning,\Card Captor Sakura.\I keep saying,\it's impossible for me. response:	You're too modest.
context: but there were magical cards inside.\I scattered them\and I was asked by this Cerberus to gather the cards.\What a nice morning,\Card Captor Sakura.\I keep saying,\it's impossible for me.\You're too modest. response:	You see,
context: I scattered them\and I was asked by this Cerberus to gather the cards.\What a nice morning,\Card Captor Sakura.\I keep saying,\it's impossible for me.\You're too modest.\You see, response:	You've already got back the Fly card.
context: and I was asked by this Cerberus to gather the cards.\What a nice morning,\Card Captor Sakura.\I keep saying,\it's impossible for me.\You're too modest.\You see,\You've already got back the Fly card. response:	Look. Look.
context: What a nice morning,\Card Captor Sakura.\I keep saying,\it's impossible for me.\You're too modest.\You see,\You've already got back the Fly card.\Look. Look. response:	And it was terrible.
