context: You can't blame them. response:	Working at an inn is hard.
context: You can't blame them.\Working at an inn is hard. response:	People who aren't interested won't be able to work long-term.
context: You can't blame them.\Working at an inn is hard.\People who aren't interested won't be able to work long-term. response:	Hey, there are lots of things I want to do.
context: You can't blame them.\Working at an inn is hard.\People who aren't interested won't be able to work long-term.\Hey, there are lots of things I want to do. response:	I'm going to pick the one thing I want to do the most and make it my career.
context: You can't blame them.\Working at an inn is hard.\People who aren't interested won't be able to work long-term.\Hey, there are lots of things I want to do.\I'm going to pick the one thing I want to do the most and make it my career. response:	Running an inn is not on that list.
context: You can't blame them.\Working at an inn is hard.\People who aren't interested won't be able to work long-term.\Hey, there are lots of things I want to do.\I'm going to pick the one thing I want to do the most and make it my career.\Running an inn is not on that list. response:	Episode 15 Sunny With a Chance of Beans
context: You can't blame them.\Working at an inn is hard.\People who aren't interested won't be able to work long-term.\Hey, there are lots of things I want to do.\I'm going to pick the one thing I want to do the most and make it my career.\Running an inn is not on that list.\Episode 15 Sunny With a Chance of Beans response:	Office
context: You can't blame them.\Working at an inn is hard.\People who aren't interested won't be able to work long-term.\Hey, there are lots of things I want to do.\I'm going to pick the one thing I want to do the most and make it my career.\Running an inn is not on that list.\Episode 15 Sunny With a Chance of Beans\Office response:	We're very short handed now that
context: Working at an inn is hard.\People who aren't interested won't be able to work long-term.\Hey, there are lots of things I want to do.\I'm going to pick the one thing I want to do the most and make it my career.\Running an inn is not on that list.\Episode 15 Sunny With a Chance of Beans\Office\We're very short handed now that response:	all our waitresses have quit.
context: People who aren't interested won't be able to work long-term.\Hey, there are lots of things I want to do.\I'm going to pick the one thing I want to do the most and make it my career.\Running an inn is not on that list.\Episode 15 Sunny With a Chance of Beans\Office\We're very short handed now that\all our waitresses have quit. response:	I'll call the union and ask
context: Hey, there are lots of things I want to do.\I'm going to pick the one thing I want to do the most and make it my career.\Running an inn is not on that list.\Episode 15 Sunny With a Chance of Beans\Office\We're very short handed now that\all our waitresses have quit.\I'll call the union and ask response:	if they've got any waitresses available today.
context: I'm going to pick the one thing I want to do the most and make it my career.\Running an inn is not on that list.\Episode 15 Sunny With a Chance of Beans\Office\We're very short handed now that\all our waitresses have quit.\I'll call the union and ask\if they've got any waitresses available today. response:	We'll ask around too.
