context: What time does the competition start? response:	Uh...the doors open at 3:00... and the thing starts at 3:30.
context: What time does the competition start?\Uh...the doors open at 3:00... and the thing starts at 3:30. response:	It's 3:20 now!
context: What time does the competition start?\Uh...the doors open at 3:00... and the thing starts at 3:30.\It's 3:20 now! response:	Crap! It's just about to start!
context: What time does the competition start?\Uh...the doors open at 3:00... and the thing starts at 3:30.\It's 3:20 now!\Crap! It's just about to start! response:	No worries, no worries.
context: What time does the competition start?\Uh...the doors open at 3:00... and the thing starts at 3:30.\It's 3:20 now!\Crap! It's just about to start!\No worries, no worries. response:	I'm fourth anyway.
context: What time does the competition start?\Uh...the doors open at 3:00... and the thing starts at 3:30.\It's 3:20 now!\Crap! It's just about to start!\No worries, no worries.\I'm fourth anyway. response:	Huh?
context: What time does the competition start?\Uh...the doors open at 3:00... and the thing starts at 3:30.\It's 3:20 now!\Crap! It's just about to start!\No worries, no worries.\I'm fourth anyway.\Huh? response:	That's cutting it close!
context: What time does the competition start?\Uh...the doors open at 3:00... and the thing starts at 3:30.\It's 3:20 now!\Crap! It's just about to start!\No worries, no worries.\I'm fourth anyway.\Huh?\That's cutting it close! response:	Main Hall - Information
context: Uh...the doors open at 3:00... and the thing starts at 3:30.\It's 3:20 now!\Crap! It's just about to start!\No worries, no worries.\I'm fourth anyway.\Huh?\That's cutting it close!\Main Hall - Information response:	We're here! Just made it!
context: It's 3:20 now!\Crap! It's just about to start!\No worries, no worries.\I'm fourth anyway.\Huh?\That's cutting it close!\Main Hall - Information\We're here! Just made it! response:	I got us programs.
context: Crap! It's just about to start!\No worries, no worries.\I'm fourth anyway.\Huh?\That's cutting it close!\Main Hall - Information\We're here! Just made it!\I got us programs. response:	Hey, thanks.
context: No worries, no worries.\I'm fourth anyway.\Huh?\That's cutting it close!\Main Hall - Information\We're here! Just made it!\I got us programs.\Hey, thanks. response:	No. 11 was last year's Honorable Mention, huh?
context: I'm fourth anyway.\Huh?\That's cutting it close!\Main Hall - Information\We're here! Just made it!\I got us programs.\Hey, thanks.\No. 11 was last year's Honorable Mention, huh? response:	What about the Audience Award?
context: Huh?\That's cutting it close!\Main Hall - Information\We're here! Just made it!\I got us programs.\Hey, thanks.\No. 11 was last year's Honorable Mention, huh?\What about the Audience Award? response:	I wonder if she'll be able to play well?
context: That's cutting it close!\Main Hall - Information\We're here! Just made it!\I got us programs.\Hey, thanks.\No. 11 was last year's Honorable Mention, huh?\What about the Audience Award?\I wonder if she'll be able to play well? response:	That Mr. Kazama's leading the judging panel, huh?
context: Main Hall - Information\We're here! Just made it!\I got us programs.\Hey, thanks.\No. 11 was last year's Honorable Mention, huh?\What about the Audience Award?\I wonder if she'll be able to play well?\That Mr. Kazama's leading the judging panel, huh? response:	It's a good chance to catch his eye.
context: We're here! Just made it!\I got us programs.\Hey, thanks.\No. 11 was last year's Honorable Mention, huh?\What about the Audience Award?\I wonder if she'll be able to play well?\That Mr. Kazama's leading the judging panel, huh?\It's a good chance to catch his eye. response:	You know what, it's like a different dimension in here. Everyone here's like a celebrity.
context: I got us programs.\Hey, thanks.\No. 11 was last year's Honorable Mention, huh?\What about the Audience Award?\I wonder if she'll be able to play well?\That Mr. Kazama's leading the judging panel, huh?\It's a good chance to catch his eye.\You know what, it's like a different dimension in here. Everyone here's like a celebrity. response:	This tension before the competition starts is the same everywhere, huh?
context: Hey, thanks.\No. 11 was last year's Honorable Mention, huh?\What about the Audience Award?\I wonder if she'll be able to play well?\That Mr. Kazama's leading the judging panel, huh?\It's a good chance to catch his eye.\You know what, it's like a different dimension in here. Everyone here's like a celebrity.\This tension before the competition starts is the same everywhere, huh? response:	Even I'm starting to get nervous!
context: No. 11 was last year's Honorable Mention, huh?\What about the Audience Award?\I wonder if she'll be able to play well?\That Mr. Kazama's leading the judging panel, huh?\It's a good chance to catch his eye.\You know what, it's like a different dimension in here. Everyone here's like a celebrity.\This tension before the competition starts is the same everywhere, huh?\Even I'm starting to get nervous! response:	You're not even competing, Tsubaki.
context: What about the Audience Award?\I wonder if she'll be able to play well?\That Mr. Kazama's leading the judging panel, huh?\It's a good chance to catch his eye.\You know what, it's like a different dimension in here. Everyone here's like a celebrity.\This tension before the competition starts is the same everywhere, huh?\Even I'm starting to get nervous!\You're not even competing, Tsubaki. response:	Bye.
context: I wonder if she'll be able to play well?\That Mr. Kazama's leading the judging panel, huh?\It's a good chance to catch his eye.\You know what, it's like a different dimension in here. Everyone here's like a celebrity.\This tension before the competition starts is the same everywhere, huh?\Even I'm starting to get nervous!\You're not even competing, Tsubaki.\Bye. response:	Since I'm going this way.
context: That Mr. Kazama's leading the judging panel, huh?\It's a good chance to catch his eye.\You know what, it's like a different dimension in here. Everyone here's like a celebrity.\This tension before the competition starts is the same everywhere, huh?\Even I'm starting to get nervous!\You're not even competing, Tsubaki.\Bye.\Since I'm going this way. response:	Good luck!
context: It's a good chance to catch his eye.\You know what, it's like a different dimension in here. Everyone here's like a celebrity.\This tension before the competition starts is the same everywhere, huh?\Even I'm starting to get nervous!\You're not even competing, Tsubaki.\Bye.\Since I'm going this way.\Good luck! response:	We'll be rooting for you, okay?
context: You know what, it's like a different dimension in here. Everyone here's like a celebrity.\This tension before the competition starts is the same everywhere, huh?\Even I'm starting to get nervous!\You're not even competing, Tsubaki.\Bye.\Since I'm going this way.\Good luck!\We'll be rooting for you, okay? response:	Okay! I'll do my best!
context: This tension before the competition starts is the same everywhere, huh?\Even I'm starting to get nervous!\You're not even competing, Tsubaki.\Bye.\Since I'm going this way.\Good luck!\We'll be rooting for you, okay?\Okay! I'll do my best! response:	The auditorium's this way, huh?
context: Even I'm starting to get nervous!\You're not even competing, Tsubaki.\Bye.\Since I'm going this way.\Good luck!\We'll be rooting for you, okay?\Okay! I'll do my best!\The auditorium's this way, huh? response:	Right.
context: You're not even competing, Tsubaki.\Bye.\Since I'm going this way.\Good luck!\We'll be rooting for you, okay?\Okay! I'll do my best!\The auditorium's this way, huh?\Right. response:	What's wrong?
context: Bye.\Since I'm going this way.\Good luck!\We'll be rooting for you, okay?\Okay! I'll do my best!\The auditorium's this way, huh?\Right.\What's wrong? response:	N-No...
context: Since I'm going this way.\Good luck!\We'll be rooting for you, okay?\Okay! I'll do my best!\The auditorium's this way, huh?\Right.\What's wrong?\N-No... response:	It's nothing.
context: Good luck!\We'll be rooting for you, okay?\Okay! I'll do my best!\The auditorium's this way, huh?\Right.\What's wrong?\N-No...\It's nothing. response:	This is your workplace.
context: We'll be rooting for you, okay?\Okay! I'll do my best!\The auditorium's this way, huh?\Right.\What's wrong?\N-No...\It's nothing.\This is your workplace. response:	Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division
context: Okay! I'll do my best!\The auditorium's this way, huh?\Right.\What's wrong?\N-No...\It's nothing.\This is your workplace.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division response:	Huh. It's smaller inside than I thought.
context: The auditorium's this way, huh?\Right.\What's wrong?\N-No...\It's nothing.\This is your workplace.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Huh. It's smaller inside than I thought. response:	Don't compare it to a stadium!
context: Right.\What's wrong?\N-No...\It's nothing.\This is your workplace.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Huh. It's smaller inside than I thought.\Don't compare it to a stadium! response:	I haven't felt this kind of atmosphere in a while... since sixth grade, when I came to cheer you on.
context: What's wrong?\N-No...\It's nothing.\This is your workplace.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Huh. It's smaller inside than I thought.\Don't compare it to a stadium!\I haven't felt this kind of atmosphere in a while... since sixth grade, when I came to cheer you on. response:	The dry air... the smell of dust...
context: N-No...\It's nothing.\This is your workplace.\Towa Music Competition Committee Sponsor Second Annual Towa Music Competition Violin - Middle School Division\Huh. It's smaller inside than I thought.\Don't compare it to a stadium!\I haven't felt this kind of atmosphere in a while... since sixth grade, when I came to cheer you on.\The dry air... the smell of dust... response:	Those seats over there are open.
