context: In the year 845... response:	the Colossal and Armored Titans suddenly appeared,
context: In the year 845...\the Colossal and Armored Titans suddenly appeared, response:	destroying the wall, along with the life we'd known.
context: In the year 845...\the Colossal and Armored Titans suddenly appeared,\destroying the wall, along with the life we'd known. response:	Humanity abandoned Wall Maria,
context: In the year 845...\the Colossal and Armored Titans suddenly appeared,\destroying the wall, along with the life we'd known.\Humanity abandoned Wall Maria, response:	losing twenty percent of its population and a third of its territory,
context: In the year 845...\the Colossal and Armored Titans suddenly appeared,\destroying the wall, along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory, response:	to retreat within Wall Rose.
context: In the year 845...\the Colossal and Armored Titans suddenly appeared,\destroying the wall, along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose. response:	And in the year 850...
context: In the year 845...\the Colossal and Armored Titans suddenly appeared,\destroying the wall, along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850... response:	The Colossal Titan reappeared and breached the wall.
context: In the year 845...\the Colossal and Armored Titans suddenly appeared,\destroying the wall, along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850...\The Colossal Titan reappeared and breached the wall. response:	And once again, humanity could not stop a Titan invasion.
context: the Colossal and Armored Titans suddenly appeared,\destroying the wall, along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion. response:	Soldiers fell, one after the next, before the Titan assault.
context: destroying the wall, along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault. response:	And then...
context: Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then... response:	Eren! Hurry!
context: losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry! response:	Eren Jaeger had been devoured by a Titan,
context: to retreat within Wall Rose.\And in the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren Jaeger had been devoured by a Titan, response:	but reappeared, emerging from a mysterious Titan.
context: And in the year 850...\The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan. response:	Attention!
context: The Colossal Titan reappeared and breached the wall.\And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Attention! response:	Dot Pixis, the high commander of the southern territories,
context: And once again, humanity could not stop a Titan invasion.\Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Attention!\Dot Pixis, the high commander of the southern territories, response:	recognized the combat potential of Eren's ability to become a Titan,
context: Soldiers fell, one after the next, before the Titan assault.\And then...\Eren! Hurry!\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Attention!\Dot Pixis, the high commander of the southern territories,\recognized the combat potential of Eren's ability to become a Titan, response:	and decided to execute an audacious plan.
context: And then...\Eren! Hurry!\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Attention!\Dot Pixis, the high commander of the southern territories,\recognized the combat potential of Eren's ability to become a Titan,\and decided to execute an audacious plan. response:	He will become a Titan, pick up the giant boulder
context: Eren! Hurry!\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Attention!\Dot Pixis, the high commander of the southern territories,\recognized the combat potential of Eren's ability to become a Titan,\and decided to execute an audacious plan.\He will become a Titan, pick up the giant boulder response:	by the shattered gate, carry it over,
context: Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Attention!\Dot Pixis, the high commander of the southern territories,\recognized the combat potential of Eren's ability to become a Titan,\and decided to execute an audacious plan.\He will become a Titan, pick up the giant boulder\by the shattered gate, carry it over, response:	and seal the hole.
context: but reappeared, emerging from a mysterious Titan.\Attention!\Dot Pixis, the high commander of the southern territories,\recognized the combat potential of Eren's ability to become a Titan,\and decided to execute an audacious plan.\He will become a Titan, pick up the giant boulder\by the shattered gate, carry it over,\and seal the hole. response:	When this mission succeeds,
context: Attention!\Dot Pixis, the high commander of the southern territories,\recognized the combat potential of Eren's ability to become a Titan,\and decided to execute an audacious plan.\He will become a Titan, pick up the giant boulder\by the shattered gate, carry it over,\and seal the hole.\When this mission succeeds, response:	humanity will have retaken
context: Dot Pixis, the high commander of the southern territories,\recognized the combat potential of Eren's ability to become a Titan,\and decided to execute an audacious plan.\He will become a Titan, pick up the giant boulder\by the shattered gate, carry it over,\and seal the hole.\When this mission succeeds,\humanity will have retaken response:	its territory from them for the very first time.
context: recognized the combat potential of Eren's ability to become a Titan,\and decided to execute an audacious plan.\He will become a Titan, pick up the giant boulder\by the shattered gate, carry it over,\and seal the hole.\When this mission succeeds,\humanity will have retaken\its territory from them for the very first time. response:	But for humanity, that step will be
