context: Hey, there... response:	Want a walnut?
context: Hey, there...\Want a walnut? response:	This is starting to get interesting!
context: Hey, there...\Want a walnut?\This is starting to get interesting! response:	Morning.
context: Hey, there...\Want a walnut?\This is starting to get interesting!\Morning. response:	Did you get any sleep?
context: Hey, there...\Want a walnut?\This is starting to get interesting!\Morning.\Did you get any sleep? response:	The Rainbow of Albion
context: Hey, there...\Want a walnut?\This is starting to get interesting!\Morning.\Did you get any sleep?\The Rainbow of Albion response:	Good morning, Commander.
context: Hey, there...\Want a walnut?\This is starting to get interesting!\Morning.\Did you get any sleep?\The Rainbow of Albion\Good morning, Commander. response:	Good morning.
context: Hey, there...\Want a walnut?\This is starting to get interesting!\Morning.\Did you get any sleep?\The Rainbow of Albion\Good morning, Commander.\Good morning. response:	Now, then...
context: Want a walnut?\This is starting to get interesting!\Morning.\Did you get any sleep?\The Rainbow of Albion\Good morning, Commander.\Good morning.\Now, then... response:	I've requested approval from headquarters for the observation and protection subjects
context: This is starting to get interesting!\Morning.\Did you get any sleep?\The Rainbow of Albion\Good morning, Commander.\Good morning.\Now, then...\I've requested approval from headquarters for the observation and protection subjects response:	on this base to wear these.
context: Morning.\Did you get any sleep?\The Rainbow of Albion\Good morning, Commander.\Good morning.\Now, then...\I've requested approval from headquarters for the observation and protection subjects\on this base to wear these. response:	So it's time to correct our past mistakes.
context: Did you get any sleep?\The Rainbow of Albion\Good morning, Commander.\Good morning.\Now, then...\I've requested approval from headquarters for the observation and protection subjects\on this base to wear these.\So it's time to correct our past mistakes. response:	Why are you freeing him?
context: The Rainbow of Albion\Good morning, Commander.\Good morning.\Now, then...\I've requested approval from headquarters for the observation and protection subjects\on this base to wear these.\So it's time to correct our past mistakes.\Why are you freeing him? response:	I'm correcting our mistake. I cleared this with HQ.
context: Good morning, Commander.\Good morning.\Now, then...\I've requested approval from headquarters for the observation and protection subjects\on this base to wear these.\So it's time to correct our past mistakes.\Why are you freeing him?\I'm correcting our mistake. I cleared this with HQ. response:	Use of Lead Gears on this base is now forbidden!
context: Good morning.\Now, then...\I've requested approval from headquarters for the observation and protection subjects\on this base to wear these.\So it's time to correct our past mistakes.\Why are you freeing him?\I'm correcting our mistake. I cleared this with HQ.\Use of Lead Gears on this base is now forbidden! response:	As Globe's observer organization, Salty Dog cannot allow this.
context: Now, then...\I've requested approval from headquarters for the observation and protection subjects\on this base to wear these.\So it's time to correct our past mistakes.\Why are you freeing him?\I'm correcting our mistake. I cleared this with HQ.\Use of Lead Gears on this base is now forbidden!\As Globe's observer organization, Salty Dog cannot allow this. response:	I'm in charge here!
context: I've requested approval from headquarters for the observation and protection subjects\on this base to wear these.\So it's time to correct our past mistakes.\Why are you freeing him?\I'm correcting our mistake. I cleared this with HQ.\Use of Lead Gears on this base is now forbidden!\As Globe's observer organization, Salty Dog cannot allow this.\I'm in charge here! response:	The commander's so cool.
context: on this base to wear these.\So it's time to correct our past mistakes.\Why are you freeing him?\I'm correcting our mistake. I cleared this with HQ.\Use of Lead Gears on this base is now forbidden!\As Globe's observer organization, Salty Dog cannot allow this.\I'm in charge here!\The commander's so cool. response:	My opinion of him just improved.
context: So it's time to correct our past mistakes.\Why are you freeing him?\I'm correcting our mistake. I cleared this with HQ.\Use of Lead Gears on this base is now forbidden!\As Globe's observer organization, Salty Dog cannot allow this.\I'm in charge here!\The commander's so cool.\My opinion of him just improved. response:	A-Akari...
context: Why are you freeing him?\I'm correcting our mistake. I cleared this with HQ.\Use of Lead Gears on this base is now forbidden!\As Globe's observer organization, Salty Dog cannot allow this.\I'm in charge here!\The commander's so cool.\My opinion of him just improved.\A-Akari... response:	What are you doing here?
context: I'm correcting our mistake. I cleared this with HQ.\Use of Lead Gears on this base is now forbidden!\As Globe's observer organization, Salty Dog cannot allow this.\I'm in charge here!\The commander's so cool.\My opinion of him just improved.\A-Akari...\What are you doing here? response:	What am I doing here?
context: Use of Lead Gears on this base is now forbidden!\As Globe's observer organization, Salty Dog cannot allow this.\I'm in charge here!\The commander's so cool.\My opinion of him just improved.\A-Akari...\What are you doing here?\What am I doing here? response:	I will introduce you.
context: As Globe's observer organization, Salty Dog cannot allow this.\I'm in charge here!\The commander's so cool.\My opinion of him just improved.\A-Akari...\What are you doing here?\What am I doing here?\I will introduce you. response:	This is Akari Yomatsuri-san.
context: I'm in charge here!\The commander's so cool.\My opinion of him just improved.\A-Akari...\What are you doing here?\What am I doing here?\I will introduce you.\This is Akari Yomatsuri-san. response:	That's the daughter of the commander,
context: The commander's so cool.\My opinion of him just improved.\A-Akari...\What are you doing here?\What am I doing here?\I will introduce you.\This is Akari Yomatsuri-san.\That's the daughter of the commander, response:	who lived with his wife after they split...
context: My opinion of him just improved.\A-Akari...\What are you doing here?\What am I doing here?\I will introduce you.\This is Akari Yomatsuri-san.\That's the daughter of the commander,\who lived with his wife after they split... response:	His wife is Governor Yomatsuri, aboard the Tenkaidou, right?
context: A-Akari...\What are you doing here?\What am I doing here?\I will introduce you.\This is Akari Yomatsuri-san.\That's the daughter of the commander,\who lived with his wife after they split...\His wife is Governor Yomatsuri, aboard the Tenkaidou, right? response:	Hi there, everyone.
context: What are you doing here?\What am I doing here?\I will introduce you.\This is Akari Yomatsuri-san.\That's the daughter of the commander,\who lived with his wife after they split...\His wife is Governor Yomatsuri, aboard the Tenkaidou, right?\Hi there, everyone. response:	I'm the magical girl Akari-chan!
context: What am I doing here?\I will introduce you.\This is Akari Yomatsuri-san.\That's the daughter of the commander,\who lived with his wife after they split...\His wife is Governor Yomatsuri, aboard the Tenkaidou, right?\Hi there, everyone.\I'm the magical girl Akari-chan! response:	Magical girl?
context: I will introduce you.\This is Akari Yomatsuri-san.\That's the daughter of the commander,\who lived with his wife after they split...\His wife is Governor Yomatsuri, aboard the Tenkaidou, right?\Hi there, everyone.\I'm the magical girl Akari-chan!\Magical girl? response:	You're the girl from yesterday?
context: This is Akari Yomatsuri-san.\That's the daughter of the commander,\who lived with his wife after they split...\His wife is Governor Yomatsuri, aboard the Tenkaidou, right?\Hi there, everyone.\I'm the magical girl Akari-chan!\Magical girl?\You're the girl from yesterday? response:	Yes, she is Code Papillon,
context: That's the daughter of the commander,\who lived with his wife after they split...\His wife is Governor Yomatsuri, aboard the Tenkaidou, right?\Hi there, everyone.\I'm the magical girl Akari-chan!\Magical girl?\You're the girl from yesterday?\Yes, she is Code Papillon, response:	last night's flight director.
context: who lived with his wife after they split...\His wife is Governor Yomatsuri, aboard the Tenkaidou, right?\Hi there, everyone.\I'm the magical girl Akari-chan!\Magical girl?\You're the girl from yesterday?\Yes, she is Code Papillon,\last night's flight director. response:	What the hell is going on?
context: His wife is Governor Yomatsuri, aboard the Tenkaidou, right?\Hi there, everyone.\I'm the magical girl Akari-chan!\Magical girl?\You're the girl from yesterday?\Yes, she is Code Papillon,\last night's flight director.\What the hell is going on? response:	She is also an amazingly talented hacker.
context: Hi there, everyone.\I'm the magical girl Akari-chan!\Magical girl?\You're the girl from yesterday?\Yes, she is Code Papillon,\last night's flight director.\What the hell is going on?\She is also an amazingly talented hacker. response:	She was good enough to try hacking Alonzo.
context: I'm the magical girl Akari-chan!\Magical girl?\You're the girl from yesterday?\Yes, she is Code Papillon,\last night's flight director.\What the hell is going on?\She is also an amazingly talented hacker.\She was good enough to try hacking Alonzo. response:	We can't afford to not have her here.
context: Magical girl?\You're the girl from yesterday?\Yes, she is Code Papillon,\last night's flight director.\What the hell is going on?\She is also an amazingly talented hacker.\She was good enough to try hacking Alonzo.\We can't afford to not have her here. response:	I've been planning to have her cooperate with us for a while now.
context: You're the girl from yesterday?\Yes, she is Code Papillon,\last night's flight director.\What the hell is going on?\She is also an amazingly talented hacker.\She was good enough to try hacking Alonzo.\We can't afford to not have her here.\I've been planning to have her cooperate with us for a while now. response:	Akari's a hacker?
context: Yes, she is Code Papillon,\last night's flight director.\What the hell is going on?\She is also an amazingly talented hacker.\She was good enough to try hacking Alonzo.\We can't afford to not have her here.\I've been planning to have her cooperate with us for a while now.\Akari's a hacker? response:	A magical girl!
context: last night's flight director.\What the hell is going on?\She is also an amazingly talented hacker.\She was good enough to try hacking Alonzo.\We can't afford to not have her here.\I've been planning to have her cooperate with us for a while now.\Akari's a hacker?\A magical girl! response:	H-Hey...
context: What the hell is going on?\She is also an amazingly talented hacker.\She was good enough to try hacking Alonzo.\We can't afford to not have her here.\I've been planning to have her cooperate with us for a while now.\Akari's a hacker?\A magical girl!\H-Hey... response:	Wait!
context: She is also an amazingly talented hacker.\She was good enough to try hacking Alonzo.\We can't afford to not have her here.\I've been planning to have her cooperate with us for a while now.\Akari's a hacker?\A magical girl!\H-Hey...\Wait! response:	Don't touch that!
context: She was good enough to try hacking Alonzo.\We can't afford to not have her here.\I've been planning to have her cooperate with us for a while now.\Akari's a hacker?\A magical girl!\H-Hey...\Wait!\Don't touch that! response:	Oh, God...
context: We can't afford to not have her here.\I've been planning to have her cooperate with us for a while now.\Akari's a hacker?\A magical girl!\H-Hey...\Wait!\Don't touch that!\Oh, God... response:	How could he be so cruel to the daughter he hasn't seen for five years?
context: I've been planning to have her cooperate with us for a while now.\Akari's a hacker?\A magical girl!\H-Hey...\Wait!\Don't touch that!\Oh, God...\How could he be so cruel to the daughter he hasn't seen for five years? response:	He hasn't seen her for five years.
context: Akari's a hacker?\A magical girl!\H-Hey...\Wait!\Don't touch that!\Oh, God...\How could he be so cruel to the daughter he hasn't seen for five years?\He hasn't seen her for five years. response:	My opinion of him just dropped.
context: A magical girl!\H-Hey...\Wait!\Don't touch that!\Oh, God...\How could he be so cruel to the daughter he hasn't seen for five years?\He hasn't seen her for five years.\My opinion of him just dropped. response:	How did li'l ol' me end up a magical girl?
context: H-Hey...\Wait!\Don't touch that!\Oh, God...\How could he be so cruel to the daughter he hasn't seen for five years?\He hasn't seen her for five years.\My opinion of him just dropped.\How did li'l ol' me end up a magical girl? response:	Li'l ol' me?
context: Wait!\Don't touch that!\Oh, God...\How could he be so cruel to the daughter he hasn't seen for five years?\He hasn't seen her for five years.\My opinion of him just dropped.\How did li'l ol' me end up a magical girl?\Li'l ol' me? response:	Is she a bumpkin?
context: Don't touch that!\Oh, God...\How could he be so cruel to the daughter he hasn't seen for five years?\He hasn't seen her for five years.\My opinion of him just dropped.\How did li'l ol' me end up a magical girl?\Li'l ol' me?\Is she a bumpkin? response:	My father is the commander of Globe's Tanegashima base.
context: Oh, God...\How could he be so cruel to the daughter he hasn't seen for five years?\He hasn't seen her for five years.\My opinion of him just dropped.\How did li'l ol' me end up a magical girl?\Li'l ol' me?\Is she a bumpkin?\My father is the commander of Globe's Tanegashima base. response:	And my mother is governor of the satellite base Tenkaidou.
context: How could he be so cruel to the daughter he hasn't seen for five years?\He hasn't seen her for five years.\My opinion of him just dropped.\How did li'l ol' me end up a magical girl?\Li'l ol' me?\Is she a bumpkin?\My father is the commander of Globe's Tanegashima base.\And my mother is governor of the satellite base Tenkaidou. response:	My parents, concerned only with their jobs, abandoned me,
context: He hasn't seen her for five years.\My opinion of him just dropped.\How did li'l ol' me end up a magical girl?\Li'l ol' me?\Is she a bumpkin?\My father is the commander of Globe's Tanegashima base.\And my mother is governor of the satellite base Tenkaidou.\My parents, concerned only with their jobs, abandoned me, response:	and I was always so lonely.
context: My opinion of him just dropped.\How did li'l ol' me end up a magical girl?\Li'l ol' me?\Is she a bumpkin?\My father is the commander of Globe's Tanegashima base.\And my mother is governor of the satellite base Tenkaidou.\My parents, concerned only with their jobs, abandoned me,\and I was always so lonely. response:	My computer was my only friend...
context: How did li'l ol' me end up a magical girl?\Li'l ol' me?\Is she a bumpkin?\My father is the commander of Globe's Tanegashima base.\And my mother is governor of the satellite base Tenkaidou.\My parents, concerned only with their jobs, abandoned me,\and I was always so lonely.\My computer was my only friend... response:	I know the truth!
context: Li'l ol' me?\Is she a bumpkin?\My father is the commander of Globe's Tanegashima base.\And my mother is governor of the satellite base Tenkaidou.\My parents, concerned only with their jobs, abandoned me,\and I was always so lonely.\My computer was my only friend...\I know the truth! response:	Four years ago, I was so excited
context: Is she a bumpkin?\My father is the commander of Globe's Tanegashima base.\And my mother is governor of the satellite base Tenkaidou.\My parents, concerned only with their jobs, abandoned me,\and I was always so lonely.\My computer was my only friend...\I know the truth!\Four years ago, I was so excited response:	that my father was going to spend my birthday with me for once!
context: My father is the commander of Globe's Tanegashima base.\And my mother is governor of the satellite base Tenkaidou.\My parents, concerned only with their jobs, abandoned me,\and I was always so lonely.\My computer was my only friend...\I know the truth!\Four years ago, I was so excited\that my father was going to spend my birthday with me for once! response:	And the reason for his last-second cancellation is
context: And my mother is governor of the satellite base Tenkaidou.\My parents, concerned only with their jobs, abandoned me,\and I was always so lonely.\My computer was my only friend...\I know the truth!\Four years ago, I was so excited\that my father was going to spend my birthday with me for once!\And the reason for his last-second cancellation is response:	that he actually had a date with Rita-san right there!
context: My parents, concerned only with their jobs, abandoned me,\and I was always so lonely.\My computer was my only friend...\I know the truth!\Four years ago, I was so excited\that my father was going to spend my birthday with me for once!\And the reason for his last-second cancellation is\that he actually had a date with Rita-san right there! response:	No, s-s-see...
context: and I was always so lonely.\My computer was my only friend...\I know the truth!\Four years ago, I was so excited\that my father was going to spend my birthday with me for once!\And the reason for his last-second cancellation is\that he actually had a date with Rita-san right there!\No, s-s-see... response:	We had to recruit her for this base as soon as possible.
context: My computer was my only friend...\I know the truth!\Four years ago, I was so excited\that my father was going to spend my birthday with me for once!\And the reason for his last-second cancellation is\that he actually had a date with Rita-san right there!\No, s-s-see...\We had to recruit her for this base as soon as possible. response:	I'm sorry...
context: I know the truth!\Four years ago, I was so excited\that my father was going to spend my birthday with me for once!\And the reason for his last-second cancellation is\that he actually had a date with Rita-san right there!\No, s-s-see...\We had to recruit her for this base as soon as possible.\I'm sorry... response:	Pathetic, Commander.
context: Four years ago, I was so excited\that my father was going to spend my birthday with me for once!\And the reason for his last-second cancellation is\that he actually had a date with Rita-san right there!\No, s-s-see...\We had to recruit her for this base as soon as possible.\I'm sorry...\Pathetic, Commander. response:	My opinion of him just plummeted.
context: that my father was going to spend my birthday with me for once!\And the reason for his last-second cancellation is\that he actually had a date with Rita-san right there!\No, s-s-see...\We had to recruit her for this base as soon as possible.\I'm sorry...\Pathetic, Commander.\My opinion of him just plummeted. response:	Annou Yams
context: And the reason for his last-second cancellation is\that he actually had a date with Rita-san right there!\No, s-s-see...\We had to recruit her for this base as soon as possible.\I'm sorry...\Pathetic, Commander.\My opinion of him just plummeted.\Annou Yams response:	Annou Yams?
context: that he actually had a date with Rita-san right there!\No, s-s-see...\We had to recruit her for this base as soon as possible.\I'm sorry...\Pathetic, Commander.\My opinion of him just plummeted.\Annou Yams\Annou Yams? response:	Delicious!
context: No, s-s-see...\We had to recruit her for this base as soon as possible.\I'm sorry...\Pathetic, Commander.\My opinion of him just plummeted.\Annou Yams\Annou Yams?\Delicious! response:	I'm sorry, both of you...
context: We had to recruit her for this base as soon as possible.\I'm sorry...\Pathetic, Commander.\My opinion of him just plummeted.\Annou Yams\Annou Yams?\Delicious!\I'm sorry, both of you... response:	For what?
context: I'm sorry...\Pathetic, Commander.\My opinion of him just plummeted.\Annou Yams\Annou Yams?\Delicious!\I'm sorry, both of you...\For what? response:	Keeping you locked in the base all this time.
context: Pathetic, Commander.\My opinion of him just plummeted.\Annou Yams\Annou Yams?\Delicious!\I'm sorry, both of you...\For what?\Keeping you locked in the base all this time. response:	I really am sorry.
context: My opinion of him just plummeted.\Annou Yams\Annou Yams?\Delicious!\I'm sorry, both of you...\For what?\Keeping you locked in the base all this time.\I really am sorry. response:	Will you allow me to recruit her?
context: Annou Yams\Annou Yams?\Delicious!\I'm sorry, both of you...\For what?\Keeping you locked in the base all this time.\I really am sorry.\Will you allow me to recruit her? response:	By the way, I'm not cheap.
context: Annou Yams?\Delicious!\I'm sorry, both of you...\For what?\Keeping you locked in the base all this time.\I really am sorry.\Will you allow me to recruit her?\By the way, I'm not cheap. response:	Very well.
context: Delicious!\I'm sorry, both of you...\For what?\Keeping you locked in the base all this time.\I really am sorry.\Will you allow me to recruit her?\By the way, I'm not cheap.\Very well. response:	But she'll stay at my place, along with the other three.
context: I'm sorry, both of you...\For what?\Keeping you locked in the base all this time.\I really am sorry.\Will you allow me to recruit her?\By the way, I'm not cheap.\Very well.\But she'll stay at my place, along with the other three. response:	Do you mean Teppei and Hana?
context: For what?\Keeping you locked in the base all this time.\I really am sorry.\Will you allow me to recruit her?\By the way, I'm not cheap.\Very well.\But she'll stay at my place, along with the other three.\Do you mean Teppei and Hana? response:	As well as Daichi-kun?
context: Keeping you locked in the base all this time.\I really am sorry.\Will you allow me to recruit her?\By the way, I'm not cheap.\Very well.\But she'll stay at my place, along with the other three.\Do you mean Teppei and Hana?\As well as Daichi-kun? response:	That's right.
context: I really am sorry.\Will you allow me to recruit her?\By the way, I'm not cheap.\Very well.\But she'll stay at my place, along with the other three.\Do you mean Teppei and Hana?\As well as Daichi-kun?\That's right. response:	I should have done this sooner...
context: Will you allow me to recruit her?\By the way, I'm not cheap.\Very well.\But she'll stay at my place, along with the other three.\Do you mean Teppei and Hana?\As well as Daichi-kun?\That's right.\I should have done this sooner... response:	I'm so grateful that Daichi made me realize it.
context: By the way, I'm not cheap.\Very well.\But she'll stay at my place, along with the other three.\Do you mean Teppei and Hana?\As well as Daichi-kun?\That's right.\I should have done this sooner...\I'm so grateful that Daichi made me realize it. response:	The wind on this island feels good, doesn't it?
context: Very well.\But she'll stay at my place, along with the other three.\Do you mean Teppei and Hana?\As well as Daichi-kun?\That's right.\I should have done this sooner...\I'm so grateful that Daichi made me realize it.\The wind on this island feels good, doesn't it? response:	Yeah, it does.
context: But she'll stay at my place, along with the other three.\Do you mean Teppei and Hana?\As well as Daichi-kun?\That's right.\I should have done this sooner...\I'm so grateful that Daichi made me realize it.\The wind on this island feels good, doesn't it?\Yeah, it does. response:	Hey...
context: Do you mean Teppei and Hana?\As well as Daichi-kun?\That's right.\I should have done this sooner...\I'm so grateful that Daichi made me realize it.\The wind on this island feels good, doesn't it?\Yeah, it does.\Hey... response:	Is this you?
context: As well as Daichi-kun?\That's right.\I should have done this sooner...\I'm so grateful that Daichi made me realize it.\The wind on this island feels good, doesn't it?\Yeah, it does.\Hey...\Is this you? response:	Ah... Yup.
context: That's right.\I should have done this sooner...\I'm so grateful that Daichi made me realize it.\The wind on this island feels good, doesn't it?\Yeah, it does.\Hey...\Is this you?\Ah... Yup. response:	My dad and Uncle Nishikubo were good friends.
context: I should have done this sooner...\I'm so grateful that Daichi made me realize it.\The wind on this island feels good, doesn't it?\Yeah, it does.\Hey...\Is this you?\Ah... Yup.\My dad and Uncle Nishikubo were good friends. response:	So when I was little, I used to stay here a lot.
context: I'm so grateful that Daichi made me realize it.\The wind on this island feels good, doesn't it?\Yeah, it does.\Hey...\Is this you?\Ah... Yup.\My dad and Uncle Nishikubo were good friends.\So when I was little, I used to stay here a lot. response:	I loved this island...
context: The wind on this island feels good, doesn't it?\Yeah, it does.\Hey...\Is this you?\Ah... Yup.\My dad and Uncle Nishikubo were good friends.\So when I was little, I used to stay here a lot.\I loved this island... response:	That's you, isn't it?
context: Yeah, it does.\Hey...\Is this you?\Ah... Yup.\My dad and Uncle Nishikubo were good friends.\So when I was little, I used to stay here a lot.\I loved this island...\That's you, isn't it? response:	Hey, I'm back.
context: Hey...\Is this you?\Ah... Yup.\My dad and Uncle Nishikubo were good friends.\So when I was little, I used to stay here a lot.\I loved this island...\That's you, isn't it?\Hey, I'm back. response:	You're a good cook!
context: Is this you?\Ah... Yup.\My dad and Uncle Nishikubo were good friends.\So when I was little, I used to stay here a lot.\I loved this island...\That's you, isn't it?\Hey, I'm back.\You're a good cook! response:	I can't make anything special.
context: Ah... Yup.\My dad and Uncle Nishikubo were good friends.\So when I was little, I used to stay here a lot.\I loved this island...\That's you, isn't it?\Hey, I'm back.\You're a good cook!\I can't make anything special. response:	It looks good, doesn't it?
context: My dad and Uncle Nishikubo were good friends.\So when I was little, I used to stay here a lot.\I loved this island...\That's you, isn't it?\Hey, I'm back.\You're a good cook!\I can't make anything special.\It looks good, doesn't it? response:	Yeah.
context: So when I was little, I used to stay here a lot.\I loved this island...\That's you, isn't it?\Hey, I'm back.\You're a good cook!\I can't make anything special.\It looks good, doesn't it?\Yeah. response:	It smells great.
context: I loved this island...\That's you, isn't it?\Hey, I'm back.\You're a good cook!\I can't make anything special.\It looks good, doesn't it?\Yeah.\It smells great. response:	You're cuter when you smile.
context: That's you, isn't it?\Hey, I'm back.\You're a good cook!\I can't make anything special.\It looks good, doesn't it?\Yeah.\It smells great.\You're cuter when you smile. response:	Listen up...
context: Hey, I'm back.\You're a good cook!\I can't make anything special.\It looks good, doesn't it?\Yeah.\It smells great.\You're cuter when you smile.\Listen up... response:	From now on, you're family, and this is your house.
context: You're a good cook!\I can't make anything special.\It looks good, doesn't it?\Yeah.\It smells great.\You're cuter when you smile.\Listen up...\From now on, you're family, and this is your house. response:	But you're growing boys and girls living beneath the same roof.
context: I can't make anything special.\It looks good, doesn't it?\Yeah.\It smells great.\You're cuter when you smile.\Listen up...\From now on, you're family, and this is your house.\But you're growing boys and girls living beneath the same roof. response:	So try to show some restraint.
context: It looks good, doesn't it?\Yeah.\It smells great.\You're cuter when you smile.\Listen up...\From now on, you're family, and this is your house.\But you're growing boys and girls living beneath the same roof.\So try to show some restraint. response:	You know what I mean, right?
context: Yeah.\It smells great.\You're cuter when you smile.\Listen up...\From now on, you're family, and this is your house.\But you're growing boys and girls living beneath the same roof.\So try to show some restraint.\You know what I mean, right? response:	Restraint?
context: It smells great.\You're cuter when you smile.\Listen up...\From now on, you're family, and this is your house.\But you're growing boys and girls living beneath the same roof.\So try to show some restraint.\You know what I mean, right?\Restraint? response:	Restraint?
context: You're cuter when you smile.\Listen up...\From now on, you're family, and this is your house.\But you're growing boys and girls living beneath the same roof.\So try to show some restraint.\You know what I mean, right?\Restraint?\Restraint? response:	Was the cologne in the bathroom a present from Rita-san?
context: Listen up...\From now on, you're family, and this is your house.\But you're growing boys and girls living beneath the same roof.\So try to show some restraint.\You know what I mean, right?\Restraint?\Restraint?\Was the cologne in the bathroom a present from Rita-san? response:	Don't worry about small things like that!
context: From now on, you're family, and this is your house.\But you're growing boys and girls living beneath the same roof.\So try to show some restraint.\You know what I mean, right?\Restraint?\Restraint?\Was the cologne in the bathroom a present from Rita-san?\Don't worry about small things like that! response:	It makes you a small person.
context: But you're growing boys and girls living beneath the same roof.\So try to show some restraint.\You know what I mean, right?\Restraint?\Restraint?\Was the cologne in the bathroom a present from Rita-san?\Don't worry about small things like that!\It makes you a small person. response:	Um...
context: So try to show some restraint.\You know what I mean, right?\Restraint?\Restraint?\Was the cologne in the bathroom a present from Rita-san?\Don't worry about small things like that!\It makes you a small person.\Um... response:	I can't find the switch for the steam bath...
context: You know what I mean, right?\Restraint?\Restraint?\Was the cologne in the bathroom a present from Rita-san?\Don't worry about small things like that!\It makes you a small person.\Um...\I can't find the switch for the steam bath... response:	We don't have one here!
