context: Miyagi High School Track and Field Meet response:	The boys 5,000 meter finals will begin shortly.
context: Miyagi High School Track and Field Meet\The boys 5,000 meter finals will begin shortly. response:	Sendai Josei High School
context: Miyagi High School Track and Field Meet\The boys 5,000 meter finals will begin shortly.\Sendai Josei High School response:	How's your stomach?
context: Miyagi High School Track and Field Meet\The boys 5,000 meter finals will begin shortly.\Sendai Josei High School\How's your stomach? response:	Hanging in there.
context: Miyagi High School Track and Field Meet\The boys 5,000 meter finals will begin shortly.\Sendai Josei High School\How's your stomach?\Hanging in there. response:	Sorry, but I won't hold back.
context: Miyagi High School Track and Field Meet\The boys 5,000 meter finals will begin shortly.\Sendai Josei High School\How's your stomach?\Hanging in there.\Sorry, but I won't hold back. response:	Certain Victory
context: Miyagi High School Track and Field Meet\The boys 5,000 meter finals will begin shortly.\Sendai Josei High School\How's your stomach?\Hanging in there.\Sorry, but I won't hold back.\Certain Victory response:	You can do it, Kurahara!
context: Miyagi High School Track and Field Meet\The boys 5,000 meter finals will begin shortly.\Sendai Josei High School\How's your stomach?\Hanging in there.\Sorry, but I won't hold back.\Certain Victory\You can do it, Kurahara! response:	Go!
context: The boys 5,000 meter finals will begin shortly.\Sendai Josei High School\How's your stomach?\Hanging in there.\Sorry, but I won't hold back.\Certain Victory\You can do it, Kurahara!\Go! response:	Apparently, he wasn't in perfect condition.
context: Sendai Josei High School\How's your stomach?\Hanging in there.\Sorry, but I won't hold back.\Certain Victory\You can do it, Kurahara!\Go!\Apparently, he wasn't in perfect condition. response:	What? And he still finished in 13:54?
context: How's your stomach?\Hanging in there.\Sorry, but I won't hold back.\Certain Victory\You can do it, Kurahara!\Go!\Apparently, he wasn't in perfect condition.\What? And he still finished in 13:54? response:	Isn't he still a second-year?
context: Hanging in there.\Sorry, but I won't hold back.\Certain Victory\You can do it, Kurahara!\Go!\Apparently, he wasn't in perfect condition.\What? And he still finished in 13:54?\Isn't he still a second-year? response:	Disgraceful!
context: Sorry, but I won't hold back.\Certain Victory\You can do it, Kurahara!\Go!\Apparently, he wasn't in perfect condition.\What? And he still finished in 13:54?\Isn't he still a second-year?\Disgraceful! response:	Average times like these are as good as losses!
context: Certain Victory\You can do it, Kurahara!\Go!\Apparently, he wasn't in perfect condition.\What? And he still finished in 13:54?\Isn't he still a second-year?\Disgraceful!\Average times like these are as good as losses! response:	Learn from Kurahara!
