context: The strong survive... response:	He said that's the way the world worked.
context: The strong survive...\He said that's the way the world worked. response:	I can't accept that.
context: The strong survive...\He said that's the way the world worked.\I can't accept that. response:	He should be taken down.
context: The strong survive...\He said that's the way the world worked.\I can't accept that.\He should be taken down. response:	Just you wait, Biba
context: The strong survive...\He said that's the way the world worked.\I can't accept that.\He should be taken down.\Just you wait, Biba response:	Everyone in red armbands head to the back.
context: The strong survive...\He said that's the way the world worked.\I can't accept that.\He should be taken down.\Just you wait, Biba\Everyone in red armbands head to the back. response:	Traitor.
context: The strong survive...\He said that's the way the world worked.\I can't accept that.\He should be taken down.\Just you wait, Biba\Everyone in red armbands head to the back.\Traitor. response:	Sorry, my policy is to follow the guy with the biggest guns.
context: The strong survive...\He said that's the way the world worked.\I can't accept that.\He should be taken down.\Just you wait, Biba\Everyone in red armbands head to the back.\Traitor.\Sorry, my policy is to follow the guy with the biggest guns. response:	Yukina-san.
context: He said that's the way the world worked.\I can't accept that.\He should be taken down.\Just you wait, Biba\Everyone in red armbands head to the back.\Traitor.\Sorry, my policy is to follow the guy with the biggest guns.\Yukina-san. response:	This is for Ikoma.
context: I can't accept that.\He should be taken down.\Just you wait, Biba\Everyone in red armbands head to the back.\Traitor.\Sorry, my policy is to follow the guy with the biggest guns.\Yukina-san.\This is for Ikoma. response:	He's with them now.
context: He should be taken down.\Just you wait, Biba\Everyone in red armbands head to the back.\Traitor.\Sorry, my policy is to follow the guy with the biggest guns.\Yukina-san.\This is for Ikoma.\He's with them now. response:	It makes me sick
context: Just you wait, Biba\Everyone in red armbands head to the back.\Traitor.\Sorry, my policy is to follow the guy with the biggest guns.\Yukina-san.\This is for Ikoma.\He's with them now.\It makes me sick response:	Do you think he really is?
context: Everyone in red armbands head to the back.\Traitor.\Sorry, my policy is to follow the guy with the biggest guns.\Yukina-san.\This is for Ikoma.\He's with them now.\It makes me sick\Do you think he really is? response:	Probably.
context: Traitor.\Sorry, my policy is to follow the guy with the biggest guns.\Yukina-san.\This is for Ikoma.\He's with them now.\It makes me sick\Do you think he really is?\Probably. response:	Ikoma.
context: Sorry, my policy is to follow the guy with the biggest guns.\Yukina-san.\This is for Ikoma.\He's with them now.\It makes me sick\Do you think he really is?\Probably.\Ikoma. response:	Here.
context: Yukina-san.\This is for Ikoma.\He's with them now.\It makes me sick\Do you think he really is?\Probably.\Ikoma.\Here. response:	Hold up, Takumi.
context: This is for Ikoma.\He's with them now.\It makes me sick\Do you think he really is?\Probably.\Ikoma.\Here.\Hold up, Takumi. response:	You're supposed to go over there.
