context: That far off future was suddenly upon us... response:	And soon, it too will become a passing memory.
context: That far off future was suddenly upon us...\And soon, it too will become a passing memory. response:	Alicia, the future always has a worried look on its face.
context: That far off future was suddenly upon us...\And soon, it too will become a passing memory.\Alicia, the future always has a worried look on its face. response:	So let's go greet it with a smile, together.
context: That far off future was suddenly upon us...\And soon, it too will become a passing memory.\Alicia, the future always has a worried look on its face.\So let's go greet it with a smile, together. response:	Akari...
context: That far off future was suddenly upon us...\And soon, it too will become a passing memory.\Alicia, the future always has a worried look on its face.\So let's go greet it with a smile, together.\Akari... response:	Alicia, good morning.
context: That far off future was suddenly upon us...\And soon, it too will become a passing memory.\Alicia, the future always has a worried look on its face.\So let's go greet it with a smile, together.\Akari...\Alicia, good morning. response:	My, good morning, Akari.
context: That far off future was suddenly upon us...\And soon, it too will become a passing memory.\Alicia, the future always has a worried look on its face.\So let's go greet it with a smile, together.\Akari...\Alicia, good morning.\My, good morning, Akari. response:	Umm... I put on my uniform.
context: That far off future was suddenly upon us...\And soon, it too will become a passing memory.\Alicia, the future always has a worried look on its face.\So let's go greet it with a smile, together.\Akari...\Alicia, good morning.\My, good morning, Akari.\Umm... I put on my uniform. response:	My, my!
context: And soon, it too will become a passing memory.\Alicia, the future always has a worried look on its face.\So let's go greet it with a smile, together.\Akari...\Alicia, good morning.\My, good morning, Akari.\Umm... I put on my uniform.\My, my! response:	Yes, it looks great on you!
context: Alicia, the future always has a worried look on its face.\So let's go greet it with a smile, together.\Akari...\Alicia, good morning.\My, good morning, Akari.\Umm... I put on my uniform.\My, my!\Yes, it looks great on you! response:	W-What is it?
context: So let's go greet it with a smile, together.\Akari...\Alicia, good morning.\My, good morning, Akari.\Umm... I put on my uniform.\My, my!\Yes, it looks great on you!\W-What is it? response:	I'm just happy, that's all.
context: Akari...\Alicia, good morning.\My, good morning, Akari.\Umm... I put on my uniform.\My, my!\Yes, it looks great on you!\W-What is it?\I'm just happy, that's all. response:	We heard! We heard!
