context: Hey Yukino. response:	We're about to leave...
context: Hey Yukino.\We're about to leave... response:	Wh..What is it?
context: Hey Yukino.\We're about to leave...\Wh..What is it? response:	I love you.
context: Hey Yukino.\We're about to leave...\Wh..What is it?\I love you. response:	Today we're going to visit grandpa.
context: Hey Yukino.\We're about to leave...\Wh..What is it?\I love you.\Today we're going to visit grandpa. response:	But it's really only a short train ride away.
context: Hey Yukino.\We're about to leave...\Wh..What is it?\I love you.\Today we're going to visit grandpa.\But it's really only a short train ride away. response:	Actually...
context: Hey Yukino.\We're about to leave...\Wh..What is it?\I love you.\Today we're going to visit grandpa.\But it's really only a short train ride away.\Actually... response:	Yukino's really taken after mom.
context: Hey Yukino.\We're about to leave...\Wh..What is it?\I love you.\Today we're going to visit grandpa.\But it's really only a short train ride away.\Actually...\Yukino's really taken after mom. response:	Sometimes it feels like I'm seeing mom in her youth.
context: We're about to leave...\Wh..What is it?\I love you.\Today we're going to visit grandpa.\But it's really only a short train ride away.\Actually...\Yukino's really taken after mom.\Sometimes it feels like I'm seeing mom in her youth. response:	You knew each other since you were kids, right?
context: Wh..What is it?\I love you.\Today we're going to visit grandpa.\But it's really only a short train ride away.\Actually...\Yukino's really taken after mom.\Sometimes it feels like I'm seeing mom in her youth.\You knew each other since you were kids, right? response:	Yeah...
context: I love you.\Today we're going to visit grandpa.\But it's really only a short train ride away.\Actually...\Yukino's really taken after mom.\Sometimes it feels like I'm seeing mom in her youth.\You knew each other since you were kids, right?\Yeah... response:	We used to play together all the time...
context: Today we're going to visit grandpa.\But it's really only a short train ride away.\Actually...\Yukino's really taken after mom.\Sometimes it feels like I'm seeing mom in her youth.\You knew each other since you were kids, right?\Yeah...\We used to play together all the time... response:	Your father always played the stupidest, most dangerous games.
context: But it's really only a short train ride away.\Actually...\Yukino's really taken after mom.\Sometimes it feels like I'm seeing mom in her youth.\You knew each other since you were kids, right?\Yeah...\We used to play together all the time...\Your father always played the stupidest, most dangerous games. response:	He kept making me go along and I had a terrible time.
context: Actually...\Yukino's really taken after mom.\Sometimes it feels like I'm seeing mom in her youth.\You knew each other since you were kids, right?\Yeah...\We used to play together all the time...\Your father always played the stupidest, most dangerous games.\He kept making me go along and I had a terrible time. response:	Huh!
context: Yukino's really taken after mom.\Sometimes it feels like I'm seeing mom in her youth.\You knew each other since you were kids, right?\Yeah...\We used to play together all the time...\Your father always played the stupidest, most dangerous games.\He kept making me go along and I had a terrible time.\Huh! response:	I'm feeling sick just thinking about it...
context: Sometimes it feels like I'm seeing mom in her youth.\You knew each other since you were kids, right?\Yeah...\We used to play together all the time...\Your father always played the stupidest, most dangerous games.\He kept making me go along and I had a terrible time.\Huh!\I'm feeling sick just thinking about it... response:	I was a bit mischievous as a kid.
context: You knew each other since you were kids, right?\Yeah...\We used to play together all the time...\Your father always played the stupidest, most dangerous games.\He kept making me go along and I had a terrible time.\Huh!\I'm feeling sick just thinking about it...\I was a bit mischievous as a kid. response:	Huh!
context: Yeah...\We used to play together all the time...\Your father always played the stupidest, most dangerous games.\He kept making me go along and I had a terrible time.\Huh!\I'm feeling sick just thinking about it...\I was a bit mischievous as a kid.\Huh! response:	He hasn't grown up at all.
context: We used to play together all the time...\Your father always played the stupidest, most dangerous games.\He kept making me go along and I had a terrible time.\Huh!\I'm feeling sick just thinking about it...\I was a bit mischievous as a kid.\Huh!\He hasn't grown up at all. response:	My feelings turned into love
context: Your father always played the stupidest, most dangerous games.\He kept making me go along and I had a terrible time.\Huh!\I'm feeling sick just thinking about it...\I was a bit mischievous as a kid.\Huh!\He hasn't grown up at all.\My feelings turned into love response:	when mom was in tenth grade.
context: He kept making me go along and I had a terrible time.\Huh!\I'm feeling sick just thinking about it...\I was a bit mischievous as a kid.\Huh!\He hasn't grown up at all.\My feelings turned into love\when mom was in tenth grade. response:	Exactly the age Yukino is now!
context: Huh!\I'm feeling sick just thinking about it...\I was a bit mischievous as a kid.\Huh!\He hasn't grown up at all.\My feelings turned into love\when mom was in tenth grade.\Exactly the age Yukino is now! response:	So lately, when I look at Yukino...
context: I'm feeling sick just thinking about it...\I was a bit mischievous as a kid.\Huh!\He hasn't grown up at all.\My feelings turned into love\when mom was in tenth grade.\Exactly the age Yukino is now!\So lately, when I look at Yukino... response:	I get this funny feeling inside...
context: I was a bit mischievous as a kid.\Huh!\He hasn't grown up at all.\My feelings turned into love\when mom was in tenth grade.\Exactly the age Yukino is now!\So lately, when I look at Yukino...\I get this funny feeling inside... response:	The next stop is...
context: Huh!\He hasn't grown up at all.\My feelings turned into love\when mom was in tenth grade.\Exactly the age Yukino is now!\So lately, when I look at Yukino...\I get this funny feeling inside...\The next stop is... response:	Hi Grandpa!
context: He hasn't grown up at all.\My feelings turned into love\when mom was in tenth grade.\Exactly the age Yukino is now!\So lately, when I look at Yukino...\I get this funny feeling inside...\The next stop is...\Hi Grandpa! response:	Oh, there you are!
context: My feelings turned into love\when mom was in tenth grade.\Exactly the age Yukino is now!\So lately, when I look at Yukino...\I get this funny feeling inside...\The next stop is...\Hi Grandpa!\Oh, there you are! response:	I'm glad you came. Come in, come in.
context: when mom was in tenth grade.\Exactly the age Yukino is now!\So lately, when I look at Yukino...\I get this funny feeling inside...\The next stop is...\Hi Grandpa!\Oh, there you are!\I'm glad you came. Come in, come in. response:	Hey there. Why the hell did you close the door?!
context: Exactly the age Yukino is now!\So lately, when I look at Yukino...\I get this funny feeling inside...\The next stop is...\Hi Grandpa!\Oh, there you are!\I'm glad you came. Come in, come in.\Hey there. Why the hell did you close the door?! response:	Shut the hell up! We don't need you! Go home!
context: So lately, when I look at Yukino...\I get this funny feeling inside...\The next stop is...\Hi Grandpa!\Oh, there you are!\I'm glad you came. Come in, come in.\Hey there. Why the hell did you close the door?!\Shut the hell up! We don't need you! Go home! response:	Mom and dad decided to get married when they were young.
context: I get this funny feeling inside...\The next stop is...\Hi Grandpa!\Oh, there you are!\I'm glad you came. Come in, come in.\Hey there. Why the hell did you close the door?!\Shut the hell up! We don't need you! Go home!\Mom and dad decided to get married when they were young. response:	So dad got beat up by grandpa,
context: The next stop is...\Hi Grandpa!\Oh, there you are!\I'm glad you came. Come in, come in.\Hey there. Why the hell did you close the door?!\Shut the hell up! We don't need you! Go home!\Mom and dad decided to get married when they were young.\So dad got beat up by grandpa, response:	and they're still on bad terms to this day.
context: Hi Grandpa!\Oh, there you are!\I'm glad you came. Come in, come in.\Hey there. Why the hell did you close the door?!\Shut the hell up! We don't need you! Go home!\Mom and dad decided to get married when they were young.\So dad got beat up by grandpa,\and they're still on bad terms to this day. response:	Hmph!
context: Oh, there you are!\I'm glad you came. Come in, come in.\Hey there. Why the hell did you close the door?!\Shut the hell up! We don't need you! Go home!\Mom and dad decided to get married when they were young.\So dad got beat up by grandpa,\and they're still on bad terms to this day.\Hmph! response:	Oh!
context: I'm glad you came. Come in, come in.\Hey there. Why the hell did you close the door?!\Shut the hell up! We don't need you! Go home!\Mom and dad decided to get married when they were young.\So dad got beat up by grandpa,\and they're still on bad terms to this day.\Hmph!\Oh! response:	Not again...
context: Hey there. Why the hell did you close the door?!\Shut the hell up! We don't need you! Go home!\Mom and dad decided to get married when they were young.\So dad got beat up by grandpa,\and they're still on bad terms to this day.\Hmph!\Oh!\Not again... response:	Why, the three of you have gotten even more beautiful since I last saw you...
context: Shut the hell up! We don't need you! Go home!\Mom and dad decided to get married when they were young.\So dad got beat up by grandpa,\and they're still on bad terms to this day.\Hmph!\Oh!\Not again...\Why, the three of you have gotten even more beautiful since I last saw you... response:	Just like the three dolls for the Girls' Festival.
context: Mom and dad decided to get married when they were young.\So dad got beat up by grandpa,\and they're still on bad terms to this day.\Hmph!\Oh!\Not again...\Why, the three of you have gotten even more beautiful since I last saw you...\Just like the three dolls for the Girls' Festival. response:	HeeHee...
context: So dad got beat up by grandpa,\and they're still on bad terms to this day.\Hmph!\Oh!\Not again...\Why, the three of you have gotten even more beautiful since I last saw you...\Just like the three dolls for the Girls' Festival.\HeeHee... response:	You've grown so well even under the care of such a failure...
context: and they're still on bad terms to this day.\Hmph!\Oh!\Not again...\Why, the three of you have gotten even more beautiful since I last saw you...\Just like the three dolls for the Girls' Festival.\HeeHee...\You've grown so well even under the care of such a failure... response:	Such gallant effort!
context: Hmph!\Oh!\Not again...\Why, the three of you have gotten even more beautiful since I last saw you...\Just like the three dolls for the Girls' Festival.\HeeHee...\You've grown so well even under the care of such a failure...\Such gallant effort! response:	It brings tears to my eyes.
context: Oh!\Not again...\Why, the three of you have gotten even more beautiful since I last saw you...\Just like the three dolls for the Girls' Festival.\HeeHee...\You've grown so well even under the care of such a failure...\Such gallant effort!\It brings tears to my eyes. response:	The old geezer's as obnoxious as ever.
context: Not again...\Why, the three of you have gotten even more beautiful since I last saw you...\Just like the three dolls for the Girls' Festival.\HeeHee...\You've grown so well even under the care of such a failure...\Such gallant effort!\It brings tears to my eyes.\The old geezer's as obnoxious as ever. response:	He keeps on grumbling just
context: Why, the three of you have gotten even more beautiful since I last saw you...\Just like the three dolls for the Girls' Festival.\HeeHee...\You've grown so well even under the care of such a failure...\Such gallant effort!\It brings tears to my eyes.\The old geezer's as obnoxious as ever.\He keeps on grumbling just response:	because I took his daughter away.
context: Just like the three dolls for the Girls' Festival.\HeeHee...\You've grown so well even under the care of such a failure...\Such gallant effort!\It brings tears to my eyes.\The old geezer's as obnoxious as ever.\He keeps on grumbling just\because I took his daughter away. response:	You just don't know when to give up. Let go of your daughter already!
context: HeeHee...\You've grown so well even under the care of such a failure...\Such gallant effort!\It brings tears to my eyes.\The old geezer's as obnoxious as ever.\He keeps on grumbling just\because I took his daughter away.\You just don't know when to give up. Let go of your daughter already! response:	You too, Dad.
context: You've grown so well even under the care of such a failure...\Such gallant effort!\It brings tears to my eyes.\The old geezer's as obnoxious as ever.\He keeps on grumbling just\because I took his daughter away.\You just don't know when to give up. Let go of your daughter already!\You too, Dad. response:	You minimum-wage wimp...
context: Such gallant effort!\It brings tears to my eyes.\The old geezer's as obnoxious as ever.\He keeps on grumbling just\because I took his daughter away.\You just don't know when to give up. Let go of your daughter already!\You too, Dad.\You minimum-wage wimp... response:	Oh!
context: It brings tears to my eyes.\The old geezer's as obnoxious as ever.\He keeps on grumbling just\because I took his daughter away.\You just don't know when to give up. Let go of your daughter already!\You too, Dad.\You minimum-wage wimp...\Oh! response:	Don't bring my salary into this!!
context: The old geezer's as obnoxious as ever.\He keeps on grumbling just\because I took his daughter away.\You just don't know when to give up. Let go of your daughter already!\You too, Dad.\You minimum-wage wimp...\Oh!\Don't bring my salary into this!! response:	Shut up, you brat!
context: He keeps on grumbling just\because I took his daughter away.\You just don't know when to give up. Let go of your daughter already!\You too, Dad.\You minimum-wage wimp...\Oh!\Don't bring my salary into this!!\Shut up, you brat! response:	You could never understand how it feels to have married my precious daughter off to a (bleep) like you!
context: because I took his daughter away.\You just don't know when to give up. Let go of your daughter already!\You too, Dad.\You minimum-wage wimp...\Oh!\Don't bring my salary into this!!\Shut up, you brat!\You could never understand how it feels to have married my precious daughter off to a (bleep) like you! response:	I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!
context: You just don't know when to give up. Let go of your daughter already!\You too, Dad.\You minimum-wage wimp...\Oh!\Don't bring my salary into this!!\Shut up, you brat!\You could never understand how it feels to have married my precious daughter off to a (bleep) like you!\I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart! response:	Love! Heh heh!
context: You too, Dad.\You minimum-wage wimp...\Oh!\Don't bring my salary into this!!\Shut up, you brat!\You could never understand how it feels to have married my precious daughter off to a (bleep) like you!\I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!\Love! Heh heh! response:	Love! Here! I'll make it into calligraphy!!
context: You minimum-wage wimp...\Oh!\Don't bring my salary into this!!\Shut up, you brat!\You could never understand how it feels to have married my precious daughter off to a (bleep) like you!\I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!\Love! Heh heh!\Love! Here! I'll make it into calligraphy!! response:	Goddammit!
context: Oh!\Don't bring my salary into this!!\Shut up, you brat!\You could never understand how it feels to have married my precious daughter off to a (bleep) like you!\I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!\Love! Heh heh!\Love! Here! I'll make it into calligraphy!!\Goddammit! response:	Are you frustrated that you can't do anything, my little Hero of Love?
context: Don't bring my salary into this!!\Shut up, you brat!\You could never understand how it feels to have married my precious daughter off to a (bleep) like you!\I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!\Love! Heh heh!\Love! Here! I'll make it into calligraphy!!\Goddammit!\Are you frustrated that you can't do anything, my little Hero of Love? response:	I dare you to defeat this old geezer!
