context: <Don't catch a cold!> response:	<Hachoo!>
context: <Don't catch a cold!>\<Hachoo!> response:	2 Years Ago Siberia
context: <Don't catch a cold!>\<Hachoo!>\2 Years Ago Siberia response:	Look! A shooting star!
context: <Don't catch a cold!>\<Hachoo!>\2 Years Ago Siberia\Look! A shooting star! response:	Really? Where? Where?
context: <Don't catch a cold!>\<Hachoo!>\2 Years Ago Siberia\Look! A shooting star!\Really? Where? Where? response:	Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?
context: <Don't catch a cold!>\<Hachoo!>\2 Years Ago Siberia\Look! A shooting star!\Really? Where? Where?\Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears? response:	Well, that's what people believe in Japan.
context: <Don't catch a cold!>\<Hachoo!>\2 Years Ago Siberia\Look! A shooting star!\Really? Where? Where?\Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?\Well, that's what people believe in Japan. response:	Your mom told me a long time ago...
context: <Don't catch a cold!>\<Hachoo!>\2 Years Ago Siberia\Look! A shooting star!\Really? Where? Where?\Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?\Well, that's what people believe in Japan.\Your mom told me a long time ago... response:	That there are other charms that can make you pretty or make you grow taller.
context: <Hachoo!>\2 Years Ago Siberia\Look! A shooting star!\Really? Where? Where?\Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?\Well, that's what people believe in Japan.\Your mom told me a long time ago...\That there are other charms that can make you pretty or make you grow taller. response:	Really?!
context: 2 Years Ago Siberia\Look! A shooting star!\Really? Where? Where?\Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?\Well, that's what people believe in Japan.\Your mom told me a long time ago...\That there are other charms that can make you pretty or make you grow taller.\Really?! response:	What are you wishing for?
context: Look! A shooting star!\Really? Where? Where?\Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?\Well, that's what people believe in Japan.\Your mom told me a long time ago...\That there are other charms that can make you pretty or make you grow taller.\Really?!\What are you wishing for? response:	Top secret!
context: Really? Where? Where?\Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?\Well, that's what people believe in Japan.\Your mom told me a long time ago...\That there are other charms that can make you pretty or make you grow taller.\Really?!\What are you wishing for?\Top secret! response:	Papa, is it also true that every time a star falls, someone has died?
context: Papa, is it true that your wish will be granted if you say it three times before the shooting star disappears?\Well, that's what people believe in Japan.\Your mom told me a long time ago...\That there are other charms that can make you pretty or make you grow taller.\Really?!\What are you wishing for?\Top secret!\Papa, is it also true that every time a star falls, someone has died? response:	Perhaps.
context: Well, that's what people believe in Japan.\Your mom told me a long time ago...\That there are other charms that can make you pretty or make you grow taller.\Really?!\What are you wishing for?\Top secret!\Papa, is it also true that every time a star falls, someone has died?\Perhaps. response:	Well, it was just a fairy tale back when we were able to see the true starry sky.
context: Your mom told me a long time ago...\That there are other charms that can make you pretty or make you grow taller.\Really?!\What are you wishing for?\Top secret!\Papa, is it also true that every time a star falls, someone has died?\Perhaps.\Well, it was just a fairy tale back when we were able to see the true starry sky. response:	Look! Another one!
context: That there are other charms that can make you pretty or make you grow taller.\Really?!\What are you wishing for?\Top secret!\Papa, is it also true that every time a star falls, someone has died?\Perhaps.\Well, it was just a fairy tale back when we were able to see the true starry sky.\Look! Another one! response:	What? Really?!
context: Really?!\What are you wishing for?\Top secret!\Papa, is it also true that every time a star falls, someone has died?\Perhaps.\Well, it was just a fairy tale back when we were able to see the true starry sky.\Look! Another one!\What? Really?! response:	May...
context: What are you wishing for?\Top secret!\Papa, is it also true that every time a star falls, someone has died?\Perhaps.\Well, it was just a fairy tale back when we were able to see the true starry sky.\Look! Another one!\What? Really?!\May... response:	May...
context: Top secret!\Papa, is it also true that every time a star falls, someone has died?\Perhaps.\Well, it was just a fairy tale back when we were able to see the true starry sky.\Look! Another one!\What? Really?!\May...\May... response:	May...
context: Papa, is it also true that every time a star falls, someone has died?\Perhaps.\Well, it was just a fairy tale back when we were able to see the true starry sky.\Look! Another one!\What? Really?!\May...\May...\May... response:	Papa!
