context: What a weird dream. response:	My name is Iwatani Naofumi.
context: What a weird dream.\My name is Iwatani Naofumi. response:	I'm a somewhat otaku-leaning second-year college student.
context: What a weird dream.\My name is Iwatani Naofumi.\I'm a somewhat otaku-leaning second-year college student. response:	Sunny day, huh?
context: What a weird dream.\My name is Iwatani Naofumi.\I'm a somewhat otaku-leaning second-year college student.\Sunny day, huh? response:	When my kid brother started breaking bad, I brought him back in line,
context: What a weird dream.\My name is Iwatani Naofumi.\I'm a somewhat otaku-leaning second-year college student.\Sunny day, huh?\When my kid brother started breaking bad, I brought him back in line, response:	and so I had the privilege of living at home, allowance included.
context: What a weird dream.\My name is Iwatani Naofumi.\I'm a somewhat otaku-leaning second-year college student.\Sunny day, huh?\When my kid brother started breaking bad, I brought him back in line,\and so I had the privilege of living at home, allowance included. response:	With no need to work part-time, I got to enjoy an idyllic otaku life.
context: What a weird dream.\My name is Iwatani Naofumi.\I'm a somewhat otaku-leaning second-year college student.\Sunny day, huh?\When my kid brother started breaking bad, I brought him back in line,\and so I had the privilege of living at home, allowance included.\With no need to work part-time, I got to enjoy an idyllic otaku life. response:	That said, I certainly wasn't one of your so-called shut-ins.
context: What a weird dream.\My name is Iwatani Naofumi.\I'm a somewhat otaku-leaning second-year college student.\Sunny day, huh?\When my kid brother started breaking bad, I brought him back in line,\and so I had the privilege of living at home, allowance included.\With no need to work part-time, I got to enjoy an idyllic otaku life.\That said, I certainly wasn't one of your so-called shut-ins. response:	When I'd run out of money to spend,
context: My name is Iwatani Naofumi.\I'm a somewhat otaku-leaning second-year college student.\Sunny day, huh?\When my kid brother started breaking bad, I brought him back in line,\and so I had the privilege of living at home, allowance included.\With no need to work part-time, I got to enjoy an idyllic otaku life.\That said, I certainly wasn't one of your so-called shut-ins.\When I'd run out of money to spend, response:	I'd go to the library to browse through my light novels.
context: I'm a somewhat otaku-leaning second-year college student.\Sunny day, huh?\When my kid brother started breaking bad, I brought him back in line,\and so I had the privilege of living at home, allowance included.\With no need to work part-time, I got to enjoy an idyllic otaku life.\That said, I certainly wasn't one of your so-called shut-ins.\When I'd run out of money to spend,\I'd go to the library to browse through my light novels. response:	I was a completely run-of-the-mill otaku leading a completely ordinary life.
context: Sunny day, huh?\When my kid brother started breaking bad, I brought him back in line,\and so I had the privilege of living at home, allowance included.\With no need to work part-time, I got to enjoy an idyllic otaku life.\That said, I certainly wasn't one of your so-called shut-ins.\When I'd run out of money to spend,\I'd go to the library to browse through my light novels.\I was a completely run-of-the-mill otaku leading a completely ordinary life. response:	Ow!
context: When my kid brother started breaking bad, I brought him back in line,\and so I had the privilege of living at home, allowance included.\With no need to work part-time, I got to enjoy an idyllic otaku life.\That said, I certainly wasn't one of your so-called shut-ins.\When I'd run out of money to spend,\I'd go to the library to browse through my light novels.\I was a completely run-of-the-mill otaku leading a completely ordinary life.\Ow! response:	What the hell, man?
context: and so I had the privilege of living at home, allowance included.\With no need to work part-time, I got to enjoy an idyllic otaku life.\That said, I certainly wasn't one of your so-called shut-ins.\When I'd run out of money to spend,\I'd go to the library to browse through my light novels.\I was a completely run-of-the-mill otaku leading a completely ordinary life.\Ow!\What the hell, man? response:	But it all changed when I picked up this book.
context: With no need to work part-time, I got to enjoy an idyllic otaku life.\That said, I certainly wasn't one of your so-called shut-ins.\When I'd run out of money to spend,\I'd go to the library to browse through my light novels.\I was a completely run-of-the-mill otaku leading a completely ordinary life.\Ow!\What the hell, man?\But it all changed when I picked up this book. response:	The Records of the Four Cardinal Weapons
context: That said, I certainly wasn't one of your so-called shut-ins.\When I'd run out of money to spend,\I'd go to the library to browse through my light novels.\I was a completely run-of-the-mill otaku leading a completely ordinary life.\Ow!\What the hell, man?\But it all changed when I picked up this book.\The Records of the Four Cardinal Weapons response:	The Records of the Four Cardinal Weapons?
context: When I'd run out of money to spend,\I'd go to the library to browse through my light novels.\I was a completely run-of-the-mill otaku leading a completely ordinary life.\Ow!\What the hell, man?\But it all changed when I picked up this book.\The Records of the Four Cardinal Weapons\The Records of the Four Cardinal Weapons? response:	The Waves of Apocalyptic Catastrophe
context: I'd go to the library to browse through my light novels.\I was a completely run-of-the-mill otaku leading a completely ordinary life.\Ow!\What the hell, man?\But it all changed when I picked up this book.\The Records of the Four Cardinal Weapons\The Records of the Four Cardinal Weapons?\The Waves of Apocalyptic Catastrophe response:	The Waves of Apocalyptic Catastrophe...
context: I was a completely run-of-the-mill otaku leading a completely ordinary life.\Ow!\What the hell, man?\But it all changed when I picked up this book.\The Records of the Four Cardinal Weapons\The Records of the Four Cardinal Weapons?\The Waves of Apocalyptic Catastrophe\The Waves of Apocalyptic Catastrophe... response:	To save the world from them, four heroes will be summoned from another world.
context: Ow!\What the hell, man?\But it all changed when I picked up this book.\The Records of the Four Cardinal Weapons\The Records of the Four Cardinal Weapons?\The Waves of Apocalyptic Catastrophe\The Waves of Apocalyptic Catastrophe...\To save the world from them, four heroes will be summoned from another world. response:	How very like an LN.
