context: There it is... The old man's ship. response:	Right on time.
context: There it is... The old man's ship.\Right on time. response:	It's about twenty minutes away.
context: There it is... The old man's ship.\Right on time.\It's about twenty minutes away. response:	I-Is Mr. Joseph Joestar the only passenger?
context: There it is... The old man's ship.\Right on time.\It's about twenty minutes away.\I-Is Mr. Joseph Joestar the only passenger? response:	Yeah.
context: There it is... The old man's ship.\Right on time.\It's about twenty minutes away.\I-Is Mr. Joseph Joestar the only passenger?\Yeah. response:	The entire crew is from the Speedwagon Foundation.
context: There it is... The old man's ship.\Right on time.\It's about twenty minutes away.\I-Is Mr. Joseph Joestar the only passenger?\Yeah.\The entire crew is from the Speedwagon Foundation. response:	The Stand Chili Pepper can only move where there's electricity,
context: There it is... The old man's ship.\Right on time.\It's about twenty minutes away.\I-Is Mr. Joseph Joestar the only passenger?\Yeah.\The entire crew is from the Speedwagon Foundation.\The Stand Chili Pepper can only move where there's electricity, response:	but I'm sure he'll do everything possible to get
context: There it is... The old man's ship.\Right on time.\It's about twenty minutes away.\I-Is Mr. Joseph Joestar the only passenger?\Yeah.\The entire crew is from the Speedwagon Foundation.\The Stand Chili Pepper can only move where there's electricity,\but I'm sure he'll do everything possible to get response:	over the water and onto the old man's ship.
context: Right on time.\It's about twenty minutes away.\I-Is Mr. Joseph Joestar the only passenger?\Yeah.\The entire crew is from the Speedwagon Foundation.\The Stand Chili Pepper can only move where there's electricity,\but I'm sure he'll do everything possible to get\over the water and onto the old man's ship. response:	If he gets there before we do, we lose.
context: It's about twenty minutes away.\I-Is Mr. Joseph Joestar the only passenger?\Yeah.\The entire crew is from the Speedwagon Foundation.\The Stand Chili Pepper can only move where there's electricity,\but I'm sure he'll do everything possible to get\over the water and onto the old man's ship.\If he gets there before we do, we lose. response:	The old man will be killed.
context: I-Is Mr. Joseph Joestar the only passenger?\Yeah.\The entire crew is from the Speedwagon Foundation.\The Stand Chili Pepper can only move where there's electricity,\but I'm sure he'll do everything possible to get\over the water and onto the old man's ship.\If he gets there before we do, we lose.\The old man will be killed. response:	Jotaro!
context: Yeah.\The entire crew is from the Speedwagon Foundation.\The Stand Chili Pepper can only move where there's electricity,\but I'm sure he'll do everything possible to get\over the water and onto the old man's ship.\If he gets there before we do, we lose.\The old man will be killed.\Jotaro! response:	We've finished checking the boat.
