context: We're about to enter Tokyo airspace. Three minutes until the drop point. response:	Open the hatch.
context: We're about to enter Tokyo airspace. Three minutes until the drop point.\Open the hatch. response:	This route can only be used once.
context: We're about to enter Tokyo airspace. Three minutes until the drop point.\Open the hatch.\This route can only be used once. response:	There are no second chances. Got that?
context: We're about to enter Tokyo airspace. Three minutes until the drop point.\Open the hatch.\This route can only be used once.\There are no second chances. Got that? response:	That's supposed to be Tokyo?
context: We're about to enter Tokyo airspace. Three minutes until the drop point.\Open the hatch.\This route can only be used once.\There are no second chances. Got that?\That's supposed to be Tokyo? response:	You want us to break your granddaughter out?
context: We're about to enter Tokyo airspace. Three minutes until the drop point.\Open the hatch.\This route can only be used once.\There are no second chances. Got that?\That's supposed to be Tokyo?\You want us to break your granddaughter out? response:	Yes. The leader of the Ming Hua Group,
context: We're about to enter Tokyo airspace. Three minutes until the drop point.\Open the hatch.\This route can only be used once.\There are no second chances. Got that?\That's supposed to be Tokyo?\You want us to break your granddaughter out?\Yes. The leader of the Ming Hua Group, response:	the largest conglomerate in Shanghai,
context: We're about to enter Tokyo airspace. Three minutes until the drop point.\Open the hatch.\This route can only be used once.\There are no second chances. Got that?\That's supposed to be Tokyo?\You want us to break your granddaughter out?\Yes. The leader of the Ming Hua Group,\the largest conglomerate in Shanghai, response:	is in love with her.
context: Open the hatch.\This route can only be used once.\There are no second chances. Got that?\That's supposed to be Tokyo?\You want us to break your granddaughter out?\Yes. The leader of the Ming Hua Group,\the largest conglomerate in Shanghai,\is in love with her. response:	He says that, in exchange for her,
context: This route can only be used once.\There are no second chances. Got that?\That's supposed to be Tokyo?\You want us to break your granddaughter out?\Yes. The leader of the Ming Hua Group,\the largest conglomerate in Shanghai,\is in love with her.\He says that, in exchange for her, response:	he'll negotiate with the Association of Asian Nations on my behalf.
context: There are no second chances. Got that?\That's supposed to be Tokyo?\You want us to break your granddaughter out?\Yes. The leader of the Ming Hua Group,\the largest conglomerate in Shanghai,\is in love with her.\He says that, in exchange for her,\he'll negotiate with the Association of Asian Nations on my behalf. response:	In other words, you're talking about a marriage of convenience?
context: That's supposed to be Tokyo?\You want us to break your granddaughter out?\Yes. The leader of the Ming Hua Group,\the largest conglomerate in Shanghai,\is in love with her.\He says that, in exchange for her,\he'll negotiate with the Association of Asian Nations on my behalf.\In other words, you're talking about a marriage of convenience? response:	I never imagined this day would come.
context: You want us to break your granddaughter out?\Yes. The leader of the Ming Hua Group,\the largest conglomerate in Shanghai,\is in love with her.\He says that, in exchange for her,\he'll negotiate with the Association of Asian Nations on my behalf.\In other words, you're talking about a marriage of convenience?\I never imagined this day would come. response:	To think I'd witness first-hand
context: Yes. The leader of the Ming Hua Group,\the largest conglomerate in Shanghai,\is in love with her.\He says that, in exchange for her,\he'll negotiate with the Association of Asian Nations on my behalf.\In other words, you're talking about a marriage of convenience?\I never imagined this day would come.\To think I'd witness first-hand response:	what it's like when a nation declines.
context: the largest conglomerate in Shanghai,\is in love with her.\He says that, in exchange for her,\he'll negotiate with the Association of Asian Nations on my behalf.\In other words, you're talking about a marriage of convenience?\I never imagined this day would come.\To think I'd witness first-hand\what it's like when a nation declines. response:	I'll secure the escape route.
context: is in love with her.\He says that, in exchange for her,\he'll negotiate with the Association of Asian Nations on my behalf.\In other words, you're talking about a marriage of convenience?\I never imagined this day would come.\To think I'd witness first-hand\what it's like when a nation declines.\I'll secure the escape route. response:	We'll meet up in 36 hours.
context: He says that, in exchange for her,\he'll negotiate with the Association of Asian Nations on my behalf.\In other words, you're talking about a marriage of convenience?\I never imagined this day would come.\To think I'd witness first-hand\what it's like when a nation declines.\I'll secure the escape route.\We'll meet up in 36 hours. response:	Good luck!
context: he'll negotiate with the Association of Asian Nations on my behalf.\In other words, you're talking about a marriage of convenience?\I never imagined this day would come.\To think I'd witness first-hand\what it's like when a nation declines.\I'll secure the escape route.\We'll meet up in 36 hours.\Good luck! response:	Thanks!
context: In other words, you're talking about a marriage of convenience?\I never imagined this day would come.\To think I'd witness first-hand\what it's like when a nation declines.\I'll secure the escape route.\We'll meet up in 36 hours.\Good luck!\Thanks! response:	The reality of the destruction around us fills our mind
context: I never imagined this day would come.\To think I'd witness first-hand\what it's like when a nation declines.\I'll secure the escape route.\We'll meet up in 36 hours.\Good luck!\Thanks!\The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: To think I'd witness first-hand\what it's like when a nation declines.\I'll secure the escape route.\We'll meet up in 36 hours.\Good luck!\Thanks!\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
