context: I cannot approve of this. response:	You could have defeated them both, yet you allowed them to escape.
context: I cannot approve of this.\You could have defeated them both, yet you allowed them to escape. response:	Killing them right away wouldn't be any fun.
context: I cannot approve of this.\You could have defeated them both, yet you allowed them to escape.\Killing them right away wouldn't be any fun. response:	You should chase the rabbit until it can no longer run, and kill it at the height of its terror.
context: I cannot approve of this.\You could have defeated them both, yet you allowed them to escape.\Killing them right away wouldn't be any fun.\You should chase the rabbit until it can no longer run, and kill it at the height of its terror. response:	But considering that you revealed Berserker's Noble Phantasm,
context: I cannot approve of this.\You could have defeated them both, yet you allowed them to escape.\Killing them right away wouldn't be any fun.\You should chase the rabbit until it can no longer run, and kill it at the height of its terror.\But considering that you revealed Berserker's Noble Phantasm, response:	I believe you should have killed at least one of them.
context: I cannot approve of this.\You could have defeated them both, yet you allowed them to escape.\Killing them right away wouldn't be any fun.\You should chase the rabbit until it can no longer run, and kill it at the height of its terror.\But considering that you revealed Berserker's Noble Phantasm,\I believe you should have killed at least one of them. response:	That won't be a problem.
context: I cannot approve of this.\You could have defeated them both, yet you allowed them to escape.\Killing them right away wouldn't be any fun.\You should chase the rabbit until it can no longer run, and kill it at the height of its terror.\But considering that you revealed Berserker's Noble Phantasm,\I believe you should have killed at least one of them.\That won't be a problem. response:	There is no way to counter Berserker's Noble Phantasm.
context: I cannot approve of this.\You could have defeated them both, yet you allowed them to escape.\Killing them right away wouldn't be any fun.\You should chase the rabbit until it can no longer run, and kill it at the height of its terror.\But considering that you revealed Berserker's Noble Phantasm,\I believe you should have killed at least one of them.\That won't be a problem.\There is no way to counter Berserker's Noble Phantasm. response:	Yes.
context: You could have defeated them both, yet you allowed them to escape.\Killing them right away wouldn't be any fun.\You should chase the rabbit until it can no longer run, and kill it at the height of its terror.\But considering that you revealed Berserker's Noble Phantasm,\I believe you should have killed at least one of them.\That won't be a problem.\There is no way to counter Berserker's Noble Phantasm.\Yes. response:	Noble Phantasm...
context: Killing them right away wouldn't be any fun.\You should chase the rabbit until it can no longer run, and kill it at the height of its terror.\But considering that you revealed Berserker's Noble Phantasm,\I believe you should have killed at least one of them.\That won't be a problem.\There is no way to counter Berserker's Noble Phantasm.\Yes.\Noble Phantasm... response:	Once every three days, restoration.
context: You should chase the rabbit until it can no longer run, and kill it at the height of its terror.\But considering that you revealed Berserker's Noble Phantasm,\I believe you should have killed at least one of them.\That won't be a problem.\There is no way to counter Berserker's Noble Phantasm.\Yes.\Noble Phantasm...\Once every three days, restoration. response:	Surely you don't feel pity for Emiya Shirou.
context: But considering that you revealed Berserker's Noble Phantasm,\I believe you should have killed at least one of them.\That won't be a problem.\There is no way to counter Berserker's Noble Phantasm.\Yes.\Noble Phantasm...\Once every three days, restoration.\Surely you don't feel pity for Emiya Shirou. response:	You know I lack that emotion.
context: I believe you should have killed at least one of them.\That won't be a problem.\There is no way to counter Berserker's Noble Phantasm.\Yes.\Noble Phantasm...\Once every three days, restoration.\Surely you don't feel pity for Emiya Shirou.\You know I lack that emotion. response:	I will make him suffer in Kiritsugu's place!
context: That won't be a problem.\There is no way to counter Berserker's Noble Phantasm.\Yes.\Noble Phantasm...\Once every three days, restoration.\Surely you don't feel pity for Emiya Shirou.\You know I lack that emotion.\I will make him suffer in Kiritsugu's place! response:	You're awake?
context: There is no way to counter Berserker's Noble Phantasm.\Yes.\Noble Phantasm...\Once every three days, restoration.\Surely you don't feel pity for Emiya Shirou.\You know I lack that emotion.\I will make him suffer in Kiritsugu's place!\You're awake? response:	That's a good sign.
context: Yes.\Noble Phantasm...\Once every three days, restoration.\Surely you don't feel pity for Emiya Shirou.\You know I lack that emotion.\I will make him suffer in Kiritsugu's place!\You're awake?\That's a good sign. response:	Oh, your injuries seem to have healed already.
context: Noble Phantasm...\Once every three days, restoration.\Surely you don't feel pity for Emiya Shirou.\You know I lack that emotion.\I will make him suffer in Kiritsugu's place!\You're awake?\That's a good sign.\Oh, your injuries seem to have healed already. response:	T-Tohsaka...
context: Once every three days, restoration.\Surely you don't feel pity for Emiya Shirou.\You know I lack that emotion.\I will make him suffer in Kiritsugu's place!\You're awake?\That's a good sign.\Oh, your injuries seem to have healed already.\T-Tohsaka... response:	What are you...
context: Surely you don't feel pity for Emiya Shirou.\You know I lack that emotion.\I will make him suffer in Kiritsugu's place!\You're awake?\That's a good sign.\Oh, your injuries seem to have healed already.\T-Tohsaka...\What are you... response:	Wait, what did I do?
context: You know I lack that emotion.\I will make him suffer in Kiritsugu's place!\You're awake?\That's a good sign.\Oh, your injuries seem to have healed already.\T-Tohsaka...\What are you...\Wait, what did I do? response:	Pick one thing to be surprised about.
context: I will make him suffer in Kiritsugu's place!\You're awake?\That's a good sign.\Oh, your injuries seem to have healed already.\T-Tohsaka...\What are you...\Wait, what did I do?\Pick one thing to be surprised about. response:	I see.
context: You're awake?\That's a good sign.\Oh, your injuries seem to have healed already.\T-Tohsaka...\What are you...\Wait, what did I do?\Pick one thing to be surprised about.\I see. response:	I passed out, and you carried me back here.
context: That's a good sign.\Oh, your injuries seem to have healed already.\T-Tohsaka...\What are you...\Wait, what did I do?\Pick one thing to be surprised about.\I see.\I passed out, and you carried me back here. response:	You aren't as dumb as you look.
context: Oh, your injuries seem to have healed already.\T-Tohsaka...\What are you...\Wait, what did I do?\Pick one thing to be surprised about.\I see.\I passed out, and you carried me back here.\You aren't as dumb as you look. response:	That's very interesting. Well, goodbye.
context: T-Tohsaka...\What are you...\Wait, what did I do?\Pick one thing to be surprised about.\I see.\I passed out, and you carried me back here.\You aren't as dumb as you look.\That's very interesting. Well, goodbye. response:	Tohsaka...
context: What are you...\Wait, what did I do?\Pick one thing to be surprised about.\I see.\I passed out, and you carried me back here.\You aren't as dumb as you look.\That's very interesting. Well, goodbye.\Tohsaka... response:	I should have said it earlier, but thanks.
context: Wait, what did I do?\Pick one thing to be surprised about.\I see.\I passed out, and you carried me back here.\You aren't as dumb as you look.\That's very interesting. Well, goodbye.\Tohsaka...\I should have said it earlier, but thanks. response:	Wait.
context: Pick one thing to be surprised about.\I see.\I passed out, and you carried me back here.\You aren't as dumb as you look.\That's very interesting. Well, goodbye.\Tohsaka...\I should have said it earlier, but thanks.\Wait. response:	Why are you thanking me?
context: I see.\I passed out, and you carried me back here.\You aren't as dumb as you look.\That's very interesting. Well, goodbye.\Tohsaka...\I should have said it earlier, but thanks.\Wait.\Why are you thanking me? response:	Well, you saved me, didn't you?
