context: hontou wa totemo totemo ureshikatta yo response:	but the truth is, I was really, really happy.
context: hontou wa totemo totemo ureshikatta yo\but the truth is, I was really, really happy. response:	It's tomorrow.
context: hontou wa totemo totemo ureshikatta yo\but the truth is, I was really, really happy.\It's tomorrow. response:	It's tomorrow.
context: hontou wa totemo totemo ureshikatta yo\but the truth is, I was really, really happy.\It's tomorrow.\It's tomorrow. response:	Just look at you.
context: hontou wa totemo totemo ureshikatta yo\but the truth is, I was really, really happy.\It's tomorrow.\It's tomorrow.\Just look at you. response:	You've finally come home but all you do is dilly-dally around the house and skip school.
context: hontou wa totemo totemo ureshikatta yo\but the truth is, I was really, really happy.\It's tomorrow.\It's tomorrow.\Just look at you.\You've finally come home but all you do is dilly-dally around the house and skip school. response:	Leave me alone. I'll clean up on my own, so just go away.
context: hontou wa totemo totemo ureshikatta yo\but the truth is, I was really, really happy.\It's tomorrow.\It's tomorrow.\Just look at you.\You've finally come home but all you do is dilly-dally around the house and skip school.\Leave me alone. I'll clean up on my own, so just go away. response:	Whatever.
context: hontou wa totemo totemo ureshikatta yo\but the truth is, I was really, really happy.\It's tomorrow.\It's tomorrow.\Just look at you.\You've finally come home but all you do is dilly-dally around the house and skip school.\Leave me alone. I'll clean up on my own, so just go away.\Whatever. response:	She's so annoying.
context: but the truth is, I was really, really happy.\It's tomorrow.\It's tomorrow.\Just look at you.\You've finally come home but all you do is dilly-dally around the house and skip school.\Leave me alone. I'll clean up on my own, so just go away.\Whatever.\She's so annoying. response:	I'm sorry.
context: It's tomorrow.\It's tomorrow.\Just look at you.\You've finally come home but all you do is dilly-dally around the house and skip school.\Leave me alone. I'll clean up on my own, so just go away.\Whatever.\She's so annoying.\I'm sorry. response:	I'm sorry.
context: It's tomorrow.\Just look at you.\You've finally come home but all you do is dilly-dally around the house and skip school.\Leave me alone. I'll clean up on my own, so just go away.\Whatever.\She's so annoying.\I'm sorry.\I'm sorry. response:	Hello?
context: Just look at you.\You've finally come home but all you do is dilly-dally around the house and skip school.\Leave me alone. I'll clean up on my own, so just go away.\Whatever.\She's so annoying.\I'm sorry.\I'm sorry.\Hello? response:	Hi, Yukiatsu.
context: You've finally come home but all you do is dilly-dally around the house and skip school.\Leave me alone. I'll clean up on my own, so just go away.\Whatever.\She's so annoying.\I'm sorry.\I'm sorry.\Hello?\Hi, Yukiatsu. response:	Poppo wants to meet up to make the final arrangements tonight.
context: Leave me alone. I'll clean up on my own, so just go away.\Whatever.\She's so annoying.\I'm sorry.\I'm sorry.\Hello?\Hi, Yukiatsu.\Poppo wants to meet up to make the final arrangements tonight. response:	Are you coming?
context: Whatever.\She's so annoying.\I'm sorry.\I'm sorry.\Hello?\Hi, Yukiatsu.\Poppo wants to meet up to make the final arrangements tonight.\Are you coming? response:	I don't know.
context: She's so annoying.\I'm sorry.\I'm sorry.\Hello?\Hi, Yukiatsu.\Poppo wants to meet up to make the final arrangements tonight.\Are you coming?\I don't know. response:	That's understandable.
