context: Miyagi Prefecture Tokonami High School response:	It's official.
context: Miyagi Prefecture Tokonami High School\It's official. response:	I got the pairings for the Inter-High preliminaries.
context: Miyagi Prefecture Tokonami High School\It's official.\I got the pairings for the Inter-High preliminaries. response:	At last.
context: Miyagi Prefecture Tokonami High School\It's official.\I got the pairings for the Inter-High preliminaries.\At last. response:	Where's our first match gonna be?
context: Miyagi Prefecture Tokonami High School\It's official.\I got the pairings for the Inter-High preliminaries.\At last.\Where's our first match gonna be? response:	Let's see...
context: Miyagi Prefecture Tokonami High School\It's official.\I got the pairings for the Inter-High preliminaries.\At last.\Where's our first match gonna be?\Let's see... response:	Omisaki Tokonami Karasuno Dateko
context: Miyagi Prefecture Tokonami High School\It's official.\I got the pairings for the Inter-High preliminaries.\At last.\Where's our first match gonna be?\Let's see...\Omisaki Tokonami Karasuno Dateko response:	Tori... Torino?
context: Miyagi Prefecture Tokonami High School\It's official.\I got the pairings for the Inter-High preliminaries.\At last.\Where's our first match gonna be?\Let's see...\Omisaki Tokonami Karasuno Dateko\Tori... Torino? response:	Torino? Is that a British school?
context: It's official.\I got the pairings for the Inter-High preliminaries.\At last.\Where's our first match gonna be?\Let's see...\Omisaki Tokonami Karasuno Dateko\Tori... Torino?\Torino? Is that a British school? response:	It's Karasuno, moron. Besides, Torino would be Italian.
context: I got the pairings for the Inter-High preliminaries.\At last.\Where's our first match gonna be?\Let's see...\Omisaki Tokonami Karasuno Dateko\Tori... Torino?\Torino? Is that a British school?\It's Karasuno, moron. Besides, Torino would be Italian. response:	Tokonami
context: At last.\Where's our first match gonna be?\Let's see...\Omisaki Tokonami Karasuno Dateko\Tori... Torino?\Torino? Is that a British school?\It's Karasuno, moron. Besides, Torino would be Italian.\Tokonami response:	I've heard of that school. They're...
context: Where's our first match gonna be?\Let's see...\Omisaki Tokonami Karasuno Dateko\Tori... Torino?\Torino? Is that a British school?\It's Karasuno, moron. Besides, Torino would be Italian.\Tokonami\I've heard of that school. They're... response:	Fallen rivals. Unflying crows.
context: Let's see...\Omisaki Tokonami Karasuno Dateko\Tori... Torino?\Torino? Is that a British school?\It's Karasuno, moron. Besides, Torino would be Italian.\Tokonami\I've heard of that school. They're...\Fallen rivals. Unflying crows. response:	What's that? Some kind of idiom?
context: Omisaki Tokonami Karasuno Dateko\Tori... Torino?\Torino? Is that a British school?\It's Karasuno, moron. Besides, Torino would be Italian.\Tokonami\I've heard of that school. They're...\Fallen rivals. Unflying crows.\What's that? Some kind of idiom? response:	They used to be strong.
context: Tori... Torino?\Torino? Is that a British school?\It's Karasuno, moron. Besides, Torino would be Italian.\Tokonami\I've heard of that school. They're...\Fallen rivals. Unflying crows.\What's that? Some kind of idiom?\They used to be strong. response:	I think they even went to nationals once.
context: Torino? Is that a British school?\It's Karasuno, moron. Besides, Torino would be Italian.\Tokonami\I've heard of that school. They're...\Fallen rivals. Unflying crows.\What's that? Some kind of idiom?\They used to be strong.\I think they even went to nationals once. response:	I hear they're not even worth mentioning nowadays.
context: It's Karasuno, moron. Besides, Torino would be Italian.\Tokonami\I've heard of that school. They're...\Fallen rivals. Unflying crows.\What's that? Some kind of idiom?\They used to be strong.\I think they even went to nationals once.\I hear they're not even worth mentioning nowadays. response:	Which could mean, that just maybe...
context: Tokonami\I've heard of that school. They're...\Fallen rivals. Unflying crows.\What's that? Some kind of idiom?\They used to be strong.\I think they even went to nationals once.\I hear they're not even worth mentioning nowadays.\Which could mean, that just maybe... response:	They'll be easy to beat.
context: I've heard of that school. They're...\Fallen rivals. Unflying crows.\What's that? Some kind of idiom?\They used to be strong.\I think they even went to nationals once.\I hear they're not even worth mentioning nowadays.\Which could mean, that just maybe...\They'll be easy to beat. response:	We won't lose in the first round like we do every year.
context: Fallen rivals. Unflying crows.\What's that? Some kind of idiom?\They used to be strong.\I think they even went to nationals once.\I hear they're not even worth mentioning nowadays.\Which could mean, that just maybe...\They'll be easy to beat.\We won't lose in the first round like we do every year. response:	But to make that happen, we have to train.
context: What's that? Some kind of idiom?\They used to be strong.\I think they even went to nationals once.\I hear they're not even worth mentioning nowadays.\Which could mean, that just maybe...\They'll be easy to beat.\We won't lose in the first round like we do every year.\But to make that happen, we have to train. response:	Captain.
context: They used to be strong.\I think they even went to nationals once.\I hear they're not even worth mentioning nowadays.\Which could mean, that just maybe...\They'll be easy to beat.\We won't lose in the first round like we do every year.\But to make that happen, we have to train.\Captain. response:	Get running.
context: I think they even went to nationals once.\I hear they're not even worth mentioning nowadays.\Which could mean, that just maybe...\They'll be easy to beat.\We won't lose in the first round like we do every year.\But to make that happen, we have to train.\Captain.\Get running. response:	Yeah.
context: I hear they're not even worth mentioning nowadays.\Which could mean, that just maybe...\They'll be easy to beat.\We won't lose in the first round like we do every year.\But to make that happen, we have to train.\Captain.\Get running.\Yeah. response:	A guy from my junior high volleyball club is at Karasuno.
context: Which could mean, that just maybe...\They'll be easy to beat.\We won't lose in the first round like we do every year.\But to make that happen, we have to train.\Captain.\Get running.\Yeah.\A guy from my junior high volleyball club is at Karasuno. response:	Is it your first time seeing him since then?
context: They'll be easy to beat.\We won't lose in the first round like we do every year.\But to make that happen, we have to train.\Captain.\Get running.\Yeah.\A guy from my junior high volleyball club is at Karasuno.\Is it your first time seeing him since then? response:	We've never played against that school before.
context: We won't lose in the first round like we do every year.\But to make that happen, we have to train.\Captain.\Get running.\Yeah.\A guy from my junior high volleyball club is at Karasuno.\Is it your first time seeing him since then?\We've never played against that school before. response:	He used to talk about how unforgettable Karasuno was
context: But to make that happen, we have to train.\Captain.\Get running.\Yeah.\A guy from my junior high volleyball club is at Karasuno.\Is it your first time seeing him since then?\We've never played against that school before.\He used to talk about how unforgettable Karasuno was response:	in the spring tournament he saw on TV,
context: Captain.\Get running.\Yeah.\A guy from my junior high volleyball club is at Karasuno.\Is it your first time seeing him since then?\We've never played against that school before.\He used to talk about how unforgettable Karasuno was\in the spring tournament he saw on TV, response:	but he probably went there because it's close to his home.
context: Get running.\Yeah.\A guy from my junior high volleyball club is at Karasuno.\Is it your first time seeing him since then?\We've never played against that school before.\He used to talk about how unforgettable Karasuno was\in the spring tournament he saw on TV,\but he probably went there because it's close to his home. response:	I wonder how he's doing now...
context: Yeah.\A guy from my junior high volleyball club is at Karasuno.\Is it your first time seeing him since then?\We've never played against that school before.\He used to talk about how unforgettable Karasuno was\in the spring tournament he saw on TV,\but he probably went there because it's close to his home.\I wonder how he's doing now... response:	Sawamura.
context: A guy from my junior high volleyball club is at Karasuno.\Is it your first time seeing him since then?\We've never played against that school before.\He used to talk about how unforgettable Karasuno was\in the spring tournament he saw on TV,\but he probably went there because it's close to his home.\I wonder how he's doing now...\Sawamura. response:	Haikyu!!
context: Is it your first time seeing him since then?\We've never played against that school before.\He used to talk about how unforgettable Karasuno was\in the spring tournament he saw on TV,\but he probably went there because it's close to his home.\I wonder how he's doing now...\Sawamura.\Haikyu!! response:	Episode 14: Formidable Opponents
context: We've never played against that school before.\He used to talk about how unforgettable Karasuno was\in the spring tournament he saw on TV,\but he probably went there because it's close to his home.\I wonder how he's doing now...\Sawamura.\Haikyu!!\Episode 14: Formidable Opponents response:	Block follow! Get in there!
context: He used to talk about how unforgettable Karasuno was\in the spring tournament he saw on TV,\but he probably went there because it's close to his home.\I wonder how he's doing now...\Sawamura.\Haikyu!!\Episode 14: Formidable Opponents\Block follow! Get in there! response:	Don't just stand and watch.
context: in the spring tournament he saw on TV,\but he probably went there because it's close to his home.\I wonder how he's doing now...\Sawamura.\Haikyu!!\Episode 14: Formidable Opponents\Block follow! Get in there!\Don't just stand and watch. response:	I'm sorry.
context: but he probably went there because it's close to his home.\I wonder how he's doing now...\Sawamura.\Haikyu!!\Episode 14: Formidable Opponents\Block follow! Get in there!\Don't just stand and watch.\I'm sorry. response:	This is my last chance. Always tell yourself that.
context: I wonder how he's doing now...\Sawamura.\Haikyu!!\Episode 14: Formidable Opponents\Block follow! Get in there!\Don't just stand and watch.\I'm sorry.\This is my last chance. Always tell yourself that. response:	Give it all you got.
context: Sawamura.\Haikyu!!\Episode 14: Formidable Opponents\Block follow! Get in there!\Don't just stand and watch.\I'm sorry.\This is my last chance. Always tell yourself that.\Give it all you got. response:	If you don't, the one chance you wasted
context: Haikyu!!\Episode 14: Formidable Opponents\Block follow! Get in there!\Don't just stand and watch.\I'm sorry.\This is my last chance. Always tell yourself that.\Give it all you got.\If you don't, the one chance you wasted response:	could cost you the match!
context: Episode 14: Formidable Opponents\Block follow! Get in there!\Don't just stand and watch.\I'm sorry.\This is my last chance. Always tell yourself that.\Give it all you got.\If you don't, the one chance you wasted\could cost you the match! response:	Everyone, you all did a good job in today's matches against Nekoma.
context: Block follow! Get in there!\Don't just stand and watch.\I'm sorry.\This is my last chance. Always tell yourself that.\Give it all you got.\If you don't, the one chance you wasted\could cost you the match!\Everyone, you all did a good job in today's matches against Nekoma. response:	Inter-High preliminaries begin next month on June 2nd.
context: Don't just stand and watch.\I'm sorry.\This is my last chance. Always tell yourself that.\Give it all you got.\If you don't, the one chance you wasted\could cost you the match!\Everyone, you all did a good job in today's matches against Nekoma.\Inter-High preliminaries begin next month on June 2nd. response:	There are no district preliminaries in Miyagi,
context: I'm sorry.\This is my last chance. Always tell yourself that.\Give it all you got.\If you don't, the one chance you wasted\could cost you the match!\Everyone, you all did a good job in today's matches against Nekoma.\Inter-High preliminaries begin next month on June 2nd.\There are no district preliminaries in Miyagi, response:	so we go straight to prefectural preliminaries.
context: This is my last chance. Always tell yourself that.\Give it all you got.\If you don't, the one chance you wasted\could cost you the match!\Everyone, you all did a good job in today's matches against Nekoma.\Inter-High preliminaries begin next month on June 2nd.\There are no district preliminaries in Miyagi,\so we go straight to prefectural preliminaries. response:	Championship
context: Give it all you got.\If you don't, the one chance you wasted\could cost you the match!\Everyone, you all did a good job in today's matches against Nekoma.\Inter-High preliminaries begin next month on June 2nd.\There are no district preliminaries in Miyagi,\so we go straight to prefectural preliminaries.\Championship response:	Out of about 60 teams in the prefecture, only one will go to nationals.
context: If you don't, the one chance you wasted\could cost you the match!\Everyone, you all did a good job in today's matches against Nekoma.\Inter-High preliminaries begin next month on June 2nd.\There are no district preliminaries in Miyagi,\so we go straight to prefectural preliminaries.\Championship\Out of about 60 teams in the prefecture, only one will go to nationals. response:	The winning team
context: could cost you the match!\Everyone, you all did a good job in today's matches against Nekoma.\Inter-High preliminaries begin next month on June 2nd.\There are no district preliminaries in Miyagi,\so we go straight to prefectural preliminaries.\Championship\Out of about 60 teams in the prefecture, only one will go to nationals.\The winning team response:	Lose one match and the journey ends.
context: Everyone, you all did a good job in today's matches against Nekoma.\Inter-High preliminaries begin next month on June 2nd.\There are no district preliminaries in Miyagi,\so we go straight to prefectural preliminaries.\Championship\Out of about 60 teams in the prefecture, only one will go to nationals.\The winning team\Lose one match and the journey ends. response:	If you want to take revenge on Nekoma,
context: Inter-High preliminaries begin next month on June 2nd.\There are no district preliminaries in Miyagi,\so we go straight to prefectural preliminaries.\Championship\Out of about 60 teams in the prefecture, only one will go to nationals.\The winning team\Lose one match and the journey ends.\If you want to take revenge on Nekoma, response:	you must take first place in Miyagi. There's no other way.
context: There are no district preliminaries in Miyagi,\so we go straight to prefectural preliminaries.\Championship\Out of about 60 teams in the prefecture, only one will go to nationals.\The winning team\Lose one match and the journey ends.\If you want to take revenge on Nekoma,\you must take first place in Miyagi. There's no other way. response:	Second place won't cut it.
context: so we go straight to prefectural preliminaries.\Championship\Out of about 60 teams in the prefecture, only one will go to nationals.\The winning team\Lose one match and the journey ends.\If you want to take revenge on Nekoma,\you must take first place in Miyagi. There's no other way.\Second place won't cut it. response:	Of course, they'll have to win the battle to represent Tokyo, as well.
context: Championship\Out of about 60 teams in the prefecture, only one will go to nationals.\The winning team\Lose one match and the journey ends.\If you want to take revenge on Nekoma,\you must take first place in Miyagi. There's no other way.\Second place won't cut it.\Of course, they'll have to win the battle to represent Tokyo, as well. response:	Those guys can do it.
context: Out of about 60 teams in the prefecture, only one will go to nationals.\The winning team\Lose one match and the journey ends.\If you want to take revenge on Nekoma,\you must take first place in Miyagi. There's no other way.\Second place won't cut it.\Of course, they'll have to win the battle to represent Tokyo, as well.\Those guys can do it. response:	Yeah. They're strong.
context: The winning team\Lose one match and the journey ends.\If you want to take revenge on Nekoma,\you must take first place in Miyagi. There's no other way.\Second place won't cut it.\Of course, they'll have to win the battle to represent Tokyo, as well.\Those guys can do it.\Yeah. They're strong. response:	Another match against Nekoma...
context: Lose one match and the journey ends.\If you want to take revenge on Nekoma,\you must take first place in Miyagi. There's no other way.\Second place won't cut it.\Of course, they'll have to win the battle to represent Tokyo, as well.\Those guys can do it.\Yeah. They're strong.\Another match against Nekoma... response:	Again...
context: If you want to take revenge on Nekoma,\you must take first place in Miyagi. There's no other way.\Second place won't cut it.\Of course, they'll have to win the battle to represent Tokyo, as well.\Those guys can do it.\Yeah. They're strong.\Another match against Nekoma...\Again... response:	Nice, Hinata.
context: you must take first place in Miyagi. There's no other way.\Second place won't cut it.\Of course, they'll have to win the battle to represent Tokyo, as well.\Those guys can do it.\Yeah. They're strong.\Another match against Nekoma...\Again...\Nice, Hinata. response:	Get up quickly. One more.
context: Second place won't cut it.\Of course, they'll have to win the battle to represent Tokyo, as well.\Those guys can do it.\Yeah. They're strong.\Another match against Nekoma...\Again...\Nice, Hinata.\Get up quickly. One more. response:	Yes, thank you.
context: Of course, they'll have to win the battle to represent Tokyo, as well.\Those guys can do it.\Yeah. They're strong.\Another match against Nekoma...\Again...\Nice, Hinata.\Get up quickly. One more.\Yes, thank you. response:	Front, front.
context: Those guys can do it.\Yeah. They're strong.\Another match against Nekoma...\Again...\Nice, Hinata.\Get up quickly. One more.\Yes, thank you.\Front, front. response:	Cover.
context: Yeah. They're strong.\Another match against Nekoma...\Again...\Nice, Hinata.\Get up quickly. One more.\Yes, thank you.\Front, front.\Cover. response:	Karasuno High School Volleyball Club
context: Another match against Nekoma...\Again...\Nice, Hinata.\Get up quickly. One more.\Yes, thank you.\Front, front.\Cover.\Karasuno High School Volleyball Club response:	You're right. That's amazing.
context: Again...\Nice, Hinata.\Get up quickly. One more.\Yes, thank you.\Front, front.\Cover.\Karasuno High School Volleyball Club\You're right. That's amazing. response:	The picture's huge.
context: Nice, Hinata.\Get up quickly. One more.\Yes, thank you.\Front, front.\Cover.\Karasuno High School Volleyball Club\You're right. That's amazing.\The picture's huge. response:	Yeah!
context: Get up quickly. One more.\Yes, thank you.\Front, front.\Cover.\Karasuno High School Volleyball Club\You're right. That's amazing.\The picture's huge.\Yeah! response:	What, what?
context: Yes, thank you.\Front, front.\Cover.\Karasuno High School Volleyball Club\You're right. That's amazing.\The picture's huge.\Yeah!\What, what? response:	What? What's that?
context: Front, front.\Cover.\Karasuno High School Volleyball Club\You're right. That's amazing.\The picture's huge.\Yeah!\What, what?\What? What's that? response:	Look.
context: Cover.\Karasuno High School Volleyball Club\You're right. That's amazing.\The picture's huge.\Yeah!\What, what?\What? What's that?\Look. response:	Boy's High School This year, pay special attention to these three GUYS!
context: Karasuno High School Volleyball Club\You're right. That's amazing.\The picture's huge.\Yeah!\What, what?\What? What's that?\Look.\Boy's High School This year, pay special attention to these three GUYS! response:	Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers
context: You're right. That's amazing.\The picture's huge.\Yeah!\What, what?\What? What's that?\Look.\Boy's High School This year, pay special attention to these three GUYS!\Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers response:	in the whole country.
