context: When we started living in the same dorm together, response:	I figured trouble would come of it.
context: When we started living in the same dorm together,\I figured trouble would come of it. response:	We started talking to each other about cats he had taken in,
context: When we started living in the same dorm together,\I figured trouble would come of it.\We started talking to each other about cats he had taken in, response:	and we even ended up in the same class in our second year.
context: When we started living in the same dorm together,\I figured trouble would come of it.\We started talking to each other about cats he had taken in,\and we even ended up in the same class in our second year. response:	Composing Message
context: When we started living in the same dorm together,\I figured trouble would come of it.\We started talking to each other about cats he had taken in,\and we even ended up in the same class in our second year.\Composing Message response:	To: Former Freeloader
context: When we started living in the same dorm together,\I figured trouble would come of it.\We started talking to each other about cats he had taken in,\and we even ended up in the same class in our second year.\Composing Message\To: Former Freeloader response:	Sakura Hall, a congregation of the school's problem students.
context: When we started living in the same dorm together,\I figured trouble would come of it.\We started talking to each other about cats he had taken in,\and we even ended up in the same class in our second year.\Composing Message\To: Former Freeloader\Sakura Hall, a congregation of the school's problem students. response:	But being in such close proximity...
context: When we started living in the same dorm together,\I figured trouble would come of it.\We started talking to each other about cats he had taken in,\and we even ended up in the same class in our second year.\Composing Message\To: Former Freeloader\Sakura Hall, a congregation of the school's problem students.\But being in such close proximity... response:	makes some things even harder to say.
context: I figured trouble would come of it.\We started talking to each other about cats he had taken in,\and we even ended up in the same class in our second year.\Composing Message\To: Former Freeloader\Sakura Hall, a congregation of the school's problem students.\But being in such close proximity...\makes some things even harder to say. response:	Expressing these feelings out loud has gotten a lot more difficult.
context: We started talking to each other about cats he had taken in,\and we even ended up in the same class in our second year.\Composing Message\To: Former Freeloader\Sakura Hall, a congregation of the school's problem students.\But being in such close proximity...\makes some things even harder to say.\Expressing these feelings out loud has gotten a lot more difficult. response:	Could you leave the dorm...
context: and we even ended up in the same class in our second year.\Composing Message\To: Former Freeloader\Sakura Hall, a congregation of the school's problem students.\But being in such close proximity...\makes some things even harder to say.\Expressing these feelings out loud has gotten a lot more difficult.\Could you leave the dorm... response:	just for the night on Christmas Eve?
context: Composing Message\To: Former Freeloader\Sakura Hall, a congregation of the school's problem students.\But being in such close proximity...\makes some things even harder to say.\Expressing these feelings out loud has gotten a lot more difficult.\Could you leave the dorm...\just for the night on Christmas Eve? response:	Why?
context: To: Former Freeloader\Sakura Hall, a congregation of the school's problem students.\But being in such close proximity...\makes some things even harder to say.\Expressing these feelings out loud has gotten a lot more difficult.\Could you leave the dorm...\just for the night on Christmas Eve?\Why? response:	You really want to know?
context: Sakura Hall, a congregation of the school's problem students.\But being in such close proximity...\makes some things even harder to say.\Expressing these feelings out loud has gotten a lot more difficult.\Could you leave the dorm...\just for the night on Christmas Eve?\Why?\You really want to know? response:	No, I'm not that interested.
context: But being in such close proximity...\makes some things even harder to say.\Expressing these feelings out loud has gotten a lot more difficult.\Could you leave the dorm...\just for the night on Christmas Eve?\Why?\You really want to know?\No, I'm not that interested. response:	What did he say?
context: makes some things even harder to say.\Expressing these feelings out loud has gotten a lot more difficult.\Could you leave the dorm...\just for the night on Christmas Eve?\Why?\You really want to know?\No, I'm not that interested.\What did he say? response:	He said he'd see what he could do.
context: Expressing these feelings out loud has gotten a lot more difficult.\Could you leave the dorm...\just for the night on Christmas Eve?\Why?\You really want to know?\No, I'm not that interested.\What did he say?\He said he'd see what he could do. response:	Is this really going to work?
context: Could you leave the dorm...\just for the night on Christmas Eve?\Why?\You really want to know?\No, I'm not that interested.\What did he say?\He said he'd see what he could do.\Is this really going to work? response:	What about Mashiron?
context: just for the night on Christmas Eve?\Why?\You really want to know?\No, I'm not that interested.\What did he say?\He said he'd see what he could do.\Is this really going to work?\What about Mashiron? response:	Oh, right.
context: Why?\You really want to know?\No, I'm not that interested.\What did he say?\He said he'd see what he could do.\Is this really going to work?\What about Mashiron?\Oh, right. response:	Her publisher's throwing a party on the 24th...
context: You really want to know?\No, I'm not that interested.\What did he say?\He said he'd see what he could do.\Is this really going to work?\What about Mashiron?\Oh, right.\Her publisher's throwing a party on the 24th... response:	So, that just leaves Chihiro-sensei?
context: No, I'm not that interested.\What did he say?\He said he'd see what he could do.\Is this really going to work?\What about Mashiron?\Oh, right.\Her publisher's throwing a party on the 24th...\So, that just leaves Chihiro-sensei? response:	You two are going on a date, so...
context: What did he say?\He said he'd see what he could do.\Is this really going to work?\What about Mashiron?\Oh, right.\Her publisher's throwing a party on the 24th...\So, that just leaves Chihiro-sensei?\You two are going on a date, so... response:	It might just work!
context: He said he'd see what he could do.\Is this really going to work?\What about Mashiron?\Oh, right.\Her publisher's throwing a party on the 24th...\So, that just leaves Chihiro-sensei?\You two are going on a date, so...\It might just work! response:	It's not a date.
context: Is this really going to work?\What about Mashiron?\Oh, right.\Her publisher's throwing a party on the 24th...\So, that just leaves Chihiro-sensei?\You two are going on a date, so...\It might just work!\It's not a date. response:	Please Knock Mashiron's Room
context: What about Mashiron?\Oh, right.\Her publisher's throwing a party on the 24th...\So, that just leaves Chihiro-sensei?\You two are going on a date, so...\It might just work!\It's not a date.\Please Knock Mashiron's Room response:	Get out from inside of me!
context: Oh, right.\Her publisher's throwing a party on the 24th...\So, that just leaves Chihiro-sensei?\You two are going on a date, so...\It might just work!\It's not a date.\Please Knock Mashiron's Room\Get out from inside of me! response:	Since then, I haven't really talked to Shiina.
context: Her publisher's throwing a party on the 24th...\So, that just leaves Chihiro-sensei?\You two are going on a date, so...\It might just work!\It's not a date.\Please Knock Mashiron's Room\Get out from inside of me!\Since then, I haven't really talked to Shiina. response:	Baumkuchen: For Sorata
context: So, that just leaves Chihiro-sensei?\You two are going on a date, so...\It might just work!\It's not a date.\Please Knock Mashiron's Room\Get out from inside of me!\Since then, I haven't really talked to Shiina.\Baumkuchen: For Sorata response:	What are you doing?
context: You two are going on a date, so...\It might just work!\It's not a date.\Please Knock Mashiron's Room\Get out from inside of me!\Since then, I haven't really talked to Shiina.\Baumkuchen: For Sorata\What are you doing? response:	I'm cold.
context: It might just work!\It's not a date.\Please Knock Mashiron's Room\Get out from inside of me!\Since then, I haven't really talked to Shiina.\Baumkuchen: For Sorata\What are you doing?\I'm cold. response:	Of course you're cold.
context: It's not a date.\Please Knock Mashiron's Room\Get out from inside of me!\Since then, I haven't really talked to Shiina.\Baumkuchen: For Sorata\What are you doing?\I'm cold.\Of course you're cold. response:	Just eat it.
context: Please Knock Mashiron's Room\Get out from inside of me!\Since then, I haven't really talked to Shiina.\Baumkuchen: For Sorata\What are you doing?\I'm cold.\Of course you're cold.\Just eat it. response:	Is it good?
context: Get out from inside of me!\Since then, I haven't really talked to Shiina.\Baumkuchen: For Sorata\What are you doing?\I'm cold.\Of course you're cold.\Just eat it.\Is it good? response:	Do you want some?
context: Since then, I haven't really talked to Shiina.\Baumkuchen: For Sorata\What are you doing?\I'm cold.\Of course you're cold.\Just eat it.\Is it good?\Do you want some? response:	Is it good?
context: Baumkuchen: For Sorata\What are you doing?\I'm cold.\Of course you're cold.\Just eat it.\Is it good?\Do you want some?\Is it good? response:	What is this little skit all about?
context: What are you doing?\I'm cold.\Of course you're cold.\Just eat it.\Is it good?\Do you want some?\Is it good?\What is this little skit all about? response:	It's not a skit. I'm eating baumkuchen.
context: I'm cold.\Of course you're cold.\Just eat it.\Is it good?\Do you want some?\Is it good?\What is this little skit all about?\It's not a skit. I'm eating baumkuchen. response:	I know that. I'm talking about...
context: Of course you're cold.\Just eat it.\Is it good?\Do you want some?\Is it good?\What is this little skit all about?\It's not a skit. I'm eating baumkuchen.\I know that. I'm talking about... response:	Sorata, you're angry...
context: Just eat it.\Is it good?\Do you want some?\Is it good?\What is this little skit all about?\It's not a skit. I'm eating baumkuchen.\I know that. I'm talking about...\Sorata, you're angry... response:	What makes you say that?
context: Is it good?\Do you want some?\Is it good?\What is this little skit all about?\It's not a skit. I'm eating baumkuchen.\I know that. I'm talking about...\Sorata, you're angry...\What makes you say that? response:	I'm sorry.
context: Do you want some?\Is it good?\What is this little skit all about?\It's not a skit. I'm eating baumkuchen.\I know that. I'm talking about...\Sorata, you're angry...\What makes you say that?\I'm sorry. response:	For what?
context: Is it good?\What is this little skit all about?\It's not a skit. I'm eating baumkuchen.\I know that. I'm talking about...\Sorata, you're angry...\What makes you say that?\I'm sorry.\For what? response:	Don't apologize if you don't understand.
context: What is this little skit all about?\It's not a skit. I'm eating baumkuchen.\I know that. I'm talking about...\Sorata, you're angry...\What makes you say that?\I'm sorry.\For what?\Don't apologize if you don't understand. response:	Anyway, what about your manuscript?
context: It's not a skit. I'm eating baumkuchen.\I know that. I'm talking about...\Sorata, you're angry...\What makes you say that?\I'm sorry.\For what?\Don't apologize if you don't understand.\Anyway, what about your manuscript? response:	Don't you have a lot to do before the end of the year?
context: I know that. I'm talking about...\Sorata, you're angry...\What makes you say that?\I'm sorry.\For what?\Don't apologize if you don't understand.\Anyway, what about your manuscript?\Don't you have a lot to do before the end of the year? response:	Sorata, you're angry...
context: Sorata, you're angry...\What makes you say that?\I'm sorry.\For what?\Don't apologize if you don't understand.\Anyway, what about your manuscript?\Don't you have a lot to do before the end of the year?\Sorata, you're angry... response:	I just told you, I'm not angry!
context: What makes you say that?\I'm sorry.\For what?\Don't apologize if you don't understand.\Anyway, what about your manuscript?\Don't you have a lot to do before the end of the year?\Sorata, you're angry...\I just told you, I'm not angry! response:	Sorata
context: I'm sorry.\For what?\Don't apologize if you don't understand.\Anyway, what about your manuscript?\Don't you have a lot to do before the end of the year?\Sorata, you're angry...\I just told you, I'm not angry!\Sorata response:	Were you listening?
context: For what?\Don't apologize if you don't understand.\Anyway, what about your manuscript?\Don't you have a lot to do before the end of the year?\Sorata, you're angry...\I just told you, I'm not angry!\Sorata\Were you listening? response:	I heard everything.
context: Don't apologize if you don't understand.\Anyway, what about your manuscript?\Don't you have a lot to do before the end of the year?\Sorata, you're angry...\I just told you, I'm not angry!\Sorata\Were you listening?\I heard everything. response:	How did I seem to you?
context: Anyway, what about your manuscript?\Don't you have a lot to do before the end of the year?\Sorata, you're angry...\I just told you, I'm not angry!\Sorata\Were you listening?\I heard everything.\How did I seem to you? response:	Will you be satisfied if I tell you that you're a bad person?
context: Don't you have a lot to do before the end of the year?\Sorata, you're angry...\I just told you, I'm not angry!\Sorata\Were you listening?\I heard everything.\How did I seem to you?\Will you be satisfied if I tell you that you're a bad person? response:	That's your chance!
context: Sorata, you're angry...\I just told you, I'm not angry!\Sorata\Were you listening?\I heard everything.\How did I seem to you?\Will you be satisfied if I tell you that you're a bad person?\That's your chance! response:	You've got to confess your feelings to him on the night...
context: I just told you, I'm not angry!\Sorata\Were you listening?\I heard everything.\How did I seem to you?\Will you be satisfied if I tell you that you're a bad person?\That's your chance!\You've got to confess your feelings to him on the night... response:	of Christmas Eve!
context: Sorata\Were you listening?\I heard everything.\How did I seem to you?\Will you be satisfied if I tell you that you're a bad person?\That's your chance!\You've got to confess your feelings to him on the night...\of Christmas Eve! response:	Wh-Why do I have to do that?
context: Were you listening?\I heard everything.\How did I seem to you?\Will you be satisfied if I tell you that you're a bad person?\That's your chance!\You've got to confess your feelings to him on the night...\of Christmas Eve!\Wh-Why do I have to do that? response:	Why?
context: I heard everything.\How did I seem to you?\Will you be satisfied if I tell you that you're a bad person?\That's your chance!\You've got to confess your feelings to him on the night...\of Christmas Eve!\Wh-Why do I have to do that?\Why? response:	Kanda-kun and Shiina-san's relationship...
context: How did I seem to you?\Will you be satisfied if I tell you that you're a bad person?\That's your chance!\You've got to confess your feelings to him on the night...\of Christmas Eve!\Wh-Why do I have to do that?\Why?\Kanda-kun and Shiina-san's relationship... response:	is on the rocks, isn't it?
context: Will you be satisfied if I tell you that you're a bad person?\That's your chance!\You've got to confess your feelings to him on the night...\of Christmas Eve!\Wh-Why do I have to do that?\Why?\Kanda-kun and Shiina-san's relationship...\is on the rocks, isn't it? response:	And you've got a date with Kanda-kun on Christmas Eve, right?
context: That's your chance!\You've got to confess your feelings to him on the night...\of Christmas Eve!\Wh-Why do I have to do that?\Why?\Kanda-kun and Shiina-san's relationship...\is on the rocks, isn't it?\And you've got a date with Kanda-kun on Christmas Eve, right? response:	Hold your horses. It's not a date.
context: You've got to confess your feelings to him on the night...\of Christmas Eve!\Wh-Why do I have to do that?\Why?\Kanda-kun and Shiina-san's relationship...\is on the rocks, isn't it?\And you've got a date with Kanda-kun on Christmas Eve, right?\Hold your horses. It's not a date. response:	Kanda-kun is taking Mashiro to a party...
context: of Christmas Eve!\Wh-Why do I have to do that?\Why?\Kanda-kun and Shiina-san's relationship...\is on the rocks, isn't it?\And you've got a date with Kanda-kun on Christmas Eve, right?\Hold your horses. It's not a date.\Kanda-kun is taking Mashiro to a party... response:	and he's picking her up afterwards.
context: Wh-Why do I have to do that?\Why?\Kanda-kun and Shiina-san's relationship...\is on the rocks, isn't it?\And you've got a date with Kanda-kun on Christmas Eve, right?\Hold your horses. It's not a date.\Kanda-kun is taking Mashiro to a party...\and he's picking her up afterwards. response:	While he's waiting for her, we're just going to watch a play and get dinner.
context: Why?\Kanda-kun and Shiina-san's relationship...\is on the rocks, isn't it?\And you've got a date with Kanda-kun on Christmas Eve, right?\Hold your horses. It's not a date.\Kanda-kun is taking Mashiro to a party...\and he's picking her up afterwards.\While he's waiting for her, we're just going to watch a play and get dinner. response:	So, basically, a date, right?
context: Kanda-kun and Shiina-san's relationship...\is on the rocks, isn't it?\And you've got a date with Kanda-kun on Christmas Eve, right?\Hold your horses. It's not a date.\Kanda-kun is taking Mashiro to a party...\and he's picking her up afterwards.\While he's waiting for her, we're just going to watch a play and get dinner.\So, basically, a date, right? response:	No, it's not.
context: is on the rocks, isn't it?\And you've got a date with Kanda-kun on Christmas Eve, right?\Hold your horses. It's not a date.\Kanda-kun is taking Mashiro to a party...\and he's picking her up afterwards.\While he's waiting for her, we're just going to watch a play and get dinner.\So, basically, a date, right?\No, it's not. response:	What is it, then?
context: And you've got a date with Kanda-kun on Christmas Eve, right?\Hold your horses. It's not a date.\Kanda-kun is taking Mashiro to a party...\and he's picking her up afterwards.\While he's waiting for her, we're just going to watch a play and get dinner.\So, basically, a date, right?\No, it's not.\What is it, then? response:	A date?
context: Hold your horses. It's not a date.\Kanda-kun is taking Mashiro to a party...\and he's picking her up afterwards.\While he's waiting for her, we're just going to watch a play and get dinner.\So, basically, a date, right?\No, it's not.\What is it, then?\A date? response:	See? What are you going to wear?
context: Kanda-kun is taking Mashiro to a party...\and he's picking her up afterwards.\While he's waiting for her, we're just going to watch a play and get dinner.\So, basically, a date, right?\No, it's not.\What is it, then?\A date?\See? What are you going to wear? response:	I haven't really decided yet...
context: and he's picking her up afterwards.\While he's waiting for her, we're just going to watch a play and get dinner.\So, basically, a date, right?\No, it's not.\What is it, then?\A date?\See? What are you going to wear?\I haven't really decided yet... response:	You've got to wear a skirt!
context: While he's waiting for her, we're just going to watch a play and get dinner.\So, basically, a date, right?\No, it's not.\What is it, then?\A date?\See? What are you going to wear?\I haven't really decided yet...\You've got to wear a skirt! response:	Don't get careless and wear denim or something like that!
