context: Makise Kurisu! response:	I did knock, for what it's worth.
context: Makise Kurisu!\I did knock, for what it's worth. response:	How did you find this place?
context: Makise Kurisu!\I did knock, for what it's worth.\How did you find this place? response:	I asked Hashida-san.
context: Makise Kurisu!\I did knock, for what it's worth.\How did you find this place?\I asked Hashida-san. response:	He called it a laboratory,
context: Makise Kurisu!\I did knock, for what it's worth.\How did you find this place?\I asked Hashida-san.\He called it a laboratory, response:	so I was expecting something more than this...
context: Makise Kurisu!\I did knock, for what it's worth.\How did you find this place?\I asked Hashida-san.\He called it a laboratory,\so I was expecting something more than this... response:	Daru, did you betray me?
context: Makise Kurisu!\I did knock, for what it's worth.\How did you find this place?\I asked Hashida-san.\He called it a laboratory,\so I was expecting something more than this...\Daru, did you betray me? response:	You were deceived by this three-dimensional woman's wiles...
context: Makise Kurisu!\I did knock, for what it's worth.\How did you find this place?\I asked Hashida-san.\He called it a laboratory,\so I was expecting something more than this...\Daru, did you betray me?\You were deceived by this three-dimensional woman's wiles... response:	I'll never forgive you! Ever!
context: I did knock, for what it's worth.\How did you find this place?\I asked Hashida-san.\He called it a laboratory,\so I was expecting something more than this...\Daru, did you betray me?\You were deceived by this three-dimensional woman's wiles...\I'll never forgive you! Ever! response:	You... You...
context: How did you find this place?\I asked Hashida-san.\He called it a laboratory,\so I was expecting something more than this...\Daru, did you betray me?\You were deceived by this three-dimensional woman's wiles...\I'll never forgive you! Ever!\You... You... response:	Bitch!
context: I asked Hashida-san.\He called it a laboratory,\so I was expecting something more than this...\Daru, did you betray me?\You were deceived by this three-dimensional woman's wiles...\I'll never forgive you! Ever!\You... You...\Bitch! response:	Can you do anything about him?
context: He called it a laboratory,\so I was expecting something more than this...\Daru, did you betray me?\You were deceived by this three-dimensional woman's wiles...\I'll never forgive you! Ever!\You... You...\Bitch!\Can you do anything about him? response:	Just think of him as confused by events.
context: so I was expecting something more than this...\Daru, did you betray me?\You were deceived by this three-dimensional woman's wiles...\I'll never forgive you! Ever!\You... You...\Bitch!\Can you do anything about him?\Just think of him as confused by events. response:	This is an emergency.
context: Daru, did you betray me?\You were deceived by this three-dimensional woman's wiles...\I'll never forgive you! Ever!\You... You...\Bitch!\Can you do anything about him?\Just think of him as confused by events.\This is an emergency. response:	The Organization finally sent an agent to the lab!
context: You were deceived by this three-dimensional woman's wiles...\I'll never forgive you! Ever!\You... You...\Bitch!\Can you do anything about him?\Just think of him as confused by events.\This is an emergency.\The Organization finally sent an agent to the lab! response:	What?
context: I'll never forgive you! Ever!\You... You...\Bitch!\Can you do anything about him?\Just think of him as confused by events.\This is an emergency.\The Organization finally sent an agent to the lab!\What? response:	Then this, too, is the choice of Steins Gate?
context: You... You...\Bitch!\Can you do anything about him?\Just think of him as confused by events.\This is an emergency.\The Organization finally sent an agent to the lab!\What?\Then this, too, is the choice of Steins Gate? response:	Steins Gate?
context: Bitch!\Can you do anything about him?\Just think of him as confused by events.\This is an emergency.\The Organization finally sent an agent to the lab!\What?\Then this, too, is the choice of Steins Gate?\Steins Gate? response:	Something Okarin made up.
