context: Chise... response:	Chise...
context: Chise...\Chise... response:	Chise!
context: Chise...\Chise...\Chise! response:	We show no mercy to those who defile this knoll, Ainsworth.
context: Chise...\Chise...\Chise!\We show no mercy to those who defile this knoll, Ainsworth. response:	Let go.
context: Chise...\Chise...\Chise!\We show no mercy to those who defile this knoll, Ainsworth.\Let go. response:	What do you intend to do in that vile state, you half-made monster?
context: Chise...\Chise...\Chise!\We show no mercy to those who defile this knoll, Ainsworth.\Let go.\What do you intend to do in that vile state, you half-made monster? response:	Let me go.
context: Chise...\Chise...\Chise!\We show no mercy to those who defile this knoll, Ainsworth.\Let go.\What do you intend to do in that vile state, you half-made monster?\Let me go. response:	You call yourself a mage, but you're now far removed from both us and the humans.
context: Chise...\Chise...\Chise!\We show no mercy to those who defile this knoll, Ainsworth.\Let go.\What do you intend to do in that vile state, you half-made monster?\Let me go.\You call yourself a mage, but you're now far removed from both us and the humans. response:	Are you going to become a freak of obsession?
context: Chise...\Chise!\We show no mercy to those who defile this knoll, Ainsworth.\Let go.\What do you intend to do in that vile state, you half-made monster?\Let me go.\You call yourself a mage, but you're now far removed from both us and the humans.\Are you going to become a freak of obsession? response:	You fool!
context: Chise!\We show no mercy to those who defile this knoll, Ainsworth.\Let go.\What do you intend to do in that vile state, you half-made monster?\Let me go.\You call yourself a mage, but you're now far removed from both us and the humans.\Are you going to become a freak of obsession?\You fool! response:	Pitiful child.
context: We show no mercy to those who defile this knoll, Ainsworth.\Let go.\What do you intend to do in that vile state, you half-made monster?\Let me go.\You call yourself a mage, but you're now far removed from both us and the humans.\Are you going to become a freak of obsession?\You fool!\Pitiful child. response:	My queen...
context: Let go.\What do you intend to do in that vile state, you half-made monster?\Let me go.\You call yourself a mage, but you're now far removed from both us and the humans.\Are you going to become a freak of obsession?\You fool!\Pitiful child.\My queen... response:	You've come alone?
context: What do you intend to do in that vile state, you half-made monster?\Let me go.\You call yourself a mage, but you're now far removed from both us and the humans.\Are you going to become a freak of obsession?\You fool!\Pitiful child.\My queen...\You've come alone? response:	This is a branch.
context: Let me go.\You call yourself a mage, but you're now far removed from both us and the humans.\Are you going to become a freak of obsession?\You fool!\Pitiful child.\My queen...\You've come alone?\This is a branch. response:	Surrogate eyes, surrogate ears, surrogate mouth.
context: You call yourself a mage, but you're now far removed from both us and the humans.\Are you going to become a freak of obsession?\You fool!\Pitiful child.\My queen...\You've come alone?\This is a branch.\Surrogate eyes, surrogate ears, surrogate mouth. response:	Losing a branch doesn't hurt a tree.
context: Are you going to become a freak of obsession?\You fool!\Pitiful child.\My queen...\You've come alone?\This is a branch.\Surrogate eyes, surrogate ears, surrogate mouth.\Losing a branch doesn't hurt a tree. response:	Elias, pitiful child...
context: You fool!\Pitiful child.\My queen...\You've come alone?\This is a branch.\Surrogate eyes, surrogate ears, surrogate mouth.\Losing a branch doesn't hurt a tree.\Elias, pitiful child... response:	You say you don't want to be pitied,
context: Pitiful child.\My queen...\You've come alone?\This is a branch.\Surrogate eyes, surrogate ears, surrogate mouth.\Losing a branch doesn't hurt a tree.\Elias, pitiful child...\You say you don't want to be pitied, response:	but forgive me for pitying you regardless.
context: My queen...\You've come alone?\This is a branch.\Surrogate eyes, surrogate ears, surrogate mouth.\Losing a branch doesn't hurt a tree.\Elias, pitiful child...\You say you don't want to be pitied,\but forgive me for pitying you regardless. response:	She has left you, hasn't she?
context: You've come alone?\This is a branch.\Surrogate eyes, surrogate ears, surrogate mouth.\Losing a branch doesn't hurt a tree.\Elias, pitiful child...\You say you don't want to be pitied,\but forgive me for pitying you regardless.\She has left you, hasn't she? response:	Chise... Why?
context: This is a branch.\Surrogate eyes, surrogate ears, surrogate mouth.\Losing a branch doesn't hurt a tree.\Elias, pitiful child...\You say you don't want to be pitied,\but forgive me for pitying you regardless.\She has left you, hasn't she?\Chise... Why? response:	You were the one who said you'd stay with me until I was done with you.
context: Surrogate eyes, surrogate ears, surrogate mouth.\Losing a branch doesn't hurt a tree.\Elias, pitiful child...\You say you don't want to be pitied,\but forgive me for pitying you regardless.\She has left you, hasn't she?\Chise... Why?\You were the one who said you'd stay with me until I was done with you. response:	You're very much human, but the way you love is like us.
