context: What should I do? response:	I forget what I was like before I met you
context: What should I do?\I forget what I was like before I met you response:	The wind caresses my cheek
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek response:	JLullaby of BirdlandJ
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ response:	Kick my heels going down the slope
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope response:	As my worthless shadow grows
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows response:	It's like an endless summer vacation
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation response:	Feels like sneakin' into the swimming pool
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool response:	Hey, let's swim with our clothes on, jump in!!
context: I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!! response:	A shocking seductive spiral
context: The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral response:	This beat that pierces my heart is strange
context: JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange response:	(It flares up, then vanishes)
context: Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes) response:	Every miserable day is swell,
context: As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell, response:	dress it up
context: It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up response:	A high-speed swing surrounds us
context: Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us response:	(What's this dance called? I can't stop)
context: Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop) response:	Don't you go, it's twined around my ears
context: A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears response:	and won't leave me ever again
context: This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again response:	This melody...
context: (It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody... response:	It's cold out...
context: Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\It's cold out... response:	I'm sleepy...
context: dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\It's cold out...\I'm sleepy... response:	Can I really keep these?
context: A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\It's cold out...\I'm sleepy...\Can I really keep these? response:	It's probably some mistake...
context: (What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\It's cold out...\I'm sleepy...\Can I really keep these?\It's probably some mistake... response:	Good morning, Mukae-san!
context: Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\It's cold out...\I'm sleepy...\Can I really keep these?\It's probably some mistake...\Good morning, Mukae-san! response:	Morning!
context: and won't leave me ever again\This melody...\It's cold out...\I'm sleepy...\Can I really keep these?\It's probably some mistake...\Good morning, Mukae-san!\Morning! response:	Good morning, Kaoru-san.
context: This melody...\It's cold out...\I'm sleepy...\Can I really keep these?\It's probably some mistake...\Good morning, Mukae-san!\Morning!\Good morning, Kaoru-san. response:	Cold today, isn't it?
context: It's cold out...\I'm sleepy...\Can I really keep these?\It's probably some mistake...\Good morning, Mukae-san!\Morning!\Good morning, Kaoru-san.\Cold today, isn't it? response:	Good morning.
context: I'm sleepy...\Can I really keep these?\It's probably some mistake...\Good morning, Mukae-san!\Morning!\Good morning, Kaoru-san.\Cold today, isn't it?\Good morning. response:	Morning, Ri-chan!
context: Can I really keep these?\It's probably some mistake...\Good morning, Mukae-san!\Morning!\Good morning, Kaoru-san.\Cold today, isn't it?\Good morning.\Morning, Ri-chan! response:	Morning!
context: It's probably some mistake...\Good morning, Mukae-san!\Morning!\Good morning, Kaoru-san.\Cold today, isn't it?\Good morning.\Morning, Ri-chan!\Morning! response:	That's right. Can't let myself get my hopes up.
context: Good morning, Mukae-san!\Morning!\Good morning, Kaoru-san.\Cold today, isn't it?\Good morning.\Morning, Ri-chan!\Morning!\That's right. Can't let myself get my hopes up. response:	I've already been rejected once.
context: Morning!\Good morning, Kaoru-san.\Cold today, isn't it?\Good morning.\Morning, Ri-chan!\Morning!\That's right. Can't let myself get my hopes up.\I've already been rejected once. response:	Do you have the usual, Ma'am?
context: Good morning, Kaoru-san.\Cold today, isn't it?\Good morning.\Morning, Ri-chan!\Morning!\That's right. Can't let myself get my hopes up.\I've already been rejected once.\Do you have the usual, Ma'am? response:	There you are, the usual.
context: Cold today, isn't it?\Good morning.\Morning, Ri-chan!\Morning!\That's right. Can't let myself get my hopes up.\I've already been rejected once.\Do you have the usual, Ma'am?\There you are, the usual. response:	Thank you! You're looking beautiful as always, Ma'am!
context: Good morning.\Morning, Ri-chan!\Morning!\That's right. Can't let myself get my hopes up.\I've already been rejected once.\Do you have the usual, Ma'am?\There you are, the usual.\Thank you! You're looking beautiful as always, Ma'am! response:	Oh, it's you. What's with the long face?
context: Morning, Ri-chan!\Morning!\That's right. Can't let myself get my hopes up.\I've already been rejected once.\Do you have the usual, Ma'am?\There you are, the usual.\Thank you! You're looking beautiful as always, Ma'am!\Oh, it's you. What's with the long face? response:	I'll take a guess. You're in shock over the news that Yurika-senpai eloped?
context: Morning!\That's right. Can't let myself get my hopes up.\I've already been rejected once.\Do you have the usual, Ma'am?\There you are, the usual.\Thank you! You're looking beautiful as always, Ma'am!\Oh, it's you. What's with the long face?\I'll take a guess. You're in shock over the news that Yurika-senpai eloped? response:	It's all over the school!
context: That's right. Can't let myself get my hopes up.\I've already been rejected once.\Do you have the usual, Ma'am?\There you are, the usual.\Thank you! You're looking beautiful as always, Ma'am!\Oh, it's you. What's with the long face?\I'll take a guess. You're in shock over the news that Yurika-senpai eloped?\It's all over the school! response:	D-Did you tell him about it?!
context: I've already been rejected once.\Do you have the usual, Ma'am?\There you are, the usual.\Thank you! You're looking beautiful as always, Ma'am!\Oh, it's you. What's with the long face?\I'll take a guess. You're in shock over the news that Yurika-senpai eloped?\It's all over the school!\D-Did you tell him about it?! response:	Oh, Kawabuchi-kun? Yeah, I told him this morning...
context: Do you have the usual, Ma'am?\There you are, the usual.\Thank you! You're looking beautiful as always, Ma'am!\Oh, it's you. What's with the long face?\I'll take a guess. You're in shock over the news that Yurika-senpai eloped?\It's all over the school!\D-Did you tell him about it?!\Oh, Kawabuchi-kun? Yeah, I told him this morning... response:	I don't think he's in the classroom!
context: There you are, the usual.\Thank you! You're looking beautiful as always, Ma'am!\Oh, it's you. What's with the long face?\I'll take a guess. You're in shock over the news that Yurika-senpai eloped?\It's all over the school!\D-Did you tell him about it?!\Oh, Kawabuchi-kun? Yeah, I told him this morning...\I don't think he's in the classroom! response:	I didn't expect to hear anything like this...
context: Thank you! You're looking beautiful as always, Ma'am!\Oh, it's you. What's with the long face?\I'll take a guess. You're in shock over the news that Yurika-senpai eloped?\It's all over the school!\D-Did you tell him about it?!\Oh, Kawabuchi-kun? Yeah, I told him this morning...\I don't think he's in the classroom!\I didn't expect to hear anything like this... response:	How must he feel about it?
context: Oh, it's you. What's with the long face?\I'll take a guess. You're in shock over the news that Yurika-senpai eloped?\It's all over the school!\D-Did you tell him about it?!\Oh, Kawabuchi-kun? Yeah, I told him this morning...\I don't think he's in the classroom!\I didn't expect to hear anything like this...\How must he feel about it? response:	Ah, that's the one that won the Prefectural Governor's Award.
context: I'll take a guess. You're in shock over the news that Yurika-senpai eloped?\It's all over the school!\D-Did you tell him about it?!\Oh, Kawabuchi-kun? Yeah, I told him this morning...\I don't think he's in the classroom!\I didn't expect to hear anything like this...\How must he feel about it?\Ah, that's the one that won the Prefectural Governor's Award. response:	We'd better take it down now.
context: It's all over the school!\D-Did you tell him about it?!\Oh, Kawabuchi-kun? Yeah, I told him this morning...\I don't think he's in the classroom!\I didn't expect to hear anything like this...\How must he feel about it?\Ah, that's the one that won the Prefectural Governor's Award.\We'd better take it down now. response:	You take that side.
context: D-Did you tell him about it?!\Oh, Kawabuchi-kun? Yeah, I told him this morning...\I don't think he's in the classroom!\I didn't expect to hear anything like this...\How must he feel about it?\Ah, that's the one that won the Prefectural Governor's Award.\We'd better take it down now.\You take that side. response:	Um, what are you doing?
context: Oh, Kawabuchi-kun? Yeah, I told him this morning...\I don't think he's in the classroom!\I didn't expect to hear anything like this...\How must he feel about it?\Ah, that's the one that won the Prefectural Governor's Award.\We'd better take it down now.\You take that side.\Um, what are you doing? response:	There's no way the school will display a painting
context: I don't think he's in the classroom!\I didn't expect to hear anything like this...\How must he feel about it?\Ah, that's the one that won the Prefectural Governor's Award.\We'd better take it down now.\You take that side.\Um, what are you doing?\There's no way the school will display a painting response:	by a student who's involved in a scandal.
context: I didn't expect to hear anything like this...\How must he feel about it?\Ah, that's the one that won the Prefectural Governor's Award.\We'd better take it down now.\You take that side.\Um, what are you doing?\There's no way the school will display a painting\by a student who's involved in a scandal. response:	We were told to remove it.
context: How must he feel about it?\Ah, that's the one that won the Prefectural Governor's Award.\We'd better take it down now.\You take that side.\Um, what are you doing?\There's no way the school will display a painting\by a student who's involved in a scandal.\We were told to remove it. response:	And what's going to happen to it after you take it down?
context: Ah, that's the one that won the Prefectural Governor's Award.\We'd better take it down now.\You take that side.\Um, what are you doing?\There's no way the school will display a painting\by a student who's involved in a scandal.\We were told to remove it.\And what's going to happen to it after you take it down? response:	You got me.
context: We'd better take it down now.\You take that side.\Um, what are you doing?\There's no way the school will display a painting\by a student who's involved in a scandal.\We were told to remove it.\And what's going to happen to it after you take it down?\You got me. response:	W-Wait! This painting is important!
context: You take that side.\Um, what are you doing?\There's no way the school will display a painting\by a student who's involved in a scandal.\We were told to remove it.\And what's going to happen to it after you take it down?\You got me.\W-Wait! This painting is important! response:	Please!
context: Um, what are you doing?\There's no way the school will display a painting\by a student who's involved in a scandal.\We were told to remove it.\And what's going to happen to it after you take it down?\You got me.\W-Wait! This painting is important!\Please! response:	What's she to you, anyway?
context: There's no way the school will display a painting\by a student who's involved in a scandal.\We were told to remove it.\And what's going to happen to it after you take it down?\You got me.\W-Wait! This painting is important!\Please!\What's she to you, anyway? response:	Had eyes for her, did ya?
context: by a student who's involved in a scandal.\We were told to remove it.\And what's going to happen to it after you take it down?\You got me.\W-Wait! This painting is important!\Please!\What's she to you, anyway?\Had eyes for her, did ya? response:	Wha...
context: We were told to remove it.\And what's going to happen to it after you take it down?\You got me.\W-Wait! This painting is important!\Please!\What's she to you, anyway?\Had eyes for her, did ya?\Wha... response:	Let it go, Richie.
context: And what's going to happen to it after you take it down?\You got me.\W-Wait! This painting is important!\Please!\What's she to you, anyway?\Had eyes for her, did ya?\Wha...\Let it go, Richie. response:	Sorry. You can take it away.
context: You got me.\W-Wait! This painting is important!\Please!\What's she to you, anyway?\Had eyes for her, did ya?\Wha...\Let it go, Richie.\Sorry. You can take it away. response:	Sen...
context: W-Wait! This painting is important!\Please!\What's she to you, anyway?\Had eyes for her, did ya?\Wha...\Let it go, Richie.\Sorry. You can take it away.\Sen... response:	Hey, Sen! Why...?!
context: Please!\What's she to you, anyway?\Had eyes for her, did ya?\Wha...\Let it go, Richie.\Sorry. You can take it away.\Sen...\Hey, Sen! Why...?! response:	You don't care what happens to that painting?!
context: What's she to you, anyway?\Had eyes for her, did ya?\Wha...\Let it go, Richie.\Sorry. You can take it away.\Sen...\Hey, Sen! Why...?!\You don't care what happens to that painting?! response:	Hey!
context: Had eyes for her, did ya?\Wha...\Let it go, Richie.\Sorry. You can take it away.\Sen...\Hey, Sen! Why...?!\You don't care what happens to that painting?!\Hey! response:	W-What are you doing?! Let go of me!
context: Wha...\Let it go, Richie.\Sorry. You can take it away.\Sen...\Hey, Sen! Why...?!\You don't care what happens to that painting?!\Hey!\W-What are you doing?! Let go of me! response:	What are you laughing at?!
context: Let it go, Richie.\Sorry. You can take it away.\Sen...\Hey, Sen! Why...?!\You don't care what happens to that painting?!\Hey!\W-What are you doing?! Let go of me!\What are you laughing at?! response:	Your stupidity must be contagious.
context: Sorry. You can take it away.\Sen...\Hey, Sen! Why...?!\You don't care what happens to that painting?!\Hey!\W-What are you doing?! Let go of me!\What are you laughing at?!\Your stupidity must be contagious. response:	W-What...?!
