context: Hm? response:	Kageyama
context: Hm?\Kageyama response:	What's that?
context: Hm?\Kageyama\What's that? response:	While Ritsu was mistaking Dimple for a creepy-looking balloon,
context: Hm?\Kageyama\What's that?\While Ritsu was mistaking Dimple for a creepy-looking balloon, response:	the rumors about Mob, who kicked around Hanazawa
context: Hm?\Kageyama\What's that?\While Ritsu was mistaking Dimple for a creepy-looking balloon,\the rumors about Mob, who kicked around Hanazawa response:	Hey, have you heard about the shadow leader at Salt Middle School?
context: Hm?\Kageyama\What's that?\While Ritsu was mistaking Dimple for a creepy-looking balloon,\the rumors about Mob, who kicked around Hanazawa\Hey, have you heard about the shadow leader at Salt Middle School? response:	The one in the white T-shirt?
context: Hm?\Kageyama\What's that?\While Ritsu was mistaking Dimple for a creepy-looking balloon,\the rumors about Mob, who kicked around Hanazawa\Hey, have you heard about the shadow leader at Salt Middle School?\The one in the white T-shirt? response:	Pale and skinny?
context: Hm?\Kageyama\What's that?\While Ritsu was mistaking Dimple for a creepy-looking balloon,\the rumors about Mob, who kicked around Hanazawa\Hey, have you heard about the shadow leader at Salt Middle School?\The one in the white T-shirt?\Pale and skinny? response:	the shadow leader of Black Vinegar Middle School,
context: Kageyama\What's that?\While Ritsu was mistaking Dimple for a creepy-looking balloon,\the rumors about Mob, who kicked around Hanazawa\Hey, have you heard about the shadow leader at Salt Middle School?\The one in the white T-shirt?\Pale and skinny?\the shadow leader of Black Vinegar Middle School, response:	were starting to take a life of their own.
context: What's that?\While Ritsu was mistaking Dimple for a creepy-looking balloon,\the rumors about Mob, who kicked around Hanazawa\Hey, have you heard about the shadow leader at Salt Middle School?\The one in the white T-shirt?\Pale and skinny?\the shadow leader of Black Vinegar Middle School,\were starting to take a life of their own. response:	You mean White T Poison, right?
context: While Ritsu was mistaking Dimple for a creepy-looking balloon,\the rumors about Mob, who kicked around Hanazawa\Hey, have you heard about the shadow leader at Salt Middle School?\The one in the white T-shirt?\Pale and skinny?\the shadow leader of Black Vinegar Middle School,\were starting to take a life of their own.\You mean White T Poison, right? response:	White T Poison...
context: the rumors about Mob, who kicked around Hanazawa\Hey, have you heard about the shadow leader at Salt Middle School?\The one in the white T-shirt?\Pale and skinny?\the shadow leader of Black Vinegar Middle School,\were starting to take a life of their own.\You mean White T Poison, right?\White T Poison... response:	This was the title given to Mob, whose identity had yet to be revealed.
context: Hey, have you heard about the shadow leader at Salt Middle School?\The one in the white T-shirt?\Pale and skinny?\the shadow leader of Black Vinegar Middle School,\were starting to take a life of their own.\You mean White T Poison, right?\White T Poison...\This was the title given to Mob, whose identity had yet to be revealed. response:	Apparently, he'll do anything.
context: The one in the white T-shirt?\Pale and skinny?\the shadow leader of Black Vinegar Middle School,\were starting to take a life of their own.\You mean White T Poison, right?\White T Poison...\This was the title given to Mob, whose identity had yet to be revealed.\Apparently, he'll do anything. response:	A slow-acting poison?
context: Pale and skinny?\the shadow leader of Black Vinegar Middle School,\were starting to take a life of their own.\You mean White T Poison, right?\White T Poison...\This was the title given to Mob, whose identity had yet to be revealed.\Apparently, he'll do anything.\A slow-acting poison? response:	White T Poison...
context: the shadow leader of Black Vinegar Middle School,\were starting to take a life of their own.\You mean White T Poison, right?\White T Poison...\This was the title given to Mob, whose identity had yet to be revealed.\Apparently, he'll do anything.\A slow-acting poison?\White T Poison... response:	I'll be the one to defeat him!
context: were starting to take a life of their own.\You mean White T Poison, right?\White T Poison...\This was the title given to Mob, whose identity had yet to be revealed.\Apparently, he'll do anything.\A slow-acting poison?\White T Poison...\I'll be the one to defeat him! response:	Fuji
context: You mean White T Poison, right?\White T Poison...\This was the title given to Mob, whose identity had yet to be revealed.\Apparently, he'll do anything.\A slow-acting poison?\White T Poison...\I'll be the one to defeat him!\Fuji response:	Bean Paste Middle School
context: White T Poison...\This was the title given to Mob, whose identity had yet to be revealed.\Apparently, he'll do anything.\A slow-acting poison?\White T Poison...\I'll be the one to defeat him!\Fuji\Bean Paste Middle School response:	Gang Leader: Kenzaki
context: This was the title given to Mob, whose identity had yet to be revealed.\Apparently, he'll do anything.\A slow-acting poison?\White T Poison...\I'll be the one to defeat him!\Fuji\Bean Paste Middle School\Gang Leader: Kenzaki response:	I'll defeat him and make him admit that I'm the best.
context: Apparently, he'll do anything.\A slow-acting poison?\White T Poison...\I'll be the one to defeat him!\Fuji\Bean Paste Middle School\Gang Leader: Kenzaki\I'll defeat him and make him admit that I'm the best. response:	Noodle Soup Middle School
context: A slow-acting poison?\White T Poison...\I'll be the one to defeat him!\Fuji\Bean Paste Middle School\Gang Leader: Kenzaki\I'll defeat him and make him admit that I'm the best.\Noodle Soup Middle School response:	Gang Leader: Akagi
context: White T Poison...\I'll be the one to defeat him!\Fuji\Bean Paste Middle School\Gang Leader: Kenzaki\I'll defeat him and make him admit that I'm the best.\Noodle Soup Middle School\Gang Leader: Akagi response:	So the next target is Salt Middle School...
context: I'll be the one to defeat him!\Fuji\Bean Paste Middle School\Gang Leader: Kenzaki\I'll defeat him and make him admit that I'm the best.\Noodle Soup Middle School\Gang Leader: Akagi\So the next target is Salt Middle School... response:	Mayo Middle School
context: Fuji\Bean Paste Middle School\Gang Leader: Kenzaki\I'll defeat him and make him admit that I'm the best.\Noodle Soup Middle School\Gang Leader: Akagi\So the next target is Salt Middle School...\Mayo Middle School response:	Gang Leader: Gozu
context: Bean Paste Middle School\Gang Leader: Kenzaki\I'll defeat him and make him admit that I'm the best.\Noodle Soup Middle School\Gang Leader: Akagi\So the next target is Salt Middle School...\Mayo Middle School\Gang Leader: Gozu response:	White T Poison is my prey.
context: Gang Leader: Kenzaki\I'll defeat him and make him admit that I'm the best.\Noodle Soup Middle School\Gang Leader: Akagi\So the next target is Salt Middle School...\Mayo Middle School\Gang Leader: Gozu\White T Poison is my prey. response:	Soy Sauce Middle School
context: I'll defeat him and make him admit that I'm the best.\Noodle Soup Middle School\Gang Leader: Akagi\So the next target is Salt Middle School...\Mayo Middle School\Gang Leader: Gozu\White T Poison is my prey.\Soy Sauce Middle School response:	Gang Leader: Bandai
context: Noodle Soup Middle School\Gang Leader: Akagi\So the next target is Salt Middle School...\Mayo Middle School\Gang Leader: Gozu\White T Poison is my prey.\Soy Sauce Middle School\Gang Leader: Bandai response:	This is my chance to shine.
context: Gang Leader: Akagi\So the next target is Salt Middle School...\Mayo Middle School\Gang Leader: Gozu\White T Poison is my prey.\Soy Sauce Middle School\Gang Leader: Bandai\This is my chance to shine. response:	And thus the fierce battle to fight White T Poison was about to begin.
context: So the next target is Salt Middle School...\Mayo Middle School\Gang Leader: Gozu\White T Poison is my prey.\Soy Sauce Middle School\Gang Leader: Bandai\This is my chance to shine.\And thus the fierce battle to fight White T Poison was about to begin. response:	Onigawara Leadership: 1500 Moderate Faction: 4
context: Mayo Middle School\Gang Leader: Gozu\White T Poison is my prey.\Soy Sauce Middle School\Gang Leader: Bandai\This is my chance to shine.\And thus the fierce battle to fight White T Poison was about to begin.\Onigawara Leadership: 1500 Moderate Faction: 4 response:	Hanazawa Attack Power: 2800P
context: Gang Leader: Gozu\White T Poison is my prey.\Soy Sauce Middle School\Gang Leader: Bandai\This is my chance to shine.\And thus the fierce battle to fight White T Poison was about to begin.\Onigawara Leadership: 1500 Moderate Faction: 4\Hanazawa Attack Power: 2800P response:	Kenzaki Leadership: 1000 Extremist Faction: 5
context: White T Poison is my prey.\Soy Sauce Middle School\Gang Leader: Bandai\This is my chance to shine.\And thus the fierce battle to fight White T Poison was about to begin.\Onigawara Leadership: 1500 Moderate Faction: 4\Hanazawa Attack Power: 2800P\Kenzaki Leadership: 1000 Extremist Faction: 5 response:	Akagi Leadership: 1000 Moderate Faction: 2
context: Soy Sauce Middle School\Gang Leader: Bandai\This is my chance to shine.\And thus the fierce battle to fight White T Poison was about to begin.\Onigawara Leadership: 1500 Moderate Faction: 4\Hanazawa Attack Power: 2800P\Kenzaki Leadership: 1000 Extremist Faction: 5\Akagi Leadership: 1000 Moderate Faction: 2 response:	Gozu Leadership: 1100 Extremist Faction: 5
context: Gang Leader: Bandai\This is my chance to shine.\And thus the fierce battle to fight White T Poison was about to begin.\Onigawara Leadership: 1500 Moderate Faction: 4\Hanazawa Attack Power: 2800P\Kenzaki Leadership: 1000 Extremist Faction: 5\Akagi Leadership: 1000 Moderate Faction: 2\Gozu Leadership: 1100 Extremist Faction: 5 response:	Fuji Leadership: 1400 Extremist Faction: 3
context: This is my chance to shine.\And thus the fierce battle to fight White T Poison was about to begin.\Onigawara Leadership: 1500 Moderate Faction: 4\Hanazawa Attack Power: 2800P\Kenzaki Leadership: 1000 Extremist Faction: 5\Akagi Leadership: 1000 Moderate Faction: 2\Gozu Leadership: 1100 Extremist Faction: 5\Fuji Leadership: 1400 Extremist Faction: 3 response:	Bandai Leadership: 1300 Diehards: 1
context: And thus the fierce battle to fight White T Poison was about to begin.\Onigawara Leadership: 1500 Moderate Faction: 4\Hanazawa Attack Power: 2800P\Kenzaki Leadership: 1000 Extremist Faction: 5\Akagi Leadership: 1000 Moderate Faction: 2\Gozu Leadership: 1100 Extremist Faction: 5\Fuji Leadership: 1400 Extremist Faction: 3\Bandai Leadership: 1300 Diehards: 1 response:	Mob Psycho 100
context: Onigawara Leadership: 1500 Moderate Faction: 4\Hanazawa Attack Power: 2800P\Kenzaki Leadership: 1000 Extremist Faction: 5\Akagi Leadership: 1000 Moderate Faction: 2\Gozu Leadership: 1100 Extremist Faction: 5\Fuji Leadership: 1400 Extremist Faction: 3\Bandai Leadership: 1300 Diehards: 1\Mob Psycho 100 response:	Exaltation I've Obtained Loss
context: Hanazawa Attack Power: 2800P\Kenzaki Leadership: 1000 Extremist Faction: 5\Akagi Leadership: 1000 Moderate Faction: 2\Gozu Leadership: 1100 Extremist Faction: 5\Fuji Leadership: 1400 Extremist Faction: 3\Bandai Leadership: 1300 Diehards: 1\Mob Psycho 100\Exaltation I've Obtained Loss response:	Man, thanks for helping me out.
context: Kenzaki Leadership: 1000 Extremist Faction: 5\Akagi Leadership: 1000 Moderate Faction: 2\Gozu Leadership: 1100 Extremist Faction: 5\Fuji Leadership: 1400 Extremist Faction: 3\Bandai Leadership: 1300 Diehards: 1\Mob Psycho 100\Exaltation I've Obtained Loss\Man, thanks for helping me out. response:	I managed to make it back from the particle level by myself,
