context: < Ishizaki Kanami > response:	< Friend>
context: < Ishizaki Kanami >\< Friend> response:	<Episode 7 The Doll Sings to the Dancing Snow...>
context: < Ishizaki Kanami >\< Friend>\<Episode 7 The Doll Sings to the Dancing Snow...> response:	A secret passage,
context: < Ishizaki Kanami >\< Friend>\<Episode 7 The Doll Sings to the Dancing Snow...>\A secret passage, response:	a hidden room.
context: < Ishizaki Kanami >\< Friend>\<Episode 7 The Doll Sings to the Dancing Snow...>\A secret passage,\a hidden room. response:	They were all prepared by Professor Pavlichenko to hide the existence of his son,
context: < Ishizaki Kanami >\< Friend>\<Episode 7 The Doll Sings to the Dancing Snow...>\A secret passage,\a hidden room.\They were all prepared by Professor Pavlichenko to hide the existence of his son, response:	and to escape in case of an emergency.
context: < Ishizaki Kanami >\< Friend>\<Episode 7 The Doll Sings to the Dancing Snow...>\A secret passage,\a hidden room.\They were all prepared by Professor Pavlichenko to hide the existence of his son,\and to escape in case of an emergency. response:	There are also traces of tampering in the family registry.
context: < Ishizaki Kanami >\< Friend>\<Episode 7 The Doll Sings to the Dancing Snow...>\A secret passage,\a hidden room.\They were all prepared by Professor Pavlichenko to hide the existence of his son,\and to escape in case of an emergency.\There are also traces of tampering in the family registry. response:	And not only once, but twice...
context: < Friend>\<Episode 7 The Doll Sings to the Dancing Snow...>\A secret passage,\a hidden room.\They were all prepared by Professor Pavlichenko to hide the existence of his son,\and to escape in case of an emergency.\There are also traces of tampering in the family registry.\And not only once, but twice... response:	Why would he go that far to hide his son?
context: <Episode 7 The Doll Sings to the Dancing Snow...>\A secret passage,\a hidden room.\They were all prepared by Professor Pavlichenko to hide the existence of his son,\and to escape in case of an emergency.\There are also traces of tampering in the family registry.\And not only once, but twice...\Why would he go that far to hide his son? response:	We don't know.
context: A secret passage,\a hidden room.\They were all prepared by Professor Pavlichenko to hide the existence of his son,\and to escape in case of an emergency.\There are also traces of tampering in the family registry.\And not only once, but twice...\Why would he go that far to hide his son?\We don't know. response:	Perhaps it's related to his research that he's been secretly conducting.
context: a hidden room.\They were all prepared by Professor Pavlichenko to hide the existence of his son,\and to escape in case of an emergency.\There are also traces of tampering in the family registry.\And not only once, but twice...\Why would he go that far to hide his son?\We don't know.\Perhaps it's related to his research that he's been secretly conducting. response:	You mean that ME network drivel mentioned in the report?
context: They were all prepared by Professor Pavlichenko to hide the existence of his son,\and to escape in case of an emergency.\There are also traces of tampering in the family registry.\And not only once, but twice...\Why would he go that far to hide his son?\We don't know.\Perhaps it's related to his research that he's been secretly conducting.\You mean that ME network drivel mentioned in the report? response:	If that was feasible, we would both be jobless.
context: and to escape in case of an emergency.\There are also traces of tampering in the family registry.\And not only once, but twice...\Why would he go that far to hide his son?\We don't know.\Perhaps it's related to his research that he's been secretly conducting.\You mean that ME network drivel mentioned in the report?\If that was feasible, we would both be jobless. response:	There are pieces missing everywhere.
context: There are also traces of tampering in the family registry.\And not only once, but twice...\Why would he go that far to hide his son?\We don't know.\Perhaps it's related to his research that he's been secretly conducting.\You mean that ME network drivel mentioned in the report?\If that was feasible, we would both be jobless.\There are pieces missing everywhere. response:	It was the case with Professor Pavlichenko's corpse, too.
context: And not only once, but twice...\Why would he go that far to hide his son?\We don't know.\Perhaps it's related to his research that he's been secretly conducting.\You mean that ME network drivel mentioned in the report?\If that was feasible, we would both be jobless.\There are pieces missing everywhere.\It was the case with Professor Pavlichenko's corpse, too. response:	The DNA proves that the body was indeed his.
context: Why would he go that far to hide his son?\We don't know.\Perhaps it's related to his research that he's been secretly conducting.\You mean that ME network drivel mentioned in the report?\If that was feasible, we would both be jobless.\There are pieces missing everywhere.\It was the case with Professor Pavlichenko's corpse, too.\The DNA proves that the body was indeed his. response:	But the ME squeezer was only able to extract a day's worth of memories.
context: We don't know.\Perhaps it's related to his research that he's been secretly conducting.\You mean that ME network drivel mentioned in the report?\If that was feasible, we would both be jobless.\There are pieces missing everywhere.\It was the case with Professor Pavlichenko's corpse, too.\The DNA proves that the body was indeed his.\But the ME squeezer was only able to extract a day's worth of memories. response:	How do you explain that?
context: Perhaps it's related to his research that he's been secretly conducting.\You mean that ME network drivel mentioned in the report?\If that was feasible, we would both be jobless.\There are pieces missing everywhere.\It was the case with Professor Pavlichenko's corpse, too.\The DNA proves that the body was indeed his.\But the ME squeezer was only able to extract a day's worth of memories.\How do you explain that? response:	Were both analyses wrong?
context: You mean that ME network drivel mentioned in the report?\If that was feasible, we would both be jobless.\There are pieces missing everywhere.\It was the case with Professor Pavlichenko's corpse, too.\The DNA proves that the body was indeed his.\But the ME squeezer was only able to extract a day's worth of memories.\How do you explain that?\Were both analyses wrong? response:	What?
context: If that was feasible, we would both be jobless.\There are pieces missing everywhere.\It was the case with Professor Pavlichenko's corpse, too.\The DNA proves that the body was indeed his.\But the ME squeezer was only able to extract a day's worth of memories.\How do you explain that?\Were both analyses wrong?\What? response:	We got this a moment ago.
context: There are pieces missing everywhere.\It was the case with Professor Pavlichenko's corpse, too.\The DNA proves that the body was indeed his.\But the ME squeezer was only able to extract a day's worth of memories.\How do you explain that?\Were both analyses wrong?\What?\We got this a moment ago. response:	It's from an SVR agent in Japan.
context: It was the case with Professor Pavlichenko's corpse, too.\The DNA proves that the body was indeed his.\But the ME squeezer was only able to extract a day's worth of memories.\How do you explain that?\Were both analyses wrong?\What?\We got this a moment ago.\It's from an SVR agent in Japan. response:	What?!
context: The DNA proves that the body was indeed his.\But the ME squeezer was only able to extract a day's worth of memories.\How do you explain that?\Were both analyses wrong?\What?\We got this a moment ago.\It's from an SVR agent in Japan.\What?! response:	This was taken 26 hours ago...
context: But the ME squeezer was only able to extract a day's worth of memories.\How do you explain that?\Were both analyses wrong?\What?\We got this a moment ago.\It's from an SVR agent in Japan.\What?!\This was taken 26 hours ago... response:	In Tokyo.
context: How do you explain that?\Were both analyses wrong?\What?\We got this a moment ago.\It's from an SVR agent in Japan.\What?!\This was taken 26 hours ago...\In Tokyo. response:	Tsukiakari no michishirube
context: Were both analyses wrong?\What?\We got this a moment ago.\It's from an SVR agent in Japan.\What?!\This was taken 26 hours ago...\In Tokyo.\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: What?\We got this a moment ago.\It's from an SVR agent in Japan.\What?!\This was taken 26 hours ago...\In Tokyo.\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: We got this a moment ago.\It's from an SVR agent in Japan.\What?!\This was taken 26 hours ago...\In Tokyo.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: It's from an SVR agent in Japan.\What?!\This was taken 26 hours ago...\In Tokyo.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
