context: Graduation response:	Captain Simon, congratulations on successfully
context: Graduation\Captain Simon, congratulations on successfully response:	destroying the enemy base on RA221.
context: Graduation\Captain Simon, congratulations on successfully\destroying the enemy base on RA221. response:	Indeed, that was splendid!
context: Graduation\Captain Simon, congratulations on successfully\destroying the enemy base on RA221.\Indeed, that was splendid! response:	We finally managed to land a blow against the Wulgaru army.
context: Graduation\Captain Simon, congratulations on successfully\destroying the enemy base on RA221.\Indeed, that was splendid!\We finally managed to land a blow against the Wulgaru army. response:	There's hope yet that we can change the tide of this war.
context: Graduation\Captain Simon, congratulations on successfully\destroying the enemy base on RA221.\Indeed, that was splendid!\We finally managed to land a blow against the Wulgaru army.\There's hope yet that we can change the tide of this war. response:	The real battle has yet to begin.
context: Graduation\Captain Simon, congratulations on successfully\destroying the enemy base on RA221.\Indeed, that was splendid!\We finally managed to land a blow against the Wulgaru army.\There's hope yet that we can change the tide of this war.\The real battle has yet to begin. response:	Until now, the Wulgaru has taken us lightly,
context: Graduation\Captain Simon, congratulations on successfully\destroying the enemy base on RA221.\Indeed, that was splendid!\We finally managed to land a blow against the Wulgaru army.\There's hope yet that we can change the tide of this war.\The real battle has yet to begin.\Until now, the Wulgaru has taken us lightly, response:	but that strike will serve as an excuse to launch a massive attack.
context: Captain Simon, congratulations on successfully\destroying the enemy base on RA221.\Indeed, that was splendid!\We finally managed to land a blow against the Wulgaru army.\There's hope yet that we can change the tide of this war.\The real battle has yet to begin.\Until now, the Wulgaru has taken us lightly,\but that strike will serve as an excuse to launch a massive attack. response:	Precisely.
context: destroying the enemy base on RA221.\Indeed, that was splendid!\We finally managed to land a blow against the Wulgaru army.\There's hope yet that we can change the tide of this war.\The real battle has yet to begin.\Until now, the Wulgaru has taken us lightly,\but that strike will serve as an excuse to launch a massive attack.\Precisely. response:	We must prepare for the Wulgaru's counter-attack.
context: Indeed, that was splendid!\We finally managed to land a blow against the Wulgaru army.\There's hope yet that we can change the tide of this war.\The real battle has yet to begin.\Until now, the Wulgaru has taken us lightly,\but that strike will serve as an excuse to launch a massive attack.\Precisely.\We must prepare for the Wulgaru's counter-attack. response:	We have already confirmed signs of enemy movement.
context: We finally managed to land a blow against the Wulgaru army.\There's hope yet that we can change the tide of this war.\The real battle has yet to begin.\Until now, the Wulgaru has taken us lightly,\but that strike will serve as an excuse to launch a massive attack.\Precisely.\We must prepare for the Wulgaru's counter-attack.\We have already confirmed signs of enemy movement. response:	You are speaking out of line, Deputy Amane.
context: There's hope yet that we can change the tide of this war.\The real battle has yet to begin.\Until now, the Wulgaru has taken us lightly,\but that strike will serve as an excuse to launch a massive attack.\Precisely.\We must prepare for the Wulgaru's counter-attack.\We have already confirmed signs of enemy movement.\You are speaking out of line, Deputy Amane. response:	My apologies.
context: The real battle has yet to begin.\Until now, the Wulgaru has taken us lightly,\but that strike will serve as an excuse to launch a massive attack.\Precisely.\We must prepare for the Wulgaru's counter-attack.\We have already confirmed signs of enemy movement.\You are speaking out of line, Deputy Amane.\My apologies. response:	But after this, I imagine the MJP will be back
context: Until now, the Wulgaru has taken us lightly,\but that strike will serve as an excuse to launch a massive attack.\Precisely.\We must prepare for the Wulgaru's counter-attack.\We have already confirmed signs of enemy movement.\You are speaking out of line, Deputy Amane.\My apologies.\But after this, I imagine the MJP will be back response:	on track, training pilots.
context: but that strike will serve as an excuse to launch a massive attack.\Precisely.\We must prepare for the Wulgaru's counter-attack.\We have already confirmed signs of enemy movement.\You are speaking out of line, Deputy Amane.\My apologies.\But after this, I imagine the MJP will be back\on track, training pilots. response:	If they pump out more excellent students,
