context: -OP- response:	-ED-
context: -OP-\-ED- response:	You...
context: -OP-\-ED-\You... response:	Rin Okumura, the son of Satan!
context: -OP-\-ED-\You...\Rin Okumura, the son of Satan! response:	Yukio...
context: -OP-\-ED-\You...\Rin Okumura, the son of Satan!\Yukio... response:	He is...
context: -OP-\-ED-\You...\Rin Okumura, the son of Satan!\Yukio...\He is... response:	an enemy.
context: -OP-\-ED-\You...\Rin Okumura, the son of Satan!\Yukio...\He is...\an enemy. response:	Mephisto?
context: -OP-\-ED-\You...\Rin Okumura, the son of Satan!\Yukio...\He is...\an enemy.\Mephisto? response:	Well done, Pages! Thank you for your good work!
context: -ED-\You...\Rin Okumura, the son of Satan!\Yukio...\He is...\an enemy.\Mephisto?\Well done, Pages! Thank you for your good work! response:	Principal?
context: You...\Rin Okumura, the son of Satan!\Yukio...\He is...\an enemy.\Mephisto?\Well done, Pages! Thank you for your good work!\Principal? response:	What's going on...?
context: Rin Okumura, the son of Satan!\Yukio...\He is...\an enemy.\Mephisto?\Well done, Pages! Thank you for your good work!\Principal?\What's going on...? response:	Did you think I'd allow demons over mid-class to enter the Academy?
context: Yukio...\He is...\an enemy.\Mephisto?\Well done, Pages! Thank you for your good work!\Principal?\What's going on...?\Did you think I'd allow demons over mid-class to enter the Academy? response:	Doctors, please tend to the wounded.
context: He is...\an enemy.\Mephisto?\Well done, Pages! Thank you for your good work!\Principal?\What's going on...?\Did you think I'd allow demons over mid-class to enter the Academy?\Doctors, please tend to the wounded. response:	You can't...
context: an enemy.\Mephisto?\Well done, Pages! Thank you for your good work!\Principal?\What's going on...?\Did you think I'd allow demons over mid-class to enter the Academy?\Doctors, please tend to the wounded.\You can't... response:	Surprise! I can!
context: Mephisto?\Well done, Pages! Thank you for your good work!\Principal?\What's going on...?\Did you think I'd allow demons over mid-class to enter the Academy?\Doctors, please tend to the wounded.\You can't...\Surprise! I can! response:	This training camp was your Esquire exam at the same time!
