context: Sign: Vampire Fanclub response:	Sign: Public Safety Commission
context: Sign: Vampire Fanclub\Sign: Public Safety Commission response:	W-We're really sorry!
context: Sign: Vampire Fanclub\Sign: Public Safety Commission\W-We're really sorry! response:	Please give us more time!
context: Sign: Vampire Fanclub\Sign: Public Safety Commission\W-We're really sorry!\Please give us more time! response:	That was different from what we discussed.
context: Sign: Vampire Fanclub\Sign: Public Safety Commission\W-We're really sorry!\Please give us more time!\That was different from what we discussed. response:	The tribute should have been paid yesterday.
context: Sign: Vampire Fanclub\Sign: Public Safety Commission\W-We're really sorry!\Please give us more time!\That was different from what we discussed.\The tribute should have been paid yesterday. response:	It was all because we bought new training equipment instead...
context: Sign: Vampire Fanclub\Sign: Public Safety Commission\W-We're really sorry!\Please give us more time!\That was different from what we discussed.\The tribute should have been paid yesterday.\It was all because we bought new training equipment instead... response:	But we'll definitely pay...!
context: Sign: Vampire Fanclub\Sign: Public Safety Commission\W-We're really sorry!\Please give us more time!\That was different from what we discussed.\The tribute should have been paid yesterday.\It was all because we bought new training equipment instead...\But we'll definitely pay...! response:	Mom!
context: Sign: Public Safety Commission\W-We're really sorry!\Please give us more time!\That was different from what we discussed.\The tribute should have been paid yesterday.\It was all because we bought new training equipment instead...\But we'll definitely pay...!\Mom! response:	Help!
context: W-We're really sorry!\Please give us more time!\That was different from what we discussed.\The tribute should have been paid yesterday.\It was all because we bought new training equipment instead...\But we'll definitely pay...!\Mom!\Help! response:	This is really boring.
context: Please give us more time!\That was different from what we discussed.\The tribute should have been paid yesterday.\It was all because we bought new training equipment instead...\But we'll definitely pay...!\Mom!\Help!\This is really boring. response:	Let's slack off like this then.
context: That was different from what we discussed.\The tribute should have been paid yesterday.\It was all because we bought new training equipment instead...\But we'll definitely pay...!\Mom!\Help!\This is really boring.\Let's slack off like this then. response:	I agree totally.
context: The tribute should have been paid yesterday.\It was all because we bought new training equipment instead...\But we'll definitely pay...!\Mom!\Help!\This is really boring.\Let's slack off like this then.\I agree totally. response:	Students who are not serious shall be punished in the name of justice!
context: It was all because we bought new training equipment instead...\But we'll definitely pay...!\Mom!\Help!\This is really boring.\Let's slack off like this then.\I agree totally.\Students who are not serious shall be punished in the name of justice! response:	The Public Safety Commission!
