context: I'm Gouda Takeo, a first-year in high school. response:	He's Sunakawa Makoto, a friend of mine.
context: I'm Gouda Takeo, a first-year in high school.\He's Sunakawa Makoto, a friend of mine. response:	And that's my girlfriend, Yamato.
context: I'm Gouda Takeo, a first-year in high school.\He's Sunakawa Makoto, a friend of mine.\And that's my girlfriend, Yamato. response:	Takeo-kun!
context: I'm Gouda Takeo, a first-year in high school.\He's Sunakawa Makoto, a friend of mine.\And that's my girlfriend, Yamato.\Takeo-kun! response:	Yamato!
context: I'm Gouda Takeo, a first-year in high school.\He's Sunakawa Makoto, a friend of mine.\And that's my girlfriend, Yamato.\Takeo-kun!\Yamato! response:	Shuuei
context: I'm Gouda Takeo, a first-year in high school.\He's Sunakawa Makoto, a friend of mine.\And that's my girlfriend, Yamato.\Takeo-kun!\Yamato!\Shuuei response:	You must be the first-year, Gouda Takeo.
context: I'm Gouda Takeo, a first-year in high school.\He's Sunakawa Makoto, a friend of mine.\And that's my girlfriend, Yamato.\Takeo-kun!\Yamato!\Shuuei\You must be the first-year, Gouda Takeo. response:	We need to talk to you.
context: I'm Gouda Takeo, a first-year in high school.\He's Sunakawa Makoto, a friend of mine.\And that's my girlfriend, Yamato.\Takeo-kun!\Yamato!\Shuuei\You must be the first-year, Gouda Takeo.\We need to talk to you. response:	Don't worry, Yamato.
context: He's Sunakawa Makoto, a friend of mine.\And that's my girlfriend, Yamato.\Takeo-kun!\Yamato!\Shuuei\You must be the first-year, Gouda Takeo.\We need to talk to you.\Don't worry, Yamato. response:	I will protect you.
context: And that's my girlfriend, Yamato.\Takeo-kun!\Yamato!\Shuuei\You must be the first-year, Gouda Takeo.\We need to talk to you.\Don't worry, Yamato.\I will protect you. response:	I'll be your shield.
context: Takeo-kun!\Yamato!\Shuuei\You must be the first-year, Gouda Takeo.\We need to talk to you.\Don't worry, Yamato.\I will protect you.\I'll be your shield. response:	My Strength
context: Yamato!\Shuuei\You must be the first-year, Gouda Takeo.\We need to talk to you.\Don't worry, Yamato.\I will protect you.\I'll be your shield.\My Strength response:	Please, Gouda!
context: Shuuei\You must be the first-year, Gouda Takeo.\We need to talk to you.\Don't worry, Yamato.\I will protect you.\I'll be your shield.\My Strength\Please, Gouda! response:	Help us!
context: You must be the first-year, Gouda Takeo.\We need to talk to you.\Don't worry, Yamato.\I will protect you.\I'll be your shield.\My Strength\Please, Gouda!\Help us! response:	Okay!
context: We need to talk to you.\Don't worry, Yamato.\I will protect you.\I'll be your shield.\My Strength\Please, Gouda!\Help us!\Okay! response:	You will?
context: Don't worry, Yamato.\I will protect you.\I'll be your shield.\My Strength\Please, Gouda!\Help us!\Okay!\You will? response:	But you have no idea what help you'll be giving.
context: I will protect you.\I'll be your shield.\My Strength\Please, Gouda!\Help us!\Okay!\You will?\But you have no idea what help you'll be giving. response:	Men are bowing down to me.
context: I'll be your shield.\My Strength\Please, Gouda!\Help us!\Okay!\You will?\But you have no idea what help you'll be giving.\Men are bowing down to me. response:	How could I refuse?
context: My Strength\Please, Gouda!\Help us!\Okay!\You will?\But you have no idea what help you'll be giving.\Men are bowing down to me.\How could I refuse? response:	And they're second-years, too.
context: Please, Gouda!\Help us!\Okay!\You will?\But you have no idea what help you'll be giving.\Men are bowing down to me.\How could I refuse?\And they're second-years, too. response:	You're so cool, Takeo-kun.
context: Help us!\Okay!\You will?\But you have no idea what help you'll be giving.\Men are bowing down to me.\How could I refuse?\And they're second-years, too.\You're so cool, Takeo-kun. response:	So what did you need help with?
context: Okay!\You will?\But you have no idea what help you'll be giving.\Men are bowing down to me.\How could I refuse?\And they're second-years, too.\You're so cool, Takeo-kun.\So what did you need help with? response:	Join the judo club.
context: You will?\But you have no idea what help you'll be giving.\Men are bowing down to me.\How could I refuse?\And they're second-years, too.\You're so cool, Takeo-kun.\So what did you need help with?\Join the judo club. response:	Just for a month.
context: But you have no idea what help you'll be giving.\Men are bowing down to me.\How could I refuse?\And they're second-years, too.\You're so cool, Takeo-kun.\So what did you need help with?\Join the judo club.\Just for a month. response:	We're begging you!
context: Men are bowing down to me.\How could I refuse?\And they're second-years, too.\You're so cool, Takeo-kun.\So what did you need help with?\Join the judo club.\Just for a month.\We're begging you! response:	At the end of this month,
context: How could I refuse?\And they're second-years, too.\You're so cool, Takeo-kun.\So what did you need help with?\Join the judo club.\Just for a month.\We're begging you!\At the end of this month, response:	our judo club will participate in the Shuu-Bi Match.
context: And they're second-years, too.\You're so cool, Takeo-kun.\So what did you need help with?\Join the judo club.\Just for a month.\We're begging you!\At the end of this month,\our judo club will participate in the Shuu-Bi Match. response:	Shuu-Bi Match?
context: You're so cool, Takeo-kun.\So what did you need help with?\Join the judo club.\Just for a month.\We're begging you!\At the end of this month,\our judo club will participate in the Shuu-Bi Match.\Shuu-Bi Match? response:	It's an annual tradition
context: So what did you need help with?\Join the judo club.\Just for a month.\We're begging you!\At the end of this month,\our judo club will participate in the Shuu-Bi Match.\Shuu-Bi Match?\It's an annual tradition response:	where we compete with Bianka High School,
context: Join the judo club.\Just for a month.\We're begging you!\At the end of this month,\our judo club will participate in the Shuu-Bi Match.\Shuu-Bi Match?\It's an annual tradition\where we compete with Bianka High School, response:	our long-time rivals.
context: Just for a month.\We're begging you!\At the end of this month,\our judo club will participate in the Shuu-Bi Match.\Shuu-Bi Match?\It's an annual tradition\where we compete with Bianka High School,\our long-time rivals. response:	So far, our score is 9-9.
context: We're begging you!\At the end of this month,\our judo club will participate in the Shuu-Bi Match.\Shuu-Bi Match?\It's an annual tradition\where we compete with Bianka High School,\our long-time rivals.\So far, our score is 9-9. response:	We must secure victory in the 10th match for glory!
context: At the end of this month,\our judo club will participate in the Shuu-Bi Match.\Shuu-Bi Match?\It's an annual tradition\where we compete with Bianka High School,\our long-time rivals.\So far, our score is 9-9.\We must secure victory in the 10th match for glory! response:	Indeed!
context: our judo club will participate in the Shuu-Bi Match.\Shuu-Bi Match?\It's an annual tradition\where we compete with Bianka High School,\our long-time rivals.\So far, our score is 9-9.\We must secure victory in the 10th match for glory!\Indeed! response:	There's even a superstition that the years we lose the match,
context: Shuu-Bi Match?\It's an annual tradition\where we compete with Bianka High School,\our long-time rivals.\So far, our score is 9-9.\We must secure victory in the 10th match for glory!\Indeed!\There's even a superstition that the years we lose the match, response:	we won't make it to nationals!
context: It's an annual tradition\where we compete with Bianka High School,\our long-time rivals.\So far, our score is 9-9.\We must secure victory in the 10th match for glory!\Indeed!\There's even a superstition that the years we lose the match,\we won't make it to nationals! response:	It's pretty much our Battle of Mt. Tennou!
context: where we compete with Bianka High School,\our long-time rivals.\So far, our score is 9-9.\We must secure victory in the 10th match for glory!\Indeed!\There's even a superstition that the years we lose the match,\we won't make it to nationals!\It's pretty much our Battle of Mt. Tennou! response:	It's a team competition where we need to win three out of five matches,
context: our long-time rivals.\So far, our score is 9-9.\We must secure victory in the 10th match for glory!\Indeed!\There's even a superstition that the years we lose the match,\we won't make it to nationals!\It's pretty much our Battle of Mt. Tennou!\It's a team competition where we need to win three out of five matches, response:	but our champion's been injured,
context: So far, our score is 9-9.\We must secure victory in the 10th match for glory!\Indeed!\There's even a superstition that the years we lose the match,\we won't make it to nationals!\It's pretty much our Battle of Mt. Tennou!\It's a team competition where we need to win three out of five matches,\but our champion's been injured, response:	and we have no one to take his place.
context: We must secure victory in the 10th match for glory!\Indeed!\There's even a superstition that the years we lose the match,\we won't make it to nationals!\It's pretty much our Battle of Mt. Tennou!\It's a team competition where we need to win three out of five matches,\but our champion's been injured,\and we have no one to take his place. response:	Please fight for me!
context: Indeed!\There's even a superstition that the years we lose the match,\we won't make it to nationals!\It's pretty much our Battle of Mt. Tennou!\It's a team competition where we need to win three out of five matches,\but our champion's been injured,\and we have no one to take his place.\Please fight for me! response:	The explanation's so long
context: There's even a superstition that the years we lose the match,\we won't make it to nationals!\It's pretty much our Battle of Mt. Tennou!\It's a team competition where we need to win three out of five matches,\but our champion's been injured,\and we have no one to take his place.\Please fight for me!\The explanation's so long response:	that you weren't able to take it in, right?
