context: Whether or not anyone asked for you, response:	you will all be participating in internships with pros.
context: Whether or not anyone asked for you,\you will all be participating in internships with pros. response:	You've got an offer from a hero!
context: Whether or not anyone asked for you,\you will all be participating in internships with pros.\You've got an offer from a hero! response:	The hero's name is Gran Torino.
context: Whether or not anyone asked for you,\you will all be participating in internships with pros.\You've got an offer from a hero!\The hero's name is Gran Torino. response:	He was a teacher at U.A. for only one year.
context: Whether or not anyone asked for you,\you will all be participating in internships with pros.\You've got an offer from a hero!\The hero's name is Gran Torino.\He was a teacher at U.A. for only one year. response:	The man who was my homeroom teacher.
context: Whether or not anyone asked for you,\you will all be participating in internships with pros.\You've got an offer from a hero!\The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher. response:	I'm here from U.A. High. My name is Izuku Midoriya...
context: Whether or not anyone asked for you,\you will all be participating in internships with pros.\You've got an offer from a hero!\The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\I'm here from U.A. High. My name is Izuku Midoriya... response:	Nice to meet yo-
context: Whether or not anyone asked for you,\you will all be participating in internships with pros.\You've got an offer from a hero!\The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo- response:	He's dead!
context: you will all be participating in internships with pros.\You've got an offer from a hero!\The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead! response:	I'm alive!
context: You've got an offer from a hero!\The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive! response:	He's alive!
context: The hero's name is Gran Torino.\He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive! response:	Man...
context: He was a teacher at U.A. for only one year.\The man who was my homeroom teacher.\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Man... response:	When I was carrying a string of sausages with ketchup poured over them, I fell!
context: The man who was my homeroom teacher.\I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Man...\When I was carrying a string of sausages with ketchup poured over them, I fell! response:	Pro Hero - Gran Torino
context: I'm here from U.A. High. My name is Izuku Midoriya...\Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Man...\When I was carrying a string of sausages with ketchup poured over them, I fell!\Pro Hero - Gran Torino response:	Izuku Midoriya - Quirk: One For All
context: Nice to meet yo-\He's dead!\I'm alive!\He's alive!\Man...\When I was carrying a string of sausages with ketchup poured over them, I fell!\Pro Hero - Gran Torino\Izuku Midoriya - Quirk: One For All response:	That's too easily misunderstood!
context: He's dead!\I'm alive!\He's alive!\Man...\When I was carrying a string of sausages with ketchup poured over them, I fell!\Pro Hero - Gran Torino\Izuku Midoriya - Quirk: One For All\That's too easily misunderstood! response:	Who are you?
context: I'm alive!\He's alive!\Man...\When I was carrying a string of sausages with ketchup poured over them, I fell!\Pro Hero - Gran Torino\Izuku Midoriya - Quirk: One For All\That's too easily misunderstood!\Who are you? response:	I'm Izuku Midoriya from U.A.!
