context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	The leader of the Eye of the Midnight Sun, Licht.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The leader of the Eye of the Midnight Sun, Licht. response:	Asta was no match for his overwhelming magical powers.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The leader of the Eye of the Midnight Sun, Licht.\Asta was no match for his overwhelming magical powers. response:	The one who came to Asta's rescue
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The leader of the Eye of the Midnight Sun, Licht.\Asta was no match for his overwhelming magical powers.\The one who came to Asta's rescue response:	was none other than the captain of the Black Bulls, Yami Sukehiro.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The leader of the Eye of the Midnight Sun, Licht.\Asta was no match for his overwhelming magical powers.\The one who came to Asta's rescue\was none other than the captain of the Black Bulls, Yami Sukehiro. response:	In a breathless battle between light magic and dark magic,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The leader of the Eye of the Midnight Sun, Licht.\Asta was no match for his overwhelming magical powers.\The one who came to Asta's rescue\was none other than the captain of the Black Bulls, Yami Sukehiro.\In a breathless battle between light magic and dark magic, response:	Asta went beyond his limits and closed in for his counterattack.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The leader of the Eye of the Midnight Sun, Licht.\Asta was no match for his overwhelming magical powers.\The one who came to Asta's rescue\was none other than the captain of the Black Bulls, Yami Sukehiro.\In a breathless battle between light magic and dark magic,\Asta went beyond his limits and closed in for his counterattack. response:	But...
context: He was called the Wizard King, and he became a legend.\The leader of the Eye of the Midnight Sun, Licht.\Asta was no match for his overwhelming magical powers.\The one who came to Asta's rescue\was none other than the captain of the Black Bulls, Yami Sukehiro.\In a breathless battle between light magic and dark magic,\Asta went beyond his limits and closed in for his counterattack.\But... response:	How dare you... harm Valtos?!
context: The leader of the Eye of the Midnight Sun, Licht.\Asta was no match for his overwhelming magical powers.\The one who came to Asta's rescue\was none other than the captain of the Black Bulls, Yami Sukehiro.\In a breathless battle between light magic and dark magic,\Asta went beyond his limits and closed in for his counterattack.\But...\How dare you... harm Valtos?! response:	I cannot allow people like you to harm my comrades
context: Asta was no match for his overwhelming magical powers.\The one who came to Asta's rescue\was none other than the captain of the Black Bulls, Yami Sukehiro.\In a breathless battle between light magic and dark magic,\Asta went beyond his limits and closed in for his counterattack.\But...\How dare you... harm Valtos?!\I cannot allow people like you to harm my comrades response:	ever again!
context: The one who came to Asta's rescue\was none other than the captain of the Black Bulls, Yami Sukehiro.\In a breathless battle between light magic and dark magic,\Asta went beyond his limits and closed in for his counterattack.\But...\How dare you... harm Valtos?!\I cannot allow people like you to harm my comrades\ever again! response:	Light Creation Magic: Light Whip of Judgment!
context: was none other than the captain of the Black Bulls, Yami Sukehiro.\In a breathless battle between light magic and dark magic,\Asta went beyond his limits and closed in for his counterattack.\But...\How dare you... harm Valtos?!\I cannot allow people like you to harm my comrades\ever again!\Light Creation Magic: Light Whip of Judgment! response:	It's useless to struggle!
context: In a breathless battle between light magic and dark magic,\Asta went beyond his limits and closed in for his counterattack.\But...\How dare you... harm Valtos?!\I cannot allow people like you to harm my comrades\ever again!\Light Creation Magic: Light Whip of Judgment!\It's useless to struggle! response:	The cave!
context: Asta went beyond his limits and closed in for his counterattack.\But...\How dare you... harm Valtos?!\I cannot allow people like you to harm my comrades\ever again!\Light Creation Magic: Light Whip of Judgment!\It's useless to struggle!\The cave! response:	That nutcase has gone ballistic!
