context: Yuueisha response:	Hey, Hattori!
context: Yuueisha\Hey, Hattori! response:	Yes?
context: Yuueisha\Hey, Hattori!\Yes? response:	This Takagi-Mashiro team has gotten way better since the name stage.
context: Yuueisha\Hey, Hattori!\Yes?\This Takagi-Mashiro team has gotten way better since the name stage. response:	Yeah, I really thought so.
context: Yuueisha\Hey, Hattori!\Yes?\This Takagi-Mashiro team has gotten way better since the name stage.\Yeah, I really thought so. response:	This thing's quite interesting.
context: Yuueisha\Hey, Hattori!\Yes?\This Takagi-Mashiro team has gotten way better since the name stage.\Yeah, I really thought so.\This thing's quite interesting. response:	Oh, thank you.
context: Yuueisha\Hey, Hattori!\Yes?\This Takagi-Mashiro team has gotten way better since the name stage.\Yeah, I really thought so.\This thing's quite interesting.\Oh, thank you. response:	For the early report, we're first!
context: Yuueisha\Hey, Hattori!\Yes?\This Takagi-Mashiro team has gotten way better since the name stage.\Yeah, I really thought so.\This thing's quite interesting.\Oh, thank you.\For the early report, we're first! response:	Yes!
context: Hey, Hattori!\Yes?\This Takagi-Mashiro team has gotten way better since the name stage.\Yeah, I really thought so.\This thing's quite interesting.\Oh, thank you.\For the early report, we're first!\Yes! response:	But don't get relaxed.
context: Yes?\This Takagi-Mashiro team has gotten way better since the name stage.\Yeah, I really thought so.\This thing's quite interesting.\Oh, thank you.\For the early report, we're first!\Yes!\But don't get relaxed. response:	You two have thirty-three votes.
context: This Takagi-Mashiro team has gotten way better since the name stage.\Yeah, I really thought so.\This thing's quite interesting.\Oh, thank you.\For the early report, we're first!\Yes!\But don't get relaxed.\You two have thirty-three votes. response:	Niizuma-kun has thirty-one votes.
context: Yeah, I really thought so.\This thing's quite interesting.\Oh, thank you.\For the early report, we're first!\Yes!\But don't get relaxed.\You two have thirty-three votes.\Niizuma-kun has thirty-one votes. response:	That Hattori guy...
context: This thing's quite interesting.\Oh, thank you.\For the early report, we're first!\Yes!\But don't get relaxed.\You two have thirty-three votes.\Niizuma-kun has thirty-one votes.\That Hattori guy... response:	If Eiji loses, it will definitely put a damper on our serialization.
context: Oh, thank you.\For the early report, we're first!\Yes!\But don't get relaxed.\You two have thirty-three votes.\Niizuma-kun has thirty-one votes.\That Hattori guy...\If Eiji loses, it will definitely put a damper on our serialization. response:	No, there's no way Niizuma Eiji will lose.
