context: Hey, are we there yet? response:	It's just a little farther, Ben-chan.
context: Hey, are we there yet?\It's just a little farther, Ben-chan. response:	This guy's nice and quiet when he's hung over.
context: Hey, are we there yet?\It's just a little farther, Ben-chan.\This guy's nice and quiet when he's hung over. response:	Unbelievable.
context: Hey, are we there yet?\It's just a little farther, Ben-chan.\This guy's nice and quiet when he's hung over.\Unbelievable. response:	You're eager, aren't you?
context: Hey, are we there yet?\It's just a little farther, Ben-chan.\This guy's nice and quiet when he's hung over.\Unbelievable.\You're eager, aren't you? response:	Yukimura-sama, I am glad you are all right.
context: Hey, are we there yet?\It's just a little farther, Ben-chan.\This guy's nice and quiet when he's hung over.\Unbelievable.\You're eager, aren't you?\Yukimura-sama, I am glad you are all right. response:	Yes. Thanks for looking after the castle, Sasuke.
context: Hey, are we there yet?\It's just a little farther, Ben-chan.\This guy's nice and quiet when he's hung over.\Unbelievable.\You're eager, aren't you?\Yukimura-sama, I am glad you are all right.\Yes. Thanks for looking after the castle, Sasuke. response:	I'm home, Sasuke.
context: Hey, are we there yet?\It's just a little farther, Ben-chan.\This guy's nice and quiet when he's hung over.\Unbelievable.\You're eager, aren't you?\Yukimura-sama, I am glad you are all right.\Yes. Thanks for looking after the castle, Sasuke.\I'm home, Sasuke. response:	Who is that?
context: It's just a little farther, Ben-chan.\This guy's nice and quiet when he's hung over.\Unbelievable.\You're eager, aren't you?\Yukimura-sama, I am glad you are all right.\Yes. Thanks for looking after the castle, Sasuke.\I'm home, Sasuke.\Who is that? response:	He's called Benmaru-kun.
context: This guy's nice and quiet when he's hung over.\Unbelievable.\You're eager, aren't you?\Yukimura-sama, I am glad you are all right.\Yes. Thanks for looking after the castle, Sasuke.\I'm home, Sasuke.\Who is that?\He's called Benmaru-kun. response:	Yukimura-sama hired him.
context: Unbelievable.\You're eager, aren't you?\Yukimura-sama, I am glad you are all right.\Yes. Thanks for looking after the castle, Sasuke.\I'm home, Sasuke.\Who is that?\He's called Benmaru-kun.\Yukimura-sama hired him. response:	We've got a new old guy, too.
context: You're eager, aren't you?\Yukimura-sama, I am glad you are all right.\Yes. Thanks for looking after the castle, Sasuke.\I'm home, Sasuke.\Who is that?\He's called Benmaru-kun.\Yukimura-sama hired him.\We've got a new old guy, too. response:	Don't call me an old guy.
context: Yukimura-sama, I am glad you are all right.\Yes. Thanks for looking after the castle, Sasuke.\I'm home, Sasuke.\Who is that?\He's called Benmaru-kun.\Yukimura-sama hired him.\We've got a new old guy, too.\Don't call me an old guy. response:	Who is she?
context: Yes. Thanks for looking after the castle, Sasuke.\I'm home, Sasuke.\Who is that?\He's called Benmaru-kun.\Yukimura-sama hired him.\We've got a new old guy, too.\Don't call me an old guy.\Who is she? response:	That's Veronica.
context: I'm home, Sasuke.\Who is that?\He's called Benmaru-kun.\Yukimura-sama hired him.\We've got a new old guy, too.\Don't call me an old guy.\Who is she?\That's Veronica. response:	Sasuke, where's Anastasia?
context: Who is that?\He's called Benmaru-kun.\Yukimura-sama hired him.\We've got a new old guy, too.\Don't call me an old guy.\Who is she?\That's Veronica.\Sasuke, where's Anastasia? response:	Ana is patrolling the grounds.
context: He's called Benmaru-kun.\Yukimura-sama hired him.\We've got a new old guy, too.\Don't call me an old guy.\Who is she?\That's Veronica.\Sasuke, where's Anastasia?\Ana is patrolling the grounds. response:	She will be back tonight.
context: Yukimura-sama hired him.\We've got a new old guy, too.\Don't call me an old guy.\Who is she?\That's Veronica.\Sasuke, where's Anastasia?\Ana is patrolling the grounds.\She will be back tonight. response:	I see.
context: We've got a new old guy, too.\Don't call me an old guy.\Who is she?\That's Veronica.\Sasuke, where's Anastasia?\Ana is patrolling the grounds.\She will be back tonight.\I see. response:	I guess we'll have to wait until tomorrow to meet.
context: Don't call me an old guy.\Who is she?\That's Veronica.\Sasuke, where's Anastasia?\Ana is patrolling the grounds.\She will be back tonight.\I see.\I guess we'll have to wait until tomorrow to meet. response:	Meet?
context: Who is she?\That's Veronica.\Sasuke, where's Anastasia?\Ana is patrolling the grounds.\She will be back tonight.\I see.\I guess we'll have to wait until tomorrow to meet.\Meet? response:	Why do we have to do that?
context: That's Veronica.\Sasuke, where's Anastasia?\Ana is patrolling the grounds.\She will be back tonight.\I see.\I guess we'll have to wait until tomorrow to meet.\Meet?\Why do we have to do that? response:	I finally gathered all of you.
context: Sasuke, where's Anastasia?\Ana is patrolling the grounds.\She will be back tonight.\I see.\I guess we'll have to wait until tomorrow to meet.\Meet?\Why do we have to do that?\I finally gathered all of you. response:	One brave warrior for each of my ten fingers.
context: Ana is patrolling the grounds.\She will be back tonight.\I see.\I guess we'll have to wait until tomorrow to meet.\Meet?\Why do we have to do that?\I finally gathered all of you.\One brave warrior for each of my ten fingers. response:	The True Face of Ice
context: She will be back tonight.\I see.\I guess we'll have to wait until tomorrow to meet.\Meet?\Why do we have to do that?\I finally gathered all of you.\One brave warrior for each of my ten fingers.\The True Face of Ice response:	My bed!
context: I see.\I guess we'll have to wait until tomorrow to meet.\Meet?\Why do we have to do that?\I finally gathered all of you.\One brave warrior for each of my ten fingers.\The True Face of Ice\My bed! response:	Ana!
context: I guess we'll have to wait until tomorrow to meet.\Meet?\Why do we have to do that?\I finally gathered all of you.\One brave warrior for each of my ten fingers.\The True Face of Ice\My bed!\Ana! response:	How was Kyoto? Did you have fun?
context: Meet?\Why do we have to do that?\I finally gathered all of you.\One brave warrior for each of my ten fingers.\The True Face of Ice\My bed!\Ana!\How was Kyoto? Did you have fun? response:	Yeah. We ran into some trouble, though.
context: Why do we have to do that?\I finally gathered all of you.\One brave warrior for each of my ten fingers.\The True Face of Ice\My bed!\Ana!\How was Kyoto? Did you have fun?\Yeah. We ran into some trouble, though. response:	Oh.
context: I finally gathered all of you.\One brave warrior for each of my ten fingers.\The True Face of Ice\My bed!\Ana!\How was Kyoto? Did you have fun?\Yeah. We ran into some trouble, though.\Oh. response:	What?
context: One brave warrior for each of my ten fingers.\The True Face of Ice\My bed!\Ana!\How was Kyoto? Did you have fun?\Yeah. We ran into some trouble, though.\Oh.\What? response:	I didn't get to buy you any gifts. Sorry.
context: The True Face of Ice\My bed!\Ana!\How was Kyoto? Did you have fun?\Yeah. We ran into some trouble, though.\Oh.\What?\I didn't get to buy you any gifts. Sorry. response:	That's too bad.
context: My bed!\Ana!\How was Kyoto? Did you have fun?\Yeah. We ran into some trouble, though.\Oh.\What?\I didn't get to buy you any gifts. Sorry.\That's too bad. response:	I'm sorry.
context: Ana!\How was Kyoto? Did you have fun?\Yeah. We ran into some trouble, though.\Oh.\What?\I didn't get to buy you any gifts. Sorry.\That's too bad.\I'm sorry. response:	I won't forgive you.
context: How was Kyoto? Did you have fun?\Yeah. We ran into some trouble, though.\Oh.\What?\I didn't get to buy you any gifts. Sorry.\That's too bad.\I'm sorry.\I won't forgive you. response:	What?
context: Yeah. We ran into some trouble, though.\Oh.\What?\I didn't get to buy you any gifts. Sorry.\That's too bad.\I'm sorry.\I won't forgive you.\What? response:	Unless you tell me all about your trip.
context: Oh.\What?\I didn't get to buy you any gifts. Sorry.\That's too bad.\I'm sorry.\I won't forgive you.\What?\Unless you tell me all about your trip. response:	And I shared a fish with Veronica.
context: What?\I didn't get to buy you any gifts. Sorry.\That's too bad.\I'm sorry.\I won't forgive you.\What?\Unless you tell me all about your trip.\And I shared a fish with Veronica. response:	What? Who's that?
context: I didn't get to buy you any gifts. Sorry.\That's too bad.\I'm sorry.\I won't forgive you.\What?\Unless you tell me all about your trip.\And I shared a fish with Veronica.\What? Who's that? response:	Veronica's like a cat, except she's not a cat.
context: That's too bad.\I'm sorry.\I won't forgive you.\What?\Unless you tell me all about your trip.\And I shared a fish with Veronica.\What? Who's that?\Veronica's like a cat, except she's not a cat. response:	She's huge.
context: I'm sorry.\I won't forgive you.\What?\Unless you tell me all about your trip.\And I shared a fish with Veronica.\What? Who's that?\Veronica's like a cat, except she's not a cat.\She's huge. response:	Yukimura-sama decided to bring the pirate and Ben-chan.
context: I won't forgive you.\What?\Unless you tell me all about your trip.\And I shared a fish with Veronica.\What? Who's that?\Veronica's like a cat, except she's not a cat.\She's huge.\Yukimura-sama decided to bring the pirate and Ben-chan. response:	I think he'll introduce them to you tomorrow.
