context: Hey, that lndian prince who's visiting... response:	You think so? I wasn't that impressed...
context: Hey, that lndian prince who's visiting...\You think so? I wasn't that impressed... response:	I think he's a bit odd.
context: Hey, that lndian prince who's visiting...\You think so? I wasn't that impressed...\I think he's a bit odd. response:	What? But serious men are so tiresome!
context: Hey, that lndian prince who's visiting...\You think so? I wasn't that impressed...\I think he's a bit odd.\What? But serious men are so tiresome! response:	Eccentric guys are so much fun, and much more interesting!
context: Hey, that lndian prince who's visiting...\You think so? I wasn't that impressed...\I think he's a bit odd.\What? But serious men are so tiresome!\Eccentric guys are so much fun, and much more interesting! response:	That man really is...
context: Hey, that lndian prince who's visiting...\You think so? I wasn't that impressed...\I think he's a bit odd.\What? But serious men are so tiresome!\Eccentric guys are so much fun, and much more interesting!\That man really is... response:	Wonderful...
context: Hey, that lndian prince who's visiting...\You think so? I wasn't that impressed...\I think he's a bit odd.\What? But serious men are so tiresome!\Eccentric guys are so much fun, and much more interesting!\That man really is...\Wonderful... response:	What?! Wonderful...
context: Hey, that lndian prince who's visiting...\You think so? I wasn't that impressed...\I think he's a bit odd.\What? But serious men are so tiresome!\Eccentric guys are so much fun, and much more interesting!\That man really is...\Wonderful...\What?! Wonderful... response:	What?!
context: You think so? I wasn't that impressed...\I think he's a bit odd.\What? But serious men are so tiresome!\Eccentric guys are so much fun, and much more interesting!\That man really is...\Wonderful...\What?! Wonderful...\What?! response:	Episode 4 Mudie's
context: I think he's a bit odd.\What? But serious men are so tiresome!\Eccentric guys are so much fun, and much more interesting!\That man really is...\Wonderful...\What?! Wonderful...\What?!\Episode 4 Mudie's response:	Hey, William!
context: What? But serious men are so tiresome!\Eccentric guys are so much fun, and much more interesting!\That man really is...\Wonderful...\What?! Wonderful...\What?!\Episode 4 Mudie's\Hey, William! response:	First an elephant, and now an automobile...?
context: Eccentric guys are so much fun, and much more interesting!\That man really is...\Wonderful...\What?! Wonderful...\What?!\Episode 4 Mudie's\Hey, William!\First an elephant, and now an automobile...? response:	This is such an amusing toy!
context: That man really is...\Wonderful...\What?! Wonderful...\What?!\Episode 4 Mudie's\Hey, William!\First an elephant, and now an automobile...?\This is such an amusing toy! response:	It can move around without a horse.
context: Wonderful...\What?! Wonderful...\What?!\Episode 4 Mudie's\Hey, William!\First an elephant, and now an automobile...?\This is such an amusing toy!\It can move around without a horse. response:	An automobile is for outside use. But this is inside.
context: What?! Wonderful...\What?!\Episode 4 Mudie's\Hey, William!\First an elephant, and now an automobile...?\This is such an amusing toy!\It can move around without a horse.\An automobile is for outside use. But this is inside. response:	I see...
context: What?!\Episode 4 Mudie's\Hey, William!\First an elephant, and now an automobile...?\This is such an amusing toy!\It can move around without a horse.\An automobile is for outside use. But this is inside.\I see... response:	Anyway Hakim, weren't you supposed to go home after a week?
context: Episode 4 Mudie's\Hey, William!\First an elephant, and now an automobile...?\This is such an amusing toy!\It can move around without a horse.\An automobile is for outside use. But this is inside.\I see...\Anyway Hakim, weren't you supposed to go home after a week? response:	I've changed my mind.
context: Hey, William!\First an elephant, and now an automobile...?\This is such an amusing toy!\It can move around without a horse.\An automobile is for outside use. But this is inside.\I see...\Anyway Hakim, weren't you supposed to go home after a week?\I've changed my mind. response:	What?
context: First an elephant, and now an automobile...?\This is such an amusing toy!\It can move around without a horse.\An automobile is for outside use. But this is inside.\I see...\Anyway Hakim, weren't you supposed to go home after a week?\I've changed my mind.\What? response:	There are many things I find interesting here in England.
context: This is such an amusing toy!\It can move around without a horse.\An automobile is for outside use. But this is inside.\I see...\Anyway Hakim, weren't you supposed to go home after a week?\I've changed my mind.\What?\There are many things I find interesting here in England. response:	All right then, let's go!
context: It can move around without a horse.\An automobile is for outside use. But this is inside.\I see...\Anyway Hakim, weren't you supposed to go home after a week?\I've changed my mind.\What?\There are many things I find interesting here in England.\All right then, let's go! response:	Go where?
context: An automobile is for outside use. But this is inside.\I see...\Anyway Hakim, weren't you supposed to go home after a week?\I've changed my mind.\What?\There are many things I find interesting here in England.\All right then, let's go!\Go where? response:	An automobile is for outside use, right?
context: I see...\Anyway Hakim, weren't you supposed to go home after a week?\I've changed my mind.\What?\There are many things I find interesting here in England.\All right then, let's go!\Go where?\An automobile is for outside use, right? response:	Let's make a day of it, and go sightseeing together!
context: Anyway Hakim, weren't you supposed to go home after a week?\I've changed my mind.\What?\There are many things I find interesting here in England.\All right then, let's go!\Go where?\An automobile is for outside use, right?\Let's make a day of it, and go sightseeing together! response:	H-Hey, hold on!
context: I've changed my mind.\What?\There are many things I find interesting here in England.\All right then, let's go!\Go where?\An automobile is for outside use, right?\Let's make a day of it, and go sightseeing together!\H-Hey, hold on! response:	Not again...!
context: What?\There are many things I find interesting here in England.\All right then, let's go!\Go where?\An automobile is for outside use, right?\Let's make a day of it, and go sightseeing together!\H-Hey, hold on!\Not again...! response:	Emma?
context: There are many things I find interesting here in England.\All right then, let's go!\Go where?\An automobile is for outside use, right?\Let's make a day of it, and go sightseeing together!\H-Hey, hold on!\Not again...!\Emma? response:	Please go and borrow this book for me.
context: All right then, let's go!\Go where?\An automobile is for outside use, right?\Let's make a day of it, and go sightseeing together!\H-Hey, hold on!\Not again...!\Emma?\Please go and borrow this book for me. response:	Yes, ma'am.
context: Go where?\An automobile is for outside use, right?\Let's make a day of it, and go sightseeing together!\H-Hey, hold on!\Not again...!\Emma?\Please go and borrow this book for me.\Yes, ma'am. response:	What was his business here, I wonder?
context: An automobile is for outside use, right?\Let's make a day of it, and go sightseeing together!\H-Hey, hold on!\Not again...!\Emma?\Please go and borrow this book for me.\Yes, ma'am.\What was his business here, I wonder? response:	Hm?
context: Let's make a day of it, and go sightseeing together!\H-Hey, hold on!\Not again...!\Emma?\Please go and borrow this book for me.\Yes, ma'am.\What was his business here, I wonder?\Hm? response:	The lndian prince.
context: H-Hey, hold on!\Not again...!\Emma?\Please go and borrow this book for me.\Yes, ma'am.\What was his business here, I wonder?\Hm?\The lndian prince. response:	O-Oh, well...
context: Not again...!\Emma?\Please go and borrow this book for me.\Yes, ma'am.\What was his business here, I wonder?\Hm?\The lndian prince.\O-Oh, well... response:	With the way he was dressed, the neighbors will gossip.
context: Emma?\Please go and borrow this book for me.\Yes, ma'am.\What was his business here, I wonder?\Hm?\The lndian prince.\O-Oh, well...\With the way he was dressed, the neighbors will gossip. response:	I'm sorry...
context: Please go and borrow this book for me.\Yes, ma'am.\What was his business here, I wonder?\Hm?\The lndian prince.\O-Oh, well...\With the way he was dressed, the neighbors will gossip.\I'm sorry... response:	There's no need for you to apologize.
context: Yes, ma'am.\What was his business here, I wonder?\Hm?\The lndian prince.\O-Oh, well...\With the way he was dressed, the neighbors will gossip.\I'm sorry...\There's no need for you to apologize. response:	Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!
context: What was his business here, I wonder?\Hm?\The lndian prince.\O-Oh, well...\With the way he was dressed, the neighbors will gossip.\I'm sorry...\There's no need for you to apologize.\Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag! response:	Oh, this is bad.
context: Hm?\The lndian prince.\O-Oh, well...\With the way he was dressed, the neighbors will gossip.\I'm sorry...\There's no need for you to apologize.\Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!\Oh, this is bad. response:	Didn't you check it before you left?
context: The lndian prince.\O-Oh, well...\With the way he was dressed, the neighbors will gossip.\I'm sorry...\There's no need for you to apologize.\Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!\Oh, this is bad.\Didn't you check it before you left? response:	Is it broken?
context: O-Oh, well...\With the way he was dressed, the neighbors will gossip.\I'm sorry...\There's no need for you to apologize.\Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!\Oh, this is bad.\Didn't you check it before you left?\Is it broken? response:	No, but there's no fuel in the tank.
context: With the way he was dressed, the neighbors will gossip.\I'm sorry...\There's no need for you to apologize.\Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!\Oh, this is bad.\Didn't you check it before you left?\Is it broken?\No, but there's no fuel in the tank. response:	Fu-fuel...
context: I'm sorry...\There's no need for you to apologize.\Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!\Oh, this is bad.\Didn't you check it before you left?\Is it broken?\No, but there's no fuel in the tank.\Fu-fuel... response:	What's fuel?
context: There's no need for you to apologize.\Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!\Oh, this is bad.\Didn't you check it before you left?\Is it broken?\No, but there's no fuel in the tank.\Fu-fuel...\What's fuel? response:	If you can wait here, I'll send someone on with a message.
context: Hey, Hakim! This is against the law, someone's supposed to walk ahead of us with a red flag!\Oh, this is bad.\Didn't you check it before you left?\Is it broken?\No, but there's no fuel in the tank.\Fu-fuel...\What's fuel?\If you can wait here, I'll send someone on with a message. response:	It's a bit far to send someone home...
context: Oh, this is bad.\Didn't you check it before you left?\Is it broken?\No, but there's no fuel in the tank.\Fu-fuel...\What's fuel?\If you can wait here, I'll send someone on with a message.\It's a bit far to send someone home... response:	Well then, how about a carriage?
context: Didn't you check it before you left?\Is it broken?\No, but there's no fuel in the tank.\Fu-fuel...\What's fuel?\If you can wait here, I'll send someone on with a message.\It's a bit far to send someone home...\Well then, how about a carriage? response:	I don't have any money with me...
context: Is it broken?\No, but there's no fuel in the tank.\Fu-fuel...\What's fuel?\If you can wait here, I'll send someone on with a message.\It's a bit far to send someone home...\Well then, how about a carriage?\I don't have any money with me... response:	Ah...
context: No, but there's no fuel in the tank.\Fu-fuel...\What's fuel?\If you can wait here, I'll send someone on with a message.\It's a bit far to send someone home...\Well then, how about a carriage?\I don't have any money with me...\Ah... response:	William.
context: Fu-fuel...\What's fuel?\If you can wait here, I'll send someone on with a message.\It's a bit far to send someone home...\Well then, how about a carriage?\I don't have any money with me...\Ah...\William. response:	What is that? People are going in.
context: What's fuel?\If you can wait here, I'll send someone on with a message.\It's a bit far to send someone home...\Well then, how about a carriage?\I don't have any money with me...\Ah...\William.\What is that? People are going in. response:	Oh, that's Mudie's. It's a book lender.
