context: Historia response:	Come on! The goal is right here!
context: Historia\Come on! The goal is right here! response:	Keep it up!
context: Historia\Come on! The goal is right here!\Keep it up! response:	Nine hours and twelve minutes.
context: Historia\Come on! The goal is right here!\Keep it up!\Nine hours and twelve minutes. response:	Not a bad time, considering the weather.
context: Historia\Come on! The goal is right here!\Keep it up!\Nine hours and twelve minutes.\Not a bad time, considering the weather. response:	Thought we were gonna die out there.
context: Historia\Come on! The goal is right here!\Keep it up!\Nine hours and twelve minutes.\Not a bad time, considering the weather.\Thought we were gonna die out there. response:	No one ever said winter training would be this tough.
context: Historia\Come on! The goal is right here!\Keep it up!\Nine hours and twelve minutes.\Not a bad time, considering the weather.\Thought we were gonna die out there.\No one ever said winter training would be this tough. response:	Damn it, I can't feel my legs.
context: Historia\Come on! The goal is right here!\Keep it up!\Nine hours and twelve minutes.\Not a bad time, considering the weather.\Thought we were gonna die out there.\No one ever said winter training would be this tough.\Damn it, I can't feel my legs. response:	I wish they'd let us inside already.
context: Come on! The goal is right here!\Keep it up!\Nine hours and twelve minutes.\Not a bad time, considering the weather.\Thought we were gonna die out there.\No one ever said winter training would be this tough.\Damn it, I can't feel my legs.\I wish they'd let us inside already. response:	I bet they're busy putting together a huge feast for us! Yum...
context: Keep it up!\Nine hours and twelve minutes.\Not a bad time, considering the weather.\Thought we were gonna die out there.\No one ever said winter training would be this tough.\Damn it, I can't feel my legs.\I wish they'd let us inside already.\I bet they're busy putting together a huge feast for us! Yum... response:	Hey!
context: Nine hours and twelve minutes.\Not a bad time, considering the weather.\Thought we were gonna die out there.\No one ever said winter training would be this tough.\Damn it, I can't feel my legs.\I wish they'd let us inside already.\I bet they're busy putting together a huge feast for us! Yum...\Hey! response:	Christa is missing.
context: Not a bad time, considering the weather.\Thought we were gonna die out there.\No one ever said winter training would be this tough.\Damn it, I can't feel my legs.\I wish they'd let us inside already.\I bet they're busy putting together a huge feast for us! Yum...\Hey!\Christa is missing. response:	Huh?
context: Thought we were gonna die out there.\No one ever said winter training would be this tough.\Damn it, I can't feel my legs.\I wish they'd let us inside already.\I bet they're busy putting together a huge feast for us! Yum...\Hey!\Christa is missing.\Huh? response:	She was sticking with Daz since he wasn't doing so well.
context: No one ever said winter training would be this tough.\Damn it, I can't feel my legs.\I wish they'd let us inside already.\I bet they're busy putting together a huge feast for us! Yum...\Hey!\Christa is missing.\Huh?\She was sticking with Daz since he wasn't doing so well. response:	Daz isn't here either.
context: Damn it, I can't feel my legs.\I wish they'd let us inside already.\I bet they're busy putting together a huge feast for us! Yum...\Hey!\Christa is missing.\Huh?\She was sticking with Daz since he wasn't doing so well.\Daz isn't here either. response:	Ymir as well.
