context: Hey, Rin! response:	Rin! Come on!
context: Hey, Rin!\Rin! Come on! response:	Yukio still hasn't come back.
context: Hey, Rin!\Rin! Come on!\Yukio still hasn't come back. response:	That damn Four-Eyes.
context: Hey, Rin!\Rin! Come on!\Yukio still hasn't come back.\That damn Four-Eyes. response:	He hasn't come home and doesn't even bother to call...
context: Hey, Rin!\Rin! Come on!\Yukio still hasn't come back.\That damn Four-Eyes.\He hasn't come home and doesn't even bother to call... response:	Damn, I'm late!
context: Hey, Rin!\Rin! Come on!\Yukio still hasn't come back.\That damn Four-Eyes.\He hasn't come home and doesn't even bother to call...\Damn, I'm late! response:	What?
context: Hey, Rin!\Rin! Come on!\Yukio still hasn't come back.\That damn Four-Eyes.\He hasn't come home and doesn't even bother to call...\Damn, I'm late!\What? response:	Ah, Okumura!
context: Hey, Rin!\Rin! Come on!\Yukio still hasn't come back.\That damn Four-Eyes.\He hasn't come home and doesn't even bother to call...\Damn, I'm late!\What?\Ah, Okumura! response:	Morning, dude!
context: Rin! Come on!\Yukio still hasn't come back.\That damn Four-Eyes.\He hasn't come home and doesn't even bother to call...\Damn, I'm late!\What?\Ah, Okumura!\Morning, dude! response:	Morning!
context: Yukio still hasn't come back.\That damn Four-Eyes.\He hasn't come home and doesn't even bother to call...\Damn, I'm late!\What?\Ah, Okumura!\Morning, dude!\Morning! response:	What's going on here?
context: That damn Four-Eyes.\He hasn't come home and doesn't even bother to call...\Damn, I'm late!\What?\Ah, Okumura!\Morning, dude!\Morning!\What's going on here? response:	There was that hostage incident two days ago, right?
context: He hasn't come home and doesn't even bother to call...\Damn, I'm late!\What?\Ah, Okumura!\Morning, dude!\Morning!\What's going on here?\There was that hostage incident two days ago, right? response:	They've called in the principal to take responsibility for it.
context: Damn, I'm late!\What?\Ah, Okumura!\Morning, dude!\Morning!\What's going on here?\There was that hostage incident two days ago, right?\They've called in the principal to take responsibility for it. response:	That's why the Academy is closed for now.
context: What?\Ah, Okumura!\Morning, dude!\Morning!\What's going on here?\There was that hostage incident two days ago, right?\They've called in the principal to take responsibility for it.\That's why the Academy is closed for now. response:	We can't even enter the school buildings.
context: Ah, Okumura!\Morning, dude!\Morning!\What's going on here?\There was that hostage incident two days ago, right?\They've called in the principal to take responsibility for it.\That's why the Academy is closed for now.\We can't even enter the school buildings. response:	There's more.
context: Morning, dude!\Morning!\What's going on here?\There was that hostage incident two days ago, right?\They've called in the principal to take responsibility for it.\That's why the Academy is closed for now.\We can't even enter the school buildings.\There's more. response:	Good morning, Izumo!
context: Morning!\What's going on here?\There was that hostage incident two days ago, right?\They've called in the principal to take responsibility for it.\That's why the Academy is closed for now.\We can't even enter the school buildings.\There's more.\Good morning, Izumo! response:	The leaders of the Vatican have been replaced and a new pope was elected.
context: What's going on here?\There was that hostage incident two days ago, right?\They've called in the principal to take responsibility for it.\That's why the Academy is closed for now.\We can't even enter the school buildings.\There's more.\Good morning, Izumo!\The leaders of the Vatican have been replaced and a new pope was elected. response:	Why now?
context: There was that hostage incident two days ago, right?\They've called in the principal to take responsibility for it.\That's why the Academy is closed for now.\We can't even enter the school buildings.\There's more.\Good morning, Izumo!\The leaders of the Vatican have been replaced and a new pope was elected.\Why now? response:	Does it have anything to do with the dismissal of the principal?
context: They've called in the principal to take responsibility for it.\That's why the Academy is closed for now.\We can't even enter the school buildings.\There's more.\Good morning, Izumo!\The leaders of the Vatican have been replaced and a new pope was elected.\Why now?\Does it have anything to do with the dismissal of the principal? response:	Anyway, things here are gonna change a lot.
context: That's why the Academy is closed for now.\We can't even enter the school buildings.\There's more.\Good morning, Izumo!\The leaders of the Vatican have been replaced and a new pope was elected.\Why now?\Does it have anything to do with the dismissal of the principal?\Anyway, things here are gonna change a lot. response:	Not just with the Exorcist cram school but the whole Order as well.
context: We can't even enter the school buildings.\There's more.\Good morning, Izumo!\The leaders of the Vatican have been replaced and a new pope was elected.\Why now?\Does it have anything to do with the dismissal of the principal?\Anyway, things here are gonna change a lot.\Not just with the Exorcist cram school but the whole Order as well. response:	The Exorcist cram school and the Japanese Branch as a whole
context: There's more.\Good morning, Izumo!\The leaders of the Vatican have been replaced and a new pope was elected.\Why now?\Does it have anything to do with the dismissal of the principal?\Anyway, things here are gonna change a lot.\Not just with the Exorcist cram school but the whole Order as well.\The Exorcist cram school and the Japanese Branch as a whole response:	have been placed under direct control of the Vatican.
context: Good morning, Izumo!\The leaders of the Vatican have been replaced and a new pope was elected.\Why now?\Does it have anything to do with the dismissal of the principal?\Anyway, things here are gonna change a lot.\Not just with the Exorcist cram school but the whole Order as well.\The Exorcist cram school and the Japanese Branch as a whole\have been placed under direct control of the Vatican. response:	I am the newly assigned Head of the Japanese Branch, Yukio Okumura.
context: The leaders of the Vatican have been replaced and a new pope was elected.\Why now?\Does it have anything to do with the dismissal of the principal?\Anyway, things here are gonna change a lot.\Not just with the Exorcist cram school but the whole Order as well.\The Exorcist cram school and the Japanese Branch as a whole\have been placed under direct control of the Vatican.\I am the newly assigned Head of the Japanese Branch, Yukio Okumura. response:	Why is Professor Okumura...
context: Why now?\Does it have anything to do with the dismissal of the principal?\Anyway, things here are gonna change a lot.\Not just with the Exorcist cram school but the whole Order as well.\The Exorcist cram school and the Japanese Branch as a whole\have been placed under direct control of the Vatican.\I am the newly assigned Head of the Japanese Branch, Yukio Okumura.\Why is Professor Okumura... response:	He's still a student...
context: Does it have anything to do with the dismissal of the principal?\Anyway, things here are gonna change a lot.\Not just with the Exorcist cram school but the whole Order as well.\The Exorcist cram school and the Japanese Branch as a whole\have been placed under direct control of the Vatican.\I am the newly assigned Head of the Japanese Branch, Yukio Okumura.\Why is Professor Okumura...\He's still a student... response:	He's the same Middle First Class as I.
context: Anyway, things here are gonna change a lot.\Not just with the Exorcist cram school but the whole Order as well.\The Exorcist cram school and the Japanese Branch as a whole\have been placed under direct control of the Vatican.\I am the newly assigned Head of the Japanese Branch, Yukio Okumura.\Why is Professor Okumura...\He's still a student...\He's the same Middle First Class as I. response:	In addition to accepting the position of the Branch leader,
context: Not just with the Exorcist cram school but the whole Order as well.\The Exorcist cram school and the Japanese Branch as a whole\have been placed under direct control of the Vatican.\I am the newly assigned Head of the Japanese Branch, Yukio Okumura.\Why is Professor Okumura...\He's still a student...\He's the same Middle First Class as I.\In addition to accepting the position of the Branch leader, response:	I have also received the title of Paladin as of today.
context: The Exorcist cram school and the Japanese Branch as a whole\have been placed under direct control of the Vatican.\I am the newly assigned Head of the Japanese Branch, Yukio Okumura.\Why is Professor Okumura...\He's still a student...\He's the same Middle First Class as I.\In addition to accepting the position of the Branch leader,\I have also received the title of Paladin as of today. response:	I request your cooperation.
context: have been placed under direct control of the Vatican.\I am the newly assigned Head of the Japanese Branch, Yukio Okumura.\Why is Professor Okumura...\He's still a student...\He's the same Middle First Class as I.\In addition to accepting the position of the Branch leader,\I have also received the title of Paladin as of today.\I request your cooperation. response:	What? Yukio is the new Paladin?
context: I am the newly assigned Head of the Japanese Branch, Yukio Okumura.\Why is Professor Okumura...\He's still a student...\He's the same Middle First Class as I.\In addition to accepting the position of the Branch leader,\I have also received the title of Paladin as of today.\I request your cooperation.\What? Yukio is the new Paladin? response:	And also Head of the Japanese Branch.
