context: The Other House response:	While I was hanging up the laundry, the phone rang.
context: The Other House\While I was hanging up the laundry, the phone rang. response:	When I picked up the receiver, a thin voice said, Hello?
context: The Other House\While I was hanging up the laundry, the phone rang.\When I picked up the receiver, a thin voice said, Hello? response:	He continued, Is now a good time?
context: The Other House\While I was hanging up the laundry, the phone rang.\When I picked up the receiver, a thin voice said, Hello?\He continued, Is now a good time? response:	I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.
context: The Other House\While I was hanging up the laundry, the phone rang.\When I picked up the receiver, a thin voice said, Hello?\He continued, Is now a good time?\I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard. response:	But then the voice said, It's been a while. It's Rei.
context: The Other House\While I was hanging up the laundry, the phone rang.\When I picked up the receiver, a thin voice said, Hello?\He continued, Is now a good time?\I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.\But then the voice said, It's been a while. It's Rei. response:	Hello.
context: The Other House\While I was hanging up the laundry, the phone rang.\When I picked up the receiver, a thin voice said, Hello?\He continued, Is now a good time?\I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.\But then the voice said, It's been a while. It's Rei.\Hello. response:	The owner of the voice was a boy who had lived in my home up until a few years earlier.
context: The Other House\While I was hanging up the laundry, the phone rang.\When I picked up the receiver, a thin voice said, Hello?\He continued, Is now a good time?\I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.\But then the voice said, It's been a while. It's Rei.\Hello.\The owner of the voice was a boy who had lived in my home up until a few years earlier. response:	Long time no see, Tarou. How have you been?
context: While I was hanging up the laundry, the phone rang.\When I picked up the receiver, a thin voice said, Hello?\He continued, Is now a good time?\I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.\But then the voice said, It's been a while. It's Rei.\Hello.\The owner of the voice was a boy who had lived in my home up until a few years earlier.\Long time no see, Tarou. How have you been? response:	Tarou's become an old man, huh?
context: When I picked up the receiver, a thin voice said, Hello?\He continued, Is now a good time?\I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.\But then the voice said, It's been a while. It's Rei.\Hello.\The owner of the voice was a boy who had lived in my home up until a few years earlier.\Long time no see, Tarou. How have you been?\Tarou's become an old man, huh? response:	Lately all he does is sleep there.
context: He continued, Is now a good time?\I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.\But then the voice said, It's been a while. It's Rei.\Hello.\The owner of the voice was a boy who had lived in my home up until a few years earlier.\Long time no see, Tarou. How have you been?\Tarou's become an old man, huh?\Lately all he does is sleep there. response:	Is that right, Tarou?
context: I thought this might be that Hey, it's me scam I heard on the news, so I raised my guard.\But then the voice said, It's been a while. It's Rei.\Hello.\The owner of the voice was a boy who had lived in my home up until a few years earlier.\Long time no see, Tarou. How have you been?\Tarou's become an old man, huh?\Lately all he does is sleep there.\Is that right, Tarou? response:	How is Ayumu doing?
context: But then the voice said, It's been a while. It's Rei.\Hello.\The owner of the voice was a boy who had lived in my home up until a few years earlier.\Long time no see, Tarou. How have you been?\Tarou's become an old man, huh?\Lately all he does is sleep there.\Is that right, Tarou?\How is Ayumu doing? response:	And Kyouko, too.
context: Hello.\The owner of the voice was a boy who had lived in my home up until a few years earlier.\Long time no see, Tarou. How have you been?\Tarou's become an old man, huh?\Lately all he does is sleep there.\Is that right, Tarou?\How is Ayumu doing?\And Kyouko, too. response:	Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.
context: The owner of the voice was a boy who had lived in my home up until a few years earlier.\Long time no see, Tarou. How have you been?\Tarou's become an old man, huh?\Lately all he does is sleep there.\Is that right, Tarou?\How is Ayumu doing?\And Kyouko, too.\Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker. response:	She works here and there.
context: Long time no see, Tarou. How have you been?\Tarou's become an old man, huh?\Lately all he does is sleep there.\Is that right, Tarou?\How is Ayumu doing?\And Kyouko, too.\Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.\She works here and there. response:	As I answered him, I was relieved that he came to visit when I was alone.
context: Tarou's become an old man, huh?\Lately all he does is sleep there.\Is that right, Tarou?\How is Ayumu doing?\And Kyouko, too.\Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.\She works here and there.\As I answered him, I was relieved that he came to visit when I was alone. response:	If Kyouko and Ayumu were here, this living room would have become cold in an instant.
context: Lately all he does is sleep there.\Is that right, Tarou?\How is Ayumu doing?\And Kyouko, too.\Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.\She works here and there.\As I answered him, I was relieved that he came to visit when I was alone.\If Kyouko and Ayumu were here, this living room would have become cold in an instant. response:	Just like it did back then.
context: Is that right, Tarou?\How is Ayumu doing?\And Kyouko, too.\Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.\She works here and there.\As I answered him, I was relieved that he came to visit when I was alone.\If Kyouko and Ayumu were here, this living room would have become cold in an instant.\Just like it did back then. response:	Um, these are sweets from a shop run by a family that's been helping me a lot lately.
context: How is Ayumu doing?\And Kyouko, too.\Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.\She works here and there.\As I answered him, I was relieved that he came to visit when I was alone.\If Kyouko and Ayumu were here, this living room would have become cold in an instant.\Just like it did back then.\Um, these are sweets from a shop run by a family that's been helping me a lot lately. response:	CRESCENT MOON
context: And Kyouko, too.\Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.\She works here and there.\As I answered him, I was relieved that he came to visit when I was alone.\If Kyouko and Ayumu were here, this living room would have become cold in an instant.\Just like it did back then.\Um, these are sweets from a shop run by a family that's been helping me a lot lately.\CRESCENT MOON response:	So please.
context: Ayumu is going to a prep school, and I guess you'd say Kyouko is a temp worker.\She works here and there.\As I answered him, I was relieved that he came to visit when I was alone.\If Kyouko and Ayumu were here, this living room would have become cold in an instant.\Just like it did back then.\Um, these are sweets from a shop run by a family that's been helping me a lot lately.\CRESCENT MOON\So please. response:	That's right. These days, in this house, no one speaks his name anymore.
context: She works here and there.\As I answered him, I was relieved that he came to visit when I was alone.\If Kyouko and Ayumu were here, this living room would have become cold in an instant.\Just like it did back then.\Um, these are sweets from a shop run by a family that's been helping me a lot lately.\CRESCENT MOON\So please.\That's right. These days, in this house, no one speaks his name anymore. response:	I apologize for not being able to visit in a long time.
context: As I answered him, I was relieved that he came to visit when I was alone.\If Kyouko and Ayumu were here, this living room would have become cold in an instant.\Just like it did back then.\Um, these are sweets from a shop run by a family that's been helping me a lot lately.\CRESCENT MOON\So please.\That's right. These days, in this house, no one speaks his name anymore.\I apologize for not being able to visit in a long time. response:	I was worried about you since you never came by.
context: If Kyouko and Ayumu were here, this living room would have become cold in an instant.\Just like it did back then.\Um, these are sweets from a shop run by a family that's been helping me a lot lately.\CRESCENT MOON\So please.\That's right. These days, in this house, no one speaks his name anymore.\I apologize for not being able to visit in a long time.\I was worried about you since you never came by. response:	I was going to say that, but stopped myself.
context: Just like it did back then.\Um, these are sweets from a shop run by a family that's been helping me a lot lately.\CRESCENT MOON\So please.\That's right. These days, in this house, no one speaks his name anymore.\I apologize for not being able to visit in a long time.\I was worried about you since you never came by.\I was going to say that, but stopped myself. response:	This boy understood everything
context: Um, these are sweets from a shop run by a family that's been helping me a lot lately.\CRESCENT MOON\So please.\That's right. These days, in this house, no one speaks his name anymore.\I apologize for not being able to visit in a long time.\I was worried about you since you never came by.\I was going to say that, but stopped myself.\This boy understood everything response:	and did us a favor by staying away.
context: CRESCENT MOON\So please.\That's right. These days, in this house, no one speaks his name anymore.\I apologize for not being able to visit in a long time.\I was worried about you since you never came by.\I was going to say that, but stopped myself.\This boy understood everything\and did us a favor by staying away. response:	As I awkwardly sat with him, unable to look him in the eyes,
context: So please.\That's right. These days, in this house, no one speaks his name anymore.\I apologize for not being able to visit in a long time.\I was worried about you since you never came by.\I was going to say that, but stopped myself.\This boy understood everything\and did us a favor by staying away.\As I awkwardly sat with him, unable to look him in the eyes, response:	he still sat across from me.
context: That's right. These days, in this house, no one speaks his name anymore.\I apologize for not being able to visit in a long time.\I was worried about you since you never came by.\I was going to say that, but stopped myself.\This boy understood everything\and did us a favor by staying away.\As I awkwardly sat with him, unable to look him in the eyes,\he still sat across from me. response:	So mellow...
context: I apologize for not being able to visit in a long time.\I was worried about you since you never came by.\I was going to say that, but stopped myself.\This boy understood everything\and did us a favor by staying away.\As I awkwardly sat with him, unable to look him in the eyes,\he still sat across from me.\So mellow... response:	That's it, mellow.
