context: Once upon a time, there was a handsome slave. response:	What bound him were not heavy chains, but the princess's love.
context: Once upon a time, there was a handsome slave.\What bound him were not heavy chains, but the princess's love. response:	Every day, every night, the princess whispers her love to the slave and the slave responds in kind.
context: Once upon a time, there was a handsome slave.\What bound him were not heavy chains, but the princess's love.\Every day, every night, the princess whispers her love to the slave and the slave responds in kind. response:	Bound body. Bound emotions.
context: Once upon a time, there was a handsome slave.\What bound him were not heavy chains, but the princess's love.\Every day, every night, the princess whispers her love to the slave and the slave responds in kind.\Bound body. Bound emotions. response:	The slave or the princess?
context: Once upon a time, there was a handsome slave.\What bound him were not heavy chains, but the princess's love.\Every day, every night, the princess whispers her love to the slave and the slave responds in kind.\Bound body. Bound emotions.\The slave or the princess? response:	Which of them is really the one who cannot move?
context: Once upon a time, there was a handsome slave.\What bound him were not heavy chains, but the princess's love.\Every day, every night, the princess whispers her love to the slave and the slave responds in kind.\Bound body. Bound emotions.\The slave or the princess?\Which of them is really the one who cannot move? response:	Let go of me. I can walk by myself.
context: Once upon a time, there was a handsome slave.\What bound him were not heavy chains, but the princess's love.\Every day, every night, the princess whispers her love to the slave and the slave responds in kind.\Bound body. Bound emotions.\The slave or the princess?\Which of them is really the one who cannot move?\Let go of me. I can walk by myself. response:	No...
context: Once upon a time, there was a handsome slave.\What bound him were not heavy chains, but the princess's love.\Every day, every night, the princess whispers her love to the slave and the slave responds in kind.\Bound body. Bound emotions.\The slave or the princess?\Which of them is really the one who cannot move?\Let go of me. I can walk by myself.\No... response:	That's right, princess Tutu helped me, and...
context: What bound him were not heavy chains, but the princess's love.\Every day, every night, the princess whispers her love to the slave and the slave responds in kind.\Bound body. Bound emotions.\The slave or the princess?\Which of them is really the one who cannot move?\Let go of me. I can walk by myself.\No...\That's right, princess Tutu helped me, and... response:	Binding my wounds? What an unnecessary...
context: Every day, every night, the princess whispers her love to the slave and the slave responds in kind.\Bound body. Bound emotions.\The slave or the princess?\Which of them is really the one who cannot move?\Let go of me. I can walk by myself.\No...\That's right, princess Tutu helped me, and...\Binding my wounds? What an unnecessary... response:	Hey...
context: Bound body. Bound emotions.\The slave or the princess?\Which of them is really the one who cannot move?\Let go of me. I can walk by myself.\No...\That's right, princess Tutu helped me, and...\Binding my wounds? What an unnecessary...\Hey... response:	Oh, Fakir, how are your injuries?
context: The slave or the princess?\Which of them is really the one who cannot move?\Let go of me. I can walk by myself.\No...\That's right, princess Tutu helped me, and...\Binding my wounds? What an unnecessary...\Hey...\Oh, Fakir, how are your injuries? response:	Don't give me that. Why are you still Tutu?
context: Which of them is really the one who cannot move?\Let go of me. I can walk by myself.\No...\That's right, princess Tutu helped me, and...\Binding my wounds? What an unnecessary...\Hey...\Oh, Fakir, how are your injuries?\Don't give me that. Why are you still Tutu? response:	What? Oh...
