context: It's no good, I can't get close. response:	Show it your perseverance.
context: It's no good, I can't get close.\Show it your perseverance. response:	Yes'
context: It's no good, I can't get close.\Show it your perseverance.\Yes' response:	Eh!
context: It's no good, I can't get close.\Show it your perseverance.\Yes'\Eh! response:	Li-kun.
context: It's no good, I can't get close.\Show it your perseverance.\Yes'\Eh!\Li-kun. response:	That's dangerous, stop it.
context: It's no good, I can't get close.\Show it your perseverance.\Yes'\Eh!\Li-kun.\That's dangerous, stop it. response:	Eh!
context: It's no good, I can't get close.\Show it your perseverance.\Yes'\Eh!\Li-kun.\That's dangerous, stop it.\Eh! response:	Li-kun!
context: It's no good, I can't get close.\Show it your perseverance.\Yes'\Eh!\Li-kun.\That's dangerous, stop it.\Eh!\Li-kun! response:	Didn't I tell him?
context: Show it your perseverance.\Yes'\Eh!\Li-kun.\That's dangerous, stop it.\Eh!\Li-kun!\Didn't I tell him? response:	Come forth lightning, obey the command!
context: Yes'\Eh!\Li-kun.\That's dangerous, stop it.\Eh!\Li-kun!\Didn't I tell him?\Come forth lightning, obey the command! response:	Now, Sakura!
context: Eh!\Li-kun.\That's dangerous, stop it.\Eh!\Li-kun!\Didn't I tell him?\Come forth lightning, obey the command!\Now, Sakura! response:	Yeah.
context: Li-kun.\That's dangerous, stop it.\Eh!\Li-kun!\Didn't I tell him?\Come forth lightning, obey the command!\Now, Sakura!\Yeah. response:	Return to your rightful form,
context: That's dangerous, stop it.\Eh!\Li-kun!\Didn't I tell him?\Come forth lightning, obey the command!\Now, Sakura!\Yeah.\Return to your rightful form, response:	Clow Card.
context: Eh!\Li-kun!\Didn't I tell him?\Come forth lightning, obey the command!\Now, Sakura!\Yeah.\Return to your rightful form,\Clow Card. response:	Oh!
context: Li-kun!\Didn't I tell him?\Come forth lightning, obey the command!\Now, Sakura!\Yeah.\Return to your rightful form,\Clow Card.\Oh! response:	The card chooses the one
context: Didn't I tell him?\Come forth lightning, obey the command!\Now, Sakura!\Yeah.\Return to your rightful form,\Clow Card.\Oh!\The card chooses the one response:	who sealed it's power as its owner.
context: Come forth lightning, obey the command!\Now, Sakura!\Yeah.\Return to your rightful form,\Clow Card.\Oh!\The card chooses the one\who sealed it's power as its owner. response:	It's hard to take,
context: Now, Sakura!\Yeah.\Return to your rightful form,\Clow Card.\Oh!\The card chooses the one\who sealed it's power as its owner.\It's hard to take, response:	but he did more this time.
context: Yeah.\Return to your rightful form,\Clow Card.\Oh!\The card chooses the one\who sealed it's power as its owner.\It's hard to take,\but he did more this time. response:	It is impossible after all.
context: Return to your rightful form,\Clow Card.\Oh!\The card chooses the one\who sealed it's power as its owner.\It's hard to take,\but he did more this time.\It is impossible after all. response:	Eh?
context: Clow Card.\Oh!\The card chooses the one\who sealed it's power as its owner.\It's hard to take,\but he did more this time.\It is impossible after all.\Eh? response:	It is impossible for you to gather cards.
context: Oh!\The card chooses the one\who sealed it's power as its owner.\It's hard to take,\but he did more this time.\It is impossible after all.\Eh?\It is impossible for you to gather cards. response:	You have too little power.
context: The card chooses the one\who sealed it's power as its owner.\It's hard to take,\but he did more this time.\It is impossible after all.\Eh?\It is impossible for you to gather cards.\You have too little power. response:	What was that brat?
context: who sealed it's power as its owner.\It's hard to take,\but he did more this time.\It is impossible after all.\Eh?\It is impossible for you to gather cards.\You have too little power.\What was that brat? response:	That was too bad, Sakura-chan.
context: It's hard to take,\but he did more this time.\It is impossible after all.\Eh?\It is impossible for you to gather cards.\You have too little power.\What was that brat?\That was too bad, Sakura-chan. response:	Yeah, there is no helping it.
context: but he did more this time.\It is impossible after all.\Eh?\It is impossible for you to gather cards.\You have too little power.\What was that brat?\That was too bad, Sakura-chan.\Yeah, there is no helping it. response:	She is hiding her distress inside.
context: It is impossible after all.\Eh?\It is impossible for you to gather cards.\You have too little power.\What was that brat?\That was too bad, Sakura-chan.\Yeah, there is no helping it.\She is hiding her distress inside. response:	Umm'
context: Eh?\It is impossible for you to gather cards.\You have too little power.\What was that brat?\That was too bad, Sakura-chan.\Yeah, there is no helping it.\She is hiding her distress inside.\Umm' response:	Nothing good at all happened today.
context: It is impossible for you to gather cards.\You have too little power.\What was that brat?\That was too bad, Sakura-chan.\Yeah, there is no helping it.\She is hiding her distress inside.\Umm'\Nothing good at all happened today. response:	Kero-chan, I wonder if it really is impossible for me.
