context: How's it going, Lucy-neesan? Have you found the ancient letters? response:	Nope. I'm not having any luck at all...
context: How's it going, Lucy-neesan? Have you found the ancient letters?\Nope. I'm not having any luck at all... response:	Lucy, we've got work.
context: How's it going, Lucy-neesan? Have you found the ancient letters?\Nope. I'm not having any luck at all...\Lucy, we've got work. response:	We're going off to capture some gold-stealing bandits.
context: How's it going, Lucy-neesan? Have you found the ancient letters?\Nope. I'm not having any luck at all...\Lucy, we've got work.\We're going off to capture some gold-stealing bandits. response:	Don't tell me it's the Jiggle Butt Gang again?
context: How's it going, Lucy-neesan? Have you found the ancient letters?\Nope. I'm not having any luck at all...\Lucy, we've got work.\We're going off to capture some gold-stealing bandits.\Don't tell me it's the Jiggle Butt Gang again? response:	I dunno, but we'll find out along the way.
context: How's it going, Lucy-neesan? Have you found the ancient letters?\Nope. I'm not having any luck at all...\Lucy, we've got work.\We're going off to capture some gold-stealing bandits.\Don't tell me it's the Jiggle Butt Gang again?\I dunno, but we'll find out along the way. response:	Sorry, I'm gonna take a pass this time.
context: How's it going, Lucy-neesan? Have you found the ancient letters?\Nope. I'm not having any luck at all...\Lucy, we've got work.\We're going off to capture some gold-stealing bandits.\Don't tell me it's the Jiggle Butt Gang again?\I dunno, but we'll find out along the way.\Sorry, I'm gonna take a pass this time. response:	We haven't gotten any farther with deciphering the writing
context: How's it going, Lucy-neesan? Have you found the ancient letters?\Nope. I'm not having any luck at all...\Lucy, we've got work.\We're going off to capture some gold-stealing bandits.\Don't tell me it's the Jiggle Butt Gang again?\I dunno, but we'll find out along the way.\Sorry, I'm gonna take a pass this time.\We haven't gotten any farther with deciphering the writing response:	that appeared on the iron rod...
context: Nope. I'm not having any luck at all...\Lucy, we've got work.\We're going off to capture some gold-stealing bandits.\Don't tell me it's the Jiggle Butt Gang again?\I dunno, but we'll find out along the way.\Sorry, I'm gonna take a pass this time.\We haven't gotten any farther with deciphering the writing\that appeared on the iron rod... response:	Where's Natsu?
context: Lucy, we've got work.\We're going off to capture some gold-stealing bandits.\Don't tell me it's the Jiggle Butt Gang again?\I dunno, but we'll find out along the way.\Sorry, I'm gonna take a pass this time.\We haven't gotten any farther with deciphering the writing\that appeared on the iron rod...\Where's Natsu? response:	I don't know. It looks like he went out somewhere.
context: We're going off to capture some gold-stealing bandits.\Don't tell me it's the Jiggle Butt Gang again?\I dunno, but we'll find out along the way.\Sorry, I'm gonna take a pass this time.\We haven't gotten any farther with deciphering the writing\that appeared on the iron rod...\Where's Natsu?\I don't know. It looks like he went out somewhere. response:	That's it then. The two of us will go.
context: Don't tell me it's the Jiggle Butt Gang again?\I dunno, but we'll find out along the way.\Sorry, I'm gonna take a pass this time.\We haven't gotten any farther with deciphering the writing\that appeared on the iron rod...\Where's Natsu?\I don't know. It looks like he went out somewhere.\That's it then. The two of us will go. response:	Yeah...
context: I dunno, but we'll find out along the way.\Sorry, I'm gonna take a pass this time.\We haven't gotten any farther with deciphering the writing\that appeared on the iron rod...\Where's Natsu?\I don't know. It looks like he went out somewhere.\That's it then. The two of us will go.\Yeah... response:	Wait a second! By the two of us, you mean just you and me, Erza?
context: Sorry, I'm gonna take a pass this time.\We haven't gotten any farther with deciphering the writing\that appeared on the iron rod...\Where's Natsu?\I don't know. It looks like he went out somewhere.\That's it then. The two of us will go.\Yeah...\Wait a second! By the two of us, you mean just you and me, Erza? response:	Do you have a problem with that?
context: We haven't gotten any farther with deciphering the writing\that appeared on the iron rod...\Where's Natsu?\I don't know. It looks like he went out somewhere.\That's it then. The two of us will go.\Yeah...\Wait a second! By the two of us, you mean just you and me, Erza?\Do you have a problem with that? response:	Well, I, uh...
context: that appeared on the iron rod...\Where's Natsu?\I don't know. It looks like he went out somewhere.\That's it then. The two of us will go.\Yeah...\Wait a second! By the two of us, you mean just you and me, Erza?\Do you have a problem with that?\Well, I, uh... response:	No, no problem.
context: Where's Natsu?\I don't know. It looks like he went out somewhere.\That's it then. The two of us will go.\Yeah...\Wait a second! By the two of us, you mean just you and me, Erza?\Do you have a problem with that?\Well, I, uh...\No, no problem. response:	If everything goes smoothly, we should be home by this evening.
context: I don't know. It looks like he went out somewhere.\That's it then. The two of us will go.\Yeah...\Wait a second! By the two of us, you mean just you and me, Erza?\Do you have a problem with that?\Well, I, uh...\No, no problem.\If everything goes smoothly, we should be home by this evening. response:	Let's get a move on.
context: That's it then. The two of us will go.\Yeah...\Wait a second! By the two of us, you mean just you and me, Erza?\Do you have a problem with that?\Well, I, uh...\No, no problem.\If everything goes smoothly, we should be home by this evening.\Let's get a move on. response:	There is a problem, Gray-sama...
context: Yeah...\Wait a second! By the two of us, you mean just you and me, Erza?\Do you have a problem with that?\Well, I, uh...\No, no problem.\If everything goes smoothly, we should be home by this evening.\Let's get a move on.\There is a problem, Gray-sama... response:	In the first place, why didn't you invite Juvia?
context: Wait a second! By the two of us, you mean just you and me, Erza?\Do you have a problem with that?\Well, I, uh...\No, no problem.\If everything goes smoothly, we should be home by this evening.\Let's get a move on.\There is a problem, Gray-sama...\In the first place, why didn't you invite Juvia? response:	How thoughtless!
context: Do you have a problem with that?\Well, I, uh...\No, no problem.\If everything goes smoothly, we should be home by this evening.\Let's get a move on.\There is a problem, Gray-sama...\In the first place, why didn't you invite Juvia?\How thoughtless! response:	Not even one bite...
context: Well, I, uh...\No, no problem.\If everything goes smoothly, we should be home by this evening.\Let's get a move on.\There is a problem, Gray-sama...\In the first place, why didn't you invite Juvia?\How thoughtless!\Not even one bite... response:	Our lunch is on the line here, so take it more seriously!
context: No, no problem.\If everything goes smoothly, we should be home by this evening.\Let's get a move on.\There is a problem, Gray-sama...\In the first place, why didn't you invite Juvia?\How thoughtless!\Not even one bite...\Our lunch is on the line here, so take it more seriously! response:	Alright, leave it to me...
context: If everything goes smoothly, we should be home by this evening.\Let's get a move on.\There is a problem, Gray-sama...\In the first place, why didn't you invite Juvia?\How thoughtless!\Not even one bite...\Our lunch is on the line here, so take it more seriously!\Alright, leave it to me... response:	Wake up!
context: Let's get a move on.\There is a problem, Gray-sama...\In the first place, why didn't you invite Juvia?\How thoughtless!\Not even one bite...\Our lunch is on the line here, so take it more seriously!\Alright, leave it to me...\Wake up! response:	You want something?
context: There is a problem, Gray-sama...\In the first place, why didn't you invite Juvia?\How thoughtless!\Not even one bite...\Our lunch is on the line here, so take it more seriously!\Alright, leave it to me...\Wake up!\You want something? response:	I've got a little bone to pick with the members of Fairy Tail...
context: In the first place, why didn't you invite Juvia?\How thoughtless!\Not even one bite...\Our lunch is on the line here, so take it more seriously!\Alright, leave it to me...\Wake up!\You want something?\I've got a little bone to pick with the members of Fairy Tail... response:	You're one of them, aren't you?
context: How thoughtless!\Not even one bite...\Our lunch is on the line here, so take it more seriously!\Alright, leave it to me...\Wake up!\You want something?\I've got a little bone to pick with the members of Fairy Tail...\You're one of them, aren't you? response:	What if I am?
context: Not even one bite...\Our lunch is on the line here, so take it more seriously!\Alright, leave it to me...\Wake up!\You want something?\I've got a little bone to pick with the members of Fairy Tail...\You're one of them, aren't you?\What if I am? response:	What if you are? Then I'll flatten you like a pancake!
context: Our lunch is on the line here, so take it more seriously!\Alright, leave it to me...\Wake up!\You want something?\I've got a little bone to pick with the members of Fairy Tail...\You're one of them, aren't you?\What if I am?\What if you are? Then I'll flatten you like a pancake! response:	Pain in the ass...
