context: Mongolia response:	Pub
context: Mongolia\Pub response:	But, wow... To think we played over sixty sets and only won three...
context: Mongolia\Pub\But, wow... To think we played over sixty sets and only won three... response:	Manabu! Come on, drink up.
context: Mongolia\Pub\But, wow... To think we played over sixty sets and only won three...\Manabu! Come on, drink up. response:	We've definitely gone down a thorny path.
context: Mongolia\Pub\But, wow... To think we played over sixty sets and only won three...\Manabu! Come on, drink up.\We've definitely gone down a thorny path. response:	No, thanks. If I drink any more, I'll definitely feel it tomorrow.
context: Mongolia\Pub\But, wow... To think we played over sixty sets and only won three...\Manabu! Come on, drink up.\We've definitely gone down a thorny path.\No, thanks. If I drink any more, I'll definitely feel it tomorrow. response:	That's for sure.
context: Mongolia\Pub\But, wow... To think we played over sixty sets and only won three...\Manabu! Come on, drink up.\We've definitely gone down a thorny path.\No, thanks. If I drink any more, I'll definitely feel it tomorrow.\That's for sure. response:	Well, if they were like they were during the Seijoh match,
context: Mongolia\Pub\But, wow... To think we played over sixty sets and only won three...\Manabu! Come on, drink up.\We've definitely gone down a thorny path.\No, thanks. If I drink any more, I'll definitely feel it tomorrow.\That's for sure.\Well, if they were like they were during the Seijoh match, response:	they could have probably won a few more.
context: Pub\But, wow... To think we played over sixty sets and only won three...\Manabu! Come on, drink up.\We've definitely gone down a thorny path.\No, thanks. If I drink any more, I'll definitely feel it tomorrow.\That's for sure.\Well, if they were like they were during the Seijoh match,\they could have probably won a few more. response:	Manabu, are you saying you're too good for my liquor?
context: But, wow... To think we played over sixty sets and only won three...\Manabu! Come on, drink up.\We've definitely gone down a thorny path.\No, thanks. If I drink any more, I'll definitely feel it tomorrow.\That's for sure.\Well, if they were like they were during the Seijoh match,\they could have probably won a few more.\Manabu, are you saying you're too good for my liquor? response:	The team's offense was styled around Hinata and Kageyama's
context: Manabu! Come on, drink up.\We've definitely gone down a thorny path.\No, thanks. If I drink any more, I'll definitely feel it tomorrow.\That's for sure.\Well, if they were like they were during the Seijoh match,\they could have probably won a few more.\Manabu, are you saying you're too good for my liquor?\The team's offense was styled around Hinata and Kageyama's response:	weirdo quick and their bait routine, and they executed them well.
