context: Stop! Stop! response:	Wait for the traffic light!
context: Stop! Stop!\Wait for the traffic light! response:	Something interesting's bound to happen this year...
context: Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year... response:	Who will end up crying, and who will be left laughing?
context: Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing? response:	Usotsuki na anata nakimushi no atashi
context: Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Stop! Stop!\Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Wait for the traffic light!\Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: Something interesting's bound to happen this year...\Who will end up crying, and who will be left laughing?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: Who will end up crying, and who will be left laughing?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 16 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 16 ... response:	We won't be able to make it any smaller than this.
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 16 ...\We won't be able to make it any smaller than this. response:	Doesn't matter. It's going into the bonfire anyway.
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 16 ...\We won't be able to make it any smaller than this.\Doesn't matter. It's going into the bonfire anyway. response:	Are we really gonna light it all on fire?
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 16 ...\We won't be able to make it any smaller than this.\Doesn't matter. It's going into the bonfire anyway.\Are we really gonna light it all on fire? response:	I'll take back what I said before.
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 16 ...\We won't be able to make it any smaller than this.\Doesn't matter. It's going into the bonfire anyway.\Are we really gonna light it all on fire?\I'll take back what I said before. response:	What I said on the day of the summer festival.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 16 ...\We won't be able to make it any smaller than this.\Doesn't matter. It's going into the bonfire anyway.\Are we really gonna light it all on fire?\I'll take back what I said before.\What I said on the day of the summer festival. response:	I don't say things like no matter what happens, we'll always be friends.
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 16 ...\We won't be able to make it any smaller than this.\Doesn't matter. It's going into the bonfire anyway.\Are we really gonna light it all on fire?\I'll take back what I said before.\What I said on the day of the summer festival.\I don't say things like no matter what happens, we'll always be friends. response:	After all, there's no one who could replace you.
context: Episode 16 ...\We won't be able to make it any smaller than this.\Doesn't matter. It's going into the bonfire anyway.\Are we really gonna light it all on fire?\I'll take back what I said before.\What I said on the day of the summer festival.\I don't say things like no matter what happens, we'll always be friends.\After all, there's no one who could replace you. response:	That's why I'm going to try my hardest to keep our friendship intact.
context: We won't be able to make it any smaller than this.\Doesn't matter. It's going into the bonfire anyway.\Are we really gonna light it all on fire?\I'll take back what I said before.\What I said on the day of the summer festival.\I don't say things like no matter what happens, we'll always be friends.\After all, there's no one who could replace you.\That's why I'm going to try my hardest to keep our friendship intact. response:	I guess I must like you or something.
context: Doesn't matter. It's going into the bonfire anyway.\Are we really gonna light it all on fire?\I'll take back what I said before.\What I said on the day of the summer festival.\I don't say things like no matter what happens, we'll always be friends.\After all, there's no one who could replace you.\That's why I'm going to try my hardest to keep our friendship intact.\I guess I must like you or something. response:	This must be the real confession time, huh?
context: Are we really gonna light it all on fire?\I'll take back what I said before.\What I said on the day of the summer festival.\I don't say things like no matter what happens, we'll always be friends.\After all, there's no one who could replace you.\That's why I'm going to try my hardest to keep our friendship intact.\I guess I must like you or something.\This must be the real confession time, huh? response:	Just kidding.
context: I'll take back what I said before.\What I said on the day of the summer festival.\I don't say things like no matter what happens, we'll always be friends.\After all, there's no one who could replace you.\That's why I'm going to try my hardest to keep our friendship intact.\I guess I must like you or something.\This must be the real confession time, huh?\Just kidding. response:	I'm glad you're my friend.
context: What I said on the day of the summer festival.\I don't say things like no matter what happens, we'll always be friends.\After all, there's no one who could replace you.\That's why I'm going to try my hardest to keep our friendship intact.\I guess I must like you or something.\This must be the real confession time, huh?\Just kidding.\I'm glad you're my friend. response:	You better make sure you don't forget those words.
