context: Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	The hero, Sink, suddenly appeared in Biscotti.
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The hero, Sink, suddenly appeared in Biscotti. response:	Unfortunately, he's unable to return to his homeworld.
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The hero, Sink, suddenly appeared in Biscotti.\Unfortunately, he's unable to return to his homeworld. response:	Well, it has nothing to do with us!
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The hero, Sink, suddenly appeared in Biscotti.\Unfortunately, he's unable to return to his homeworld.\Well, it has nothing to do with us! response:	So we, Genoise, have kidnapped the princess without giving a damn about the situation,
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The hero, Sink, suddenly appeared in Biscotti.\Unfortunately, he's unable to return to his homeworld.\Well, it has nothing to do with us!\So we, Genoise, have kidnapped the princess without giving a damn about the situation, response:	and we even declared war!
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The hero, Sink, suddenly appeared in Biscotti.\Unfortunately, he's unable to return to his homeworld.\Well, it has nothing to do with us!\So we, Genoise, have kidnapped the princess without giving a damn about the situation,\and we even declared war! response:	All right, it's time I show up!
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\The hero, Sink, suddenly appeared in Biscotti.\Unfortunately, he's unable to return to his homeworld.\Well, it has nothing to do with us!\So we, Genoise, have kidnapped the princess without giving a damn about the situation,\and we even declared war!\All right, it's time I show up! response:	Prince Gaul! Yay!
context: Fansubbed by Ruri Subs\The hero, Sink, suddenly appeared in Biscotti.\Unfortunately, he's unable to return to his homeworld.\Well, it has nothing to do with us!\So we, Genoise, have kidnapped the princess without giving a damn about the situation,\and we even declared war!\All right, it's time I show up!\Prince Gaul! Yay! response:	OP
context: The hero, Sink, suddenly appeared in Biscotti.\Unfortunately, he's unable to return to his homeworld.\Well, it has nothing to do with us!\So we, Genoise, have kidnapped the princess without giving a damn about the situation,\and we even declared war!\All right, it's time I show up!\Prince Gaul! Yay!\OP response:	All right! Though the heat from the afternoon war hasn't yet settled,
context: Unfortunately, he's unable to return to his homeworld.\Well, it has nothing to do with us!\So we, Genoise, have kidnapped the princess without giving a damn about the situation,\and we even declared war!\All right, it's time I show up!\Prince Gaul! Yay!\OP\All right! Though the heat from the afternoon war hasn't yet settled, response:	it seems like something big has happened!
context: Well, it has nothing to do with us!\So we, Genoise, have kidnapped the princess without giving a damn about the situation,\and we even declared war!\All right, it's time I show up!\Prince Gaul! Yay!\OP\All right! Though the heat from the afternoon war hasn't yet settled,\it seems like something big has happened! response:	The representative of Biscotti, Princess Millhiore, has been abducted!
context: So we, Genoise, have kidnapped the princess without giving a damn about the situation,\and we even declared war!\All right, it's time I show up!\Prince Gaul! Yay!\OP\All right! Though the heat from the afternoon war hasn't yet settled,\it seems like something big has happened!\The representative of Biscotti, Princess Millhiore, has been abducted! response:	I, Franboise, as your temporary live host,
context: and we even declared war!\All right, it's time I show up!\Prince Gaul! Yay!\OP\All right! Though the heat from the afternoon war hasn't yet settled,\it seems like something big has happened!\The representative of Biscotti, Princess Millhiore, has been abducted!\I, Franboise, as your temporary live host, response:	am heading to the battleground as fast as I can!
context: All right, it's time I show up!\Prince Gaul! Yay!\OP\All right! Though the heat from the afternoon war hasn't yet settled,\it seems like something big has happened!\The representative of Biscotti, Princess Millhiore, has been abducted!\I, Franboise, as your temporary live host,\am heading to the battleground as fast as I can! response:	Charge! The War to Recover the Princess!!
context: Prince Gaul! Yay!\OP\All right! Though the heat from the afternoon war hasn't yet settled,\it seems like something big has happened!\The representative of Biscotti, Princess Millhiore, has been abducted!\I, Franboise, as your temporary live host,\am heading to the battleground as fast as I can!\Charge! The War to Recover the Princess!! response:	Eclair!
context: OP\All right! Though the heat from the afternoon war hasn't yet settled,\it seems like something big has happened!\The representative of Biscotti, Princess Millhiore, has been abducted!\I, Franboise, as your temporary live host,\am heading to the battleground as fast as I can!\Charge! The War to Recover the Princess!!\Eclair! response:	Good timing!
context: All right! Though the heat from the afternoon war hasn't yet settled,\it seems like something big has happened!\The representative of Biscotti, Princess Millhiore, has been abducted!\I, Franboise, as your temporary live host,\am heading to the battleground as fast as I can!\Charge! The War to Recover the Princess!!\Eclair!\Good timing! response:	This is bad. The princess was kidnapped!
context: it seems like something big has happened!\The representative of Biscotti, Princess Millhiore, has been abducted!\I, Franboise, as your temporary live host,\am heading to the battleground as fast as I can!\Charge! The War to Recover the Princess!!\Eclair!\Good timing!\This is bad. The princess was kidnapped! response:	So, I need to rescue her right away -
context: The representative of Biscotti, Princess Millhiore, has been abducted!\I, Franboise, as your temporary live host,\am heading to the battleground as fast as I can!\Charge! The War to Recover the Princess!!\Eclair!\Good timing!\This is bad. The princess was kidnapped!\So, I need to rescue her right away - response:	You... idiot!
context: I, Franboise, as your temporary live host,\am heading to the battleground as fast as I can!\Charge! The War to Recover the Princess!!\Eclair!\Good timing!\This is bad. The princess was kidnapped!\So, I need to rescue her right away -\You... idiot! response:	That hurt! What's wrong with you?
context: am heading to the battleground as fast as I can!\Charge! The War to Recover the Princess!!\Eclair!\Good timing!\This is bad. The princess was kidnapped!\So, I need to rescue her right away -\You... idiot!\That hurt! What's wrong with you? response:	That's supposed to be my line, you idiot!
context: Charge! The War to Recover the Princess!!\Eclair!\Good timing!\This is bad. The princess was kidnapped!\So, I need to rescue her right away -\You... idiot!\That hurt! What's wrong with you?\That's supposed to be my line, you idiot! response:	The heck are you doing? How can you accept the declaration just like that?!
context: Eclair!\Good timing!\This is bad. The princess was kidnapped!\So, I need to rescue her right away -\You... idiot!\That hurt! What's wrong with you?\That's supposed to be my line, you idiot!\The heck are you doing? How can you accept the declaration just like that?! response:	Wha...
context: Good timing!\This is bad. The princess was kidnapped!\So, I need to rescue her right away -\You... idiot!\That hurt! What's wrong with you?\That's supposed to be my line, you idiot!\The heck are you doing? How can you accept the declaration just like that?!\Wha... response:	I'm sorry, Amelita.
context: This is bad. The princess was kidnapped!\So, I need to rescue her right away -\You... idiot!\That hurt! What's wrong with you?\That's supposed to be my line, you idiot!\The heck are you doing? How can you accept the declaration just like that?!\Wha...\I'm sorry, Amelita. response:	I didn't tell the hero about the rules regarding the notice for a declaration of war.
context: So, I need to rescue her right away -\You... idiot!\That hurt! What's wrong with you?\That's supposed to be my line, you idiot!\The heck are you doing? How can you accept the declaration just like that?!\Wha...\I'm sorry, Amelita.\I didn't tell the hero about the rules regarding the notice for a declaration of war. response:	Really?
context: You... idiot!\That hurt! What's wrong with you?\That's supposed to be my line, you idiot!\The heck are you doing? How can you accept the declaration just like that?!\Wha...\I'm sorry, Amelita.\I didn't tell the hero about the rules regarding the notice for a declaration of war.\Really? response:	Well, um, don't worry.
context: That hurt! What's wrong with you?\That's supposed to be my line, you idiot!\The heck are you doing? How can you accept the declaration just like that?!\Wha...\I'm sorry, Amelita.\I didn't tell the hero about the rules regarding the notice for a declaration of war.\Really?\Well, um, don't worry. response:	We'll bring the princess back!
context: That's supposed to be my line, you idiot!\The heck are you doing? How can you accept the declaration just like that?!\Wha...\I'm sorry, Amelita.\I didn't tell the hero about the rules regarding the notice for a declaration of war.\Really?\Well, um, don't worry.\We'll bring the princess back! response:	But will we make it in time?
context: The heck are you doing? How can you accept the declaration just like that?!\Wha...\I'm sorry, Amelita.\I didn't tell the hero about the rules regarding the notice for a declaration of war.\Really?\Well, um, don't worry.\We'll bring the princess back!\But will we make it in time? response:	We can't disappoint the people who were looking forward to hearing the princess sing.
context: Wha...\I'm sorry, Amelita.\I didn't tell the hero about the rules regarding the notice for a declaration of war.\Really?\Well, um, don't worry.\We'll bring the princess back!\But will we make it in time?\We can't disappoint the people who were looking forward to hearing the princess sing. response:	D-Don't worry!
context: I'm sorry, Amelita.\I didn't tell the hero about the rules regarding the notice for a declaration of war.\Really?\Well, um, don't worry.\We'll bring the princess back!\But will we make it in time?\We can't disappoint the people who were looking forward to hearing the princess sing.\D-Don't worry! response:	Sir Hero and Eclair have already taken off.
context: I didn't tell the hero about the rules regarding the notice for a declaration of war.\Really?\Well, um, don't worry.\We'll bring the princess back!\But will we make it in time?\We can't disappoint the people who were looking forward to hearing the princess sing.\D-Don't worry!\Sir Hero and Eclair have already taken off. response:	I'll gather the soldiers and move out right away.
context: Really?\Well, um, don't worry.\We'll bring the princess back!\But will we make it in time?\We can't disappoint the people who were looking forward to hearing the princess sing.\D-Don't worry!\Sir Hero and Eclair have already taken off.\I'll gather the soldiers and move out right away. response:	You're... Homura?
context: Well, um, don't worry.\We'll bring the princess back!\But will we make it in time?\We can't disappoint the people who were looking forward to hearing the princess sing.\D-Don't worry!\Sir Hero and Eclair have already taken off.\I'll gather the soldiers and move out right away.\You're... Homura? response:	If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!
context: We'll bring the princess back!\But will we make it in time?\We can't disappoint the people who were looking forward to hearing the princess sing.\D-Don't worry!\Sir Hero and Eclair have already taken off.\I'll gather the soldiers and move out right away.\You're... Homura?\If you accept the notice for a declaration of war, it'll become an official acknowledgment of war! response:	It's okay to battle during normal times,
context: But will we make it in time?\We can't disappoint the people who were looking forward to hearing the princess sing.\D-Don't worry!\Sir Hero and Eclair have already taken off.\I'll gather the soldiers and move out right away.\You're... Homura?\If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!\It's okay to battle during normal times, response:	but why choose the time when the princess is about to hold a celebratory dinner party?
context: We can't disappoint the people who were looking forward to hearing the princess sing.\D-Don't worry!\Sir Hero and Eclair have already taken off.\I'll gather the soldiers and move out right away.\You're... Homura?\If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!\It's okay to battle during normal times,\but why choose the time when the princess is about to hold a celebratory dinner party? response:	There are only one and a half hours before the princess's show begins!
context: D-Don't worry!\Sir Hero and Eclair have already taken off.\I'll gather the soldiers and move out right away.\You're... Homura?\If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!\It's okay to battle during normal times,\but why choose the time when the princess is about to hold a celebratory dinner party?\There are only one and a half hours before the princess's show begins! response:	Are you listening, Hero?
context: Sir Hero and Eclair have already taken off.\I'll gather the soldiers and move out right away.\You're... Homura?\If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!\It's okay to battle during normal times,\but why choose the time when the princess is about to hold a celebratory dinner party?\There are only one and a half hours before the princess's show begins!\Are you listening, Hero? response:	I'm listening. I-I really am!
context: I'll gather the soldiers and move out right away.\You're... Homura?\If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!\It's okay to battle during normal times,\but why choose the time when the princess is about to hold a celebratory dinner party?\There are only one and a half hours before the princess's show begins!\Are you listening, Hero?\I'm listening. I-I really am! response:	And why can't you even ride a cerkle properly?!
context: You're... Homura?\If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!\It's okay to battle during normal times,\but why choose the time when the princess is about to hold a celebratory dinner party?\There are only one and a half hours before the princess's show begins!\Are you listening, Hero?\I'm listening. I-I really am!\And why can't you even ride a cerkle properly?! response:	Even if you say that...
context: If you accept the notice for a declaration of war, it'll become an official acknowledgment of war!\It's okay to battle during normal times,\but why choose the time when the princess is about to hold a celebratory dinner party?\There are only one and a half hours before the princess's show begins!\Are you listening, Hero?\I'm listening. I-I really am!\And why can't you even ride a cerkle properly?!\Even if you say that... response:	Eclair, if you get too angry, your blood vessels might burst.
context: It's okay to battle during normal times,\but why choose the time when the princess is about to hold a celebratory dinner party?\There are only one and a half hours before the princess's show begins!\Are you listening, Hero?\I'm listening. I-I really am!\And why can't you even ride a cerkle properly?!\Even if you say that...\Eclair, if you get too angry, your blood vessels might burst. response:	Eclair, Ricotta, I'm sorry for acting on my own.
context: but why choose the time when the princess is about to hold a celebratory dinner party?\There are only one and a half hours before the princess's show begins!\Are you listening, Hero?\I'm listening. I-I really am!\And why can't you even ride a cerkle properly?!\Even if you say that...\Eclair, if you get too angry, your blood vessels might burst.\Eclair, Ricotta, I'm sorry for acting on my own. response:	In my world, it's serious when bad guys kidnap a princess!
context: There are only one and a half hours before the princess's show begins!\Are you listening, Hero?\I'm listening. I-I really am!\And why can't you even ride a cerkle properly?!\Even if you say that...\Eclair, if you get too angry, your blood vessels might burst.\Eclair, Ricotta, I'm sorry for acting on my own.\In my world, it's serious when bad guys kidnap a princess! response:	That's why there's no way I can keep silent!
context: Are you listening, Hero?\I'm listening. I-I really am!\And why can't you even ride a cerkle properly?!\Even if you say that...\Eclair, if you get too angry, your blood vessels might burst.\Eclair, Ricotta, I'm sorry for acting on my own.\In my world, it's serious when bad guys kidnap a princess!\That's why there's no way I can keep silent! response:	But it'll be okay!
context: I'm listening. I-I really am!\And why can't you even ride a cerkle properly?!\Even if you say that...\Eclair, if you get too angry, your blood vessels might burst.\Eclair, Ricotta, I'm sorry for acting on my own.\In my world, it's serious when bad guys kidnap a princess!\That's why there's no way I can keep silent!\But it'll be okay! response:	I'll save the princess,
context: And why can't you even ride a cerkle properly?!\Even if you say that...\Eclair, if you get too angry, your blood vessels might burst.\Eclair, Ricotta, I'm sorry for acting on my own.\In my world, it's serious when bad guys kidnap a princess!\That's why there's no way I can keep silent!\But it'll be okay!\I'll save the princess, response:	and I'll make sure she's on time for her concert!
context: Even if you say that...\Eclair, if you get too angry, your blood vessels might burst.\Eclair, Ricotta, I'm sorry for acting on my own.\In my world, it's serious when bad guys kidnap a princess!\That's why there's no way I can keep silent!\But it'll be okay!\I'll save the princess,\and I'll make sure she's on time for her concert! response:	Obviously!
context: Eclair, if you get too angry, your blood vessels might burst.\Eclair, Ricotta, I'm sorry for acting on my own.\In my world, it's serious when bad guys kidnap a princess!\That's why there's no way I can keep silent!\But it'll be okay!\I'll save the princess,\and I'll make sure she's on time for her concert!\Obviously! response:	Even though I'm weak, I'll try my best!
context: Eclair, Ricotta, I'm sorry for acting on my own.\In my world, it's serious when bad guys kidnap a princess!\That's why there's no way I can keep silent!\But it'll be okay!\I'll save the princess,\and I'll make sure she's on time for her concert!\Obviously!\Even though I'm weak, I'll try my best! response:	Right! Thanks, Ricotta, Eclair!
context: In my world, it's serious when bad guys kidnap a princess!\That's why there's no way I can keep silent!\But it'll be okay!\I'll save the princess,\and I'll make sure she's on time for her concert!\Obviously!\Even though I'm weak, I'll try my best!\Right! Thanks, Ricotta, Eclair! response:	My Lady!
context: That's why there's no way I can keep silent!\But it'll be okay!\I'll save the princess,\and I'll make sure she's on time for her concert!\Obviously!\Even though I'm weak, I'll try my best!\Right! Thanks, Ricotta, Eclair!\My Lady! response:	Did you find something interesting?
context: But it'll be okay!\I'll save the princess,\and I'll make sure she's on time for her concert!\Obviously!\Even though I'm weak, I'll try my best!\Right! Thanks, Ricotta, Eclair!\My Lady!\Did you find something interesting? response:	Oh, Yukikaze.
context: I'll save the princess,\and I'll make sure she's on time for her concert!\Obviously!\Even though I'm weak, I'll try my best!\Right! Thanks, Ricotta, Eclair!\My Lady!\Did you find something interesting?\Oh, Yukikaze. response:	Seems like there's gonna be a war.
context: and I'll make sure she's on time for her concert!\Obviously!\Even though I'm weak, I'll try my best!\Right! Thanks, Ricotta, Eclair!\My Lady!\Did you find something interesting?\Oh, Yukikaze.\Seems like there's gonna be a war. response:	Well, well, it is a great honor to be called forth by you, Prince Gaul.
context: Obviously!\Even though I'm weak, I'll try my best!\Right! Thanks, Ricotta, Eclair!\My Lady!\Did you find something interesting?\Oh, Yukikaze.\Seems like there's gonna be a war.\Well, well, it is a great honor to be called forth by you, Prince Gaul. response:	Well, judging from your looks, I'm sure you haven't had your share of fun today.
