context: What are you so angry about? response:	Hey!
context: What are you so angry about?\Hey! response:	Hey, mage!
context: What are you so angry about?\Hey!\Hey, mage! response:	I'm sorry for getting in the way of your experiment,
context: What are you so angry about?\Hey!\Hey, mage!\I'm sorry for getting in the way of your experiment, response:	but humans are a dime a dozen as far as you're concerned.
context: What are you so angry about?\Hey!\Hey, mage!\I'm sorry for getting in the way of your experiment,\but humans are a dime a dozen as far as you're concerned. response:	I thought they were worthless to you.
context: What are you so angry about?\Hey!\Hey, mage!\I'm sorry for getting in the way of your experiment,\but humans are a dime a dozen as far as you're concerned.\I thought they were worthless to you. response:	You can just take a quick look around and snatch one right up. Easy.
context: What are you so angry about?\Hey!\Hey, mage!\I'm sorry for getting in the way of your experiment,\but humans are a dime a dozen as far as you're concerned.\I thought they were worthless to you.\You can just take a quick look around and snatch one right up. Easy. response:	Right?
context: What are you so angry about?\Hey!\Hey, mage!\I'm sorry for getting in the way of your experiment,\but humans are a dime a dozen as far as you're concerned.\I thought they were worthless to you.\You can just take a quick look around and snatch one right up. Easy.\Right? response:	How rude! I was still talking.
context: Hey!\Hey, mage!\I'm sorry for getting in the way of your experiment,\but humans are a dime a dozen as far as you're concerned.\I thought they were worthless to you.\You can just take a quick look around and snatch one right up. Easy.\Right?\How rude! I was still talking. response:	Come on, you!
context: Hey, mage!\I'm sorry for getting in the way of your experiment,\but humans are a dime a dozen as far as you're concerned.\I thought they were worthless to you.\You can just take a quick look around and snatch one right up. Easy.\Right?\How rude! I was still talking.\Come on, you! response:	Isabelle...
context: I'm sorry for getting in the way of your experiment,\but humans are a dime a dozen as far as you're concerned.\I thought they were worthless to you.\You can just take a quick look around and snatch one right up. Easy.\Right?\How rude! I was still talking.\Come on, you!\Isabelle... response:	Where am I?
context: but humans are a dime a dozen as far as you're concerned.\I thought they were worthless to you.\You can just take a quick look around and snatch one right up. Easy.\Right?\How rude! I was still talking.\Come on, you!\Isabelle...\Where am I? response:	Isabelle, did they tease you again?
context: I thought they were worthless to you.\You can just take a quick look around and snatch one right up. Easy.\Right?\How rude! I was still talking.\Come on, you!\Isabelle...\Where am I?\Isabelle, did they tease you again? response:	It's that man's voice.
context: You can just take a quick look around and snatch one right up. Easy.\Right?\How rude! I was still talking.\Come on, you!\Isabelle...\Where am I?\Isabelle, did they tease you again?\It's that man's voice. response:	This is the appearance that God gave me.
context: Right?\How rude! I was still talking.\Come on, you!\Isabelle...\Where am I?\Isabelle, did they tease you again?\It's that man's voice.\This is the appearance that God gave me. response:	It's not like I can help that my hair is carrot-colored,
context: How rude! I was still talking.\Come on, you!\Isabelle...\Where am I?\Isabelle, did they tease you again?\It's that man's voice.\This is the appearance that God gave me.\It's not like I can help that my hair is carrot-colored, response:	or that my eyes are the color of weeds.
context: Come on, you!\Isabelle...\Where am I?\Isabelle, did they tease you again?\It's that man's voice.\This is the appearance that God gave me.\It's not like I can help that my hair is carrot-colored,\or that my eyes are the color of weeds. response:	I love you no matter what you look like.
context: Isabelle...\Where am I?\Isabelle, did they tease you again?\It's that man's voice.\This is the appearance that God gave me.\It's not like I can help that my hair is carrot-colored,\or that my eyes are the color of weeds.\I love you no matter what you look like. response:	Cheer up.
context: Where am I?\Isabelle, did they tease you again?\It's that man's voice.\This is the appearance that God gave me.\It's not like I can help that my hair is carrot-colored,\or that my eyes are the color of weeds.\I love you no matter what you look like.\Cheer up. response:	Let's see...
context: Isabelle, did they tease you again?\It's that man's voice.\This is the appearance that God gave me.\It's not like I can help that my hair is carrot-colored,\or that my eyes are the color of weeds.\I love you no matter what you look like.\Cheer up.\Let's see... response:	Ulysse?
context: It's that man's voice.\This is the appearance that God gave me.\It's not like I can help that my hair is carrot-colored,\or that my eyes are the color of weeds.\I love you no matter what you look like.\Cheer up.\Let's see...\Ulysse? response:	Thanks, Ulysse!
context: This is the appearance that God gave me.\It's not like I can help that my hair is carrot-colored,\or that my eyes are the color of weeds.\I love you no matter what you look like.\Cheer up.\Let's see...\Ulysse?\Thanks, Ulysse! response:	Isabelle!
context: It's not like I can help that my hair is carrot-colored,\or that my eyes are the color of weeds.\I love you no matter what you look like.\Cheer up.\Let's see...\Ulysse?\Thanks, Ulysse!\Isabelle! response:	What happened, Isabelle?
context: or that my eyes are the color of weeds.\I love you no matter what you look like.\Cheer up.\Let's see...\Ulysse?\Thanks, Ulysse!\Isabelle!\What happened, Isabelle? response:	A child got hit by a carriage!
context: I love you no matter what you look like.\Cheer up.\Let's see...\Ulysse?\Thanks, Ulysse!\Isabelle!\What happened, Isabelle?\A child got hit by a carriage! response:	This is bad!
context: Cheer up.\Let's see...\Ulysse?\Thanks, Ulysse!\Isabelle!\What happened, Isabelle?\A child got hit by a carriage!\This is bad! response:	I saw them chasing after Isabelle!
context: Let's see...\Ulysse?\Thanks, Ulysse!\Isabelle!\What happened, Isabelle?\A child got hit by a carriage!\This is bad!\I saw them chasing after Isabelle! response:	I-It's not our fault!
context: Ulysse?\Thanks, Ulysse!\Isabelle!\What happened, Isabelle?\A child got hit by a carriage!\This is bad!\I saw them chasing after Isabelle!\I-It's not our fault! response:	She ran into the street herself!
context: Thanks, Ulysse!\Isabelle!\What happened, Isabelle?\A child got hit by a carriage!\This is bad!\I saw them chasing after Isabelle!\I-It's not our fault!\She ran into the street herself! response:	Wait.
context: Isabelle!\What happened, Isabelle?\A child got hit by a carriage!\This is bad!\I saw them chasing after Isabelle!\I-It's not our fault!\She ran into the street herself!\Wait. response:	Wait, please!
context: What happened, Isabelle?\A child got hit by a carriage!\This is bad!\I saw them chasing after Isabelle!\I-It's not our fault!\She ran into the street herself!\Wait.\Wait, please! response:	When is Isabelle waking up?
context: A child got hit by a carriage!\This is bad!\I saw them chasing after Isabelle!\I-It's not our fault!\She ran into the street herself!\Wait.\Wait, please!\When is Isabelle waking up? response:	I haven't heard her voice in a long time.
context: This is bad!\I saw them chasing after Isabelle!\I-It's not our fault!\She ran into the street herself!\Wait.\Wait, please!\When is Isabelle waking up?\I haven't heard her voice in a long time. response:	Isabelle.
context: I saw them chasing after Isabelle!\I-It's not our fault!\She ran into the street herself!\Wait.\Wait, please!\When is Isabelle waking up?\I haven't heard her voice in a long time.\Isabelle. response:	Isabelle!
context: I-It's not our fault!\She ran into the street herself!\Wait.\Wait, please!\When is Isabelle waking up?\I haven't heard her voice in a long time.\Isabelle.\Isabelle! response:	Isabelle!
