context: I have to rescue Kagome! response:	So don't bother me at a time like this!
context: I have to rescue Kagome!\So don't bother me at a time like this! response:	Iron-Reaver, Soul-Stealer!
context: I have to rescue Kagome!\So don't bother me at a time like this!\Iron-Reaver, Soul-Stealer! response:	This woman is off limits!
context: I have to rescue Kagome!\So don't bother me at a time like this!\Iron-Reaver, Soul-Stealer!\This woman is off limits! response:	I'll kill anyone who tries to take a bite outta her!
context: I have to rescue Kagome!\So don't bother me at a time like this!\Iron-Reaver, Soul-Stealer!\This woman is off limits!\I'll kill anyone who tries to take a bite outta her! response:	Whoa... Scary!
context: I have to rescue Kagome!\So don't bother me at a time like this!\Iron-Reaver, Soul-Stealer!\This woman is off limits!\I'll kill anyone who tries to take a bite outta her!\Whoa... Scary! response:	Koga of the Wolf-Demon Tribe.
context: I have to rescue Kagome!\So don't bother me at a time like this!\Iron-Reaver, Soul-Stealer!\This woman is off limits!\I'll kill anyone who tries to take a bite outta her!\Whoa... Scary!\Koga of the Wolf-Demon Tribe. response:	With Sacred Jewel fragments in his right arm and both his legs...
context: I have to rescue Kagome!\So don't bother me at a time like this!\Iron-Reaver, Soul-Stealer!\This woman is off limits!\I'll kill anyone who tries to take a bite outta her!\Whoa... Scary!\Koga of the Wolf-Demon Tribe.\With Sacred Jewel fragments in his right arm and both his legs... response:	he battles Inuyasha with amazing speed.
context: So don't bother me at a time like this!\Iron-Reaver, Soul-Stealer!\This woman is off limits!\I'll kill anyone who tries to take a bite outta her!\Whoa... Scary!\Koga of the Wolf-Demon Tribe.\With Sacred Jewel fragments in his right arm and both his legs...\he battles Inuyasha with amazing speed. response:	The Wolf-Demon Tribe is fighting the Birds of Paradise...
context: Iron-Reaver, Soul-Stealer!\This woman is off limits!\I'll kill anyone who tries to take a bite outta her!\Whoa... Scary!\Koga of the Wolf-Demon Tribe.\With Sacred Jewel fragments in his right arm and both his legs...\he battles Inuyasha with amazing speed.\The Wolf-Demon Tribe is fighting the Birds of Paradise... response:	and are planning to steal Sacred Jewel fragments...
context: This woman is off limits!\I'll kill anyone who tries to take a bite outta her!\Whoa... Scary!\Koga of the Wolf-Demon Tribe.\With Sacred Jewel fragments in his right arm and both his legs...\he battles Inuyasha with amazing speed.\The Wolf-Demon Tribe is fighting the Birds of Paradise...\and are planning to steal Sacred Jewel fragments... response:	which the Birds of Paradise have in their possession.
context: I'll kill anyone who tries to take a bite outta her!\Whoa... Scary!\Koga of the Wolf-Demon Tribe.\With Sacred Jewel fragments in his right arm and both his legs...\he battles Inuyasha with amazing speed.\The Wolf-Demon Tribe is fighting the Birds of Paradise...\and are planning to steal Sacred Jewel fragments...\which the Birds of Paradise have in their possession. response:	I was kidnapped because I'm able to see the Sacred Jewel.
context: Whoa... Scary!\Koga of the Wolf-Demon Tribe.\With Sacred Jewel fragments in his right arm and both his legs...\he battles Inuyasha with amazing speed.\The Wolf-Demon Tribe is fighting the Birds of Paradise...\and are planning to steal Sacred Jewel fragments...\which the Birds of Paradise have in their possession.\I was kidnapped because I'm able to see the Sacred Jewel. response:	But if this goes on...
context: Koga of the Wolf-Demon Tribe.\With Sacred Jewel fragments in his right arm and both his legs...\he battles Inuyasha with amazing speed.\The Wolf-Demon Tribe is fighting the Birds of Paradise...\and are planning to steal Sacred Jewel fragments...\which the Birds of Paradise have in their possession.\I was kidnapped because I'm able to see the Sacred Jewel.\But if this goes on... response:	some day, both Shippo and I will be eaten.
context: With Sacred Jewel fragments in his right arm and both his legs...\he battles Inuyasha with amazing speed.\The Wolf-Demon Tribe is fighting the Birds of Paradise...\and are planning to steal Sacred Jewel fragments...\which the Birds of Paradise have in their possession.\I was kidnapped because I'm able to see the Sacred Jewel.\But if this goes on...\some day, both Shippo and I will be eaten. response:	If I could only help Shippo escape.
context: he battles Inuyasha with amazing speed.\The Wolf-Demon Tribe is fighting the Birds of Paradise...\and are planning to steal Sacred Jewel fragments...\which the Birds of Paradise have in their possession.\I was kidnapped because I'm able to see the Sacred Jewel.\But if this goes on...\some day, both Shippo and I will be eaten.\If I could only help Shippo escape. response:	Huh? Shippo?
context: The Wolf-Demon Tribe is fighting the Birds of Paradise...\and are planning to steal Sacred Jewel fragments...\which the Birds of Paradise have in their possession.\I was kidnapped because I'm able to see the Sacred Jewel.\But if this goes on...\some day, both Shippo and I will be eaten.\If I could only help Shippo escape.\Huh? Shippo? response:	Stand!
context: and are planning to steal Sacred Jewel fragments...\which the Birds of Paradise have in their possession.\I was kidnapped because I'm able to see the Sacred Jewel.\But if this goes on...\some day, both Shippo and I will be eaten.\If I could only help Shippo escape.\Huh? Shippo?\Stand! response:	Stand up please.
context: which the Birds of Paradise have in their possession.\I was kidnapped because I'm able to see the Sacred Jewel.\But if this goes on...\some day, both Shippo and I will be eaten.\If I could only help Shippo escape.\Huh? Shippo?\Stand!\Stand up please. response:	I mean, stand!
context: I was kidnapped because I'm able to see the Sacred Jewel.\But if this goes on...\some day, both Shippo and I will be eaten.\If I could only help Shippo escape.\Huh? Shippo?\Stand!\Stand up please.\I mean, stand! response:	Hey, Koga. Where're you going?
context: But if this goes on...\some day, both Shippo and I will be eaten.\If I could only help Shippo escape.\Huh? Shippo?\Stand!\Stand up please.\I mean, stand!\Hey, Koga. Where're you going? response:	I'm taking the woman out for some fresh air.
context: some day, both Shippo and I will be eaten.\If I could only help Shippo escape.\Huh? Shippo?\Stand!\Stand up please.\I mean, stand!\Hey, Koga. Where're you going?\I'm taking the woman out for some fresh air. response:	This place smells like animals.
context: If I could only help Shippo escape.\Huh? Shippo?\Stand!\Stand up please.\I mean, stand!\Hey, Koga. Where're you going?\I'm taking the woman out for some fresh air.\This place smells like animals. response:	Wow! Great acting!
context: Huh? Shippo?\Stand!\Stand up please.\I mean, stand!\Hey, Koga. Where're you going?\I'm taking the woman out for some fresh air.\This place smells like animals.\Wow! Great acting! response:	Hey, Ginta! Hakkaku! Accompany Koga.
context: Stand!\Stand up please.\I mean, stand!\Hey, Koga. Where're you going?\I'm taking the woman out for some fresh air.\This place smells like animals.\Wow! Great acting!\Hey, Ginta! Hakkaku! Accompany Koga. response:	What're you saying?
context: Stand up please.\I mean, stand!\Hey, Koga. Where're you going?\I'm taking the woman out for some fresh air.\This place smells like animals.\Wow! Great acting!\Hey, Ginta! Hakkaku! Accompany Koga.\What're you saying? response:	Ginta and Hakkaku went out on patrol.
context: I mean, stand!\Hey, Koga. Where're you going?\I'm taking the woman out for some fresh air.\This place smells like animals.\Wow! Great acting!\Hey, Ginta! Hakkaku! Accompany Koga.\What're you saying?\Ginta and Hakkaku went out on patrol. response:	With Koga.
context: Hey, Koga. Where're you going?\I'm taking the woman out for some fresh air.\This place smells like animals.\Wow! Great acting!\Hey, Ginta! Hakkaku! Accompany Koga.\What're you saying?\Ginta and Hakkaku went out on patrol.\With Koga. response:	What?!
context: I'm taking the woman out for some fresh air.\This place smells like animals.\Wow! Great acting!\Hey, Ginta! Hakkaku! Accompany Koga.\What're you saying?\Ginta and Hakkaku went out on patrol.\With Koga.\What?! response:	Then who was...?!
context: This place smells like animals.\Wow! Great acting!\Hey, Ginta! Hakkaku! Accompany Koga.\What're you saying?\Ginta and Hakkaku went out on patrol.\With Koga.\What?!\Then who was...?! response:	Hey you!
context: Wow! Great acting!\Hey, Ginta! Hakkaku! Accompany Koga.\What're you saying?\Ginta and Hakkaku went out on patrol.\With Koga.\What?!\Then who was...?!\Hey you! response:	You fooled us!
context: Hey, Ginta! Hakkaku! Accompany Koga.\What're you saying?\Ginta and Hakkaku went out on patrol.\With Koga.\What?!\Then who was...?!\Hey you!\You fooled us! response:	Shippo, hurry!
context: What're you saying?\Ginta and Hakkaku went out on patrol.\With Koga.\What?!\Then who was...?!\Hey you!\You fooled us!\Shippo, hurry! response:	Hold it!
context: Ginta and Hakkaku went out on patrol.\With Koga.\What?!\Then who was...?!\Hey you!\You fooled us!\Shippo, hurry!\Hold it! response:	Ohh! We're trapped, Kagome!
context: With Koga.\What?!\Then who was...?!\Hey you!\You fooled us!\Shippo, hurry!\Hold it!\Ohh! We're trapped, Kagome! response:	Shippo, you can expand and fly, can't you?
context: What?!\Then who was...?!\Hey you!\You fooled us!\Shippo, hurry!\Hold it!\Ohh! We're trapped, Kagome!\Shippo, you can expand and fly, can't you? response:	Yes, but I don't know if I can fly with you!
context: Then who was...?!\Hey you!\You fooled us!\Shippo, hurry!\Hold it!\Ohh! We're trapped, Kagome!\Shippo, you can expand and fly, can't you?\Yes, but I don't know if I can fly with you! response:	You won't get away!
context: Hey you!\You fooled us!\Shippo, hurry!\Hold it!\Ohh! We're trapped, Kagome!\Shippo, you can expand and fly, can't you?\Yes, but I don't know if I can fly with you!\You won't get away! response:	Shippo! Get Inuyasha! Hurry!
context: You fooled us!\Shippo, hurry!\Hold it!\Ohh! We're trapped, Kagome!\Shippo, you can expand and fly, can't you?\Yes, but I don't know if I can fly with you!\You won't get away!\Shippo! Get Inuyasha! Hurry! response:	Tricky woman!
context: Shippo, hurry!\Hold it!\Ohh! We're trapped, Kagome!\Shippo, you can expand and fly, can't you?\Yes, but I don't know if I can fly with you!\You won't get away!\Shippo! Get Inuyasha! Hurry!\Tricky woman! response:	I'll devour you alive!
context: Hold it!\Ohh! We're trapped, Kagome!\Shippo, you can expand and fly, can't you?\Yes, but I don't know if I can fly with you!\You won't get away!\Shippo! Get Inuyasha! Hurry!\Tricky woman!\I'll devour you alive! response:	W-who did that?!
context: Ohh! We're trapped, Kagome!\Shippo, you can expand and fly, can't you?\Yes, but I don't know if I can fly with you!\You won't get away!\Shippo! Get Inuyasha! Hurry!\Tricky woman!\I'll devour you alive!\W-who did that?! response:	Hey! What did I say about eating her?!
context: Shippo, you can expand and fly, can't you?\Yes, but I don't know if I can fly with you!\You won't get away!\Shippo! Get Inuyasha! Hurry!\Tricky woman!\I'll devour you alive!\W-who did that?!\Hey! What did I say about eating her?! response:	Koga!
context: Yes, but I don't know if I can fly with you!\You won't get away!\Shippo! Get Inuyasha! Hurry!\Tricky woman!\I'll devour you alive!\W-who did that?!\Hey! What did I say about eating her?!\Koga! response:	Koga, the little kid is way over there!
context: You won't get away!\Shippo! Get Inuyasha! Hurry!\Tricky woman!\I'll devour you alive!\W-who did that?!\Hey! What did I say about eating her?!\Koga!\Koga, the little kid is way over there! response:	Let us go after him, Koga! Let us make amends!
context: Shippo! Get Inuyasha! Hurry!\Tricky woman!\I'll devour you alive!\W-who did that?!\Hey! What did I say about eating her?!\Koga!\Koga, the little kid is way over there!\Let us go after him, Koga! Let us make amends! response:	Awright?!
context: Tricky woman!\I'll devour you alive!\W-who did that?!\Hey! What did I say about eating her?!\Koga!\Koga, the little kid is way over there!\Let us go after him, Koga! Let us make amends!\Awright?! response:	We're gonna be killed!
context: I'll devour you alive!\W-who did that?!\Hey! What did I say about eating her?!\Koga!\Koga, the little kid is way over there!\Let us go after him, Koga! Let us make amends!\Awright?!\We're gonna be killed! response:	Just to let your friend escape, huh?
context: W-who did that?!\Hey! What did I say about eating her?!\Koga!\Koga, the little kid is way over there!\Let us go after him, Koga! Let us make amends!\Awright?!\We're gonna be killed!\Just to let your friend escape, huh? response:	All right, decided!
context: Hey! What did I say about eating her?!\Koga!\Koga, the little kid is way over there!\Let us go after him, Koga! Let us make amends!\Awright?!\We're gonna be killed!\Just to let your friend escape, huh?\All right, decided! response:	You're gonna be my woman.
context: Koga!\Koga, the little kid is way over there!\Let us go after him, Koga! Let us make amends!\Awright?!\We're gonna be killed!\Just to let your friend escape, huh?\All right, decided!\You're gonna be my woman. response:	Koga! Weren't you gonna eat her when you finished with her?
context: Koga, the little kid is way over there!\Let us go after him, Koga! Let us make amends!\Awright?!\We're gonna be killed!\Just to let your friend escape, huh?\All right, decided!\You're gonna be my woman.\Koga! Weren't you gonna eat her when you finished with her? response:	Besides, she's human!
context: Let us go after him, Koga! Let us make amends!\Awright?!\We're gonna be killed!\Just to let your friend escape, huh?\All right, decided!\You're gonna be my woman.\Koga! Weren't you gonna eat her when you finished with her?\Besides, she's human! response:	Fools! This woman can see the Sacred Jewel.
context: Awright?!\We're gonna be killed!\Just to let your friend escape, huh?\All right, decided!\You're gonna be my woman.\Koga! Weren't you gonna eat her when you finished with her?\Besides, she's human!\Fools! This woman can see the Sacred Jewel. response:	Not only the Birds of Paradise have the fragments.
context: We're gonna be killed!\Just to let your friend escape, huh?\All right, decided!\You're gonna be my woman.\Koga! Weren't you gonna eat her when you finished with her?\Besides, she's human!\Fools! This woman can see the Sacred Jewel.\Not only the Birds of Paradise have the fragments. response:	We can gather all the fragments in this region.
context: Just to let your friend escape, huh?\All right, decided!\You're gonna be my woman.\Koga! Weren't you gonna eat her when you finished with her?\Besides, she's human!\Fools! This woman can see the Sacred Jewel.\Not only the Birds of Paradise have the fragments.\We can gather all the fragments in this region. response:	All the fragments?
context: All right, decided!\You're gonna be my woman.\Koga! Weren't you gonna eat her when you finished with her?\Besides, she's human!\Fools! This woman can see the Sacred Jewel.\Not only the Birds of Paradise have the fragments.\We can gather all the fragments in this region.\All the fragments? response:	Then we'll be invincible!
context: You're gonna be my woman.\Koga! Weren't you gonna eat her when you finished with her?\Besides, she's human!\Fools! This woman can see the Sacred Jewel.\Not only the Birds of Paradise have the fragments.\We can gather all the fragments in this region.\All the fragments?\Then we'll be invincible! response:	That's right.
context: Koga! Weren't you gonna eat her when you finished with her?\Besides, she's human!\Fools! This woman can see the Sacred Jewel.\Not only the Birds of Paradise have the fragments.\We can gather all the fragments in this region.\All the fragments?\Then we'll be invincible!\That's right. response:	So she's much more useful to us than some demon woman.
context: Besides, she's human!\Fools! This woman can see the Sacred Jewel.\Not only the Birds of Paradise have the fragments.\We can gather all the fragments in this region.\All the fragments?\Then we'll be invincible!\That's right.\So she's much more useful to us than some demon woman. response:	Kagome... that's what you're called?
context: Fools! This woman can see the Sacred Jewel.\Not only the Birds of Paradise have the fragments.\We can gather all the fragments in this region.\All the fragments?\Then we'll be invincible!\That's right.\So she's much more useful to us than some demon woman.\Kagome... that's what you're called? response:	From today, you're my woman.
