context: Once upon a time, a witch's curse put a princess into an eternal sleep, response:	and one young man appeared, intending to awake her.
context: Once upon a time, a witch's curse put a princess into an eternal sleep,\and one young man appeared, intending to awake her. response:	But a voice whispered,
context: Once upon a time, a witch's curse put a princess into an eternal sleep,\and one young man appeared, intending to awake her.\But a voice whispered, response:	Awaken the princess from her sleep? What a cruel thing to do.
context: Once upon a time, a witch's curse put a princess into an eternal sleep,\and one young man appeared, intending to awake her.\But a voice whispered,\Awaken the princess from her sleep? What a cruel thing to do. response:	Is the princess not wishing for the kiss of awakening,
context: Once upon a time, a witch's curse put a princess into an eternal sleep,\and one young man appeared, intending to awake her.\But a voice whispered,\Awaken the princess from her sleep? What a cruel thing to do.\Is the princess not wishing for the kiss of awakening, response:	but rather to continue to sleep forever?
context: Once upon a time, a witch's curse put a princess into an eternal sleep,\and one young man appeared, intending to awake her.\But a voice whispered,\Awaken the princess from her sleep? What a cruel thing to do.\Is the princess not wishing for the kiss of awakening,\but rather to continue to sleep forever? response:	So, you're awake.
context: Once upon a time, a witch's curse put a princess into an eternal sleep,\and one young man appeared, intending to awake her.\But a voice whispered,\Awaken the princess from her sleep? What a cruel thing to do.\Is the princess not wishing for the kiss of awakening,\but rather to continue to sleep forever?\So, you're awake. response:	Fakir.
context: Once upon a time, a witch's curse put a princess into an eternal sleep,\and one young man appeared, intending to awake her.\But a voice whispered,\Awaken the princess from her sleep? What a cruel thing to do.\Is the princess not wishing for the kiss of awakening,\but rather to continue to sleep forever?\So, you're awake.\Fakir. response:	What?
context: and one young man appeared, intending to awake her.\But a voice whispered,\Awaken the princess from her sleep? What a cruel thing to do.\Is the princess not wishing for the kiss of awakening,\but rather to continue to sleep forever?\So, you're awake.\Fakir.\What? response:	I wonder... What do I think of you, Fakir?
context: But a voice whispered,\Awaken the princess from her sleep? What a cruel thing to do.\Is the princess not wishing for the kiss of awakening,\but rather to continue to sleep forever?\So, you're awake.\Fakir.\What?\I wonder... What do I think of you, Fakir? response:	When I think of Rue...
context: Awaken the princess from her sleep? What a cruel thing to do.\Is the princess not wishing for the kiss of awakening,\but rather to continue to sleep forever?\So, you're awake.\Fakir.\What?\I wonder... What do I think of you, Fakir?\When I think of Rue... response:	When I think of you...
context: Is the princess not wishing for the kiss of awakening,\but rather to continue to sleep forever?\So, you're awake.\Fakir.\What?\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you... response:	And when I think of Tutu...
context: but rather to continue to sleep forever?\So, you're awake.\Fakir.\What?\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu... response:	Each makes me feel different,
context: So, you're awake.\Fakir.\What?\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different, response:	but I don't know what those feelings are.
context: Fakir.\What?\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different,\but I don't know what those feelings are. response:	Tell me, Fakir, don't I need to know what they are?
context: What?\I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different,\but I don't know what those feelings are.\Tell me, Fakir, don't I need to know what they are? response:	Don't think about such absurd things!
context: I wonder... What do I think of you, Fakir?\When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different,\but I don't know what those feelings are.\Tell me, Fakir, don't I need to know what they are?\Don't think about such absurd things! response:	But...
context: When I think of Rue...\When I think of you...\And when I think of Tutu...\Each makes me feel different,\but I don't know what those feelings are.\Tell me, Fakir, don't I need to know what they are?\Don't think about such absurd things!\But... response:	Listen, you're just a useless good-for...
context: When I think of you...\And when I think of Tutu...\Each makes me feel different,\but I don't know what those feelings are.\Tell me, Fakir, don't I need to know what they are?\Don't think about such absurd things!\But...\Listen, you're just a useless good-for... response:	Are you trembling?
context: And when I think of Tutu...\Each makes me feel different,\but I don't know what those feelings are.\Tell me, Fakir, don't I need to know what they are?\Don't think about such absurd things!\But...\Listen, you're just a useless good-for...\Are you trembling? response:	Oh, I just couldn't sleep somehow.
context: Each makes me feel different,\but I don't know what those feelings are.\Tell me, Fakir, don't I need to know what they are?\Don't think about such absurd things!\But...\Listen, you're just a useless good-for...\Are you trembling?\Oh, I just couldn't sleep somehow. response:	I saw Mytho smile.
