context: From the news chopper to the studio- response:	I'm reporting live from the skies of Hosu City!
context: From the news chopper to the studio-\I'm reporting live from the skies of Hosu City! response:	I'm reporting on a different story, but look at this!
context: From the news chopper to the studio-\I'm reporting live from the skies of Hosu City!\I'm reporting on a different story, but look at this! response:	There is fire and smoke rising from different locations on the streets.
context: From the news chopper to the studio-\I'm reporting live from the skies of Hosu City!\I'm reporting on a different story, but look at this!\There is fire and smoke rising from different locations on the streets. response:	Are these from accidents, or from rioting villains?
context: From the news chopper to the studio-\I'm reporting live from the skies of Hosu City!\I'm reporting on a different story, but look at this!\There is fire and smoke rising from different locations on the streets.\Are these from accidents, or from rioting villains? response:	We are not getting any information about any of this.
context: From the news chopper to the studio-\I'm reporting live from the skies of Hosu City!\I'm reporting on a different story, but look at this!\There is fire and smoke rising from different locations on the streets.\Are these from accidents, or from rioting villains?\We are not getting any information about any of this. response:	I will report as soon as I know the situation!
context: From the news chopper to the studio-\I'm reporting live from the skies of Hosu City!\I'm reporting on a different story, but look at this!\There is fire and smoke rising from different locations on the streets.\Are these from accidents, or from rioting villains?\We are not getting any information about any of this.\I will report as soon as I know the situation! response:	Okay, cut!
context: From the news chopper to the studio-\I'm reporting live from the skies of Hosu City!\I'm reporting on a different story, but look at this!\There is fire and smoke rising from different locations on the streets.\Are these from accidents, or from rioting villains?\We are not getting any information about any of this.\I will report as soon as I know the situation!\Okay, cut! response:	Keep shooting.
context: I'm reporting live from the skies of Hosu City!\I'm reporting on a different story, but look at this!\There is fire and smoke rising from different locations on the streets.\Are these from accidents, or from rioting villains?\We are not getting any information about any of this.\I will report as soon as I know the situation!\Okay, cut!\Keep shooting. response:	I wonder what that is...?
context: I'm reporting on a different story, but look at this!\There is fire and smoke rising from different locations on the streets.\Are these from accidents, or from rioting villains?\We are not getting any information about any of this.\I will report as soon as I know the situation!\Okay, cut!\Keep shooting.\I wonder what that is...? response:	Where?
context: There is fire and smoke rising from different locations on the streets.\Are these from accidents, or from rioting villains?\We are not getting any information about any of this.\I will report as soon as I know the situation!\Okay, cut!\Keep shooting.\I wonder what that is...?\Where? response:	Over there.
context: Are these from accidents, or from rioting villains?\We are not getting any information about any of this.\I will report as soon as I know the situation!\Okay, cut!\Keep shooting.\I wonder what that is...?\Where?\Over there. response:	By the water tank on top of the highest building.
context: We are not getting any information about any of this.\I will report as soon as I know the situation!\Okay, cut!\Keep shooting.\I wonder what that is...?\Where?\Over there.\By the water tank on top of the highest building. response:	Can you get it?
context: I will report as soon as I know the situation!\Okay, cut!\Keep shooting.\I wonder what that is...?\Where?\Over there.\By the water tank on top of the highest building.\Can you get it? response:	There are people! Two of them!
context: Okay, cut!\Keep shooting.\I wonder what that is...?\Where?\Over there.\By the water tank on top of the highest building.\Can you get it?\There are people! Two of them! response:	Curious onlookers?
context: Keep shooting.\I wonder what that is...?\Where?\Over there.\By the water tank on top of the highest building.\Can you get it?\There are people! Two of them!\Curious onlookers? response:	In a place like that?
context: I wonder what that is...?\Where?\Over there.\By the water tank on top of the highest building.\Can you get it?\There are people! Two of them!\Curious onlookers?\In a place like that? response:	Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate
context: Where?\Over there.\By the water tank on top of the highest building.\Can you get it?\There are people! Two of them!\Curious onlookers?\In a place like that?\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate response:	Let's go back.
context: Over there.\By the water tank on top of the highest building.\Can you get it?\There are people! Two of them!\Curious onlookers?\In a place like that?\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\Let's go back. response:	Were you satisfied with the results, Tomura Shigaraki?
context: By the water tank on top of the highest building.\Can you get it?\There are people! Two of them!\Curious onlookers?\In a place like that?\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\Let's go back.\Were you satisfied with the results, Tomura Shigaraki? response:	Idiot. That depends on tomorrow.
context: Can you get it?\There are people! Two of them!\Curious onlookers?\In a place like that?\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\Let's go back.\Were you satisfied with the results, Tomura Shigaraki?\Idiot. That depends on tomorrow. response:	The Aftermath of Hero Killer: Stain
context: There are people! Two of them!\Curious onlookers?\In a place like that?\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\Let's go back.\Were you satisfied with the results, Tomura Shigaraki?\Idiot. That depends on tomorrow.\The Aftermath of Hero Killer: Stain response:	Hosu General Hospital
context: Curious onlookers?\In a place like that?\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\Let's go back.\Were you satisfied with the results, Tomura Shigaraki?\Idiot. That depends on tomorrow.\The Aftermath of Hero Killer: Stain\Hosu General Hospital response:	Were you able to sleep, Midoriya?
context: In a place like that?\Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\Let's go back.\Were you satisfied with the results, Tomura Shigaraki?\Idiot. That depends on tomorrow.\The Aftermath of Hero Killer: Stain\Hosu General Hospital\Were you able to sleep, Midoriya? response:	No, not really.
context: Villain - Tomura Shigaraki - Quirk: Decay Villain - Kurogiri - Quirk: Warp Gate\Let's go back.\Were you satisfied with the results, Tomura Shigaraki?\Idiot. That depends on tomorrow.\The Aftermath of Hero Killer: Stain\Hosu General Hospital\Were you able to sleep, Midoriya?\No, not really. response:	I didn't think so.
context: Let's go back.\Were you satisfied with the results, Tomura Shigaraki?\Idiot. That depends on tomorrow.\The Aftermath of Hero Killer: Stain\Hosu General Hospital\Were you able to sleep, Midoriya?\No, not really.\I didn't think so. response:	Me neither.
context: Were you satisfied with the results, Tomura Shigaraki?\Idiot. That depends on tomorrow.\The Aftermath of Hero Killer: Stain\Hosu General Hospital\Were you able to sleep, Midoriya?\No, not really.\I didn't think so.\Me neither. response:	Thinking about it now, we did something amazing, huh?
context: Idiot. That depends on tomorrow.\The Aftermath of Hero Killer: Stain\Hosu General Hospital\Were you able to sleep, Midoriya?\No, not really.\I didn't think so.\Me neither.\Thinking about it now, we did something amazing, huh? response:	Yeah.
context: The Aftermath of Hero Killer: Stain\Hosu General Hospital\Were you able to sleep, Midoriya?\No, not really.\I didn't think so.\Me neither.\Thinking about it now, we did something amazing, huh?\Yeah. response:	Izuku Midoriya - Quirk: One For All
context: Hosu General Hospital\Were you able to sleep, Midoriya?\No, not really.\I didn't think so.\Me neither.\Thinking about it now, we did something amazing, huh?\Yeah.\Izuku Midoriya - Quirk: One For All response:	Seeing an ending like that really makes you feel like it's a miracle we're alive.
context: Were you able to sleep, Midoriya?\No, not really.\I didn't think so.\Me neither.\Thinking about it now, we did something amazing, huh?\Yeah.\Izuku Midoriya - Quirk: One For All\Seeing an ending like that really makes you feel like it's a miracle we're alive. response:	With my leg like this, he probably could've killed us if he'd wanted to.
context: No, not really.\I didn't think so.\Me neither.\Thinking about it now, we did something amazing, huh?\Yeah.\Izuku Midoriya - Quirk: One For All\Seeing an ending like that really makes you feel like it's a miracle we're alive.\With my leg like this, he probably could've killed us if he'd wanted to. response:	Shoto Todoroki - Quirk: Half-Cold, Half-Hot
context: I didn't think so.\Me neither.\Thinking about it now, we did something amazing, huh?\Yeah.\Izuku Midoriya - Quirk: One For All\Seeing an ending like that really makes you feel like it's a miracle we're alive.\With my leg like this, he probably could've killed us if he'd wanted to.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot response:	Yeah. We were obviously left alive on purpose.
context: Me neither.\Thinking about it now, we did something amazing, huh?\Yeah.\Izuku Midoriya - Quirk: One For All\Seeing an ending like that really makes you feel like it's a miracle we're alive.\With my leg like this, he probably could've killed us if he'd wanted to.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Yeah. We were obviously left alive on purpose. response:	You're amazing to have been able to face him
context: Thinking about it now, we did something amazing, huh?\Yeah.\Izuku Midoriya - Quirk: One For All\Seeing an ending like that really makes you feel like it's a miracle we're alive.\With my leg like this, he probably could've killed us if he'd wanted to.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Yeah. We were obviously left alive on purpose.\You're amazing to have been able to face him response:	Tenya Iida - Quirk: Engine
context: Yeah.\Izuku Midoriya - Quirk: One For All\Seeing an ending like that really makes you feel like it's a miracle we're alive.\With my leg like this, he probably could've killed us if he'd wanted to.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Yeah. We were obviously left alive on purpose.\You're amazing to have been able to face him\Tenya Iida - Quirk: Engine response:	after all the murderous intent directed at you.
context: Izuku Midoriya - Quirk: One For All\Seeing an ending like that really makes you feel like it's a miracle we're alive.\With my leg like this, he probably could've killed us if he'd wanted to.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Yeah. We were obviously left alive on purpose.\You're amazing to have been able to face him\Tenya Iida - Quirk: Engine\after all the murderous intent directed at you. response:	No, that's not it.
context: Seeing an ending like that really makes you feel like it's a miracle we're alive.\With my leg like this, he probably could've killed us if he'd wanted to.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Yeah. We were obviously left alive on purpose.\You're amazing to have been able to face him\Tenya Iida - Quirk: Engine\after all the murderous intent directed at you.\No, that's not it. response:	Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet
