context: Well, she's definitely from a duke's family. response:	Yeah, this is beyond generous.
context: Well, she's definitely from a duke's family.\Yeah, this is beyond generous. response:	Indeed. We should be grateful.
context: Well, she's definitely from a duke's family.\Yeah, this is beyond generous.\Indeed. We should be grateful. response:	We did lose all of the money we won at the harem event, after all.
context: Well, she's definitely from a duke's family.\Yeah, this is beyond generous.\Indeed. We should be grateful.\We did lose all of the money we won at the harem event, after all. response:	In return for breaking Miss Maria's curse,
context: Well, she's definitely from a duke's family.\Yeah, this is beyond generous.\Indeed. We should be grateful.\We did lose all of the money we won at the harem event, after all.\In return for breaking Miss Maria's curse, response:	to our surprise...
context: Well, she's definitely from a duke's family.\Yeah, this is beyond generous.\Indeed. We should be grateful.\We did lose all of the money we won at the harem event, after all.\In return for breaking Miss Maria's curse,\to our surprise... response:	We each got 100 million rels.
context: Well, she's definitely from a duke's family.\Yeah, this is beyond generous.\Indeed. We should be grateful.\We did lose all of the money we won at the harem event, after all.\In return for breaking Miss Maria's curse,\to our surprise...\We each got 100 million rels. response:	I'm going to use mine to fix up my clinic.
context: Well, she's definitely from a duke's family.\Yeah, this is beyond generous.\Indeed. We should be grateful.\We did lose all of the money we won at the harem event, after all.\In return for breaking Miss Maria's curse,\to our surprise...\We each got 100 million rels.\I'm going to use mine to fix up my clinic. response:	I wonder what I'm going to do with all this.
context: Yeah, this is beyond generous.\Indeed. We should be grateful.\We did lose all of the money we won at the harem event, after all.\In return for breaking Miss Maria's curse,\to our surprise...\We each got 100 million rels.\I'm going to use mine to fix up my clinic.\I wonder what I'm going to do with all this. response:	Hey, why don't you use it to open up a shop?
context: Indeed. We should be grateful.\We did lose all of the money we won at the harem event, after all.\In return for breaking Miss Maria's curse,\to our surprise...\We each got 100 million rels.\I'm going to use mine to fix up my clinic.\I wonder what I'm going to do with all this.\Hey, why don't you use it to open up a shop? response:	A shop?
context: We did lose all of the money we won at the harem event, after all.\In return for breaking Miss Maria's curse,\to our surprise...\We each got 100 million rels.\I'm going to use mine to fix up my clinic.\I wonder what I'm going to do with all this.\Hey, why don't you use it to open up a shop?\A shop? response:	Maybe you could sell monster materials.
context: In return for breaking Miss Maria's curse,\to our surprise...\We each got 100 million rels.\I'm going to use mine to fix up my clinic.\I wonder what I'm going to do with all this.\Hey, why don't you use it to open up a shop?\A shop?\Maybe you could sell monster materials. response:	Remember? We talked about this before.
context: to our surprise...\We each got 100 million rels.\I'm going to use mine to fix up my clinic.\I wonder what I'm going to do with all this.\Hey, why don't you use it to open up a shop?\A shop?\Maybe you could sell monster materials.\Remember? We talked about this before. response:	That's a decent future, no?
context: We each got 100 million rels.\I'm going to use mine to fix up my clinic.\I wonder what I'm going to do with all this.\Hey, why don't you use it to open up a shop?\A shop?\Maybe you could sell monster materials.\Remember? We talked about this before.\That's a decent future, no? response:	I'd be happy to help.
context: I'm going to use mine to fix up my clinic.\I wonder what I'm going to do with all this.\Hey, why don't you use it to open up a shop?\A shop?\Maybe you could sell monster materials.\Remember? We talked about this before.\That's a decent future, no?\I'd be happy to help. response:	No, it's my admin and accounting skills that Noir needs.
context: I wonder what I'm going to do with all this.\Hey, why don't you use it to open up a shop?\A shop?\Maybe you could sell monster materials.\Remember? We talked about this before.\That's a decent future, no?\I'd be happy to help.\No, it's my admin and accounting skills that Noir needs. response:	Can boobs do calculations?
context: Hey, why don't you use it to open up a shop?\A shop?\Maybe you could sell monster materials.\Remember? We talked about this before.\That's a decent future, no?\I'd be happy to help.\No, it's my admin and accounting skills that Noir needs.\Can boobs do calculations? response:	I think not.
