context: Are you gonna stay home again today? response:	Yeah, I still feel a little yucky.
context: Are you gonna stay home again today?\Yeah, I still feel a little yucky. response:	Okay!
context: Are you gonna stay home again today?\Yeah, I still feel a little yucky.\Okay! response:	I faked being sick to skip school...
context: Are you gonna stay home again today?\Yeah, I still feel a little yucky.\Okay!\I faked being sick to skip school... response:	I just...
context: Are you gonna stay home again today?\Yeah, I still feel a little yucky.\Okay!\I faked being sick to skip school...\I just... response:	I'm in love with you, Hori-san.
context: Are you gonna stay home again today?\Yeah, I still feel a little yucky.\Okay!\I faked being sick to skip school...\I just...\I'm in love with you, Hori-san. response:	Have been for a while now.
context: Are you gonna stay home again today?\Yeah, I still feel a little yucky.\Okay!\I faked being sick to skip school...\I just...\I'm in love with you, Hori-san.\Have been for a while now. response:	I don't know how to face Miyamura after that.
context: Are you gonna stay home again today?\Yeah, I still feel a little yucky.\Okay!\I faked being sick to skip school...\I just...\I'm in love with you, Hori-san.\Have been for a while now.\I don't know how to face Miyamura after that. response:	It used to be so easy to just text him, but now...
context: Yeah, I still feel a little yucky.\Okay!\I faked being sick to skip school...\I just...\I'm in love with you, Hori-san.\Have been for a while now.\I don't know how to face Miyamura after that.\It used to be so easy to just text him, but now... response:	What's wrong with me?
context: Okay!\I faked being sick to skip school...\I just...\I'm in love with you, Hori-san.\Have been for a while now.\I don't know how to face Miyamura after that.\It used to be so easy to just text him, but now...\What's wrong with me? response:	I can't hang tomorrow, but I'm free the day after!
context: I faked being sick to skip school...\I just...\I'm in love with you, Hori-san.\Have been for a while now.\I don't know how to face Miyamura after that.\It used to be so easy to just text him, but now...\What's wrong with me?\I can't hang tomorrow, but I'm free the day after! response:	Okay, you should come over then!
context: I just...\I'm in love with you, Hori-san.\Have been for a while now.\I don't know how to face Miyamura after that.\It used to be so easy to just text him, but now...\What's wrong with me?\I can't hang tomorrow, but I'm free the day after!\Okay, you should come over then! response:	I'll tell my sister.
context: I'm in love with you, Hori-san.\Have been for a while now.\I don't know how to face Miyamura after that.\It used to be so easy to just text him, but now...\What's wrong with me?\I can't hang tomorrow, but I'm free the day after!\Okay, you should come over then!\I'll tell my sister. response:	Okay!
context: Have been for a while now.\I don't know how to face Miyamura after that.\It used to be so easy to just text him, but now...\What's wrong with me?\I can't hang tomorrow, but I'm free the day after!\Okay, you should come over then!\I'll tell my sister.\Okay! response:	Horimiya
context: I don't know how to face Miyamura after that.\It used to be so easy to just text him, but now...\What's wrong with me?\I can't hang tomorrow, but I'm free the day after!\Okay, you should come over then!\I'll tell my sister.\Okay!\Horimiya response:	I'm home!
