context: What the hell's going on? response:	Is this the Witch Cult's doing?
context: What the hell's going on?\Is this the Witch Cult's doing? response:	Hey! Anyone?
context: What the hell's going on?\Is this the Witch Cult's doing?\Hey! Anyone? response:	Is anyone there?
context: What the hell's going on?\Is this the Witch Cult's doing?\Hey! Anyone?\Is anyone there? response:	Answer me!
context: What the hell's going on?\Is this the Witch Cult's doing?\Hey! Anyone?\Is anyone there?\Answer me! response:	Wh-What is that intense smell?
context: What the hell's going on?\Is this the Witch Cult's doing?\Hey! Anyone?\Is anyone there?\Answer me!\Wh-What is that intense smell? response:	P-Patrasche!
context: What the hell's going on?\Is this the Witch Cult's doing?\Hey! Anyone?\Is anyone there?\Answer me!\Wh-What is that intense smell?\P-Patrasche! response:	No...
context: What the hell's going on?\Is this the Witch Cult's doing?\Hey! Anyone?\Is anyone there?\Answer me!\Wh-What is that intense smell?\P-Patrasche!\No... response:	A flower like this couldn't actually exist.
context: Is this the Witch Cult's doing?\Hey! Anyone?\Is anyone there?\Answer me!\Wh-What is that intense smell?\P-Patrasche!\No...\A flower like this couldn't actually exist. response:	And Patrasche wouldn't just let me die...
context: Hey! Anyone?\Is anyone there?\Answer me!\Wh-What is that intense smell?\P-Patrasche!\No...\A flower like this couldn't actually exist.\And Patrasche wouldn't just let me die... response:	Which means... This is an illusion.
context: Is anyone there?\Answer me!\Wh-What is that intense smell?\P-Patrasche!\No...\A flower like this couldn't actually exist.\And Patrasche wouldn't just let me die...\Which means... This is an illusion. response:	It's all make-believe!
context: Answer me!\Wh-What is that intense smell?\P-Patrasche!\No...\A flower like this couldn't actually exist.\And Patrasche wouldn't just let me die...\Which means... This is an illusion.\It's all make-believe! response:	A lesser spirit? Did you come to help me?
context: Wh-What is that intense smell?\P-Patrasche!\No...\A flower like this couldn't actually exist.\And Patrasche wouldn't just let me die...\Which means... This is an illusion.\It's all make-believe!\A lesser spirit? Did you come to help me? response:	Subaru!
context: P-Patrasche!\No...\A flower like this couldn't actually exist.\And Patrasche wouldn't just let me die...\Which means... This is an illusion.\It's all make-believe!\A lesser spirit? Did you come to help me?\Subaru! response:	It was you?
context: No...\A flower like this couldn't actually exist.\And Patrasche wouldn't just let me die...\Which means... This is an illusion.\It's all make-believe!\A lesser spirit? Did you come to help me?\Subaru!\It was you? response:	That spiteful tone means it's definitely you.
context: A flower like this couldn't actually exist.\And Patrasche wouldn't just let me die...\Which means... This is an illusion.\It's all make-believe!\A lesser spirit? Did you come to help me?\Subaru!\It was you?\That spiteful tone means it's definitely you. response:	I cannot imagine my subconscious
context: And Patrasche wouldn't just let me die...\Which means... This is an illusion.\It's all make-believe!\A lesser spirit? Did you come to help me?\Subaru!\It was you?\That spiteful tone means it's definitely you.\I cannot imagine my subconscious response:	creating such a realistic imitation of you.
context: Which means... This is an illusion.\It's all make-believe!\A lesser spirit? Did you come to help me?\Subaru!\It was you?\That spiteful tone means it's definitely you.\I cannot imagine my subconscious\creating such a realistic imitation of you. response:	This is a bewitching spell.
context: It's all make-believe!\A lesser spirit? Did you come to help me?\Subaru!\It was you?\That spiteful tone means it's definitely you.\I cannot imagine my subconscious\creating such a realistic imitation of you.\This is a bewitching spell. response:	Only you and I have returned to normal.
context: A lesser spirit? Did you come to help me?\Subaru!\It was you?\That spiteful tone means it's definitely you.\I cannot imagine my subconscious\creating such a realistic imitation of you.\This is a bewitching spell.\Only you and I have returned to normal. response:	How did you make it back?
context: Subaru!\It was you?\That spiteful tone means it's definitely you.\I cannot imagine my subconscious\creating such a realistic imitation of you.\This is a bewitching spell.\Only you and I have returned to normal.\How did you make it back? response:	I burned a flower in my illusion.
context: It was you?\That spiteful tone means it's definitely you.\I cannot imagine my subconscious\creating such a realistic imitation of you.\This is a bewitching spell.\Only you and I have returned to normal.\How did you make it back?\I burned a flower in my illusion. response:	I see.
context: That spiteful tone means it's definitely you.\I cannot imagine my subconscious\creating such a realistic imitation of you.\This is a bewitching spell.\Only you and I have returned to normal.\How did you make it back?\I burned a flower in my illusion.\I see. response:	Someone put a suggestion on the flower's scent.
context: I cannot imagine my subconscious\creating such a realistic imitation of you.\This is a bewitching spell.\Only you and I have returned to normal.\How did you make it back?\I burned a flower in my illusion.\I see.\Someone put a suggestion on the flower's scent. response:	Hey, is that...
context: creating such a realistic imitation of you.\This is a bewitching spell.\Only you and I have returned to normal.\How did you make it back?\I burned a flower in my illusion.\I see.\Someone put a suggestion on the flower's scent.\Hey, is that... response:	The glow of my little buds.
context: This is a bewitching spell.\Only you and I have returned to normal.\How did you make it back?\I burned a flower in my illusion.\I see.\Someone put a suggestion on the flower's scent.\Hey, is that...\The glow of my little buds. response:	I will teach everyone how to break out of the bewitching spell.
context: Only you and I have returned to normal.\How did you make it back?\I burned a flower in my illusion.\I see.\Someone put a suggestion on the flower's scent.\Hey, is that...\The glow of my little buds.\I will teach everyone how to break out of the bewitching spell. response:	In... Nes.
context: How did you make it back?\I burned a flower in my illusion.\I see.\Someone put a suggestion on the flower's scent.\Hey, is that...\The glow of my little buds.\I will teach everyone how to break out of the bewitching spell.\In... Nes. response:	Hi-ho! Hi-ho! No one's here! Where am I?!
context: I burned a flower in my illusion.\I see.\Someone put a suggestion on the flower's scent.\Hey, is that...\The glow of my little buds.\I will teach everyone how to break out of the bewitching spell.\In... Nes.\Hi-ho! Hi-ho! No one's here! Where am I?! response:	I've strayed away... No, we've been pulled apart!
context: I see.\Someone put a suggestion on the flower's scent.\Hey, is that...\The glow of my little buds.\I will teach everyone how to break out of the bewitching spell.\In... Nes.\Hi-ho! Hi-ho! No one's here! Where am I?!\I've strayed away... No, we've been pulled apart! response:	Is his affinity too great?
context: Someone put a suggestion on the flower's scent.\Hey, is that...\The glow of my little buds.\I will teach everyone how to break out of the bewitching spell.\In... Nes.\Hi-ho! Hi-ho! No one's here! Where am I?!\I've strayed away... No, we've been pulled apart!\Is his affinity too great? response:	This is bad! If I don't do something...
context: Hey, is that...\The glow of my little buds.\I will teach everyone how to break out of the bewitching spell.\In... Nes.\Hi-ho! Hi-ho! No one's here! Where am I?!\I've strayed away... No, we've been pulled apart!\Is his affinity too great?\This is bad! If I don't do something... response:	I'm sorry. Take a deep breath and endure it.
