context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon, gotta catch'em all It's you and me J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J response:	J I know it's my destiny Pokemon J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon, gotta catch'em all A heart so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J response:	J Our courage will pull us through You teach me and I'll teach you J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J response:	J Pokemon Gotta catch'em all J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon Gotta catch'em all J response:	J Gotta catch them all Pokemon J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon Gotta catch'em all J\J Gotta catch them all Pokemon J response:	Ash and his friends arrive in Mossgreen Village.
context: J Pokemon, gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon Gotta catch'em all J\J Gotta catch them all Pokemon J\Ash and his friends arrive in Mossgreen Village. response:	It's a quaint, cute place,
context: J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon Gotta catch'em all J\J Gotta catch them all Pokemon J\Ash and his friends arrive in Mossgreen Village.\It's a quaint, cute place, response:	but it's so small it doesn't even have its own Pokemon Gym.
context: J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon Gotta catch'em all J\J Gotta catch them all Pokemon J\Ash and his friends arrive in Mossgreen Village.\It's a quaint, cute place,\but it's so small it doesn't even have its own Pokemon Gym. response:	There's no use stopping here if they don't have a Gym.
context: J Pokemon, gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon Gotta catch'em all J\J Gotta catch them all Pokemon J\Ash and his friends arrive in Mossgreen Village.\It's a quaint, cute place,\but it's so small it doesn't even have its own Pokemon Gym.\There's no use stopping here if they don't have a Gym. response:	- We don't have any choice. -Huh?
context: J Our courage will pull us through You teach me and I'll teach you J\J Pokemon Gotta catch'em all J\J Gotta catch them all Pokemon J\Ash and his friends arrive in Mossgreen Village.\It's a quaint, cute place,\but it's so small it doesn't even have its own Pokemon Gym.\There's no use stopping here if they don't have a Gym.\- We don't have any choice. -Huh? response:	We have a big problem. Check out our potion and antidote bag.
context: J Pokemon Gotta catch'em all J\J Gotta catch them all Pokemon J\Ash and his friends arrive in Mossgreen Village.\It's a quaint, cute place,\but it's so small it doesn't even have its own Pokemon Gym.\There's no use stopping here if they don't have a Gym.\- We don't have any choice. -Huh?\We have a big problem. Check out our potion and antidote bag. response:	Huh? It's empty.
