context: So, Taihei... can I come by your place for dinner tonight? response:	Sure. Not a problem.
context: So, Taihei... can I come by your place for dinner tonight?\Sure. Not a problem. response:	Say, why don't you come as well, Alex? Sometimes, it's-
context: So, Taihei... can I come by your place for dinner tonight?\Sure. Not a problem.\Say, why don't you come as well, Alex? Sometimes, it's- response:	No, thank you!
context: So, Taihei... can I come by your place for dinner tonight?\Sure. Not a problem.\Say, why don't you come as well, Alex? Sometimes, it's-\No, thank you! response:	I'm home!
context: So, Taihei... can I come by your place for dinner tonight?\Sure. Not a problem.\Say, why don't you come as well, Alex? Sometimes, it's-\No, thank you!\I'm home! response:	Hey there, Tanukichi.
context: So, Taihei... can I come by your place for dinner tonight?\Sure. Not a problem.\Say, why don't you come as well, Alex? Sometimes, it's-\No, thank you!\I'm home!\Hey there, Tanukichi. response:	Ah! Hi, Bomba!
context: So, Taihei... can I come by your place for dinner tonight?\Sure. Not a problem.\Say, why don't you come as well, Alex? Sometimes, it's-\No, thank you!\I'm home!\Hey there, Tanukichi.\Ah! Hi, Bomba! response:	Wait, who's THAT?
context: So, Taihei... can I come by your place for dinner tonight?\Sure. Not a problem.\Say, why don't you come as well, Alex? Sometimes, it's-\No, thank you!\I'm home!\Hey there, Tanukichi.\Ah! Hi, Bomba!\Wait, who's THAT? response:	This is Alex. He works for me.
context: Sure. Not a problem.\Say, why don't you come as well, Alex? Sometimes, it's-\No, thank you!\I'm home!\Hey there, Tanukichi.\Ah! Hi, Bomba!\Wait, who's THAT?\This is Alex. He works for me. response:	Pardon the intrusion.
context: Say, why don't you come as well, Alex? Sometimes, it's-\No, thank you!\I'm home!\Hey there, Tanukichi.\Ah! Hi, Bomba!\Wait, who's THAT?\This is Alex. He works for me.\Pardon the intrusion. response:	Ugh, I am STARVING!
context: No, thank you!\I'm home!\Hey there, Tanukichi.\Ah! Hi, Bomba!\Wait, who's THAT?\This is Alex. He works for me.\Pardon the intrusion.\Ugh, I am STARVING! response:	Sorry for dragging you along...
context: I'm home!\Hey there, Tanukichi.\Ah! Hi, Bomba!\Wait, who's THAT?\This is Alex. He works for me.\Pardon the intrusion.\Ugh, I am STARVING!\Sorry for dragging you along... response:	It's fine!
context: Hey there, Tanukichi.\Ah! Hi, Bomba!\Wait, who's THAT?\This is Alex. He works for me.\Pardon the intrusion.\Ugh, I am STARVING!\Sorry for dragging you along...\It's fine! response:	You're pretty clueless, man.
context: Ah! Hi, Bomba!\Wait, who's THAT?\This is Alex. He works for me.\Pardon the intrusion.\Ugh, I am STARVING!\Sorry for dragging you along...\It's fine!\You're pretty clueless, man. response:	This was your BOSS asking you out.
context: Wait, who's THAT?\This is Alex. He works for me.\Pardon the intrusion.\Ugh, I am STARVING!\Sorry for dragging you along...\It's fine!\You're pretty clueless, man.\This was your BOSS asking you out. response:	I feel kind of like...
context: This is Alex. He works for me.\Pardon the intrusion.\Ugh, I am STARVING!\Sorry for dragging you along...\It's fine!\You're pretty clueless, man.\This was your BOSS asking you out.\I feel kind of like... response:	like I've seen him somewhere before.
context: Pardon the intrusion.\Ugh, I am STARVING!\Sorry for dragging you along...\It's fine!\You're pretty clueless, man.\This was your BOSS asking you out.\I feel kind of like...\like I've seen him somewhere before. response:	Whoa!
context: Ugh, I am STARVING!\Sorry for dragging you along...\It's fine!\You're pretty clueless, man.\This was your BOSS asking you out.\I feel kind of like...\like I've seen him somewhere before.\Whoa! response:	Hotpot, huh?
context: Sorry for dragging you along...\It's fine!\You're pretty clueless, man.\This was your BOSS asking you out.\I feel kind of like...\like I've seen him somewhere before.\Whoa!\Hotpot, huh? response:	Everything's pretty much in season, so it should taste good.
context: It's fine!\You're pretty clueless, man.\This was your BOSS asking you out.\I feel kind of like...\like I've seen him somewhere before.\Whoa!\Hotpot, huh?\Everything's pretty much in season, so it should taste good. response:	Well, autumn is the time for eating!
context: You're pretty clueless, man.\This was your BOSS asking you out.\I feel kind of like...\like I've seen him somewhere before.\Whoa!\Hotpot, huh?\Everything's pretty much in season, so it should taste good.\Well, autumn is the time for eating! response:	Autumn!
context: This was your BOSS asking you out.\I feel kind of like...\like I've seen him somewhere before.\Whoa!\Hotpot, huh?\Everything's pretty much in season, so it should taste good.\Well, autumn is the time for eating!\Autumn! response:	Tonight's a parade of autumn specials!
context: I feel kind of like...\like I've seen him somewhere before.\Whoa!\Hotpot, huh?\Everything's pretty much in season, so it should taste good.\Well, autumn is the time for eating!\Autumn!\Tonight's a parade of autumn specials! response:	Autumn variety shows! Autumn anime!
context: like I've seen him somewhere before.\Whoa!\Hotpot, huh?\Everything's pretty much in season, so it should taste good.\Well, autumn is the time for eating!\Autumn!\Tonight's a parade of autumn specials!\Autumn variety shows! Autumn anime! response:	The Anime Song Festival!
context: Whoa!\Hotpot, huh?\Everything's pretty much in season, so it should taste good.\Well, autumn is the time for eating!\Autumn!\Tonight's a parade of autumn specials!\Autumn variety shows! Autumn anime!\The Anime Song Festival! response:	Autumn variety shows...
context: Hotpot, huh?\Everything's pretty much in season, so it should taste good.\Well, autumn is the time for eating!\Autumn!\Tonight's a parade of autumn specials!\Autumn variety shows! Autumn anime!\The Anime Song Festival!\Autumn variety shows... response:	Autumn anime shows!
context: Everything's pretty much in season, so it should taste good.\Well, autumn is the time for eating!\Autumn!\Tonight's a parade of autumn specials!\Autumn variety shows! Autumn anime!\The Anime Song Festival!\Autumn variety shows...\Autumn anime shows! response:	Sing it! It's the anime song festival!
context: Well, autumn is the time for eating!\Autumn!\Tonight's a parade of autumn specials!\Autumn variety shows! Autumn anime!\The Anime Song Festival!\Autumn variety shows...\Autumn anime shows!\Sing it! It's the anime song festival! response:	YAY!
context: Autumn!\Tonight's a parade of autumn specials!\Autumn variety shows! Autumn anime!\The Anime Song Festival!\Autumn variety shows...\Autumn anime shows!\Sing it! It's the anime song festival!\YAY! response:	Yay, yay, yay, yay-yay-yay, yay!
context: Tonight's a parade of autumn specials!\Autumn variety shows! Autumn anime!\The Anime Song Festival!\Autumn variety shows...\Autumn anime shows!\Sing it! It's the anime song festival!\YAY!\Yay, yay, yay, yay-yay-yay, yay! response:	He doesn't even live here, but he's really getting worked up! Hold on...
context: Autumn variety shows! Autumn anime!\The Anime Song Festival!\Autumn variety shows...\Autumn anime shows!\Sing it! It's the anime song festival!\YAY!\Yay, yay, yay, yay-yay-yay, yay!\He doesn't even live here, but he's really getting worked up! Hold on... response:	I know this feeling, of someone being all excited but not caring about ME. But from where?
context: The Anime Song Festival!\Autumn variety shows...\Autumn anime shows!\Sing it! It's the anime song festival!\YAY!\Yay, yay, yay, yay-yay-yay, yay!\He doesn't even live here, but he's really getting worked up! Hold on...\I know this feeling, of someone being all excited but not caring about ME. But from where? response:	Japanese animation is cute and cool! My older brother loves it, too.
context: Autumn variety shows...\Autumn anime shows!\Sing it! It's the anime song festival!\YAY!\Yay, yay, yay, yay-yay-yay, yay!\He doesn't even live here, but he's really getting worked up! Hold on...\I know this feeling, of someone being all excited but not caring about ME. But from where?\Japanese animation is cute and cool! My older brother loves it, too. response:	Could this be Sylphyn's brother?!
context: Autumn anime shows!\Sing it! It's the anime song festival!\YAY!\Yay, yay, yay, yay-yay-yay, yay!\He doesn't even live here, but he's really getting worked up! Hold on...\I know this feeling, of someone being all excited but not caring about ME. But from where?\Japanese animation is cute and cool! My older brother loves it, too.\Could this be Sylphyn's brother?! response:	Indeed!
context: Sing it! It's the anime song festival!\YAY!\Yay, yay, yay, yay-yay-yay, yay!\He doesn't even live here, but he's really getting worked up! Hold on...\I know this feeling, of someone being all excited but not caring about ME. But from where?\Japanese animation is cute and cool! My older brother loves it, too.\Could this be Sylphyn's brother?!\Indeed! response:	In-
context: YAY!\Yay, yay, yay, yay-yay-yay, yay!\He doesn't even live here, but he's really getting worked up! Hold on...\I know this feeling, of someone being all excited but not caring about ME. But from where?\Japanese animation is cute and cool! My older brother loves it, too.\Could this be Sylphyn's brother?!\Indeed!\In- response:	Indeed!
context: Yay, yay, yay, yay-yay-yay, yay!\He doesn't even live here, but he's really getting worked up! Hold on...\I know this feeling, of someone being all excited but not caring about ME. But from where?\Japanese animation is cute and cool! My older brother loves it, too.\Could this be Sylphyn's brother?!\Indeed!\In-\Indeed! response:	Gah! Now that I look closely, he TOTALLY seems like he could be her brother!
context: He doesn't even live here, but he's really getting worked up! Hold on...\I know this feeling, of someone being all excited but not caring about ME. But from where?\Japanese animation is cute and cool! My older brother loves it, too.\Could this be Sylphyn's brother?!\Indeed!\In-\Indeed!\Gah! Now that I look closely, he TOTALLY seems like he could be her brother! response:	But, wait, that's too much of a coincidence!
context: I know this feeling, of someone being all excited but not caring about ME. But from where?\Japanese animation is cute and cool! My older brother loves it, too.\Could this be Sylphyn's brother?!\Indeed!\In-\Indeed!\Gah! Now that I look closely, he TOTALLY seems like he could be her brother!\But, wait, that's too much of a coincidence! response:	I don't watch anime at all. Isn't that just for kids?
context: Japanese animation is cute and cool! My older brother loves it, too.\Could this be Sylphyn's brother?!\Indeed!\In-\Indeed!\Gah! Now that I look closely, he TOTALLY seems like he could be her brother!\But, wait, that's too much of a coincidence!\I don't watch anime at all. Isn't that just for kids? response:	What are you talking about? Anime is a part of Japanese culture!
context: Could this be Sylphyn's brother?!\Indeed!\In-\Indeed!\Gah! Now that I look closely, he TOTALLY seems like he could be her brother!\But, wait, that's too much of a coincidence!\I don't watch anime at all. Isn't that just for kids?\What are you talking about? Anime is a part of Japanese culture! response:	This HAS to be Sylphyn's brother!
context: Indeed!\In-\Indeed!\Gah! Now that I look closely, he TOTALLY seems like he could be her brother!\But, wait, that's too much of a coincidence!\I don't watch anime at all. Isn't that just for kids?\What are you talking about? Anime is a part of Japanese culture!\This HAS to be Sylphyn's brother! response:	Indeed!
context: In-\Indeed!\Gah! Now that I look closely, he TOTALLY seems like he could be her brother!\But, wait, that's too much of a coincidence!\I don't watch anime at all. Isn't that just for kids?\What are you talking about? Anime is a part of Japanese culture!\This HAS to be Sylphyn's brother!\Indeed! response:	I think... therefore I am!
context: Indeed!\Gah! Now that I look closely, he TOTALLY seems like he could be her brother!\But, wait, that's too much of a coincidence!\I don't watch anime at all. Isn't that just for kids?\What are you talking about? Anime is a part of Japanese culture!\This HAS to be Sylphyn's brother!\Indeed!\I think... therefore I am! response:	You know what I think? This was a quality show, and I'm sad to see it end!
context: Gah! Now that I look closely, he TOTALLY seems like he could be her brother!\But, wait, that's too much of a coincidence!\I don't watch anime at all. Isn't that just for kids?\What are you talking about? Anime is a part of Japanese culture!\This HAS to be Sylphyn's brother!\Indeed!\I think... therefore I am!\You know what I think? This was a quality show, and I'm sad to see it end! response:	Huh?! I've been a fan of the show too!
context: But, wait, that's too much of a coincidence!\I don't watch anime at all. Isn't that just for kids?\What are you talking about? Anime is a part of Japanese culture!\This HAS to be Sylphyn's brother!\Indeed!\I think... therefore I am!\You know what I think? This was a quality show, and I'm sad to see it end!\Huh?! I've been a fan of the show too! response:	Oh, really?
