context: Kyousuke's back! response:	So the time's come at last...
context: Kyousuke's back!\So the time's come at last... response:	Where are you going?
context: Kyousuke's back!\So the time's come at last...\Where are you going? response:	To fight.
context: Kyousuke's back!\So the time's come at last...\Where are you going?\To fight. response:	He's back!
context: Kyousuke's back!\So the time's come at last...\Where are you going?\To fight.\He's back! response:	Kyousuke's back!
context: Kyousuke's back!\So the time's come at last...\Where are you going?\To fight.\He's back!\Kyousuke's back! response:	Hold it! Hold it!
context: Kyousuke's back!\So the time's come at last...\Where are you going?\To fight.\He's back!\Kyousuke's back!\Hold it! Hold it! response:	Stop!
context: Kyousuke's back!\So the time's come at last...\Where are you going?\To fight.\He's back!\Kyousuke's back!\Hold it! Hold it!\Stop! response:	Stop
context: So the time's come at last...\Where are you going?\To fight.\He's back!\Kyousuke's back!\Hold it! Hold it!\Stop!\Stop response:	Like hell we'd stop!
context: Where are you going?\To fight.\He's back!\Kyousuke's back!\Hold it! Hold it!\Stop!\Stop\Like hell we'd stop! response:	After all...
context: To fight.\He's back!\Kyousuke's back!\Hold it! Hold it!\Stop!\Stop\Like hell we'd stop!\After all... response:	Kyousuke's back!
context: He's back!\Kyousuke's back!\Hold it! Hold it!\Stop!\Stop\Like hell we'd stop!\After all...\Kyousuke's back! response:	Kyousuke!
context: Kyousuke's back!\Hold it! Hold it!\Stop!\Stop\Like hell we'd stop!\After all...\Kyousuke's back!\Kyousuke! response:	This is bad!
context: Hold it! Hold it!\Stop!\Stop\Like hell we'd stop!\After all...\Kyousuke's back!\Kyousuke!\This is bad! response:	Stop them!
context: Stop!\Stop\Like hell we'd stop!\After all...\Kyousuke's back!\Kyousuke!\This is bad!\Stop them! response:	Oh, is that you, Riki?
context: Stop\Like hell we'd stop!\After all...\Kyousuke's back!\Kyousuke!\This is bad!\Stop them!\Oh, is that you, Riki? response:	Sorry, but I didn't sleep last night.
context: Like hell we'd stop!\After all...\Kyousuke's back!\Kyousuke!\This is bad!\Stop them!\Oh, is that you, Riki?\Sorry, but I didn't sleep last night. response:	Those two don't fight unless you're around!
context: After all...\Kyousuke's back!\Kyousuke!\This is bad!\Stop them!\Oh, is that you, Riki?\Sorry, but I didn't sleep last night.\Those two don't fight unless you're around! response:	They need you to make things fair!
context: Kyousuke's back!\Kyousuke!\This is bad!\Stop them!\Oh, is that you, Riki?\Sorry, but I didn't sleep last night.\Those two don't fight unless you're around!\They need you to make things fair! response:	Let's establish some rules then.
context: Kyousuke!\This is bad!\Stop them!\Oh, is that you, Riki?\Sorry, but I didn't sleep last night.\Those two don't fight unless you're around!\They need you to make things fair!\Let's establish some rules then. response:	In a fistfight, Masato is too strong.
context: This is bad!\Stop them!\Oh, is that you, Riki?\Sorry, but I didn't sleep last night.\Those two don't fight unless you're around!\They need you to make things fair!\Let's establish some rules then.\In a fistfight, Masato is too strong. response:	But with a sword, Kengo's too strong.
context: Stop them!\Oh, is that you, Riki?\Sorry, but I didn't sleep last night.\Those two don't fight unless you're around!\They need you to make things fair!\Let's establish some rules then.\In a fistfight, Masato is too strong.\But with a sword, Kengo's too strong. response:	So, could everyone here throw anything you can find into the ring?
context: Oh, is that you, Riki?\Sorry, but I didn't sleep last night.\Those two don't fight unless you're around!\They need you to make things fair!\Let's establish some rules then.\In a fistfight, Masato is too strong.\But with a sword, Kengo's too strong.\So, could everyone here throw anything you can find into the ring? response:	Any random stuff you can get your hands on.
context: Sorry, but I didn't sleep last night.\Those two don't fight unless you're around!\They need you to make things fair!\Let's establish some rules then.\In a fistfight, Masato is too strong.\But with a sword, Kengo's too strong.\So, could everyone here throw anything you can find into the ring?\Any random stuff you can get your hands on. response:	They'll use whatever they catch as a weapon.
context: Those two don't fight unless you're around!\They need you to make things fair!\Let's establish some rules then.\In a fistfight, Masato is too strong.\But with a sword, Kengo's too strong.\So, could everyone here throw anything you can find into the ring?\Any random stuff you can get your hands on.\They'll use whatever they catch as a weapon. response:	That should make the fight safer than it is right now.
context: They need you to make things fair!\Let's establish some rules then.\In a fistfight, Masato is too strong.\But with a sword, Kengo's too strong.\So, could everyone here throw anything you can find into the ring?\Any random stuff you can get your hands on.\They'll use whatever they catch as a weapon.\That should make the fight safer than it is right now. response:	Battle, start!
context: Let's establish some rules then.\In a fistfight, Masato is too strong.\But with a sword, Kengo's too strong.\So, could everyone here throw anything you can find into the ring?\Any random stuff you can get your hands on.\They'll use whatever they catch as a weapon.\That should make the fight safer than it is right now.\Battle, start! response:	A banana?
context: In a fistfight, Masato is too strong.\But with a sword, Kengo's too strong.\So, could everyone here throw anything you can find into the ring?\Any random stuff you can get your hands on.\They'll use whatever they catch as a weapon.\That should make the fight safer than it is right now.\Battle, start!\A banana? response:	Why are you holding a cat?
context: But with a sword, Kengo's too strong.\So, could everyone here throw anything you can find into the ring?\Any random stuff you can get your hands on.\They'll use whatever they catch as a weapon.\That should make the fight safer than it is right now.\Battle, start!\A banana?\Why are you holding a cat? response:	It's my weapon.
context: So, could everyone here throw anything you can find into the ring?\Any random stuff you can get your hands on.\They'll use whatever they catch as a weapon.\That should make the fight safer than it is right now.\Battle, start!\A banana?\Why are you holding a cat?\It's my weapon. response:	Got a problem?
context: Any random stuff you can get your hands on.\They'll use whatever they catch as a weapon.\That should make the fight safer than it is right now.\Battle, start!\A banana?\Why are you holding a cat?\It's my weapon.\Got a problem? response:	And how the heck am I supposed to fight with this, anyway?!
context: They'll use whatever they catch as a weapon.\That should make the fight safer than it is right now.\Battle, start!\A banana?\Why are you holding a cat?\It's my weapon.\Got a problem?\And how the heck am I supposed to fight with this, anyway?! response:	Stop!
context: That should make the fight safer than it is right now.\Battle, start!\A banana?\Why are you holding a cat?\It's my weapon.\Got a problem?\And how the heck am I supposed to fight with this, anyway?!\Stop! response:	Our idol, Rin-sama, has arrived!
context: Battle, start!\A banana?\Why are you holding a cat?\It's my weapon.\Got a problem?\And how the heck am I supposed to fight with this, anyway?!\Stop!\Our idol, Rin-sama, has arrived! response:	Don't pick on the weak!
context: A banana?\Why are you holding a cat?\It's my weapon.\Got a problem?\And how the heck am I supposed to fight with this, anyway?!\Stop!\Our idol, Rin-sama, has arrived!\Don't pick on the weak! response:	The weak?
context: Why are you holding a cat?\It's my weapon.\Got a problem?\And how the heck am I supposed to fight with this, anyway?!\Stop!\Our idol, Rin-sama, has arrived!\Don't pick on the weak!\The weak? response:	Is she talking about you?
context: It's my weapon.\Got a problem?\And how the heck am I supposed to fight with this, anyway?!\Stop!\Our idol, Rin-sama, has arrived!\Don't pick on the weak!\The weak?\Is she talking about you? response:	No, I think it's you.
context: Got a problem?\And how the heck am I supposed to fight with this, anyway?!\Stop!\Our idol, Rin-sama, has arrived!\Don't pick on the weak!\The weak?\Is she talking about you?\No, I think it's you. response:	That's not even funny.
context: And how the heck am I supposed to fight with this, anyway?!\Stop!\Our idol, Rin-sama, has arrived!\Don't pick on the weak!\The weak?\Is she talking about you?\No, I think it's you.\That's not even funny. response:	I mean the cat!
context: Stop!\Our idol, Rin-sama, has arrived!\Don't pick on the weak!\The weak?\Is she talking about you?\No, I think it's you.\That's not even funny.\I mean the cat! response:	Now, why are you two fighting?
