context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	And currently...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And currently... response:	Now that my arms are better, I need to make up for all the time I've lost!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And currently...\Now that my arms are better, I need to make up for all the time I've lost! response:	It appeared as though peaceful days had returned to the Black Bulls.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And currently...\Now that my arms are better, I need to make up for all the time I've lost!\It appeared as though peaceful days had returned to the Black Bulls. response:	Man, there haven't been any incidents lately. It's so boring.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And currently...\Now that my arms are better, I need to make up for all the time I've lost!\It appeared as though peaceful days had returned to the Black Bulls.\Man, there haven't been any incidents lately. It's so boring. response:	It's so peaceful!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And currently...\Now that my arms are better, I need to make up for all the time I've lost!\It appeared as though peaceful days had returned to the Black Bulls.\Man, there haven't been any incidents lately. It's so boring.\It's so peaceful! response:	But a single mage destroyed it all.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And currently...\Now that my arms are better, I need to make up for all the time I've lost!\It appeared as though peaceful days had returned to the Black Bulls.\Man, there haven't been any incidents lately. It's so boring.\It's so peaceful!\But a single mage destroyed it all. response:	Raging Bull
context: He was called the Wizard King, and he became a legend.\And currently...\Now that my arms are better, I need to make up for all the time I've lost!\It appeared as though peaceful days had returned to the Black Bulls.\Man, there haven't been any incidents lately. It's so boring.\It's so peaceful!\But a single mage destroyed it all.\Raging Bull response:	One potato! Two potato! Three potato, four!
context: And currently...\Now that my arms are better, I need to make up for all the time I've lost!\It appeared as though peaceful days had returned to the Black Bulls.\Man, there haven't been any incidents lately. It's so boring.\It's so peaceful!\But a single mage destroyed it all.\Raging Bull\One potato! Two potato! Three potato, four! response:	All right, all eyes up here.
context: Now that my arms are better, I need to make up for all the time I've lost!\It appeared as though peaceful days had returned to the Black Bulls.\Man, there haven't been any incidents lately. It's so boring.\It's so peaceful!\But a single mage destroyed it all.\Raging Bull\One potato! Two potato! Three potato, four!\All right, all eyes up here. response:	He was called the Captain of the Black Bulls,
context: It appeared as though peaceful days had returned to the Black Bulls.\Man, there haven't been any incidents lately. It's so boring.\It's so peaceful!\But a single mage destroyed it all.\Raging Bull\One potato! Two potato! Three potato, four!\All right, all eyes up here.\He was called the Captain of the Black Bulls, response:	and for some reason, he was wearing a happi coat.
context: Man, there haven't been any incidents lately. It's so boring.\It's so peaceful!\But a single mage destroyed it all.\Raging Bull\One potato! Two potato! Three potato, four!\All right, all eyes up here.\He was called the Captain of the Black Bulls,\and for some reason, he was wearing a happi coat. response:	So, yeah, there's a festival happening.
context: It's so peaceful!\But a single mage destroyed it all.\Raging Bull\One potato! Two potato! Three potato, four!\All right, all eyes up here.\He was called the Captain of the Black Bulls,\and for some reason, he was wearing a happi coat.\So, yeah, there's a festival happening. response:	A festival?
context: But a single mage destroyed it all.\Raging Bull\One potato! Two potato! Three potato, four!\All right, all eyes up here.\He was called the Captain of the Black Bulls,\and for some reason, he was wearing a happi coat.\So, yeah, there's a festival happening.\A festival? response:	A Fun Festival Double Date
context: Raging Bull\One potato! Two potato! Three potato, four!\All right, all eyes up here.\He was called the Captain of the Black Bulls,\and for some reason, he was wearing a happi coat.\So, yeah, there's a festival happening.\A festival?\A Fun Festival Double Date response:	Captain Yami!
context: One potato! Two potato! Three potato, four!\All right, all eyes up here.\He was called the Captain of the Black Bulls,\and for some reason, he was wearing a happi coat.\So, yeah, there's a festival happening.\A festival?\A Fun Festival Double Date\Captain Yami! response:	What's this festival all about?!
context: All right, all eyes up here.\He was called the Captain of the Black Bulls,\and for some reason, he was wearing a happi coat.\So, yeah, there's a festival happening.\A festival?\A Fun Festival Double Date\Captain Yami!\What's this festival all about?! response:	To put it simply, it's a friggin' awesome festival!
context: He was called the Captain of the Black Bulls,\and for some reason, he was wearing a happi coat.\So, yeah, there's a festival happening.\A festival?\A Fun Festival Double Date\Captain Yami!\What's this festival all about?!\To put it simply, it's a friggin' awesome festival! response:	Understand now?
context: and for some reason, he was wearing a happi coat.\So, yeah, there's a festival happening.\A festival?\A Fun Festival Double Date\Captain Yami!\What's this festival all about?!\To put it simply, it's a friggin' awesome festival!\Understand now? response:	I see!
context: So, yeah, there's a festival happening.\A festival?\A Fun Festival Double Date\Captain Yami!\What's this festival all about?!\To put it simply, it's a friggin' awesome festival!\Understand now?\I see! response:	Or not at all!
context: A festival?\A Fun Festival Double Date\Captain Yami!\What's this festival all about?!\To put it simply, it's a friggin' awesome festival!\Understand now?\I see!\Or not at all! response:	That was a bit too simple.
context: A Fun Festival Double Date\Captain Yami!\What's this festival all about?!\To put it simply, it's a friggin' awesome festival!\Understand now?\I see!\Or not at all!\That was a bit too simple. response:	Finral, explain this festival in more detail.
context: Captain Yami!\What's this festival all about?!\To put it simply, it's a friggin' awesome festival!\Understand now?\I see!\Or not at all!\That was a bit too simple.\Finral, explain this festival in more detail. response:	Huh? U-Uh, sure...
context: What's this festival all about?!\To put it simply, it's a friggin' awesome festival!\Understand now?\I see!\Or not at all!\That was a bit too simple.\Finral, explain this festival in more detail.\Huh? U-Uh, sure... response:	But I have seniority...
