context: Why did you... kill her? response:	She was pregnant...
context: Why did you... kill her?\She was pregnant... response:	Murderer!
context: Why did you... kill her?\She was pregnant...\Murderer! response:	The child was tainted as well.
context: Why did you... kill her?\She was pregnant...\Murderer!\The child was tainted as well. response:	There was no saving it.
context: Why did you... kill her?\She was pregnant...\Murderer!\The child was tainted as well.\There was no saving it. response:	How can you...?
context: Why did you... kill her?\She was pregnant...\Murderer!\The child was tainted as well.\There was no saving it.\How can you...? response:	Oh, my God.
context: Why did you... kill her?\She was pregnant...\Murderer!\The child was tainted as well.\There was no saving it.\How can you...?\Oh, my God. response:	Ikoma!
context: Why did you... kill her?\She was pregnant...\Murderer!\The child was tainted as well.\There was no saving it.\How can you...?\Oh, my God.\Ikoma! response:	You are...!
context: She was pregnant...\Murderer!\The child was tainted as well.\There was no saving it.\How can you...?\Oh, my God.\Ikoma!\You are...! response:	what are you...?
context: Murderer!\The child was tainted as well.\There was no saving it.\How can you...?\Oh, my God.\Ikoma!\You are...!\what are you...? response:	Bastard!
context: The child was tainted as well.\There was no saving it.\How can you...?\Oh, my God.\Ikoma!\You are...!\what are you...?\Bastard! response:	How dare you!
context: There was no saving it.\How can you...?\Oh, my God.\Ikoma!\You are...!\what are you...?\Bastard!\How dare you! response:	What is the meaning of this?!
context: How can you...?\Oh, my God.\Ikoma!\You are...!\what are you...?\Bastard!\How dare you!\What is the meaning of this?! response:	Was I... trying to bite her?!
context: Oh, my God.\Ikoma!\You are...!\what are you...?\Bastard!\How dare you!\What is the meaning of this?!\Was I... trying to bite her?! response:	No way... am I turning into a Kabane?!
context: Ikoma!\You are...!\what are you...?\Bastard!\How dare you!\What is the meaning of this?!\Was I... trying to bite her?!\No way... am I turning into a Kabane?! response:	You can drop the act, monster!
context: You are...!\what are you...?\Bastard!\How dare you!\What is the meaning of this?!\Was I... trying to bite her?!\No way... am I turning into a Kabane?!\You can drop the act, monster! response:	Corpse wench!
context: what are you...?\Bastard!\How dare you!\What is the meaning of this?!\Was I... trying to bite her?!\No way... am I turning into a Kabane?!\You can drop the act, monster!\Corpse wench! response:	Corpseless.
context: Bastard!\How dare you!\What is the meaning of this?!\Was I... trying to bite her?!\No way... am I turning into a Kabane?!\You can drop the act, monster!\Corpse wench!\Corpseless. response:	Anyway, launch the Iron Fortress.
context: How dare you!\What is the meaning of this?!\Was I... trying to bite her?!\No way... am I turning into a Kabane?!\You can drop the act, monster!\Corpse wench!\Corpseless.\Anyway, launch the Iron Fortress. response:	The Corpses are here.
context: What is the meaning of this?!\Was I... trying to bite her?!\No way... am I turning into a Kabane?!\You can drop the act, monster!\Corpse wench!\Corpseless.\Anyway, launch the Iron Fortress.\The Corpses are here. response:	What?
context: Was I... trying to bite her?!\No way... am I turning into a Kabane?!\You can drop the act, monster!\Corpse wench!\Corpseless.\Anyway, launch the Iron Fortress.\The Corpses are here.\What? response:	Stop pushing!
context: No way... am I turning into a Kabane?!\You can drop the act, monster!\Corpse wench!\Corpseless.\Anyway, launch the Iron Fortress.\The Corpses are here.\What?\Stop pushing! response:	Hurry, the Corpses are coming!
context: You can drop the act, monster!\Corpse wench!\Corpseless.\Anyway, launch the Iron Fortress.\The Corpses are here.\What?\Stop pushing!\Hurry, the Corpses are coming! response:	We're not done with the repairs!
context: Corpse wench!\Corpseless.\Anyway, launch the Iron Fortress.\The Corpses are here.\What?\Stop pushing!\Hurry, the Corpses are coming!\We're not done with the repairs! response:	They can't wait for us to be done!
context: Corpseless.\Anyway, launch the Iron Fortress.\The Corpses are here.\What?\Stop pushing!\Hurry, the Corpses are coming!\We're not done with the repairs!\They can't wait for us to be done! response:	We have to get out of here first!
context: Anyway, launch the Iron Fortress.\The Corpses are here.\What?\Stop pushing!\Hurry, the Corpses are coming!\We're not done with the repairs!\They can't wait for us to be done!\We have to get out of here first! response:	Stay back!
context: The Corpses are here.\What?\Stop pushing!\Hurry, the Corpses are coming!\We're not done with the repairs!\They can't wait for us to be done!\We have to get out of here first!\Stay back! response:	Are you sure you don't want me to fight?
context: What?\Stop pushing!\Hurry, the Corpses are coming!\We're not done with the repairs!\They can't wait for us to be done!\We have to get out of here first!\Stay back!\Are you sure you don't want me to fight? response:	I'm sorry...
context: Stop pushing!\Hurry, the Corpses are coming!\We're not done with the repairs!\They can't wait for us to be done!\We have to get out of here first!\Stay back!\Are you sure you don't want me to fight?\I'm sorry... response:	There's no mistake.
context: Hurry, the Corpses are coming!\We're not done with the repairs!\They can't wait for us to be done!\We have to get out of here first!\Stay back!\Are you sure you don't want me to fight?\I'm sorry...\There's no mistake. response:	The Corpseless brought the Corpses here.
context: We're not done with the repairs!\They can't wait for us to be done!\We have to get out of here first!\Stay back!\Are you sure you don't want me to fight?\I'm sorry...\There's no mistake.\The Corpseless brought the Corpses here. response:	The damned jinxes.
