context: Humans! response:	If you wish not for annihilation, take heed!
context: Humans!\If you wish not for annihilation, take heed! response:	I bear a message from the depths!
context: Humans!\If you wish not for annihilation, take heed!\I bear a message from the depths! response:	You will surrender the surface to us, the Clan of the Seafolk!
context: Humans!\If you wish not for annihilation, take heed!\I bear a message from the depths!\You will surrender the surface to us, the Clan of the Seafolk! response:	Thereafter you shall become our nourishment, human scum
context: Humans!\If you wish not for annihilation, take heed!\I bear a message from the depths!\You will surrender the surface to us, the Clan of the Seafolk!\Thereafter you shall become our nourishment, human scum response:	Nice head! Are you related to an octopus by any chance?
context: Humans!\If you wish not for annihilation, take heed!\I bear a message from the depths!\You will surrender the surface to us, the Clan of the Seafolk!\Thereafter you shall become our nourishment, human scum\Nice head! Are you related to an octopus by any chance? response:	I heard it was that same guy again.
context: Humans!\If you wish not for annihilation, take heed!\I bear a message from the depths!\You will surrender the surface to us, the Clan of the Seafolk!\Thereafter you shall become our nourishment, human scum\Nice head! Are you related to an octopus by any chance?\I heard it was that same guy again. response:	What was his name?
context: Humans!\If you wish not for annihilation, take heed!\I bear a message from the depths!\You will surrender the surface to us, the Clan of the Seafolk!\Thereafter you shall become our nourishment, human scum\Nice head! Are you related to an octopus by any chance?\I heard it was that same guy again.\What was his name? response:	I forget, but he's super-strong.
context: If you wish not for annihilation, take heed!\I bear a message from the depths!\You will surrender the surface to us, the Clan of the Seafolk!\Thereafter you shall become our nourishment, human scum\Nice head! Are you related to an octopus by any chance?\I heard it was that same guy again.\What was his name?\I forget, but he's super-strong. response:	HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.
context: I bear a message from the depths!\You will surrender the surface to us, the Clan of the Seafolk!\Thereafter you shall become our nourishment, human scum\Nice head! Are you related to an octopus by any chance?\I heard it was that same guy again.\What was his name?\I forget, but he's super-strong.\HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH. response:	BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.
context: You will surrender the surface to us, the Clan of the Seafolk!\Thereafter you shall become our nourishment, human scum\Nice head! Are you related to an octopus by any chance?\I heard it was that same guy again.\What was his name?\I forget, but he's super-strong.\HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.\BUT PEOPLE SAY HE STEALS OTHERS' CREDIT. response:	I MEAN, HE'S CLASS C.
context: Thereafter you shall become our nourishment, human scum\Nice head! Are you related to an octopus by any chance?\I heard it was that same guy again.\What was his name?\I forget, but he's super-strong.\HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.\BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.\I MEAN, HE'S CLASS C. response:	Class C?
