context: What the hell is this? response:	Work, damn sensors!
context: What the hell is this?\Work, damn sensors! response:	Shit, as if those sisters weren't bad enough,
context: What the hell is this?\Work, damn sensors!\Shit, as if those sisters weren't bad enough, response:	now you're getting in my way, too?
context: What the hell is this?\Work, damn sensors!\Shit, as if those sisters weren't bad enough,\now you're getting in my way, too? response:	Hey.
context: What the hell is this?\Work, damn sensors!\Shit, as if those sisters weren't bad enough,\now you're getting in my way, too?\Hey. response:	I'm tutoring for the Nakanos on Floor 30.
context: What the hell is this?\Work, damn sensors!\Shit, as if those sisters weren't bad enough,\now you're getting in my way, too?\Hey.\I'm tutoring for the Nakanos on Floor 30. response:	My name is Uesugi.
context: What the hell is this?\Work, damn sensors!\Shit, as if those sisters weren't bad enough,\now you're getting in my way, too?\Hey.\I'm tutoring for the Nakanos on Floor 30.\My name is Uesugi. response:	The door here
context: What the hell is this?\Work, damn sensors!\Shit, as if those sisters weren't bad enough,\now you're getting in my way, too?\Hey.\I'm tutoring for the Nakanos on Floor 30.\My name is Uesugi.\The door here response:	is broken.
context: Work, damn sensors!\Shit, as if those sisters weren't bad enough,\now you're getting in my way, too?\Hey.\I'm tutoring for the Nakanos on Floor 30.\My name is Uesugi.\The door here\is broken. response:	Hey.
context: Shit, as if those sisters weren't bad enough,\now you're getting in my way, too?\Hey.\I'm tutoring for the Nakanos on Floor 30.\My name is Uesugi.\The door here\is broken.\Hey. response:	What are you doing out here by yourself?
context: now you're getting in my way, too?\Hey.\I'm tutoring for the Nakanos on Floor 30.\My name is Uesugi.\The door here\is broken.\Hey.\What are you doing out here by yourself? response:	Miku.
context: Hey.\I'm tutoring for the Nakanos on Floor 30.\My name is Uesugi.\The door here\is broken.\Hey.\What are you doing out here by yourself?\Miku. response:	How haven't you heard of auto locks? They're everywhere nowadays.
context: I'm tutoring for the Nakanos on Floor 30.\My name is Uesugi.\The door here\is broken.\Hey.\What are you doing out here by yourself?\Miku.\How haven't you heard of auto locks? They're everywhere nowadays. response:	You can punch in our apartment number on this keypad.
context: My name is Uesugi.\The door here\is broken.\Hey.\What are you doing out here by yourself?\Miku.\How haven't you heard of auto locks? They're everywhere nowadays.\You can punch in our apartment number on this keypad. response:	It'll call us.
context: The door here\is broken.\Hey.\What are you doing out here by yourself?\Miku.\How haven't you heard of auto locks? They're everywhere nowadays.\You can punch in our apartment number on this keypad.\It'll call us. response:	O-Of course I knew that.
context: is broken.\Hey.\What are you doing out here by yourself?\Miku.\How haven't you heard of auto locks? They're everywhere nowadays.\You can punch in our apartment number on this keypad.\It'll call us.\O-Of course I knew that. response:	I messed up right off the bat.
context: Hey.\What are you doing out here by yourself?\Miku.\How haven't you heard of auto locks? They're everywhere nowadays.\You can punch in our apartment number on this keypad.\It'll call us.\O-Of course I knew that.\I messed up right off the bat. response:	Not off to a good start.
context: What are you doing out here by yourself?\Miku.\How haven't you heard of auto locks? They're everywhere nowadays.\You can punch in our apartment number on this keypad.\It'll call us.\O-Of course I knew that.\I messed up right off the bat.\Not off to a good start. response:	But...
context: Miku.\How haven't you heard of auto locks? They're everywhere nowadays.\You can punch in our apartment number on this keypad.\It'll call us.\O-Of course I knew that.\I messed up right off the bat.\Not off to a good start.\But... response:	What are you doing?
context: How haven't you heard of auto locks? They're everywhere nowadays.\You can punch in our apartment number on this keypad.\It'll call us.\O-Of course I knew that.\I messed up right off the bat.\Not off to a good start.\But...\What are you doing? response:	Huh?
context: You can punch in our apartment number on this keypad.\It'll call us.\O-Of course I knew that.\I messed up right off the bat.\Not off to a good start.\But...\What are you doing?\Huh? response:	O-Oh.
