context: ED response:	Hmm?
context: ED\Hmm? response:	Weekly Shounen Jack
context: ED\Hmm?\Weekly Shounen Jack response:	But it was picked up on the morning news,
context: ED\Hmm?\Weekly Shounen Jack\But it was picked up on the morning news, response:	missing line
context: ED\Hmm?\Weekly Shounen Jack\But it was picked up on the morning news,\missing line response:	REVERSI Minadori Naho Voice Actress Poll
context: ED\Hmm?\Weekly Shounen Jack\But it was picked up on the morning news,\missing line\REVERSI Minadori Naho Voice Actress Poll response:	Anon in live chat
context: ED\Hmm?\Weekly Shounen Jack\But it was picked up on the morning news,\missing line\REVERSI Minadori Naho Voice Actress Poll\Anon in live chat response:	Azukyun is really good. But amateurs may not pick up on it.
context: ED\Hmm?\Weekly Shounen Jack\But it was picked up on the morning news,\missing line\REVERSI Minadori Naho Voice Actress Poll\Anon in live chat\Azukyun is really good. But amateurs may not pick up on it. response:	Anon in live chat
context: Hmm?\Weekly Shounen Jack\But it was picked up on the morning news,\missing line\REVERSI Minadori Naho Voice Actress Poll\Anon in live chat\Azukyun is really good. But amateurs may not pick up on it.\Anon in live chat response:	Are you a pro or something?
context: Weekly Shounen Jack\But it was picked up on the morning news,\missing line\REVERSI Minadori Naho Voice Actress Poll\Anon in live chat\Azukyun is really good. But amateurs may not pick up on it.\Anon in live chat\Are you a pro or something? response:	Anon in live chat
context: But it was picked up on the morning news,\missing line\REVERSI Minadori Naho Voice Actress Poll\Anon in live chat\Azukyun is really good. But amateurs may not pick up on it.\Anon in live chat\Are you a pro or something?\Anon in live chat response:	What if she forgets her lines?
context: missing line\REVERSI Minadori Naho Voice Actress Poll\Anon in live chat\Azukyun is really good. But amateurs may not pick up on it.\Anon in live chat\Are you a pro or something?\Anon in live chat\What if she forgets her lines? response:	Anon in live chat
context: REVERSI Minadori Naho Voice Actress Poll\Anon in live chat\Azukyun is really good. But amateurs may not pick up on it.\Anon in live chat\Are you a pro or something?\Anon in live chat\What if she forgets her lines?\Anon in live chat response:	Damn she's cute, too bad she has a boyfriend.
context: Anon in live chat\Azukyun is really good. But amateurs may not pick up on it.\Anon in live chat\Are you a pro or something?\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend. response:	Anon in live chat
context: Azukyun is really good. But amateurs may not pick up on it.\Anon in live chat\Are you a pro or something?\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat response:	She said Schwarz!
context: Anon in live chat\Are you a pro or something?\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz! response:	Anon in live chat
context: Are you a pro or something?\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat response:	What if she forgets her lines?
context: Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat\What if she forgets her lines? response:	Anon in live chat
context: What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat\What if she forgets her lines?\Anon in live chat response:	Damn she's cute, too bad she has a boyfriend.
context: Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend. response:	Anon in live chat
context: Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat response:	She said Schwarz!
context: Anon in live chat\She said Schwarz!\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz! response:	Anon in live chat
context: She said Schwarz!\Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat response:	That's wrong?
context: Anon in live chat\What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat\That's wrong? response:	Anon in live chat
context: What if she forgets her lines?\Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat\That's wrong?\Anon in live chat response:	What if she forgets her lines?
context: Anon in live chat\Damn she's cute, too bad she has a boyfriend.\Anon in live chat\She said Schwarz!\Anon in live chat\That's wrong?\Anon in live chat\What if she forgets her lines? response:	Anon in live chat
